jabs it repeatedly into 46
just as americans have 223
just as americans were 303
just as arbitrary from 42
just as aristotle said 82
just as aristotle says 102
just as augustine says 52
just as banknotes pass 59
just as biologists have 54
just as carefully from 62
just as carefully kept 57
just as carefully made 67
just as carefully when 45
just as certainly been 91
just as certainly from 107
just as certainly give 44
just as certainly have 267
just as certainly lost 44
just as certainly many 48
just as certainly must 55
just as certainly need 142
just as certainly some 41
just as certainly there 659
just as certainly true 87
just as certainly were 83
just as certainly will 154
just as christians have 173
just as christians were 80
just as clamorous upon 260
just as companies have 47
just as computers have 80
just as computers were 54
just as concerned over 139
just as conditions were 46
just as correctly have 125
just as countless other 99
just as delighted when 42
just as dependent upon 1332
just as described here 90
just as different from 2142
just as difficult when 99
just as effective even 46
just as effective from 79
just as effective here 94
just as effective means 40
just as effective over 52
just as effective when 858
just as effective work 52
just as efficient when 135
just as englishmen have 53
just as everybody else 1992
just as everybody knew 45
just as feminists have 94
just as feminists must 45
just as historians have 162
just as important among 80
just as important during 284
just as important even 45
just as important from 620
just as important have 139
just as important here 591
just as important there 119
just as important were 445
just as important what 118
just as important when 1198
just as important will 163
just as important work 56
just as incumbent upon 216
just as indignant over 41
just as insistent upon 129
just as interesting from 90
just as interesting when 74
just as logically from 49
just as logically have 244
just as naturally from 109
just as naturally have 78
just as naturally into 110
just as necessary here 166
just as necessary there 42
just as necessary when 171
just as pertinent here 54
just as phenomena have 42
just as physicians have 59
just as physicians must 44
just as plausibly have 218
just as predicted from 81
just as president bush 192
just as prevalent among 438
just as prevalent here 52
just as previously there 111
just as proceedings were 50
just as radically from 67
just as railroads were 40
just as rationally find 69
just as reasonably call 40
just as reasonably have 347
just as regularly been 45
just as rehearsals were 48
just as scripture says 137
just as sincerely held 87
just as sometimes when 42
just as sophocles said 125
just as sufferers from 42
just as surprised when 177
just as tolerable poets 60
just as truthfully have 47
just as uncertain when 48
just as widespread among 99
just at christmas time 323
just at nightfall when 42
just be different from 76
just be discerned from 45
just be explained away 86
just be prevented from 51
just go someplace else 138
just go somewhere else 1589
just in different ways 516
just is different from 52
just or courageous acts 57
just or temperate acts 47
just or temperate when 70
just so certainly will 74
just so different from 634
just the appointed time 45
just the conditions most 131
just the directory name 55
just the fractional part 51
just the imaginary part 56
just the important ones 175
just the leftovers from 42
just the necessary time 163
just the opportune time 56
just the political ones 41
just the prettiest girl 47
just the qualities most 45
just the reflection from 62
just the slightest break 41
just the slightest dash 69
just the slightest edge 198
just the slightest hint 1593
just the slightest look 45
just the slightest note 48
just the slightest sign 51
just the slightest tilt 48
just the slightest turn 58
just the slightest twinge 102
just the spiritual life 40
just the technical side 68
just the transition from 182
just to advertise their 62
just to ascertain what 96
just to celebrate your 41
just to determine what 245
just to emphasize their 59
just to emphasize what 52
just to encourage those 116
just to establish some 53
just to establish their 79
just to establish what 55
just to everybody else 50
just to highlight some 48
just to safeguard their 50
just to stimulate your 53
just to summarize what 40
