waged and continue to wage 53
which are believed to date 860
which are believed to flow 58
which are believed to form 271
which are believed to give 211
which are believed to have 10770
which are believed to help 214
which are believed to hold 144
which are believed to keep 40
which are believed to live 53
which are believed to make 182
which are believed to mark 89
which are believed to play 603
which are believed to show 106
which are believed to take 127
which are believed to ward 44
which are believed to work 65
which are bestowed on those 44
which are branches of those 43
which are captured by means 40
which are cemented by hope 91
which are circular in form 81
which are circular in plan 85
which are circular or oval 71
which are classics in their 41
which are classics of their 72
which are combined by means 44
which are combined in many 45
which are combined in some 50
which are combined in such 130
which are combined to form 2371
which are combined to give 180
which are combined to make 364
which are commonly no more 48
which are commonly so heavy 49
which are commonly the best 68
which are commonly the most 138
which are compared to those 131
which are complete in their 49
which are composed in part 115
which are composed of cell 43
which are composed of clay 66
which are composed of fine 280
which are composed of five 243
which are composed of flat 43
which are composed of four 550
which are composed of from 50
which are composed of hard 88
which are composed of high 134
which are composed of huge 44
which are composed of iron 94
which are composed of living 43
which are composed of many 719
which are composed of more 854
which are composed of much 112
which are composed of only 600
which are composed of other 143
which are composed of pure 107
which are composed of sand 128
which are composed of single 139
which are composed of soft 63
which are composed of some 78
which are composed of such 341
which are composed of these 250
which are composed of thick 70
which are composed of those 160
which are composed of three 588
which are composed of tiny 78
which are composed of very 309
which are composed of well 49
which are composed the most 53
which are computed by means 50
which are conceded to have 56
which are confined in their 137
which are confined to north 165
which are confined to only 109
which are confined to single 103
which are confined to some 69
which are confined to south 130
which are confined to such 50
which are confined to their 85
which are confined to these 55
which are confined to those 63
which are conscious is just 41
which are conscious of their 396
which are constant in their 170
which are constant in time 311
which are consumed as food 72
which are consumed at home 104
which are consumed by fire 44
which are consumed by other 42
which are consumed by their 44
which are consumed in great 51
which are consumed in their 85
which are consumed or used 149
which are contingent on their 45
which are continuing to grow 41
which are contrary to clear 139
which are contrary to fact 533
which are contrary to faith 52
which are contrary to good 262
which are contrary to love 51
which are contrary to some 51
which are contrary to such 84
which are contrary to their 1107
which are contrary to these 301
which are contrary to those 1114
which are contrary to true 83
which are contrary to truth 82
which are contrary to what 569
which are contrary to your 97
which are conveyed by means 102
which are conveyed by these 43
which are conveyed to some 48
which are conveyed to their 45
which are credited to their 44
which are critical as well 40
which are critical to making 88
which are critical to their 177
which are critical to your 56
which are cultural as well 63
which are dangerous in their 49
which are dangerous to health 341
which are dangerous to life 315
which are dangerous to their 113
which are darkened in some 48
which are declared as such 45
which are declared to have 342
which are definite in their 52
which are demanded by their 55
which are demanded of those 43
which are depicted in figs 118
which are depicted the arms 51
which are deprived of their 424
which are designed as part 41
which are designed in part 391
which are designed in such 172
which are designed to bind 41
which are designed to break 169
which are designed to burn 58
which are designed to call 41
which are designed to cope 157
which are designed to curb 78
which are designed to cure 62
which are designed to draw 115
which are designed to fill 78
which are designed to find 127
which are designed to form 129
which are designed to gain 61
which are designed to give 1924
which are designed to have 617
which are designed to help 2877
which are designed to hold 355
which are designed to keep 972
which are designed to kill 129
which are designed to last 187
which are designed to leave 52
which are designed to lift 57
which are designed to link 55
which are designed to look 111
which are designed to make 2046
which are designed to meet 1677
which are designed to move 227
which are designed to open 136
which are designed to pass 110
which are designed to pick 48
which are designed to reach 107
which are designed to save 188
which are designed to sell 74
which are designed to show 790
which are designed to slow 40
which are designed to stir 44
which are designed to stop 161
which are designed to suit 112
which are designed to take 597
which are designed to teach 413
which are designed to tell 42
which are designed to test 578
which are designed to throw 61
which are designed to trap 48
which are designed to treat 107
which are designed to turn 97
which are designed to work 472
which are desirous to learn 48
which are destined to come 150
which are destined to fail 41
which are destined to fall 165
which are destined to find 41
which are destined to form 792
which are destined to give 470
which are destined to grow 138
which are destined to have 165
which are destined to hold 78
which are destined to keep 68
which are destined to last 166
which are destined to live 211
which are destined to make 239
which are destined to meet 148
which are destined to move 59
which are destined to pass 106
which are destined to play 279
which are destined to reach 50
which are destined to take 77
which are destined to work 48
which are detailed at great 57
which are detailed at length 110
which are detailed in other 56
which are detailed in their 46
which are detailed in these 55
which are detected by means 53
which are detected by their 66
which are developing in many 70
which are devoured as fast 162
which are dictated by their 113
which are directed to other 65
which are directed to some 90
which are directed to their 52
which are directly in line 65
which are disgusting in their 41
which are disliked by those 48
which are disposed in such 109
which are disposed in three 57
which are distinct in their 268
which are dominant in their 101
which are doubtful in their 317
which are effected by means 147
which are embedded in other 87
which are embedded in their 181
which are embedded in these 85
which are embodied in many 56
which are embodied in such 102
which are embodied in their 206
which are embodied in these 266
which are embodied in what 55
which are emotional as well 47
which are employed as food 93
which are employed by many 72
which are employed by most 120
which are employed by some 125
which are employed by these 58
which are employed by those 40
which are employed in dyeing 42
which are employed in making 389
which are employed in many 88
which are employed in other 159
which are employed in some 120
which are employed in such 82
which are employed in their 199
which are employed in these 132
which are employed to draw 44
which are employed to form 69
which are employed to give 213
which are employed to keep 62
which are employed to make 115
which are employed to move 43
which are enclosed by high 50
which are enclosed in hard 91
which are endeavoring to make 42
which are enforced on their 47
which are enhanced by their 48
which are enlarged to form 54
which are entirely of wood 46
which are entirely the work 76
which are entitled to full 82
which are entitled to great 166
which are entitled to have 137
which are entitled to hold 376
which are entitled to make 55
which are entitled to more 126
which are entitled to much 178
which are entitled to rank 93
which are entitled to some 98
which are entitled to such 52
which are entitled to vote 217
which are equipped to make 44
which are essential as means 107
which are essential in making 71
which are essential in many 67
which are essential in some 57
which are essential in such 43
which are essential in their 47
which are essential to bare 138
which are essential to body 90
which are essential to cell 87
which are essential to fine 44
which are essential to form 63
which are essential to free 44
which are essential to full 52
which are essential to give 134
which are essential to good 737
which are essential to great 61
which are essential to health 791
which are essential to high 98
which are essential to keep 168
which are essential to life 3020
which are essential to living 189
which are essential to make 320
which are essential to making 87
which are essential to many 93
which are essential to meet 91
which are essential to most 153
which are essential to safe 69
which are essential to self 202
which are essential to some 106
which are essential to such 199
which are essential to their 2104
which are essential to these 41
which are essential to those 119
which are essential to true 162
which are essential to what 62
which are essential to your 243
which are esteemed the best 236
which are esteemed the most 156
which are examined at length 52
which are examined in depth 48
which are examined in more 497
which are examined in other 48
which are examined in part 75
which are examined in some 89
which are examined in turn 53
which are examples of these 45
which are examples of what 113
which are excluded by such 306
which are excreted as such 40
which are excreted in bile 71
which are executed by means 52
which are expected to come 391
which are expected to cost 114
which are expected to fail 54
which are expected to fall 143
which are expected to find 47
which are expected to flow 175
which are expected to form 186
which are expected to gain 48
which are expected to give 386
which are expected to grow 517
which are expected to have 2006
which are expected to help 145
which are expected to hold 116
which are expected to join 57
which are expected to keep 55
which are expected to last 808
which are expected to make 265
which are expected to meet 163
which are expected to move 54
which are expected to open 85
which are expected to pass 44
which are expected to play 303
which are expected to reach 260
which are expected to rise 291
which are expected to show 310
which are expected to take 543
which are expected to throw 46
which are expected to vary 132
which are expected to work 130
which are expelled by sweat 44
which are expended on food 127
which are explored in depth 120
which are explored in more 397
which are explored in other 42
which are explored in some 45
which are exported in great 79
which are exported to india 144
which are exported to many 82
which are exported to other 288
which are extended in ever 544
which are extended in time 69
which are extended the beams 43
which are extended to form 69
which are extended to other 49
which are extended to their 49
which are external to their 70
which are fastened at their 41
which are fastened by means 87
which are fastened the ends 56
which are fastened to their 130
which are financed by their 41
which are financed in part 84
which are flexible in their 55
which are followed by great 70
which are followed by many 90
which are followed by more 272
which are followed by most 179
which are followed by other 135
which are followed by some 149
which are followed by such 102
which are followed by their 92
which are followed by those 87
which are followed by three 157
which are followed in many 50
which are followed in turn 124
which are formally the same 97
which are fostered in great 49
which are frequent in some 56
which are frequent in such 51
which are frequent in these 114
which are frequent in your 57
which are fruitful in their 149
which are functions of only 138
which are functions of other 49
which are functions of their 115
which are functions of these 59
which are functions of time 1673
which are governed by laws 207
which are governed by most 91
which are governed by other 127
which are governed by rule 370
which are governed by some 56
which are governed by such 120
which are governed by their 519
which are governed by these 128
which are governed by what 50
which are governed in their 41
which are grounded in fact 44
which are grounded in good 60
which are grounded in love 61
which are grounded in their 84
which are hallowed by their 47
which are harmless in their 80
which are harmless or even 48
which are harmless to most 137
which are hereafter to form 86
which are hindered by their 169
which are hundreds of feet 140
which are hundreds of years 331
which are imagined to have 130
which are imbedded in these 55
which are implicit in many 47
which are implicit in most 119
which are implicit in much 76
which are implicit in such 116
which are implicit in their 180
which are implicit in these 140
which are implicit in what 82
which are imported in such 42
which are incident to life 47
which are incident to other 110
which are incident to such 199
which are incident to their 117
which are incident to these 86
which are incident to those 65
which are incident to youth 66
which are inclined to give 46
which are inclined to make 42
which are included as part 286
which are included by some 48
which are included in less 90
which are included in many 198
which are included in more 110
which are included in most 490
which are included in other 277
which are included in part 321
which are included in some 185
which are included in such 136
which are included in their 349
which are included in these 530
which are included in those 124
which are included in what 388
which are included in your 172
which are included the great 44
which are increased in size 369
which are incurred by those 54
which are indulged in youth 50
which are inferred to have 163
which are infinite in their 133
which are informed by their 47
which are inherent in life 64
which are inherent in many 71
which are inherent in most 199
which are inherent in other 53
which are inherent in some 60
which are inherent in such 375
which are inherent in their 548
which are inherent in these 249
which are inherent in those 45
which are inherent to their 58
which are inimical to good 57
which are inimical to health 87
which are inimical to life 85
which are inimical to their 178
which are inimical to yoga 44
which are initially at rest 148
which are initiated by some 48
which are injurious in their 45
which are injurious to health 2754
which are injurious to other 59
which are injurious to their 262
which are injurious to those 55
which are inserted in their 140
which are inserted in these 64
which are inspired or paid 214
which are integral to their 95
which are intended by their 96
which are intended to bind 86
which are intended to break 73
which are intended to call 49
which are intended to come 122
which are intended to cope 62
which are intended to cure 51
which are intended to draw 89
which are intended to find 52
which are intended to form 481
which are intended to give 1413
which are intended to have 1010
which are intended to help 1220
which are intended to hold 229
which are intended to keep 440
which are intended to kill 70
which are intended to last 241
which are intended to leave 47
which are intended to look 69
which are intended to make 1276
which are intended to mark 65
which are intended to meet 476
which are intended to move 88
which are intended to open 54
which are intended to pass 114
which are intended to reach 129
which are intended to save 71
which are intended to show 816
which are intended to spur 41
which are intended to stop 40
which are intended to take 360
which are intended to teach 171
which are intended to tell 42
which are intended to test 130
which are intended to throw 78
which are intended to treat 52
which are intended to turn 53
which are intended to warn 55
which are intended to work 141
which are invented by those 76
which are invented to pass 88
which are involved in bone 51
which are involved in bringing 67
which are involved in cell 1134
which are involved in drug 131
which are involved in food 87
which are involved in giving 54
which are involved in host 64
which are involved in making 300
which are involved in many 264
which are involved in more 122
which are involved in most 243
which are involved in much 95
which are involved in other 76
which are involved in pain 54
which are involved in reading 127
which are involved in self 44
which are involved in some 266
which are involved in such 761
which are involved in taking 56
which are involved in their 643
which are involved in these 819
which are involved in those 172
which are involved in what 132
which are involved in your 54
which are irritating or even 264
which are lessened in their 78
which are licensed to other 162
which are licensed to sell 49
which are manifest in their 73
which are manifest to tend 104
which are marginal at best 54
which are masterly in their 52
which are mentioned as having 145
which are mentioned as their 59
which are mentioned at page 48
which are mentioned by name 713
which are mentioned by other 49
which are mentioned in early 40
which are mentioned in holy 135
which are mentioned in many 78
which are mentioned in more 90
which are mentioned in other 220
which are mentioned in some 167
which are mentioned in their 153
which are mentioned in these 280
which are mentioned in those 50
which are mentioned in your 59
which are mentioned on page 155
which are mentioned to have 45
which are mixtures of these 53
which are moderate in size 60
which are modified by time 45
which are modified in some 46
which are modified in their 64
which are modified to form 209
which are modified to suit 73
which are negative in form 81
which are negative in their 108
which are normally the most 227
which are numerous in some 84
which are numerous in these 138
which are observed at high 61
which are observed by means 66
which are observed in high 97
which are observed in many 217
which are observed in more 100
which are observed in most 143
which are observed in other 149
which are observed in some 225
which are observed in such 57
which are observed in their 59
which are observed in these 160
which are observed to grow 47
which are observed to have 191
which are observed to hold 68
which are observed to make 63
which are observed to take 266
which are obsolete in other 57
which are obtained by adding 274
which are obtained by heating 143
which are obtained by making 84
which are obtained by means 301
which are obtained by mixing 107
which are obtained by taking 319
which are obtained by these 49
which are obtained in such 56
which are obtained in these 75
which are obviously of great 111
which are obviously the best 57
which are obviously the most 233
which are obviously the same 69
which are obviously the work 78
which are occupied by four 116
which are occupied by many 54
which are occupied by more 58
which are occupied by other 75
which are occupied by their 118
which are occupied by these 122
which are occupied or used 68
which are operated at high 98
which are operated by cams 42
which are operated by hand 328
which are operated by means 201
which are operated by steam 85
which are operated by their 50
which are opposite in meaning 438
which are opposite in sign 272
which are opposite in their 130
which are opposite to these 60
which are opposite to those 582
which are oriented in such 58
which are original in their 119
which are otherwise the same 117
which are outlined in more 181
which are outraged by such 93
which are overlain in turn 46
which are parallel to some 43
which are parallel to their 56
which are parallel to these 146
which are parallel to those 678
which are personal as well 48
which are personal in their 58
which are pictures of high 65
which are pointers to other 42
which are positive in form 119
which are positive in their 121
which are positive or zero 44
which are positive to those 61
which are possible in such 90
which are possible in their 44
which are possibly the most 94
which are powerful in their 42
which are prepared by mixing 64
which are prepared in some 65
which are prepared in such 90
which are prepared to give 98
which are prepared to help 80
which are prepared to make 59
which are prepared to meet 62
which are prepared to take 173
which are prepared to work 64
which are presumed to form 48
which are presumed to give 44
which are presumed to have 1836
which are presumed to make 43
which are presumed to play 72
which are presumed to take 88
which are preventing us from 51
which are probably as high 41
which are probably at least 99
which are probably in part 179
which are probably no more 135
which are probably of great 57
which are probably of more 205
which are probably of most 103
which are probably of much 43
which are probably the best 1151
which are probably the last 60
which are probably the least 91
which are probably the main 130
which are probably the more 88
which are probably the most 4821
which are probably the ones 52
which are probably the only 291
which are probably the same 367
which are probably the work 189
which are produced as part 43
which are produced at high 45
which are produced at home 130
which are produced at less 48
which are produced at some 47
which are produced by adding 58
which are produced by free 48
which are produced by fungi 97
which are produced by heating 113
which are produced by heavy 41
which are produced by high 156
which are produced by living 230
which are produced by love 41
which are produced by many 206
which are produced by means 348
which are produced by mere 45
which are produced by mixing 110
which are produced by more 81
which are produced by most 92
which are produced by only 57
which are produced by other 310
which are produced by poets 54
which are produced by some 310
which are produced by such 618
which are produced by their 425
which are produced by these 453
which are produced by those 120
which are produced by very 163
which are produced in great 854
which are produced in high 149
which are produced in india 97
which are produced in june 131
which are produced in late 55
which are produced in many 127
which are produced in much 121
which are produced in other 168
which are produced in part 56
which are produced in some 164
which are produced in spring 60
which are produced in such 335
which are produced in their 165
