warm benevolence of a heart 70
were overwhelmed by a wave 47
were participating in a game 50
were participating in a great 100
were participating in a kind 45
were participating in a test 57
were perpetrated by a young 42
were prepossessing in a high 70
were promulgated at a time 120
were recommended as a means 228
were represented as a mere 48
were represented as a single 68
were represented by a body 45
were represented by a great 117
were represented by a line 72
were represented by a mere 79
were represented by a pair 57
were represented by a rock 41
were represented by a single 1332
were represented by a union 429
were represented by a very 146
were represented by a wire 43
were represented by a young 70
were represented in a more 154
were represented in a single 136
were represented in a very 112
were represented in a wide 47
were republished as a book 109
were republished in a book 46
were republished in a single 50
were responsible in a great 59
were responsible to a great 216
were responsible to a very 43
were scandalized at a show 112
were slaughtered by a band 50
were slaughtered in a single 158
were susceptible of a more 45
were susceptible of a very 41
were susceptible to a wide 40
were symptomatic of a deep 52
were symptomatic of a more 192
were symptomatic of a much 143
were temporarily at a loss 60
were transferred at a very 75
were transferred in a body 52
were transferred to a bank 62
were transferred to a base 84
were transferred to a boat 82
were transferred to a cage 43
were transferred to a camp 234
were transferred to a clean 149
were transferred to a cold 103
were transferred to a dark 44
were transferred to a diet 51
were transferred to a farm 40
were transferred to a high 91
were transferred to a less 62
were transferred to a more 453
were transferred to a much 88
were transferred to a room 129
were transferred to a ship 67
were transferred to a single 281
were transferred to a site 42
were transferred to a test 148
were transferred to a third 287
were transferred to a tube 58
were transferred to a very 56
were transported in a single 46
were transported to a camp 73
were unavailable in a case 51
were undisturbed by a single 57
were undoubtedly of a high 52
were undoubtedly of a very 156
were universally at a stop 45
what alternative do i have 59
what contributes to a good 58
when accompanied by a clear 48
when accompanied by a full 79
when accompanied by a good 101
when accompanied by a high 512
when accompanied by a lack 65
when accompanied by a male 165
when accompanied by a paying 185
when accompanied by a rise 55
when accompanied by a well 43
when accumulated at a rate 151
when concentrating on a single 93
when exemplified in a high 44
when illuminated by a single 89
when illuminated in a dark 47
when performance on a task 122
when represented by a single 56
when transferred to a more 45
when transferred to a third 62
when transferred to a wide 40
whom christianity is a name 60
will concentrate on a more 116
will concentrate on a single 302
will concentrate on a very 52
will necessarily be a good 158
will necessarily be a great 100
will necessarily be a more 227
will necessarily be a part 116
will necessarily be a slow 183
will necessarily be a time 109
will necessarily be a very 191
will necessarily be a work 44
will nevertheless be a great 40
will nevertheless be a sort 50
will participate in a game 76
will participate in a less 111
will participate in a three 101
will undoubtedly be a boon 53
will undoubtedly be a good 139
will undoubtedly be a great 561
will undoubtedly be a more 211
will undoubtedly be a most 81
will undoubtedly be a much 47
will undoubtedly be a need 102
will undoubtedly be a part 120
will undoubtedly be a slow 45
will undoubtedly be a time 98
will undoubtedly be a very 627
will undoubtedly do a great 51
wily sophistries of a hume 113
wind instruments of a most 46
word civilization as a fact 91
work contributes to a more 41
work effectively as a unit 160
work underground in a mine 238
wrong pronunciation of a single 69
