vain search through the wilds 51
very small number of forms 121
very small number of genes 237
very small number of girls 130
very small number of goods 41
very small number of hands 110
very small number of homes 48
very small number of horse 165
very small number of hours 142
very small number of human 352
very small number of indian 99
very small number of irish 117
very small number of items 354
very small number of known 52
very small number of large 656
very small number of latin 40
very small number of lines 130
very small number of local 152
very small number of major 136
very small number of males 58
very small number of minds 46
very small number of mines 52
very small number of minor 92
very small number of names 56
very small number of naval 136
very small number of nodes 55
very small number of older 79
very small number of others 88
very small number of pages 109
very small number of pairs 57
very small number of parts 64
very small number of people 7054
very small number of plant 83
very small number of really 132
very small number of roman 40
very small number of rules 115
very small number of rural 44
very small number of seeds 59
very small number of senior 98
very small number of sheep 66
very small number of ships 96
very small number of short 48
very small number of sites 270
very small number of small 61
very small number of social 93
very small number of staff 104
very small number of stars 108
very small number of steps 56
very small number of terms 71
very small number of tests 111
very small number of texts 119
very small number of times 105
very small number of towns 80
very small number of trees 59
very small number of trials 82
very small number of truly 77
very small number of types 125
very small number of unions 43
very small number of units 182
very small number of urban 73
very small number of users 194
very small number of verbs 139
very small number of viable 45
very small number of votes 325
very small number of water 87
very small number of wealthy 171
very small number of which 145
very small number of white 227
very small number of women 1821
very small number of words 538
very small number of working 46
very small number of works 202
very small number of youths 48
very small number on which 43
very small object in space 152
very small object or where 293
very small outlay of money 98
very small pencil of light 91
very small pieces of glass 122
very small pieces of paper 437
very small pieces of stone 58
very small pieces of white 40
very small portion of blood 45
very small portion of either 48
very small portion of human 173
very small portion of learning 112
very small portion of light 176
very small portion of power 78
very small portion of space 99
very small portion of total 1037
very small portion of water 130
very small portion of which 595
very small regions of space 272
very small sample of blood 51
very small sample of cases 50
very small sample of people 42
very small sample on which 66
very small scraps of paper 73
very small section of people 64
very small series of cases 43
very small sheets of paper 99
very small source of light 427
very small stones of nearly 64
very small streams of water 91
very small supply of money 75
very small supply of water 121
very small traces of water 43
very small volume of blood 139
very small volume of fluid 40
very small volume of sales 43
very small volume of space 315
very small volume of trade 73
very small volume of urine 52
very small volume of water 338
very small window in which 48
very smart indeed to twist 46
very smart scheme by which 105
very steep ascent of about 72
very steep flight of steps 216
very strong bodies of horse 49
very strong bodies of welsh 101
very strong desire to avoid 45
very strong desire to drink 70
very strong desire to please 41
very strong desire to visit 99
very strong effort to appear 105
very strong feelings of guilt 83
very strong manner in which 49
very strong seemed in danger 97
very strong source of light 84
very thinly across the grain 77
very truly called the cheating 91
very vague manner in which 70
very walls seemed to shake 48
very worst feature of irish 59
very worst person he could 69
very worthy fellow no doubt 53
view which formed the basis 62
view which should be taken 306
vote would decide the issue 74
voting group favoring the action 209
vows which settle the whole 44
