yardage per pound 597
youngest age taken 70
youngest and darling 340
youngest and eighth 50
youngest and fanny 114
youngest and first 521
youngest and fourth 92
youngest and hence 76
youngest and often 53
youngest and older 88
youngest and still 472
youngest and which 41
youngest and worst 54
youngest and would 50
youngest are first 42
youngest are girls 51
youngest are often 55
youngest are quite 85
youngest are still 450
youngest being about 218
youngest being eight 171
youngest being seven 60
youngest being thirty 47
youngest boy about 49
youngest boy asked 49
youngest boy could 90
youngest boy liked 115
youngest boy might 54
youngest boy where 45
youngest boy would 126
youngest had never 135
youngest had taken 40
youngest head coach 250
youngest hue about 88
youngest not above 374
youngest not quite 62
youngest one asked 79
youngest one began 53
youngest one could 41
youngest one still 48
youngest one would 94
youngest red cells 60
youngest run first 41
youngest sings while 49
youngest six months 206
youngest six weeks 56
youngest son about 103
youngest son after 393
youngest son again 81
youngest son alone 129
youngest son arthur 112
youngest son asked 201
youngest son began 142
youngest son billy 47
youngest son comes 106
youngest son could 356
youngest son cried 47
youngest son david 411
youngest son found 88
youngest son frank 65
youngest son george 322
youngest son harry 83
youngest son henry 567
youngest son isaac 65
youngest son israel 42
youngest son jacob 88
youngest son james 348
youngest son later 48
youngest son lived 157
youngest son lives 222
youngest son louis 141
youngest son loved 52
youngest son might 238
youngest son moved 99
youngest son named 97
youngest son never 65
youngest son often 77
youngest son peter 154
youngest son seems 74
youngest son shall 1053
youngest son simon 70
youngest son slept 45
youngest son stays 95
youngest son still 163
youngest son stood 77
youngest son takes 140
youngest son thomas 425
youngest son tommy 80
youngest son under 53
youngest son until 93
youngest son wants 53
youngest son which 55
youngest son while 116
youngest son whose 103
youngest son works 90
youngest son would 1343
youngest son wrote 64
youngest that could 116
youngest two girls 41
youngest two months 93
youngest was about 588
youngest was eight 497
youngest was fifty 222
youngest was forty 110
youngest was given 64
youngest was james 51
youngest was known 51
youngest was missing 100
youngest was named 271
youngest was nearly 69
youngest was quite 63
youngest was seven 429
youngest was still 628
youngest was taken 73
youngest was thirty 398
youngest was under 82
youngest who could 91
youngish and rather 78
youngish man named 172
youngish man sitting 46
youngish man still 40
youngish man stood 42
youngish man whose 220
youthful age group 158
youthful air about 73
youthful and adult 2164
youthful and agile 149
youthful and alert 375
youthful and alive 152
youthful and brash 56
youthful and brave 292
youthful and child 101
youthful and crude 51
youthful and dashing 140
youthful and engaging 292
youthful and erect 47
youthful and fiery 510
youthful and first 96
youthful and freer 85
youthful and fresh 651
youthful and giddy 56
youthful and glowing 117
youthful and growing 230
youthful and happy 394
youthful and healthy 937
youthful and human 87
youthful and later 46
youthful and leggy 75
youthful and light 406
youthful and lusty 71
youthful and manly 197
youthful and merry 181
youthful and naive 330
youthful and never 88
youthful and newly 103
youthful and noble 171
youthful and often 306
youthful and older 104
youthful and pleasing 145
youthful and pliant 57
youthful and plump 90
youthful and poetic 130
youthful and quite 113
youthful and rather 323
youthful and royal 104
youthful and ruddy 41
youthful and smiling 137
youthful and smooth 150
youthful and still 458
youthful and strong 646
youthful and sweet 200
youthful and timid 147
youthful and vital 280
youthful and vivid 87
youthful and wealthy 51
youthful but manly 42
youthful but still 52
youthful head today 79
youthful head which 41
youthful new leader 44
youthful poem which 56
youthful poet could 43
youthful poet found 53
youthful poet whose 59
youthful poet would 140
youthful red guard 148
youthful sex appeal 78
youthful son found 40
youthful yet manly 61
yuppies and housing 116
yuppies who would 40
