pacts and covenants of men 45
power and willingness to heal 112
power and willingness to use 103
power being committed to one 67
power can certainly do ten 47
power for compressing the air 68
power for themselves or for 52
power not delegated to them 73
power not possessed by any 56
power that accompany it and 51
power that possessed the boy 41
power was available to them 70
power was committed to him 82
power was committed to them 56
power was conferred on him 203
power was delegated to him 219
power was delegated to them 163
power was dependent on his 66
power was different in its 55
power was entrusted to them 72
power was entrusted to two 59
power was exercised by all 54
power was exercised by him 92
power was exercised by his 193
power was exercised by one 183
power was exercised by this 47
power was exercised by two 63
power was exercised in his 42
power was furnished by two 85
power was inherited by his 60
power was intrusted to him 58
power was intrusted to two 49
power was overthrown in one 44
power was possessed by man 68
power was reflected in his 40
power with reference to its 70
press for criticizing the way 43
press his attentions on her 109
press was abolished so that 467
press was outspoken in its 60
press was protected so that 950
press was unanimous in its 443
price and estimation he had 130
price and production of his 84
price and production of oil 57
price and willingness to pay 97
price for everybody so that 63
price was necessary to get 40
pride and admiration in her 49
pride and admiration in his 54
pride and admiration of all 100
pride and admiration of his 118
pride and arrogance in his 49
pride and arrogance of her 54
pride and arrogance of his 141
pride and arrogance of man 63
pride and arrogance of this 42
pride and exultation by his 50
pride and happiness as she 66
pride and happiness in her 76
pride and happiness in his 113
pride and happiness of his 43
pride and hardihood of his 76
pride and ignorance of that 180
pride and indolence in him 49
pride and insolence of her 50
pride and insolence of his 242
pride and insolence of that 45
pride and loftiness of our 40
pride and obstinacy of his 58
pride and obstinacy of one 68
pride and opposition to god 53
pride and patriotism of our 43
pride and prejudice of his 41
pride and resolution to her 64
pride and stiffness in his 117
pride and vulgarity of her 64
pride was concerned in its 81
pride was flattered by his 99
pride was flattered by this 66
pride was gratified by her 59
pride was mortified at his 59
priory was dedicated to god 65
prize her qualities as one 56
prize was delivered to tom 125
prize was presented to him 56
probing for weaknesses in our 61
proof and intimation of that 69
proof for existence of god 71
proof how negligent he was 77
proof she exhibited on that 60
proof that euripides or his 45
proud and confident in his 74
proud and confident of his 92
proud and confident of our 45
proud and courageous as she 105
proud and dignified in her 72
prove both beneficial to this 63
prove her gratitude to her 57
prove her innocence to her 41
prove his doctrines by not 66
prove his gratitude to his 50
prove his inability to pay 63
prove his innocence by his 42
prove his innocence in this 56
prove his innocence of any 91
prove his innocence to his 59
prove his knighthood by going 52
prove his obedience to god 52
prove his sincerity by his 78
prove how difficult it was 167
prove how necessary it was 52
prove its revolution on its 50
prove our gratitude to god 51
prove that democracy is not 46
prove that necessity is not 108
prove too difficult or too 43
prove too expensive to use 42
pupil and assistant of his 43
pupil and successor as head 76
purse was presented to him 87
pushing his conquests as far 40
putting him instantly to death 76
putting his adversary to death 52
putting his knowledge to use 76
putting his prisoners to death 65
putting his signature to his 43
putting his signature to this 47
putting his telescope to his 180
putting our shoulders to them 89
putting that knowledge to use 178
putting them carefully in his 44
putting them instantly to death 63
putting this knowledge to use 134
