paced were oftenest in his 178
point here stressed is that 109
point very straight to one 164
point worth attention is that 52
poses some problems of its 52
posts were occupied by his 59
posts were occupied by men 136
power among irishmen of all 145
power ever attained by any 42
power from swallowing up all 67
power more despotic by far 108
power went directly to our 90
power were conceded to him 107
prays most seriously to god 51
preach such doctrine as they 48
press very earnestly on all 209
price tags attached to them 342
proof were required of this 91
prove more amenable to his 53
prove more dangerous to her 59
prove more incensed at our 59
prove more nuisance to you 69
prove most dangerous to all 56
prove most nourishing to him 44
prove their identity to each 66
prove very dangerous to him 43
prove very valuable to you 118
proving their readiness to die 43
pupil having listened to him 49
putting great pressure on him 58
putting heavy pressure on him 43
putting into exercise the bow 60
putting into operation of new 164
putting into operation of this 59
putting into operation the new 129
putting into practice an idea 99
putting into practice in his 67
putting into practice of his 92
putting into practice of its 44
putting into practice of that 81
putting into practice of this 316
putting into practice the art 41
putting into practice the idea 176
putting into practice the new 200
putting into practice the old 70
putting into practice the things 126
putting many questions to him 49
putting more distress on one 60
putting more emphasis on its 41
putting more pressure on her 56
putting more pressure on him 99
putting more pressure on them 64
putting some pressure on him 44
putting some questions to him 81
putting their captives to death 59
putting their children in day 107
putting their children to bed 656
putting their children up for 47
putting their prisoner to death 43
putting these questions to you 46
putting your children to bed 42
putting your patience to too 50
