pad is used under the 42
put on hold while the 1371
put on hold while we 124
put on just above the 48
put on other parts of 40
put on some music if 50
put on some music in 41
put on some music or 47
put on some music to 225
put on some water to 468
put on sour looks at 393
put on such plays as 95
put on such terms as 40
put on their backs or 44
put on their backs to 126
put on their coats as 41
put on their coats in 61
put on their coats of 228
put on their coats to 279
put on their guard as 178
put on their guard by 1264
put on their guard in 42
put on their guard the 52
put on their honor to 190
put on their robes in 122
put on their robes of 645
put on their shows in 50
put on these facts by 49
put on these truths of 40
put on these words by 46
put on those parts of 52
put on those robes of 46
put on three coats of 45
put on three pairs of 252
put on trial after the 415
put on trial under the 143
put on young people to 137
put on your plate at 53
put or call option is 92
put or call option on 164
put or other option to 655
put so many holes in 88
put so many irons in 62
put so many miles on 43
put so many people in 266
put so many people on 58
put so many people to 132
put so much focus on 68
put so much money in 269
put so much money on 54
put so much power in 171
put so much stock in 1509
put so much store by 219
put so much store in 125
put so much sugar in 103
put so much trust in 2125
put so much value in 40
put so much value on 286
put so much water in 124
put the arch first in 56
put the army below the 54
put the army under the 103
put the baby jesus in 44
put the baby under the 70
put the baking sheet in 44
put the ball right in 55
put the ball under the 57
put the ball where he 175
put the ball where it 49
put the ball where the 43
put the bell about the 106
put the best gloss he 58
put the best gloss on 245
put the best light on 763
put the best people in 72
put the best people on 77
put the body under the 141
put the bomb under the 63
put the book aside as 40
put the book aside in 47
put the book aside to 110
put the book under my 323
put the book under the 190
put the camp under the 89
put the case under the 46
put the case within the 54
put the cell phone in 132
put the cell phone on 81
put the cell phone to 75
put the city under an 116
put the city under the 139
put the cold water in 60
put the coping stone on 341
put the coping stone to 103
put the dark touch on 46
put the dish under the 48
put the eggs under the 82
put the fine point on 52
put the fire under the 68
put the full blame on 91
put the full breast of 369
put the full force of 1465
put the full power of 194
put the gold piece in 42
put the good people of 40
put the great power of 48
put the hall light on 47
put the hand brake on 68
put the hand holding the 95
put the hand under the 42
put the holy ghost in 61
put the holy water on 47
put the jack under the 85
put the keys under the 94
put the lady first of 47
put the land rover in 92
put the land under the 61
put the last batch of 50
put the last group of 83
put the last nails in 51
put the last ounce of 108
put the last piece in 144
put the last piece of 524
put the last plate in 71
put the last plate on 51
put the last rivet in 40
put the last stone in 85
put the last straw on 56
put the last touch of 178
put the last touch on 128
put the last touch to 1328
put the last words to 68
put the least trust in 66
put the lord first in 184
put the lord jesus to 65
put the main blame on 191
put the main point of 55
put the most money in 71
put the most people to 62
put the next phase of 88
put the next query to 47
put the note under the 82
put the other party at 90
put the other party in 809
put the other party on 433
put the other party to 114
put the other piece of 71
put the other point of 80
put the past where it 200
put the pipe under my 51
put the poor under the 54
put the poor woman to 45
put the pork chops in 50
put the rest under the 52
put the rope round my 116
put the rope round the 184
put the same facts in 72
put the same issue in 52
put the same kinds of 63
put the same label on 64
put the same level of 82
put the same motto at 81
put the same piece of 48
put the same point as 43
put the same point in 4375
put the same point is 108
put the same point of 93
put the same point the 85
put the same point to 114
put the same price on 53
put the same query to 96
put the same reason in 161
put the same trust in 210
put the same under the 40
put the same value on 352
put the same words in 71
put the seed under it 40
put the ship about in 137
put the ship about to 97
put the ship round at 148
put the ship round on 153
put the sick under the 51
put the side rails up 46
put the snow tires on 46
put the soft pedal on 345
put the south under the 54
put the third party on 77
put the true state of 46
put the truth about the 56
put the wife under the 47
put the work under the 71
put the wrong label on 62
put the wrong people in 71
put the young people in 56
put the young woman at 49
put the young woman in 67
put the young woman to 52
put thy feet naked in 53
put to find anything to 99
put to great pains to 44
put to hard labor in 229
put to hard labor on 139
put to keep track of 112
put to know where to 172
put to live under the 42
put to look after the 172
put to make sense of 146
put to open shame by 77
put to open shame in 58
put to rest after the 70
put to rest under the 91
put to rest until the 134
put to such tasks as 63
put to their hands to 239
put to their proof on 67
put to those trials by 53
put to work after the 57
put to work again as 46
put to work again in 91
put to work burying the 77
put to work cleaning the 145
put to work cleaning up 436
put to work clearing the 258
put to work cutting the 44
put to work helping the 90
put to work helping to 66
put to work setting up 57
put to work tending the 67
put to work throwing up 58
put to work turning the 42
put to work under the 1112
put to work until the 93
put to work washing the 49
put to work where it 99
put to work within the 233
put up good money to 44
put up more money or 137
put up more money to 213
put up over night at 71
put up some money in 59
put up some money of 41
put up some money to 328
put up soon after the 133
put up their hands as 191
put up their hands at 59
put up their hands if 117
put up their hands in 321
put up their hands or 72
put up their hands to 509
put up their homes as 125
put up their money on 46
put up their money to 79
put up their share of 129
put up their tents in 119
put up their tents on 137
put up your hands to 77
put up your horse at 124
put up your pipes in 132
put us back under the 46
put us back where we 303
put us upon terms of 73
