pace for near two miles 126
poor old man was stiff 72
poor old man was still 48
poor old man who lived 68
poor old man who stood 46
poor old men and women 661
poor one for any child 71
poor pay and bad working 54
poor pay and long hours 122
poor tom had not burst 45
poor who can not create 45
poor with her own hands 107
poor with his own hands 123
port for all east indian 41
pose for all his timid 79
post both day and night 44
post that did not exist 42
post with his eye fixed 40
post with his own hands 44
pots that are too large 58
pour off all but about 88
pour out all her force 52
pour out his own blood 61
pour out its own quota 50
pray all them that shall 83
pray and ask for mercy 42
pray and read his bible 183
pray both day and night 63
pray for each and every 68
pray for her and would 74
pray for him and bless 206
pray for him that night 61
pray for one who loves 117
pray for our own needs 124
pray for than for yours 88
pray for them and bless 122
pray for them that curse 59
pray for you all every 52
pray for you and write 57
pray for you and yours 471
pray for you each night 81
pray god day and night 53
pray god for her father 42
pray god for his grace 40
pray god his bad voice 106
pray god that this nation 84
pray god that you never 66
pray god they may never 349
pray god you may never 752
pray not for them alone 45
pray not for this people 98
pray pay her her wages 75
pray put that net under 42
pray that each and every 51
pray that god may bless 1574
pray that god may crown 48
pray that god may grant 625
pray that god may guard 61
pray that god may guide 194
pray that god may never 41
pray that god may raise 67
pray that god may spare 147
pray that god our father 84
pray that his old gains 40
pray that his son might 44
pray that our own inner 42
pray that she may never 121
pray that they may never 279
pray that they may prove 57
pray that they may serve 43
pray that you and yours 58
pray that you are happy 44
pray that you are right 249
pray that you may enjoy 1025
pray that you may never 476
pray thee let this child 108
pray with all his might 159
pray with all our hearts 671
pray with all our might 162
pray with and for others 117
pray you day and night 56
pray you let this bearer 60
pray you may not spare 57
pray you own his people 65
pray you that you would 144
prey and that for every 68
prey for its own larvae 126
pros for its own notion 53
pull her off her horse 50
pull him off his horse 400
pull his gun and shoot 190
pull its ears and amuse 48
pull off his wet boots 165
pull them out and start 58
pull with all her might 205
pull with all his force 92
pull with all his might 643
pull with all our might 193
pull with all our power 95
pull you off that horse 41
pulp that had then begun 55
punt all day and every 81
pure air day and night 51
pure and fit for human 44
pure joy hear that which 52
pure law has now taken 41
push him off his throne 59
push them too far apart 42
push with all her might 195
push with all his might 344
push with all our might 122
puts both men and women 130
puts his hat and stick 57
pyre with his own hands 46
