pace towards the door of 68
pity brought me back to 201
plan adopted by some of 89
plan adopted to meet the 116
plan because it will be 46
plan because of lack of 79
plan because the plan is 44
plan beginning to form in 53
plan depends in part on 42
plan himself to meet the 100
plan similar to those in 128
plan similar to those of 239
plan started to form in 94
plan whereby we were to 46
play against the best in 41
play between the ages of 180
play between the teeth of 55
play defense as well as 124
play depicting the life of 161
play depicts the life of 40
play observe the sons of 137
play outside as much as 151
play recalls the fate of 65
play together as much as 115
play together as well as 267
plot against the duke of 128
plot against the life of 7500
plot against the life or 126
plot against the peace of 485
plot enables the hero to 140
plow between the rows of 59
pods similar to those of 67
poems similar to those of 47
poems written as early as 89
poems written by some of 58
poets compare the eyes of 73
poets present as well as 69
poets related the feats of 47
poets superior to those of 42
pole against the side of 203
pony brought the news to 71
pony started to walk in 41
pool outside the bank by 69
poor ability is there in 74
poor according to what he 143
poor account of what is 68
poor account to give of 97
poor against the rich as 170
poor against the rich by 55
poor against the rich in 186
poor against the rich is 158
poor against the rich or 55
poor because of lack of 352
poor because we have no 43
poor between the ages of 51
poor carrots to live on 47
poor charity of coming to 44
poor country in need of 54
poor country is able to 54
poor creature is nothing to 46
poor creature is swung up 44
poor creature the means of 57
poor farmers as well as 128
poor material to work on 44
poor peasants as well as 190
poor peasants to join the 60
poor persons in need of 64
poor position to meet the 45
poor quality as well as 121
poor quality of care in 184
poor quality of data in 50
poor quality of data on 116
poor quality of food in 95
poor quality of land in 53
poor quality of life as 130
poor quality of life at 45
poor quality of life in 551
poor quality of life is 92
poor quality of life of 207
poor quality of life or 94
poor quality of many of 800
poor quality of most of 401
poor quality of much of 997
poor quality of some of 881
poor quality of work in 53
poor quality or lack of 122
poor remains of rome to 47
poor scholar of four or 117
poor sinners to come to 63
poor spinner is made to 45
poor student to have the 95
poor tenants so much as 62
poor vassals to whom the 54
pope assumed the name of 98
pope elected of such an 48
pope happening to pass by 46
port against the will of 41
port numbers as well as 51
post between the fangs of 76
post brought the news of 137
post offices as well as 476
pots similar to those of 44
pour millions of tons of 95
pray because we want to 45
pray observe the turn of 94
prey species as well as 103
prior payment in full of 241
prior question of what is 53
prior question of what it 63
prior question of what the 52
prior research as well as 57
prior surveys the areas of 53
puling apology to make to 104
pull herself up from the 190
pull herself up into the 150
pull herself up onto the 178
pull himself the rest of 43
pull himself up from the 334
pull himself up into the 292
pull himself up onto the 701
pull himself up over the 103
pull himself up when he 47
pull together as much as 67
pull together as well as 48
pull together the work of 202
pull together to help the 46
pull together to make it 135
pull together to make the 238
pull together to meet the 111
pulp chamber as well as 65
pulp chamber by means of 93
puny efforts to make it 77
puny efforts to stop the 48
pure culture by means of 55
pure culture of yeast is 49
pure delight of love by 59
pure fantasy to talk of 70
pure liquids as well as 56
pure machine we must be 82
pure question of fact to 89
pure research as well as 105
pure science as well as 248
pure solvent by means of 75
push against the back of 210
push against the edge of 91
push against the finger so 46
push against the side of 408
push against the wall as 46
push against the wall of 149
push forward as fast as 230
push forward as much as 97
push forward as soon as 205
push forward at once to 70
push forward the line of 40
push forward the task of 56
push forward the work of 1005
push forward the work on 41
push herself up from the 473
push himself to keep up 45
push himself up from the 710
push matters to such an 88
puts forward an ideal of 62
puts forward the case of 71
puts forward the ideal of 111
puts forward the name of 67
puts forward the task of 45
puts forward the theory of 404
puts forward the view of 127
puts himself at once on 87
puts himself at risk of 45
