fan gas 58 fan use 41
for who 56 for who 102
for they 44 for with 95
for than 77 for own 135
for than 80 for own 114
for day 186 for with 50
for them 62 for who 62
for her 57 for man 172
for that 85 for day 43
for any 46 for than 143
for did 121 for his 137
for with 256 for but 47
for day 56 for out 196
for her 44 for them 47
for yet 47 for year 50
for for 164 for for 53
for too 56 for his 56
for they 59 for they 49
for may 502 for they 102
for this 40 for and 118
for and 117 for that 40
for this 275 for and 57
for near 44 for and 82
for and 55 for that 64
for and 226 for and 1131
for and 246 for and 58
for and 114 for and 42
for and 164 for out 56
for and 209 for and 45
for and 63 for and 111
for and 44 for than 43
for and 47 for off 54
for them 238 for and 41
for own 51 for them 40
for and 171 for and 59
for with 73 for and 54
for can 45 for and 74
for and 70 for and 236
for her 43 for him 65
for his 78 for its 51
for this 65 for you 166
for vow 43 for and 48
for and 47 for and 198
for with 72 for that 51
for law 195 for and 51
for and 80 for air 52
for own 97 for dead 139
for day 129 for and 75
for and 47 for them 231
for this 64 for any 81
for his 87 for and 70
for aid 42 for but 43
for and 58 for but 50
for our 71 for and 155
for and 53 for than 45
for than 66 for and 57
for has 102 for eye 47
for for 46 for and 55
for and 73 for who 45
for use 142 for and 96
for own 483 for that 201
for own 55 for not 50
for and 68 for use 80
for and 104 for and 45
for own 117 for and 45
for and 43 for and 72
for and 53 for and 130
for with 47 for day 65
for with 45 for its 65
for out 64 for day 241
for and 52 for and 57
for and 194 for own 98
for and 40 for and 287
for for 86 for and 70
for and 45 for out 47
for him 58 for them 145
for you 293 for own 62
for had 97 for she 46
for they 70 for was 152
for and 98 for and 80
for and 68 for for 60
for and 48 for day 42
for and 53 for out 184
for and 44 for and 78
for and 65 for day 84
for you 290 for for 100
for and 65 for and 109
for path 104 for for 42
for and 72 for and 52
for her 166 for and 131
for and 73 for his 40
for than 288 for and 158
for and 140 for with 69
for day 73 for that 121
for for 53 for than 110
for than 96 for and 51
for than 79 for things 61
for own 95 for out 66
for and 336 for own 95
for own 78 for way 204
for and 107 for and 154
for ten 94 for own 41
for may 97 for men 234
for things 228 for two 6069
for things 116 for two 542
for that 44 for sex 88
for they 48 for was 61
for any 98 for that 130
for and 60 for and 63
for and 76 for that 114
for for 80 for for 220
for out 85 for with 219
for his 94 for tax 99
for out 47 for out 52
for any 74 for due 128
for her 155 for him 371
for his 151 for them 203
for any 42 for his 111
for his 68 for her 77
for him 103 for his 46
for them 95 for her 152
for him 115 for his 639
for its 145 for them 75
for any 247 for her 85
for him 47 for his 183
for its 61 for them 73
for this 178 for use 166
for her 130 for his 333
for its 461 for one 104
for our 139 for that 188
for them 239 for this 186
for with 40 for that 212
for his 132 for for 67
for for 40 for out 42
for her 59 for his 65
for out 45 for her 44
for him 70 for his 70
for how 84 for that 284
for out 226 for and 71
for all 77 for any 196
for due 53 for her 53
for him 42 for his 107
for off 44 for out 77
for them 44 for this 85
for him 53 for them 64
for her 45 for him 65
for for 55 for her 174
for him 186 for that 138
for them 83 for for 40
for out 43 for with 57
for with 47 for and 279
for was 45 for with 4065
for her 60 for own 49
for for 51 for and 53
for than 155 for than 72
for own 89 for and 45
for and 53 for and 189
for and 95 for way 92
for and 52 for with 51
for with 242 for with 60
for with 59 for with 51
for with 65 for one 59
for and 86 for fit 163
for path 53 for way 163
for and 72 for idea 198
for and 77 for and 88
for and 97 for out 52
for one 65 for you 207
for and 70 for for 73
for this 44 for and 50
for that 139 for and 66
for with 70 for that 50
for and 207 for and 65
for for 47 for him 84
for pay 46 for them 82
for with 43 for his 42
for its 69 for this 43
for two 43 for end 281
for and 50 for low 70
for and 48 for was 41
for and 40 for out 43
for his 49 for way 114
for with 48 for way 89
for with 54 for this 666
for with 352 for out 117
for deal 146 for out 1011
for out 117 for out 280
for you 55 for for 111
for out 8097 for off 51
for out 267 for out 133
for out 1302 for out 296
for and 249 for each 580
for god 70 for her 97
for him 105 for his 78
for new 41 for one 692
for them 128 for you 87
for and 81 for and 67
for and 58 for this 301
for and 64 for and 166
for and 63 for than 76
for than 41 for put 53
for are 46 for than 60
for age 160 for own 40
for age 132 for out 44
for out 55 for how 49
for how 82 for for 67
for with 214 for that 115
for and 54 for men 121
for own 47 for than 70
for than 41 for own 43
for way 47 for who 193
for god 58 for and 75
for and 93 for and 58
for him 77 for you 72
for them 60 for and 43
for thee 191 for for 49
for for 42 for and 54
for for 145 for not 92
for and 132 for for 73
for own 42 for and 72
for and 47 for and 57
for own 154 for than 51
for and 42 for and 60
for for 51 for who 50
for and 54 for than 65
for out 66 for new 51
for out 84 for with 78
for with 46 for and 52
for out 94 for this 83
for things 76 for how 114
for this 48 for this 269
for this 47 for out 164
for out 82 for and 525
for and 115 for for 104
for with 78 for this 41
for this 45 for our 61
for things 50 for him 42
for his 55 for our 167
for that 141 for this 1496
for and 67 for her 41
for his 67 for out 77
for out 42 for our 92
for our 52 for how 43
for our 42 for this 97
for our 60 for his 85
for this 85 for and 83
for for 41 for and 54
for and 79 for that 1146
for and 122 for are 62
for area 53 for own 622
for own 76 for and 60
for own 59 for and 42
for and 527 for per 54
for that 89 for and 547
for but 66 for for 88
for may 44 for with 144
for for 375 for way 70
for day 72 for and 99
for out 116 for them 73
for than 64 for one 40
for and 104 for and 57
for and 90 for jew 69
for for 77 for day 95
for out 53 for and 83
for his 46 for him 45
for with 69 for its 49
for its 53 for its 206
for and 61 for war 43
for each 85 for meat 180
for and 373 for him 61
for his 41 for him 63
for and 49 for was 41
for area 68 for was 53
for for 121 for and 46
for and 49 for her 46
for one 48 for that 82
for with 72 for and 141
for her 75 for him 92
for you 86 for and 59
for being 71 for going 53
for and 73 for and 146
for with 46 for and 122
for fit 147 for out 55
for and 69 for dry 46
for going 88 for seal 48
for and 1504 for are 42
for for 189 for than 47
for was 266 for with 106
for off 57 for out 97
for and 49 for and 43
for with 70 for and 71
for out 41 for any 49
for man 80 for and 48
for are 150 for man 46
for and 49 for how 40
for god 104 for and 102
for with 85 for for 57
for and 73 for than 209
for with 89 for off 317
for own 53 for you 40
for day 140 for year 48
for him 40 for and 45
for and 42 for and 114
for own 109 for own 95
for and 40 for for 56
for with 308 for and 40
for with 318 for and 130
for and 69 for with 144
for and 116 for than 52
for than 69 for that 264
for this 42 for and 155
for with 115 for his 49
for that 43 for them 47
for this 125 for you 127
for you 167 for and 69
for how 228 for that 1258
for this 64 for you 290
for with 49 for you 82
for use 60 for with 245
for with 47 for and 44
for with 248 for her 50
for you 49 for with 51
for you 114 for with 85
for this 57 for how 51
for that 469 for with 65
for with 63 for may 409
for long 46 for earth 54
for who 47 for own 93
for than 70 for and 46
for than 276 for than 204
for them 49 for them 50
for and 49 for own 64
for him 42 for that 89
for way 915 for way 74
for own 42 for his 147
for and 54 for and 157
for way 50 for day 6628
for day 488 for than 41
for than 68 for own 50
for with 50 for and 94
for own 41 for and 179
for with 91 for and 43
for and 42 for for 419
for day 58 for way 50
for who 43 for and 48
for who 57 for and 65
for was 53 for and 56
for for 54 for and 95
for and 346 for too 92
for her 84 for than 145
for who 70 for own 61
for cut 61 for than 227
for one 144 for own 52
for for 71 for things 180
for for 68 for and 77
for her 73 for his 104
for out 110 for his 64
for her 74 for him 238
for his 51 for pay 211
for them 143 for with 93
for you 58 for and 80
for for 52 for him 41
for his 94 for them 75
for its 118 for her 44
for his 109 for its 47
for them 40 for her 58
for his 48 for her 57
for him 63 for them 41
for who 166 for him 57
for war 64 for dry 41
for and 40 for than 64
for but 109 for for 1045
for and 2109 for are 222
for but 199 for can 121
for for 196 for had 57
for has 70 for may 175
for that 114 for they 45
for with 743 for and 220
for for 44 for was 62
for with 51 for one 70
for out 161 for any 57
for and 274 for with 88
for and 77 for and 105
for out 87 for with 177
for and 128 for and 47
for who 103 for and 3967
for but 127 for did 125
for each 85 for for 168
for had 80 for now 292
for one 107 for she 196
for that 296 for they 268
for this 75 for was 99
for with 958 for yet 67
for two 260 for two 107
for two 76 for sum 43
for that 109 for any 41
for and 150 for that 94
for and 140 for and 180
for and 172 for and 197
for for 332 for and 45
for and 54 for and 49
for own 44 for and 45
for and 57 for them 74
for they 47 for and 54
for way 46 for own 226
for that 294 for for 45
for for 40 for for 117
for than 44 for being 45
for that 59 for that 91
for mean 108 for not 235
for than 108 for than 47
for own 418 for sex 92
for own 60 for for 144
for that 43 for for 255
for and 749 for out 134
for with 269 for and 80
for them 142 for that 91
for and 107 for out 213
for them 46 for you 55
for him 56 for them 66
for you 115 for and 55
for them 60 for her 99
for him 156 for them 231
for with 42 for you 190
for them 42 for him 248
for them 630 for you 59
for him 41 for and 110
for how 126 for that 509
for who 52 for and 137
for how 62 for and 58
for with 565 for them 41
for you 57 for them 89
for use 139 for you 50
for with 89 for for 68
for out 66 for that 112
for out 73 for and 52
for and 50 for his 63
for that 133 for them 65
for with 85 for him 67
for them 170 for you 150
for that 275 for and 135
for they 91 for out 306
for with 348 for may 44
for day 423 for day 65
for his 85 for area 43
for all 64 for law 42
for being 66 for for 142
for was 55 for and 41
for and 54 for with 51
for and 137 for for 325
for and 159 for and 40
for tax 76 for than 41
for and 258 for who 53
for age 96 for mid 140
for old 95 for own 482
for that 106 for age 115
for area 65 for own 43
for for 55 for and 70
for who 63 for and 76
for who 47 for than 72
for and 188 for and 65
for age 321 for own 555
for sex 49 for way 134
for and 231 for age 236
for own 81 for and 84
for own 108 for way 277
for out 193 for and 72
for for 88 for her 52
for him 112 for them 72
for with 45 for you 110
for for 277 for and 4603
for for 125 for out 1065
for see 43 for who 55
for with 902 for that 134
for out 72 for out 102
for and 49 for that 1818
for they 298 for out 243
for them 89 for and 251
for each 48 for new 60
for out 1471 for that 204
for them 87 for you 260
for and 46 for and 65
for each 41 for him 46
for them 89 for you 209
for and 247 for old 48
for all 69 for and 59
for any 139 for both 73
for fun 146 for had 42
for one 41 for sex 174
for that 117 for them 56
for this 173 for two 85
for each 191 for him 149
for one 88 for out 67
for them 211 for with 96
for you 359 for each 52
for and 67 for him 45
for them 73 for and 52
for each 114 for one 40
for all 47 for and 211
for each 222 for god 54
for him 244 for his 62
for how 525 for one 129
for she 46 for that 2817
for they 94 for this 44
for who 183 for you 119
for and 549 for how 744
for new 215 for that 526
for and 66 for her 66
for him 111 for you 128
for and 1297 for far 44
for for 93 for long 105
for near 225 for out 231
for with 386 for for 507
for out 181 for and 76
for each 173 for god 48
for her 42 for him 44
for one 77 for that 118
for you 63 for and 87
for any 41 for fun 49
for new 43 for that 181
for them 89 for this 62
for use 151 for way 59
for and 1015 for each 214
for one 219 for with 84
for and 67 for out 766
for and 54 for and 67
for out 58 for and 51
for for 80 for and 61
for with 207 for for 202
for out 299 for you 81
for and 79 for and 163
for for 126 for and 96
for him 44 for out 250
for and 40 for you 55
for off 60 for that 113
for them 62 for and 49
for out 94 for and 98
for for 51 for out 349
for with 42 for and 61
for out 130 for with 90
for out 47 for and 419
for using 45 for her 45
for him 71 for off 130
for one 85 for out 215
for them 87 for with 48
for you 51 for and 176
for with 254 for each 60
for him 76 for them 79
for you 187 for and 310
for for 81 for she 70
for that 3001 for they 334
for you 148 for each 87
for and 53 for for 238
for for 103 for and 101
for one 44 for they 105
for this 41 for you 100
for and 482 for for 316
for out 421 for with 1371
for and 43 for and 44
for than 214 for than 90
for and 156 for and 75
for him 41 for and 62
for men 54 for and 55
for than 46 for and 72
for and 77 for with 46
for and 203 for are 179
for that 43 for was 55
for with 98 for and 142
for for 96 for and 48
for for 56 for but 92
for and 112 for and 81
for and 47 for who 68
for own 145 for his 56
for who 78 for own 127
for for 44 for and 78
for for 80 for own 45
for has 107 for being 206
for they 72 for and 41
for this 44 for his 67
for use 93 for that 94
for and 51 for this 154
for and 81 for leg 198
for for 47 for seal 217
for use 45 for and 91
for and 162 for for 149
for for 56 for age 61
for red 84 for sum 145
for and 108 for are 51
for and 53 for end 235
for own 47 for own 71
for and 84 for and 104
for for 60 for own 40
for than 45 for and 49
for and 40 for this 41
for and 52 for and 181
for day 42 for and 47
for for 50 for her 44
for day 42 for and 58
for and 44 for than 92
for than 184 for her 52
for and 44 for and 69
for that 85 for out 136
for out 78 for out 63
for are 54 for his 60
for and 67 for any 44
for man 75 for new 98
for two 76 for out 70
for man 56 for and 49
for and 62 for and 88
for this 51 for and 134
for and 72 for for 73
for that 90 for seal 76
for and 66 for for 77
for and 73 for and 156
for for 217 for all 289
for and 42 for own 600
for own 513 for ten 49
for out 188 for say 178
for that 154 for one 69
for and 42 for and 105
for with 139 for with 42
for and 41 for with 50
for and 71 for and 45
for than 131 for than 125
for own 71 for way 274
for and 67 for and 111
for them 306 for how 51
for for 47 for for 84
for this 64 for you 69
for use 110 for and 44
for and 57 for and 62
for and 548 for but 120
for and 54 for and 133
for own 91 for had 65
for she 60 for they 75
for war 44 for was 113
for rat 103 for has 73
for that 558 for that 85
for did 207 for and 64
for ass 44 for and 41
for with 87 for and 130
for her 68 for him 68
for out 48 for that 327
for who 177 for and 48
for day 47 for than 125
for than 153 for and 107
for and 41 for own 63
for things 74 for things 87
for and 180 for with 49
for for 47 for with 40
for them 53 for and 53
for how 42 for and 74
for with 139 for for 49
for that 157 for and 393
for with 144 for own 50
for with 41 for and 72
for than 454 for than 391
for his 59 for men 114
for that 97 for and 56
for and 145 for that 52
for with 130 for and 110
for who 164 for and 43
for own 301 for own 46
for year 48 for who 117
for and 42 for and 56
for with 77 for going 43
for this 89 for things 60
for you 90 for and 48
for own 118 for them 62
for that 121 for things 67
for than 80 for and 93
for and 105 for and 136
for and 44 for and 92
for and 114 for and 61
for men 45 for things 172
for she 41 for you 452
for old 51 for that 91
for and 565 for than 82
for that 148 for was 141
for who 65 for they 68
for you 57 for and 245
for one 346 for two 132
for than 362 for than 284
for one 62 for and 95
for with 67 for and 76
for and 248 for are 72
for both 88 for with 40
for that 47 for and 56
for out 42 for own 113
for not 45 for but 87
for things 66 for things 112
for things 56 for had 86
for she 55 for own 41
for him 65 for that 87
for his 72 for how 41
for that 583 for this 49
for that 117 for not 71
for they 41 for things 50
for with 43 for not 101
for was 151 for was 56
for was 147 for was 127
for men 49 for may 59
for age 50 for and 40
for may 228 for was 104
for was 51 for end 43
for was 40 for was 50
for lay 91 for can 55
for was 40 for did 47
for and 50 for was 78
for man 97 for was 120
for was 102 for man 44
for men 113 for had 207
for not 247 for that 299
for our 85 for not 51
for all 54 for but 40
for not 101 for lot 120
for and 141 for and 232
for day 78 for than 67
for and 62 for and 559
for has 59 for that 49
for them 63 for you 46
for with 51 for than 156
for than 137 for and 48
for was 49 for and 51
for and 47 for and 63
for with 42 for than 65
for men 62 for that 67
for this 75 for with 442
for than 49 for and 193
for and 118 for than 174
for than 157 for who 59
for for 50 for men 80
for and 52 for per 52
for that 50 for this 59
for that 123 for and 63
for man 72 for and 56
for than 82 for and 57
for and 55 for and 59
for and 208 for and 64
for and 146 for and 118
for few 80 for day 48
for end 166 for and 254
for out 100 for and 217
for out 61 for that 41
for and 152 for how 90
for new 68 for and 59
for and 98 for with 665
for any 67 for day 43
for and 75 for and 57
for own 161 for than 88
for than 119 for and 42
for two 74 for for 103
for for 44 for out 42
for him 41 for out 155
for her 48 for her 72
for his 78 for sex 87
for her 60 for him 83
for you 114 for his 54
for her 220 for him 93
for his 170 for out 136
for them 55 for this 70
for you 104 for her 81
for him 147 for his 47
for you 73 for her 42
for all 83 for and 41
for her 48 for how 224
for this 54 for too 43
for who 83 for why 75
for her 91 for him 51
for his 74 for this 48
for and 65 for with 84
for his 42 for things 50
for this 143 for you 48
for him 62 for with 136
for you 54 for out 63
for with 77 for off 64
for with 78 for out 128
for with 109 for her 86
for his 63 for this 47
for with 126 for for 232
for with 264 for and 47
for and 96 for and 230
for and 143 for and 89
for and 75 for and 190
for and 116 for with 62
for and 71 for than 145
for way 44 for his 44
for and 46 for for 62
for out 178 for his 124
for its 77 for out 242
for out 103 for out 46
for its 70 for her 109
for his 396 for with 86
for own 45 for and 60
for but 89 for for 707
for and 136 for with 65
for out 207 for them 90
for any 144 for one 45
for are 53 for and 44
for things 240 for for 152
for going 143 for one 5480
for six 48 for ten 66
for two 2504 for and 48
for did 87 for had 200
for has 109 for was 157
for won 69 for and 51
for for 63 for this 43
for them 163 for and 41
for has 120 for out 197
for was 88 for his 55
for not 48 for and 148
for was 167 for does 104
for his 111 for had 59
for sat 94 for all 54
for and 96 for any 68
for both 43 for his 192
for ill 54 for that 803
for too 46 for all 47
for her 421 for him 739
for his 2927 for one 56
for our 63 for them 837
for this 156 for two 51
for you 64 for his 67
for his 222 for out 60
for that 62 for them 59
for this 51 for his 71
for his 72 for not 94
for she 63 for that 476
for they 47 for out 45
for his 188 for now 91
for and 108 for his 564
for all 119 for her 55
for him 97 for his 582
for off 65 for them 419
for this 50 for two 47
for use 230 for way 52
for than 184 for ask 126
for bear 154 for die 112
for get 56 for long 53
for not 82 for now 137
for one 46 for pay 1203
for read 41 for then 58
for not 276 for had 81
for got 51 for and 64
for but 73 for dear 62
for her 225 for him 363
for his 247 for one 955
for out 262 for six 388
for ten 209 for them 316
for two 869 for with 781
for him 60 for his 89
for one 189 for ten 52
for them 41 for two 209
for with 180 for that 261
for that 180 for him 67
for his 111 for out 134
for them 63 for out 120
for his 264 for his 537
for them 87 for him 79
for all 43 for his 173
for out 1138 for two 87
for his 224 for them 102
for his 99 for them 107
for this 85 for out 156
for ask 47 for die 97
for get 249 for long 155
for not 1042 for now 72
for one 40 for pay 688
for then 65 for use 74
for they 79 for way 42
for they 49 for than 279
for than 48 for for 60
for out 71 for had 40
for has 56 for and 52
for all 74 for not 115
for now 52 for pay 337
for not 71 for was 49
for act 51 for bring 175
for get 40 for not 657
for one 43 for pay 213
for then 50 for use 50
for are 43 for had 87
for has 99 for was 144
for had 97 for was 76
for had 63 for had 82
for had 207 for has 68
for was 138 for and 148
for had 56 for and 82
for was 68 for has 88
for can 63 for had 125
for has 303 for was 192
for are 1431 for was 107
for can 50 for had 46
for has 67 for was 106
for are 180 for tax 104
for and 115 for than 319
for are 148 for than 331
for can 71 for had 52
for has 256 for was 89
for can 471 for end 104
for fee 215 for man 67
for plea 77 for than 51
for use 158 for had 42
for pro 120 for has 48
for was 173 for can 98
for was 88 for can 214
for has 61 for was 90
for was 109 for things 69
for two 240 for are 301
for had 977 for men 480
for can 83 for dear 58
for had 469 for has 270
for was 304 for has 49
for are 47 for had 70
for are 46 for and 139
for had 458 for has 117
for was 667 for are 60
for are 64 for gap 48
for was 74 for can 59
for had 230 for has 507
for may 82 for was 717
for was 65 for was 254
for rang 72 for was 84
for and 148 for fit 126
for men 92 for that 167
for had 45 for has 130
for was 830 for was 167
for and 42 for can 94
for has 371 for was 249
for had 70 for can 44
for was 729 for had 60
for has 173 for was 1183
for and 47 for are 86
for had 75 for was 71
for was 109 for was 84
for was 63 for are 42
for for 51 for has 124
for was 213 for has 94
for was 93 for was 40
for has 87 for and 133
for can 58 for had 565
for has 631 for may 211
for was 2280 for air 45
for had 46 for was 415
for was 69 for has 67
for was 129 for war 53
for was 138 for and 54
for can 57 for has 58
for per 148 for was 182
for had 52 for was 58
for was 128 for and 50
for are 6679 for can 170
for for 137 for had 80
for has 112 for may 139
for set 189 for was 674
for and 42 for was 58
for had 51 for has 132
for was 754 for was 184
for was 46 for can 48
for had 55 for has 394
for may 91 for was 1400
for are 56 for and 62
for had 272 for was 181
for had 156 for has 67
for was 94 for had 53
for are 171 for that 265
for was 71 for and 118
for was 91 for was 123
for was 98 for and 87
for are 304 for was 93
for has 75 for was 413
for did 77 for was 196
for are 94 for can 146
for does 69 for had 212
for has 601 for may 66
for was 547 for and 47
for was 116 for and 117
for was 75 for was 168
for was 44 for was 83
for had 47 for has 199
for may 159 for was 1227
for was 122 for has 120
for tax 61 for was 218
for had 69 for was 147
for was 49 for are 67
for had 82 for was 70
for and 47 for god 63
for man 101 for and 62
for god 55 for war 213
for was 165 for was 48
for can 41 for has 118
for was 55 for was 43
for see 159 for and 48
for was 159 for has 71
for was 46 for has 50
for was 57 for gas 78
for and 54 for can 48
for has 61 for was 220
for are 254 for had 284
for are 61 for was 63
for had 42 for was 74
for was 113 for was 89
for and 79 for can 57
for had 274 for has 329
for may 272 for was 3130
for day 101 for few 59
for two 115 for and 75
for are 141 for had 50
for has 103 for may 233
for was 564 for was 63
for and 63 for are 40
for and 51 for has 47
for was 98 for was 150
for was 176 for was 42
for has 40 for was 163
for are 65 for was 346
for was 44 for had 75
for has 190 for may 52
for was 2413 for did 47
for god 180 for had 288
for has 323 for hath 141
for was 84 for was 265
for sex 45 for are 83
for has 123 for was 196
for and 56 for was 88
for and 60 for are 383
for are 99 for was 57
for was 45 for can 66
for has 223 for was 116
for has 48 for was 40
for has 122 for far 170
