far that 45 far was 44
for them 50 for for 226
for two 1880 for year 759
for earn 41 for not 45
for death 1792 for one 100
for six 142 for ten 63
for two 94 for two 2237
for mean 49 for one 129
for real 53 for six 146
for two 594 for lead 40
for this 57 for cry 566
for lean 138 for this 48
for one 123 for this 360
for art 55 for law 87
for our 43 for any 54
for her 50 for his 681
for its 40 for that 81
for this 334 for two 91
for men 47 for this 41
for this 57 for deal 108
for this 55 for two 43
for that 116 for his 45
for real 49 for they 62
for you 80 for two 122
for her 46 for this 54
for for 40 for his 55
for this 84 for all 240
for both 85 for his 48
for this 104 for his 47
for pay 86 for use 71
for get 73 for say 45
for this 55 for this 93
for ask 60 for deal 47
for say 62 for see 47
for try 44 for use 87
for one 200 for all 331
for any 93 for his 218
for its 50 for real 150
for that 64 for this 163
for that 121 for any 86
for his 122 for new 83
for one 102 for san 41
for that 85 for this 74
for get 63 for see 42
for all 40 for this 795
for his 56 for try 48
for all 47 for one 117
for war 43 for bring 53
for his 56 for his 81
for get 124 for had 63
for was 52 for you 42
for was 158 for one 62
for age 74 for all 61
for hear 63 for see 184
for ask 48 for see 59
for one 74 for are 41
for let 79 for but 53
for they 93 for then 51
for was 49 for one 58
for was 162 for own 42
for long 64 for rag 128
for him 88 for was 160
for was 83 for his 49
