vaccinated by a medical 54
vulnerable to a problem 48
vulnerable to a process 101
vulnerable to a relapse 75
vulnerable to a renewed 123
vulnerable to a setback 42
vulnerable to a similar 389
vulnerable to a stranger 45
vulnerable to a surface 74
vulnerable to a takeover 2038
vulnerable to a thousand 107
vulnerable to a variety 3217
