vacates your noble shoes 46
village many miles away 122
village many miles from 94
village nine miles away 78
village nine miles from 273
village nine miles north 152
village nine miles south 128
village once stood here 45
village some miles away 1365
village some miles from 544
village some miles north 61
village some miles south 146
village soon after their 77
village there would have 57
village three hours away 40
village three hours from 68
village three miles away 662
village three miles down 122
village three miles from 1465
village three miles north 572
village three miles south 530
village three miles west 105
village went about their 48
village were burnt down 110
village were running hand 194
village were shining from 76
village were sitting there 40
village were taken away 60
village were thrown into 164
violated even though there 43
violated some legal duty 48
violated these rules were 71
violated time after time 43
violence among human beings 147
violence among urban sixth 50
violence among urban youth 61
violence during prime time 57
violence from either side 117
violence from which there 99
violence from within their 41
violence have never been 117
violence have often been 183
violence have ranged from 48
violence into which their 77
violence took place during 146
violence took place when 73
violence were found upon 145
virgins were thrown into 49
virtual time lived during 46
virtual veto power over 1129
virtues have grown into 116
virtues have never been 150
virtues have often been 55
virtues these trials have 49
virtues very easily fall 133
virtues were known only 52
virtues were never more 291
viruses gain entry into 91
viruses have never been 130
viruses have often been 42
viruses have since been 176
viscous drag force acting 107
visible amid driving mist 56
visible card index file 51
visible five miles away 84
visible form might have 45
visible from above when 51
visible from either side 236
visible from every angle 205
visible from every other 85
visible from every part 878
visible from every room 74
visible from every side 301
visible from miles away 1751
visible link which love 84
visible many miles away 168
visible only after some 65
visible only under high 296
visible only under very 50
visible over large areas 74
visible paths within very 47
visible rome might pass 48
visible three miles away 60
visible upon every face 107
visited camp after camp 42
visited city after city 80
visited four times during 41
visited from thence many 55
visited home after home 42
visited many times during 159
visited many times over 162
visited once every three 94
visited room after room 40
visited shop after shop 113
visited those people when 58
visited three times during 106
visited town after town 71
visited upon human beings 85
visitor bore every mark 211
visitor here thinks very 67
visitor will carry back 70
visitor will often find 52
vitreous orbs shoot forth 40
vividly seeing again these 87
volcano were breaking forth 41
volcano will burst forth 42
volleys were fired from 216
volleys were fired into 224
volleys were fired over 1149
voltage drop under load 185
voltage drop which will 89
voltage drop would have 41
voltage will change from 63
voltage will occur when 68
volumes from which nothing 88
volumes from which these 94
volumes have found their 48
volumes have never been 224
volumes have since been 314
volumes were added during 76
volumes were drawn from 59
volumes were missing from 47
volumes were ranged flat 43
volumes were taken from 140
vomited three times during 44
voucher plan would have 63
voyages were often made 57
