vacillating perceptions of duty 59
voluntary repatriation of those 58
voluntary repatriation to their 66
voluntary resignation of their 194
voluntary restraints on their 51
voluntary restriction of food 199
voluntary restriction of their 106
voluntary settlement of their 97
voluntary termination of life 303
volunteer activities as well 132
volunteer activities in their 162
volunteer information on their 193
