icon appears throughout the 109
into fields unrelated to 41
into fierce opposition to 50
into fierce political or 44
into fighting dimensions as 118
into forced vibrations by 74
into formal existence at 61
into formal existence in 360
into formal existence on 230
into formal opposition to 41
into formal possession of 106
into formal statement the 51
into french indochina in 86
into french territory as 55
into french territory at 75
into french territory by 40
into french territory in 127
into french territory on 41
into french territory to 116
into fuller discussion of 57
into fuller knowledge of 103
into fuller possession of 115
into fuller realization of 40
into further dimensions of 47
into further discussion of 584
into further discussion on 114
into further disrepute by 53
into further paroxysms of 73
into german possession in 41
into german territory at 95
into german territory by 80
into german territory in 206
into german territory of 53
into german territory on 74
into german territory the 44
into german territory to 115
into granting permission to 55
into greater awareness of 321
into greater influence in 55
into greater knowledge of 63
into greater production of 43
into greater proximity to 92
into groups analogous to 45
into groups dependent on 51
into groups separated by 198
into hideous lineaments of 135
into higher compounds of 41
into higher dimensions of 104
into higher latitudes in 72
into higher latitudes the 76
into higher standards of 307
into hollow cylinders of 43
into iranian territory in 44
into issues surrounding the 108
into itself qualities of 44
into keener awareness of 55
into larger complexes of 61
into larger molecules of 58
into larger particles by 89
into larger particles of 44
into larger particles or 63
into larger processes of 43
into lawful possession of 138
into little companies of 88
into little companies or 55
into little fragments of 185
into little particles of 147
into market economies is 53
into mental hospitals by 55
into mental hospitals in 66
into mental hospitals or 45
into mental processes of 67
into middle tennessee by 41
into middle tennessee in 50
into middle tennessee to 123
into mighty fragments of 174
into minute criticism of 75
into minute fragments by 86
into minute fragments of 60
into minute particles by 116
into minute particles of 199
into minute particles or 50
into minute particles so 41
into morbid quickness by 114
into muslim territory in 52
into mutual proximity by 54
into native barbarism or 49
into normal conditions of 60
into office committed to 294
into panels separated by 43
into persian territory in 64
into persian territory to 58
into places difficult of 62
into plasma membranes of 98
into pledging allegiance to 43
into police brutality in 46
into police corruption in 230
into polish territory in 53
into polish territory on 54
into polish territory to 50
into powers exercised by 46
into prison conditions in 58
into proper alignment by 54
into proper obedience to 169
into proper subjection to 67
into public attitudes to 123
into public awareness as 112
into public awareness by 78
into public awareness in 208
into public awareness of 44
into public awareness the 63
into public companies in 48
into public criticism of 74
into public discourse as 240
into public discourse by 75
into public discourse in 204
into public discourse is 53
into public discourse of 58
into public discourse on 73
into public discourse the 83
into public discussion as 85
into public discussion by 67
into public discussion in 140
into public discussion of 227
into public discussion on 61
into public discussion the 111
into public documents the 44
into public estimation by 49
into public opposition to 62
into public ownership as 227
into public ownership at 58
into public ownership by 232
into public ownership in 537
into public ownership is 70
into public ownership it 45
into public ownership of 193
into public ownership on 74
into public ownership or 212
into public ownership the 206
into public ownership to 75
into public workshops or 42
into regions dominated by 90
into regions inhabited by 165
into regions separated by 85
into regions untouched by 47
into remote captivity on 130
into remote countries to 44
into remote districts of 109
into remote provinces of 73
into richer fertility the 56
into russian territory as 44
into russian territory by 77
into russian territory in 198
into russian territory on 63
into russian territory to 103
into school curricula as 94
into school curricula in 113
into school curricula is 48
into school districts as 137
into school districts by 59
into school districts in 101
into school districts of 123
into school districts to 58
into secret societies in 56
into secret societies of 48
into secret societies or 86
into secret societies to 40
into secure possession of 114
into series production in 174
into serious discussion of 144
into serious disrepute in 40
into serious obstacles in 52
into serious opposition in 60
into serious opposition to 74
into serious reflection on 51
into silent admiration of 44
into silent obedience to 41
into simple molecules of 47
into simple sentences by 140
into sodium carbonate by 151
into something analogous to 439
into something approaching an 455
into something approaching the 722
into something approaching to 456
into something beneficial to 43
into something dependent on 42
into something different as 140
into something different at 60
into something different by 180
into something different in 294
into something different or 86
into something different to 45
into something offensive to 43
into something patterned on 337
into something perceived as 46
into something possessed of 47
into soviet territory as 53
into soviet territory at 80
into soviet territory by 75
into soviet territory in 224
into soviet territory is 65
into soviet territory on 69
into soviet territory to 93
into states analogous to 52
into strange countries or 58
into strange countries to 47
into strict obedience to 56
into sudden awareness of 68
into sudden existence in 51
into sudden knowledge of 45
into sudden notoriety by 49
into sudden paroxysms of 51
into sudden possession of 89
into tender curvature by 64
into therapy complaining of 47
into thermal vibrations of 43
into tissue surrounding the 97
into tokens separated by 58
into twelve districts in 92
into twelve districts or 80
into twenty companies of 78
into twenty districts or 42
into twenty provinces or 45
into utmost corruption by 42
into values expressed in 125
into various attitudes of 43
into various conditions of 145
into various countries in 101
into various countries of 178
into various countries to 80
into various dimensions of 219
into various districts of 114
into various perfection by 51
into various provinces of 113
into various situations in 45
into violent hysterics in 52
into violent opposition to 606
into violent outbursts of 70
into violent paroxysms of 112
into virgin territory in 68
into virgin territory to 51
into volume production in 69
into volume production of 49
into without knowledge of 715
into without prejudice to 56
into without reference to 83
into zealous adherents of 41
iron arrange themselves in 52
iron became available in 91
iron oxides contained in 158
iron plates connected by 103
iron plates separated by 98
iron plates supported by 43
iron plates supported on 53
iron points reflected the 42
iron railings surrounding the 263
iron spiral staircase in 111
iron spiral staircase to 232
item measure developed by 228
item should represent the 57
item without reference to 48
