ill effects brought about 62
its present parlous state 98
its present perfect state 248
its present position about 270
its present position above 123
its present position after 778
its present position beneath 47
its present position could 51
its present position either 84
its present position seems 43
its present position since 316
its present position under 158
its present position until 371
its present position where 129
its present position which 71
its present position while 45
its present position within 162
its present position would 160
its present reduced price 53
its present reduced state 194
its present regular motion 114
its present ruinous state 354
its present southern limit 76
its present swollen state 80
its present unhappy state 94
its present useless state 42
its present weakened state 47
its presiding officer until 45
its previous highest level 45
its previous maximum value 53
its previous position after 86
its previous position under 42
its primary concern would 40
its primary function seems 78
its primary function which 62
its primary function within 46
its primary function would 218
its primary purpose seems 57
its primary purpose which 91
its primary purpose would 166
its printed catalog cards 128
its printed circuit board 121
its process control block 127
its protest against social 42
its rapidly revolving world 51
its receipt brought within 116
its related balance sheet 51
its revolving flashes touch 64
its roughly boarded walls 47
its salient features which 41
its salient features would 52
its seemingly endless array 40
its several hundred pages 72
its several members would 65
its several natural props 71
its several organic parts 84
its socially optimal level 419
its southern pacific stock 93
its spacious private homes 105
its sparingly soluble salts 56
its sparkling january heaven 77
its steeply pitched roofs 75
its stomach several small 50
its superior resolving power 77
its supreme central parts 53
its supreme coercive power 102
its supreme judicial court 77
its surface becomes brown 49
its surface becomes rough 82
its surface becomes smooth 85
its surface grammar would 73
its surface gravity about 46
its surface remains smooth 50
its surface several times 53
its triplet excited state 52
its tumbled surface seeming 91
its twisted corolla opens 52
its ulterior effects might 41
its upright position after 44
its variable operating costs 76
its violence against women 61
its virtual address space 434
its warfare against either 43
its windows painted black 66
