iceberg and sank with 144
imagery and meaning are 47
imagery and those who 64
imagery but also for 43
imagery can help you 160
imagery ere from its 75
imagery for health and 92
imagery for land use 64
imagery for more than 40
imagery for their own 109
imagery has been that 41
imagery has lost its 43
imagery may have had 59
imagery was used for 90
imagine all said that 53
imagine all these things 400
imagine all those things 63
imagine all those who 60
imagine and dream and 40
imagine and feel that 139
imagine and feel things 67
imagine and hope for 157
imagine and hope that 190
imagine and plan for 117
imagine and some you 72
imagine and their weak 43
imagine and think and 51
imagine and what they 67
imagine and work for 93
imagine and work out 41
imagine any more than 56
imagine any other man 173
imagine any other than 224
imagine any other use 77
imagine any other way 1492
imagine any sane man 53
imagine any test that 45
imagine any theory that 89
imagine any word with 96
imagine any work that 46
imagine any young man 45
imagine being other than 42
imagine being told that 276
imagine but those who 86
imagine doing away with 59
imagine doing what you 69
imagine far more than 95
imagine for those who 149
imagine has been not 71
imagine her ever being 151
imagine her having any 93
imagine her life with 53
imagine her other than 62
imagine her saying that 174
imagine him dealing with 46
imagine him during this 41
imagine him ever being 219
imagine him ever doing 41
imagine him giving his 50
imagine him having any 118
imagine him like that 75
imagine him losing his 66
imagine him making his 50
imagine him other than 103
imagine him saying that 408
imagine him saying this 46
imagine him saying with 71
imagine him taking any 59
imagine him taking his 76
imagine him taking off 46
imagine his ever being 197
imagine his life and 45
imagine his wife and 74
imagine how angry and 56
imagine how angry she 55
imagine how angry you 54
imagine how busy you 178
imagine how cold and 64
imagine how deep and 82
imagine how dull and 62
imagine how else they 67
imagine how fast and 43
imagine how fast they 50
imagine how glad she 60
imagine how glad they 75
imagine how good and 47
imagine how good she 42
imagine how good that 269
imagine how good they 117
imagine how good this 70
imagine how good you 134
imagine how great and 63
imagine how great his 51
imagine how great our 72
imagine how great that 147
imagine how great this 61
imagine how great was 493
imagine how great you 101
imagine how hard and 195
imagine how hard she 42
imagine how hard that 642
imagine how hard they 71
imagine how hard this 339
imagine how hard you 57
imagine how hurt and 54
imagine how kind and 71
imagine how kind they 40
imagine how life was 76
imagine how like being 78
imagine how many are 83
imagine how many men 116
imagine how many new 60
imagine how many things 225
imagine how more than 53
imagine how much all 176
imagine how much and 48
imagine how much can 43
imagine how much fun 599
imagine how much god 50
imagine how much had 59
imagine how much has 45
imagine how much her 94
imagine how much his 114
imagine how much joy 86
imagine how much one 116
imagine how much our 125
imagine how much she 446
imagine how much that 1318
imagine how much they 859
imagine how much this 1016
imagine how much was 68
imagine how much you 1028
imagine how nice and 43
imagine how rich and 54
imagine how slow and 72
imagine how such men 43
imagine how such things 105
imagine how their own 48
imagine how there can 183
imagine how these men 94
imagine how these new 40
imagine how these things 114
imagine how these two 216
imagine how those two 104
imagine how those who 210
imagine how well she 45
imagine how well that 496
imagine how well they 128
imagine how well this 80
imagine how well you 76
imagine how your own 62
imagine its ever being 133
imagine may give you 58
imagine new uses for 47
imagine not having any 71
imagine not having had 46
imagine not having her 174
imagine not having him 132
imagine not having one 41
imagine not having that 112
imagine not having them 108
imagine not having this 51
imagine not having you 113
imagine not less than 90
imagine not only how 83
imagine not only that 496
imagine not seeing her 82
imagine not seeing him 63
imagine not seeing you 53
imagine now what had 61
imagine one need not 100
imagine she will not 151
imagine she will set 47
imagine ten years ago 98
imagine that adam and 48
imagine that adam was 42
imagine that along with 66
imagine that among all 63
imagine that among his 41
imagine that among them 98
imagine that cain was 74
imagine that during all 64
imagine that during his 98
imagine that during our 49
imagine that during that 58
imagine that during this 225
imagine that even for 50
imagine that even her 68
imagine that even his 93
imagine that even now 76
imagine that even one 190
imagine that even then 104
imagine that even this 176
imagine that even with 128
imagine that even you 48
imagine that filth and 112
imagine that from his 69
imagine that from now 55
imagine that from that 57
imagine that from this 187
imagine that goethe was 52
imagine that gold and 50
imagine that good and 95
imagine that health and 59
imagine that here and 43
imagine that here was 164
imagine that india can 52
imagine that jews are 41
imagine that john and 43
imagine that john was 80
imagine that just one 41
imagine that just this 121
imagine that land may 60
imagine that less than 204
imagine that life can 106
imagine that life for 47
imagine that life has 58
imagine that life was 166
imagine that love and 93
imagine that love has 60
imagine that love was 80
imagine that many are 43
imagine that many men 51
imagine that many things 76
imagine that many who 61
imagine that mary was 73
imagine that more and 86
imagine that more than 922
imagine that most men 73
imagine that much has 343
imagine that none but 143
imagine that nothing but 218
imagine that nothing can 286
imagine that nothing had 144
imagine that nothing has 103
imagine that nothing was 171
imagine that once she 51
imagine that once they 144
imagine that once this 118
imagine that once you 99
imagine that only one 403
imagine that only two 130
imagine that other men 130
imagine that other things 117
imagine that paul had 55
imagine that paul was 98
imagine that peace and 42
imagine that some are 43
imagine that some day 931
imagine that some few 49
imagine that some may 128
imagine that some men 66
imagine that some new 126
imagine that some one 948
imagine that some things 120
imagine that some who 40
imagine that such and 173
imagine that such mad 85
imagine that such men 500
imagine that such things 970
imagine that such was 287
imagine that their art 105
imagine that their being 41
imagine that their big 48
imagine that their head 44
imagine that their old 59
imagine that their own 689
imagine that their son 40
imagine that their way 50
imagine that there are 10112
imagine that there can 1803
imagine that there had 683
imagine that there has 571
imagine that there may 1154
imagine that there was 10538
imagine that these and 135
imagine that these are 1543
imagine that these can 86
imagine that these few 60
imagine that these men 528
imagine that these new 120
imagine that these things 548
imagine that these two 2389
imagine that those are 64
imagine that those few 41
imagine that those men 77
imagine that those things 67
imagine that those two 141
imagine that those who 3286
imagine that those with 54
imagine that time and 63
imagine that time had 71
imagine that time has 72
imagine that time was 85
imagine that truth and 45
imagine that very few 526
imagine that what can 47
imagine that what had 96
imagine that what has 335
imagine that what one 109
imagine that what she 149
imagine that what they 813
imagine that what was 369
imagine that what you 450
imagine that when all 136
imagine that when god 281
imagine that when her 112
imagine that when his 87
imagine that when men 49
imagine that when one 341
imagine that when our 78
imagine that when she 317
imagine that when that 189
imagine that when they 821
imagine that when this 213
imagine that when two 56
imagine that when you 986
imagine that will not 56
imagine that young man 133
imagine that young men 96
imagine that your arm 66
imagine that your car 50
imagine that your head 122
imagine that your new 55
imagine that your old 48
imagine that your own 288
imagine that your son 83
imagine them ever being 118
imagine them having any 42
imagine them having sex 56
imagine them other than 60
imagine them when they 86
imagine they came off 56
imagine they have all 109
imagine they have any 116
imagine they have got 77
imagine they have had 97
imagine they have not 162
imagine they know all 112
imagine they know not 102
imagine they like them 41
imagine they love god 55
imagine they must get 40
imagine they were all 702
imagine they were any 40
imagine they were being 90
imagine they were both 43
imagine they were doing 79
imagine they were going 247
imagine they were his 45
imagine they were low 40
imagine they were not 426
imagine they were read 51
imagine they will all 148
imagine they will get 101
imagine they will not 524
imagine they will say 61
imagine things into this 66
imagine things like that 522
imagine things like this 64
imagine things other than 59
imagine this will not 97
imagine this young man 140
imagine who have not 107
imagine who told you 74
imagine why else you 56
imagine why there was 84
imagine with what ease 146
imagine with what joy 874
imagine with what zeal 208
imagine you ever being 201
imagine you ever doing 52
imagine you have all 71
imagine you have any 301
imagine you have got 127
imagine you have had 216
imagine you have long 42
imagine you have not 449
imagine you have now 59
imagine you have one 56
imagine you have read 54
imagine you have too 41
imagine you have two 87
imagine you have with 41
imagine you have yet 44
imagine you having any 42
imagine you know all 138
imagine you know how 100
imagine you know that 636
imagine you know who 45
imagine you know why 115
imagine you like that 85
imagine you reading this 53
imagine you think that 119
imagine you think you 41
imagine you were doing 47
imagine you were going 161
imagine you were not 182
imagine you were one 119
imagine you will get 148
imagine you will not 857
imagine you will say 58
imagine you will see 115
imagine you work for 50
imagining all these things 81
imagining and acting out 97
imagining any other way 52
imagining each time that 42
imagining had been put 167
imagining how much fun 52
imagining how very fat 56
imagining that nothing but 52
imagining that nothing was 70
imagining that only one 52
imagining that some day 54
imagining that some one 250
imagining that their own 110
imagining that there are 482
imagining that there can 174
imagining that there had 50
imagining that there may 99
imagining that there was 1509
imagining that these are 106
imagining that these things 62
imagining that these two 65
imagining that those who 161
imagining that time had 68
imagining that what they 235
imagining that what was 187
imagining that when they 134
imagining that your own 108
imagining they were all 44
imagining they were being 45
imagining they were going 71
imagining things like that 182
imagining things when she 88
imagining things when they 40
imagining too much and 68
imbibed his love for 159
imbibed that love for 96
imbibed too much and 112
imitate all these things 43
imitate and copy him 46
imitate and envy one 41
imitate and obey him 182
imitate any kind and 43
imitate but those who 52
imitate each other and 757
imitate each other for 45
imitate each other with 120
imitate goes along with 115
imitate her when she 46
imitate him whom they 43
imitate his faith and 52
imitate his life and 301
imitate his walk and 67
imitate its airs and 40
imitate our lord and 121
imitate that great man 53
imitate them like men 40
imitate them when they 144
imitate this book are 81
imitate with drum and 72
imitate you when you 76
imitating each other and 96
imitating his tone and 49
imitating his walk and 72
immense and more than 40
immense and there are 52
immense and there was 51
immense and very old 59
immense for those who 45
immense sum into our 51
immense that there was 105
immoral and those who 121
immoral and will not 50
immoral any more than 59
immoral for those who 46
immoral had been his 95
immoral man among them 48
impacts and land use 46
impacts are dealt with 99
impacts are less than 79
impacts are more than 41
impacts are those that 376
impacts per unit area 147
impacts than those that 83
impacts that have not 82
impacts that were not 155
impacts they have had 160
impairing her health and 60
impairing his health and 115
impaled and shot with 74
impaled his arms with 48
impaled with their own 62
imparting new life and 91
imparting our ideas had 43
imparts new life and 99
imparts new zest for 47
imparts one push and 40
impasse was such that 48
impeded each other that 154
impeded for more than 45
impeded his work and 49
imperil his life and 77
imperil his life for 121
imperil not only his 42
impetus and means for 95
impetus for dealing with 62
impetus for making this 46
impetus for more and 60
impetus for more than 58
impetus for their own 186
impetus for their use 101
impetus for these new 156
impetus for those who 123
impetus for what has 83
impetus for what was 150
impetus had gone out 85
impetus her mind had 69
impetus not only for 346
impetus was lost and 67
impetus was such that 78
impiety that ever was 42
implant and bone and 43
implant and bone was 46
implant and hearing aid 111
implant was used for 110
implied all along that 61
implied and need not 590
implied any more than 68
implied far more than 447
implied for those who 179
implied her wish not 52
implied his hope that 51
implied not just that 104
implied not only its 41
implied not only that 2587
implied that even this 44
implied that free and 88
implied that here was 76
implied that india had 46
implied that india was 59
implied that john was 51
implied that korea was 49
implied that life was 65
implied that mary had 45
implied that mary was 46
implied that more than 287
implied that more was 99
implied that nothing was 114
implied that only men 42
implied that only one 492
implied that paul was 41
implied that peace was 55
implied that some one 155
implied that some things 48
implied that such things 99
implied that such was 141
implied that their own 290
implied that there are 3606
implied that there can 178
implied that there had 1824
implied that there has 200
implied that there may 716
implied that there was 19204
implied that these are 438
implied that these men 116
implied that these two 437
implied that those who 4290
implied that those with 92
implied that what had 86
implied that what she 59
implied that what they 87
implied that what was 769
implied that when one 53
implied that when they 51
implied that wine was 42
implied they were not 140
implies all holy and 66
implies all these things 66
implies both time and 147
implies doing away with 66
implies doing good and 73
implies far more than 1566
implies for their own 52
implies for those who 94
implies its truth for 90
implies not just that 463
implies not only being 90
implies not only for 40
implies not only his 156
implies not only its 84
implies not only new 72
implies not only that 16149
implies not only this 57
implies that acts are 43
implies that adam and 76
implies that adam was 62
implies that along with 141
implies that among all 49
implies that boys and 43
implies that boys are 54
implies that care for 86
implies that data are 139
implies that data can 51
implies that dealing with 44
implies that during his 45
implies that during this 194
implies that even for 178
implies that even then 62
implies that even this 142
implies that even with 309
implies that faith and 45
implies that from now 76
implies that from this 116
implies that gold and 71
implies that good and 86
implies that great men 76
implies that ideas are 86
implies that india has 63
implies that jews and 40
implies that jews are 106
implies that joan was 61
implies that john did 58
implies that john had 45
implies that john has 58
implies that john was 118
implies that land and 43
implies that land was 42
implies that laws and 51
implies that less than 304
implies that life and 66
implies that life can 76
implies that life has 140
implies that living things 49
implies that love and 54
implies that male and 63
implies that mary and 48
implies that mary has 47
implies that mary was 50
implies that meaning can 46
implies that means are 52
implies that mind and 65
implies that more and 283
implies that more can 47
implies that more than 1755
implies that most men 62
implies that none can 48
implies that note that 439
implies that nothing but 61
implies that nothing can 328
implies that nothing has 101
implies that nothing that 100
implies that nothing was 52
implies that once one 78
implies that once they 43
implies that once you 70
implies that only for 77
implies that only god 47
implies that only men 102
implies that only one 3225
implies that only that 113
implies that only two 525
implies that other things 139
implies that over and 54
implies that over this 46
implies that paul and 54
implies that paul had 154
implies that paul has 53
implies that paul was 164
implies that saving and 51
implies that some are 224
implies that some men 154
implies that some new 46
implies that some one 672
implies that some things 221
implies that such men 63
implies that such things 146
implies that such was 131
implies that their own 120
implies that their use 98
implies that there arc 98
implies that there are 31368
implies that there can 4012
implies that there does 173
implies that there had 686
implies that there has 2335
implies that there may 4261
implies that there was 8163
implies that these are 1465
implies that these can 67
implies that these may 51
implies that these men 183
implies that these new 73
implies that these things 102
implies that these two 1216
implies that those things 56
implies that those two 49
implies that those who 4258
implies that those with 267
implies that time and 105
implies that time can 41
implies that time has 76
implies that truth and 69
implies that truth can 60
implies that very few 199
implies that wage and 45
implies that what can 84
implies that what god 51
implies that what goes 48
implies that what had 45
implies that what has 308
implies that what may 105
implies that what one 266
implies that what she 61
implies that what they 177
implies that what was 308
implies that what you 194
implies that when all 126
implies that when any 64
implies that when both 47
implies that when god 53
implies that when one 870
implies that when they 145
implies that when this 60
implies that when two 144
implies that when using 50
implies that when you 260
implies that work was 40
implies they have not 46
implies they were not 99
implies this means that 125
implies this when she 55
implies you need not 45
implore all those who 68
implore and wish for 120
implore her aids and 40
implore his help and 46
implore his pity and 50
implore our lord that 40
implore them upon her 41
imploring his help and 51
imploring his help for 43
imploring his pity and 65
imploring that pity and 46
imploring with tears and 82
importing and paying for 46
importing far more than 195
importing for their own 112
importing new ideas and 49
importing that nothing was 68
importing that there was 55
importing them into this 42
importing too much and 42
imports and also for 45
imports and food aid 739
imports and less than 351
imports and more than 319
imports and their own 52
imports and there was 108
imports and those that 106
imports are coal and 91
imports are food and 130
imports are iron and 139
imports are iron ore 44
imports are kept out 234
imports are less than 767
imports are more than 289
imports are only one 101
imports are paid for 975
imports are rice and 48
imports are shut out 101
imports are used for 118
imports are very low 52
imports being less than 58
imports being more than 43
imports being paid for 61
imports but also for 123
imports far more than 344
imports for food and 165
imports for half its 56
imports for last year 63
imports for more than 589
imports for their own 143
imports for their raw 89
imports for these two 54
imports had been cut 189
imports had more than 177
imports has been due 77
imports has more than 88
imports may have had 49
imports not only for 171
imports not only that 100
imports that have not 55
imports that india can 49
imports that there had 104
imports that there was 182
imports that were not 156
imports they need for 41
imports was less than 401
imports was more than 364
imports was paid for 166
imports was such that 50
imports with their own 147
imposed and there are 82
imposed and there was 225
imposed and those that 97
imposed any heavy tax 44
imposed are such that 96
imposed for health and 42
imposed for less than 53
imposed for more than 327
imposed for other than 148
imposed for such year 215
imposed for their own 358
imposed for those who 337
imposed her will and 56
imposed his will and 262
imposed his will for 64
imposed his will with 46
imposed its laws and 49
imposed its will and 148
imposed not only for 295
imposed not only her 66
imposed one upon his 64
imposed them upon her 47
imposed them upon him 114
imposed them upon his 69
imposed then upon him 80
imposed two years ago 98
imposed was less than 160
imposes all laws with 71
imposes his will and 144
imposes its ideas and 67
imposes its laws and 92
imposes its will and 126
imposes them upon its 47
impress all those who 155
impress and rule him 52
impress each other and 284
impress each other with 897
impress her mind with 277
impress her more than 170
impress him more and 48
impress him more than 353
impress him most was 72
impress his boss with 75
impress his heart with 44
impress his ideas and 49
impress his mind and 91
impress his mind with 1354
impress his wife and 77
impress his wife with 320
impress men even too 59
impress men from that 101
impress not only his 66
impress one more than 116
impress one more with 50
impress our mind with 40
impress that body with 40
impress that upon her 94
impress that upon him 44
impress that upon you 105
impress them into her 63
impress them more than 170
impress them most was 58
impress them upon his 402
impress them upon our 151
impress them upon you 40
impress them when they 77
impress this upon all 59
impress this upon her 76
impress this upon him 188
impress this upon his 207
impress this upon our 93
impress this upon them 145
impress this upon you 559
impress you more than 142
impress you when you 122
imprint his acts and 52
imprint them upon his 54
improve air flow and 85
improve and care for 185
improve and lose all 49
improve and make them 41
improve and make use 115
improve and mend his 74
improve and obey his 41
improve and there are 70
improve and there was 133
improve and those who 110
improve any more than 83
improve both cost and 44
improve both form and 60
improve both health and 146
improve both mind and 53
improve both mood and 63
improve both reading and 74
improve both their own 213
improve both theory and 52
improve each time you 72
improve for more than 71
improve for their own 47
improve for those who 104
improve her diet and 82
improve her health and 422
improve her life and 190
improve her mind and 314
improve her mind with 85
improve her mood and 61
improve her reading and 129
improve her work and 60
improve his army and 42
improve his body and 50
improve his case for 47
improve his diet and 101
improve his farm and 176
improve his game and 144
improve his golf swing 44
improve his health and 982
improve his health but 65
improve his herd and 44
improve his home and 64
improve his land and 347
improve his land for 75
improve his land with 41
improve his life and 334
improve his life was 46
improve his mind and 904
improve his mind with 106
improve his mood and 67
improve his mood any 43
improve his reading and 373
improve his ties with 49
improve his time and 131
improve his wealth and 51
improve his work and 272
improve how well they 48
improve how well you 54
improve its form and 49
improve its health and 122
improve its laws and 65
improve its ties with 608
improve its tone and 61
improve its work and 79
improve its work with 47
improve not only her 53
improve not only his 430
improve not only its 136
improve not only our 233
improve our diet and 42
improve our health and 710
improve our life and 89
improve our means for 51
improve our mood and 51
improve our time and 147
improve our work and 164
improve our work with 82
improve than those who 79
improve than those with 50
improve them when they 266
improve this book and 84
improve this land and 43
improve with rest and 183
improve with time and 1366
improve with time but 119
improving and adding new 103
improving and caring for 114
improving and laying out 106
improving and more and 52
improving and paving then 358
improving and there are 251
improving and there was 263
improving both health and 89
improving both their own 41
improving each other with 66
improving for more than 51
improving her diet and 50
improving her health and 103
improving her life and 51
improving her mind and 156
improving his diet and 48
improving his farm and 137
improving his health and 225
improving his home and 54
improving his land and 186
improving his life and 52
improving his living and 70
improving his mind and 371
improving his mind with 110
improving his reading and 75
improving his work and 42
improving its form and 57
improving its health and 82
improving its ties with 173
improving not only his 56
improving old ones and 45
improving our health and 141
improving our time and 42
improving our work and 72
improving this book and 508
improving with time and 167
impulse and those that 41
impulse and wish she 51
impulse any more than 62
impulse but what was 47
impulse far more than 41
impulse for good and 51
impulse for life and 63
impulse for more than 40
impulse for their own 65
impulse for truth and 72
impulse had been one 107
impulse had been that 100
impulse had done its 95
impulse had lost its 62
impulse had made her 140
impulse had made him 223
impulse had sent him 60
impulse has been that 41
impulse has been thus 42
impulse has lost its 86
impulse may have led 40
impulse per unit area 301
impulse she bent and 43
impulse she held out 44
impulse she laid her 54
impulse she made her 45
impulse she rose and 43
impulse she threw her 84
impulse she took off 49
impulse than from any 42
impulse than when they 42
impulse that came out 47
impulse that came with 42
impulse that drew him 164
impulse that gave them 59
impulse that kept him 78
impulse that leads him 144
impulse that leads men 80
impulse that leads one 54
impulse that leads them 40
impulse that leads you 62
impulse that made her 355
impulse that made him 668
impulse that made his 90
impulse that made them 91
impulse that made this 52
impulse that made you 102
impulse that sent her 42
impulse that sent him 109
impulse that sent rex 40
impulse that sets and 503
impulse that took him 61
impulse that will lead 48
impulse that will not 123
impulse was felt and 42
impulse was more than 60
impulse was upon her 44
impulse was upon him 177
impulse was urging her 85
impulse with most men 40
inaction for more than 66
inanity that ever has 50
incense and mine oil 58
incense and other things 208
incense and pour out 88
incense and pray for 145
incense and wine and 113
incense for those who 44
incense was kept for 40
incision being made with 97
incision not more than 128
incision one inch and 99
incision one inch long 260
incision was made and 1368
incision was made but 44
incision was made for 200
incision was made near 191
incision was made with 852
incision was used and 47
incision was used for 119
include age less than 227
include all acts that 132
include all ages and 140
include all areas that 208
include all areas with 56
include all arts and 43
include all beings and 41
include all cash and 90
include all data and 71
include all data that 163
include all fees and 102
include all food and 95
include all good and 47
include all jars with 42
include all jews and 46
include all land and 76
include all land that 46
include all life and 54
include all living things 351
include all meals and 694
include all milk that 57
include all other things 80
include all past and 108
include all such things 53
include all these and 136
include all these new 71
include all these things 352
include all those for 379
include all those men 47
include all those not 273
include all those that 2359
include all those things 604
include all those who 6625
include all those with 728
include all time and 70
include all wage and 46
include all work that 44
include all young men 43
include and leave out 215
include and make use 41
include and what does 74
include and what not 651
include and what they 340
include and what you 178
include and work with 42
include any areas that 84
include any bill for 106
include any code that 43
include any cost for 75
include any data and 53
include any data for 55
include any data that 238
include any fees for 45
include any food that 41
include any gift tax 93
include any item for 58
include any item that 277
include any means for 46
include any more than 95
include any other than 110
include any plan that 49
include any role for 44
include any term for 49
include any text that 52
include any text you 42
include any time for 136
include any word that 90
include any work that 142
include are those that 99
include bed rest and 167
include bed rest with 78
include being sure that 49
include both audio and 91
include both body and 67
include both boys and 614
include both cash and 332
include both city and 101
include both core and 66
include both cost and 116
include both data and 212
include both debt and 169
include both early and 81
include both fact and 90
include both faith and 40
include both farm and 64
include both fats and 68
include both fine and 48
include both fish and 45
