gainsay one whom they felt 102
gritted his teeth and kept 435
gritted his teeth and made 251
gritted his teeth and rode 42
gritted his teeth and said 701
gritted his teeth and shut 57
gritted his teeth and swung 90
gritted his teeth and threw 50
gritted his teeth and told 141
gritted his teeth and took 467
gritted his teeth and went 300
groaned and sank her face 61
groaned and sank his face 60
groaned and shut her eyes 60
groaned and shut his eyes 270
grounds and kept them there 63
grounds and those who live 72
grounds are there for saying 108
grounds are there for such 82
grounds both good and evil 40
grounds for fish and other 88
grounds for hope that some 98
grounds for hope that such 165
grounds for hope that these 57
grounds for hope that those 47
grounds for hoping that some 61
grounds for hoping that such 51
grounds for hoping that their 46
grounds for hoping that there 41
grounds for hoping that these 49
grounds for saying that such 45
grounds for saying that their 45
grounds for saying that there 247
grounds for saying that these 100
grounds for taking this view 44
grounds that have not been 78
grounds that nothing had been 41
grounds that there are many 164
grounds that there are more 102
grounds that there are other 113
grounds that there are some 120
grounds that there had been 1111
grounds that there has been 381
grounds that there was nothing 347
grounds that there was only 81
grounds that there was some 82
grounds that these are more 115
grounds that these had been 58
grounds that these men were 50
grounds that those who were 67
grounds they have for their 47
grounds you have for your 40
grouted with lime and sand 74
grunted and held his peace 48
guessed that there had been 586
guessed that there was more 342
guessed that there was nothing 51
guessed that there was some 355
guessed that there was such 73
gunners had been cut down 126
