gainsay what he had set 51
glanced back at his car 55
glanced back at his men 117
glanced back at his own 115
glanced back at his son 57
glanced back at them and 107
glanced back at them with 41
glanced back the way she 110
glanced back the way they 272
glanced back to see her 211
glanced back to see him 243
glanced back to see his 116
glanced back to see how 225
glanced back to see that 1045
glanced back to see who 90
glanced back to see why 42
glanced down at her and 942
glanced down at her arm 101
glanced down at her for 47
glanced down at her lap 237
glanced down at her leg 82
glanced down at her long 76
glanced down at her new 106
glanced down at her now 44
glanced down at her old 55
glanced down at her own 1114
glanced down at her red 44
glanced down at her son 152
glanced down at her thin 47
glanced down at her wet 49
glanced down at her with 406
glanced down at him and 366
glanced down at him with 169
glanced down at his arm 223
glanced down at his lap 138
glanced down at his leg 186
glanced down at his long 47
glanced down at his mud 45
glanced down at his new 57
glanced down at his own 1007
glanced down at his pad 44
glanced down at his son 172
glanced down at them and 119
glanced down at them with 43
glanced down on his own 62
glanced down the long row 43
glanced down to see her 178
glanced down to see his 104
glanced down to see how 56
glanced down to see that 788
glanced from the old man 78
glanced into the box and 53
glanced into the car and 78
glanced over at her and 1517
glanced over at her for 69
glanced over at her now 51
glanced over at her son 266
glanced over at her with 319
glanced over at him and 1356
glanced over at him but 59
glanced over at him now 47
glanced over at him with 212
glanced over at his son 315
glanced over at sam and 52
glanced over at them and 221
glanced over it and saw 67
glanced over it and then 52
glanced over it for her 61
glanced over to her and 59
glanced over to him and 51
glanced over to see her 243
glanced over to see him 128
glanced over to see his 115
glanced over to see how 198
glanced over to see that 550
glanced over to see who 76
glasses back on and read 48
glasses back on her head 55
glasses back on his head 66
glasses during the day and 53
glasses from the bar and 71
glasses full of ice and 60
glimpse into the way that 126
glorious band of men and 41
glorious days it was not 48
glorious palm in all its 47
glorious part of all his 68
glorious tale of his own 42
glorious union of all things 244
glorious were the day that 49
glorious will it bear than 43
glorious work of god than 138
glorious work of god that 83
glorious work of god was 41
glossed over as things that 54
glucose from the gut and 42
gnashed upon me with his 48
gonadal axis in men with 86
governing body of his own 199
governing body of its own 357
governing body to deal with 96
governing lord of all things 69
governing word of this his 42
grabbed hold of both her 45
grabbed hold of her and 863
grabbed hold of her arm 1931
grabbed hold of her head 45
grabbed hold of her leg 44
grabbed hold of her with 56
grabbed hold of him and 1193
grabbed hold of him with 67
grabbed hold of his arm 2060
grabbed hold of his head 69
grabbed hold of his leg 138
grabbed hold of his own 59
grabbed hold of one end 81
grabbed hold of them and 110
gracious bend of her head 94
gracious dealing of god with 42
gracious even to him who 43
gracious gift of god and 42
gracious hand of his god 48
gracious hand of our god 89
gracious lady as she was 40
gracious unto us this day 43
grained wood is cut with 42
grandee come to cut our 66
grandma told me that she 41
grandma used to say that 197
granted during the year and 46
granted during the year for 41
granted during the year was 53
granted even to men who 84
granted only if they are 69
granted only to him who 84
granted only to men who 73
granted only to one who 86
granted unto us all things 122
granted ways of doing things 208
granted were it not for 57
granted what it was not 96
grasped hand or arm than 40
grasped only by one who 81
grasped what he was doing 81
grasped what it was all 130
grasped what it was that 119
gravely said he did not 45
gravely tell the man who 98
gravity from the sun and 46
greatest among the dead and 80
greatest blow of all was 165
greatest care in its use 45
greatest care of them all 67
greatest care to see that 577
greatest city of them all 73
greatest coup of all was 47
greatest during the day and 44
greatest evil is not now 87
greatest evil of all was 104
greatest evil of our age 42
greatest evil to any one 144
greatest faith in god that 57
greatest fame of any man 46
greatest fool of them all 121
greatest gain of all was 58
greatest game of them all 57
greatest gift of all and 60
greatest gift of all for 41
greatest gift of all that 42
greatest gift of all was 203
greatest gift to man was 68
greatest gift to this earth 71
greatest good of all and 215
greatest good of men and 60
greatest hero of his age 269
greatest hero of his day 40
greatest hero of them all 950
greatest hero to long for 50
greatest hope is that they 51
greatest hope is that this 159
greatest hope is that you 155
greatest loss of all was 161
greatest mind of his age 64
greatest mind of them all 46
greatest name of all this 62
greatest need in this area 75
greatest need is not for 132
greatest need of all was 92
greatest need of men and 78
greatest need of our age 62
greatest need of our day 63
greatest ones of asia and 45
greatest part at this day 40
greatest part if not all 69
greatest part of all its 246
greatest part of all our 64
greatest part of all that 187
greatest part of all this 64
greatest part of asia and 154
greatest part of both his 107
greatest part of each day 78
greatest part of her own 99
greatest part of his day 93
greatest part of his long 82
greatest part of his men 491
greatest part of his own 341
greatest part of its own 78
greatest part of men and 79
greatest part of men are 485
greatest part of men can 97
greatest part of men they 147
greatest part of our men 65
greatest part of that day 122
greatest part of that zeal 69
greatest part of them all 232
greatest part of them are 1999
greatest part of them being 629
greatest part of them can 68
greatest part of them did 138
greatest part of them had 443
greatest part of them has 98
greatest part of them not 46
greatest part of them out 40
greatest part of them that 197
greatest part of them then 49
greatest part of them was 130
greatest part of them who 58
greatest part of them with 72
greatest part of things that 55
greatest part of this day 261
greatest part of this new 161
greatest part of this sum 119
greatest part of this was 90
greatest part of this year 180
greatest poets of any age 81
greatest poets of his age 240
greatest poets of his day 333
greatest poets of our age 44
greatest poets of our own 131
greatest poets of that age 111
greatest poets of this age 45
greatest race of them all 85
greatest risk is not that 91
greatest risk of being cut 65
greatest risk of death and 51
greatest risk of not being 42
greatest show on earth and 91
greatest show on earth was 54
greatest singer of them all 59
greatest star of them all 95
greatest task of its own 48
greatest threat of all was 50
greatest threat to his own 53
greatest threat to law and 73
greatest threat to our way 44
greatest treat of all was 130
greatest trial of all was 168
greatest when the sun and 62
greatest wish is that this 42
greatest wish is that you 185
greatest work of all was 100
greatest work of art and 48
greatest work of art that 163
greatest work of art was 52
grieved most of all for 66
grieved when it was cut 138
grinned back at her and 381
grinned back at her with 52
grinned back at him and 436
grinned back at him with 50
grinned down at her and 500
grinned down at her with 138
grinned down at him and 101
grinned like the cat that 55
grinned when he saw her 398
grinned when he saw him 41
grinned when he saw his 66
grinned when he saw how 62
grinned when he saw that 226
grinned when he saw them 83
grinned when he saw who 40
groaned like an old man 54
groaned when he saw her 82
groaned when he saw his 41
groaned when he saw that 136
grounds during the day and 41
groveling uses as they are 55
guardian angel of his own 94
guardian care of him who 45
guardian trying in this way 93
guessed even at that old 45
guessed from the way she 106
guessed from the way they 53
guessed what he did not 53
guessed what he was doing 274
guessed what he was going 352
guessed what it was all 191
guessed what it was and 103
guessed what it was for 52
guessed what it was going 40
guessed what it was that 452
guessed what the pig was 54
guessed when he did not 41
