gabbled some kind of an 62
grounds just north of the 65
grounds just south of the 47
grounds laid down by the 90
grounds laid down in the 198
grounds leading down to the 57
grounds were open to the 340
grounds were part of the 67
grounds were said to be 51
grounds were sold to the 94
grounds were used by the 98
grounds will have to be 177
grouped into those of the 87
grouped were those of my 50
groupings also tend to be 41
groupings were made on the 71
groupings will have to be 48
growers have been in the 46
growers will have to be 53
growled deep down in the 72
grumbling among some of the 79
grumbling from some of the 107
guardian will have to be 82
guessed from some of the 83
guessed from those of the 43
guessed their ages to be 62
guessed your sign to be 56
guesses were made as to 432
guesses were wide of the 62
guesses what will be the 62
guesses will have to be 51
gullies leading down to the 72
gunners were firing at the 57
gypsies were sent to the 45
