kangaroo or emu they 40
knocked the bar off 137
knocked the bat out 49
knocked the big man 72
knocked the box off 96
knocked the box out 51
knocked the boy off 106
knocked the boy out 93
knocked the bung out 136
knocked the cap off 528
knocked the cup out 127
knocked the end off 122
knocked the end out 68
knocked the eye out 134
knocked the gun out 1985
knocked the guy out 323
knocked the hat off 855
knocked the head off 998
knocked the head out 295
knocked the ice off 99
knocked the kid out 42
knocked the lid off 582
knocked the man off 524
knocked the man out 606
knocked the men off 44
knocked the mud off 92
knocked the old man 485
knocked the pin out 133
knocked the tar out 86
knocked the top off 1040
knocked the top out 42
knocked the two men 90
knocked to and fro 264
knocked to ask for 80
knocked to say that 143
knocked up and had 322
knocked up and his 93
knocked up and then 58
knocked up and you 115
knocked up his arm 144
knocked up his gun 98
knocked up that she 71
knocked up that they 65
knocked up with all 40
knocked up with her 48
knocked up with his 76
knocked up with our 102
knocked us all off 126
knocked us all out 164
knocked us both off 104
knocked us both out 119
knocked us off our 405
knocked us out and 41
knocked us out with 41
knocker of his own 63
knotted at each end 668
knotted at one end 1657
knotted in her lap 456
knotted in his gut 92
knotted in his jaw 123
knotted in his lap 63
knotted my tie and 47
knotted on her head 114
knotted on his head 79
knotted so that they 111
knotted the tie and 43
knotted up and his 102
knowingly at her and 49
knowingly at him and 81
knowingly do any act 289
knowingly if you can 46
knowingly to his death 114
knuckle in his eye 70
knuckle of ham and 45
knuckle of veal and 543
knuckle of veal with 147
