keels and commerce of 55
known nor knowable by 66
known nor observed by 70
known oil deposits in 92
known oil deposits of 119
known oil reserves at 48
known oil reserves in 954
known oil reserves is 45
known oil reserves of 561
known one instance in 182
known one instance of 339
known ore deposits in 143
known ore deposits of 215
known ore reserves of 93
known our intention of 79
known our intention to 85
known our requests to 241
known she intended to 55
known sin silences the 50
known that activity of 53
known that additions of 92
known that analysis of 71
known that animation is 118
known that attempts to 270
known that branches of 52
known that captains of 40
known that children do 188
known that children in 271
known that children of 627
known that chlorine is 47
known that citizens of 50
known that commerce is 58
known that compared to 114
known that concrete is 51
known that contrary to 95
known that crystals of 61
known that cultures of 84
known that currents of 53
known that darkness is 109
known that deposits of 63
known that diffusion of 103
known that education is 234
known that elements of 153
known that elevation of 46
known that everyone in 153
known that everyone is 138
known that evidence of 95
known that exercise is 135
known that expansion of 53
known that exposure of 550
known that exposure to 1569
known that extracts of 130
known that fletcher of 146
known that fluorine is 40
known that formation of 208
known that formerly the 76
known that heredity is 41
known that hundreds of 1120
known that hydrogen is 295
known that immunity to 41
known that inasmuch as 50
known that increases in 356
known that induction of 40
known that infection is 70
known that infection of 117
known that injection of 165
known that injuries to 72
known that interest in 55
known that majority of 48
known that margaret of 81
known that migration is 40
known that mixtures of 353
known that monsieur the 49
known that movement of 46
known that mutations in 213
known that nicotine is 53
known that nitrogen is 74
known that normally the 81
known that officers do 49
known that officers of 83
known that outbreaks of 43
known that oxidation of 218
known that patients in 161
known that patterns of 146
known that presence of 53
known that pressure on 42
known that probably the 40
known that problems of 61
known that products of 40
known that progress in 92
known that reduction in 48
known that reduction of 208
known that retention of 111
known that solutions of 608
known that solutions to 111
known that sometime in 60
known that students in 52
known that students of 111
known that sulphate of 102
known that symptoms of 220
known that synthesis of 84
known that syphilis is 67
known that thousands of 1461
known that transfer of 138
known that treatment of 456
known that underneath the 50
known that variations in 578
known that variations of 62
known that violations of 119
known that weariness by 43
known that whatever he 102
known that whatever is 215
known that whatever the 406
known that whenever an 100
known that whenever he 143
known that whenever the 331
known that wherever he 88
known that wherever the 211
known that wherever we 105
known that whosoever of 54
known they intended to 117
known this accident to 83
known this condition to 45
known this intention to 51
known this treatment to 51
known was intended to 111
known was invented by 51
known was probably the 247
known was produced by 100
known who composed the 92
known who designed the 80
known who invented the 95
known with accuracy at 60
known with accuracy by 45
known with accuracy in 52
known with affection as 70
known with boldness the 329
known with precision as 95
known with precision at 54
known with precision in 76
known with precision to 52
known yet concerning the 45
known you intended to 132
known you penurious in 48
knows and approves of 426
knows and approves the 167
knows and believes in 954
knows and believes is 166
knows and believes it 71
knows and believes the 132
knows and believes to 115
knows and consents to 73
knows and controls the 158
knows and declares the 54
knows and declares to 61
knows and delights in 107
knows and deplores the 108
knows and foresees the 46
knows and observes the 165
knows and protects the 43
knows and rejoices in 68
knows and respects the 663
knows and responds to 195
knows and supports the 68
knows and therefore is 40
knows are contrary to 114
knows are essential to 45
knows are expected of 43
knows her daughter is 93
knows his audience is 59
knows his business as 460
knows his business at 61
knows his business by 49
knows his business he 319
knows his business in 107
knows his business is 305
knows his business or 114
knows his business so 145
knows his business the 48
knows his business to 95
knows his daughter is 110
knows his opponent is 47
knows his services to 64
knows his situation in 89
knows how beautiful it 73
knows how beautiful the 63
knows how bitterly the 44
knows how bootless it 41
knows how dangerous it 455
knows how dangerous the 95
knows how essential it 201
knows how essential the 44
knows how fiercely the 50
knows how helpless he 107
knows how hopeless it 73
knows how horrible it 41
knows how ignorant he 62
knows how laborious the 48
knows how possible it 48
knows how powerful the 111
knows how properly to 141
knows how seriously the 73
knows how strangely the 64
knows how terrible it 80
knows how valuable it 96
knows its quantity or 52
knows nor believes to 42
knows nor rejoices in 55
knows nor respects the 62
knows not wherewith to 51
knows our tendency to 57
knows she deserved it 48
knows she deserves it 122
knows she quickens my 46
knows that attempts to 50
knows that business in 66
knows that business is 125
knows that catherine is 50
knows that children do 92
knows that children in 76
knows that children of 75
knows that claudius is 63
knows that conflict is 44
knows that contrast is 92
knows that education is 273
knows that eternity is 81
knows that everyone in 189
knows that everyone is 310
knows that exercise is 129
knows that extension is 61
knows that futurity is 78
knows that goodness is 54
knows that humanity is 62
knows that hundreds of 267
knows that idleness is 47
knows that industry is 74
knows that inflation is 50
knows that judgment is 40
knows that laughter is 94
knows that nowadays the 47
knows that odysseus is 52
knows that otherwise he 88
knows that otherwise the 50
knows that pakistan is 58
knows that patience is 79
knows that politics is 145
knows that practice is 69
knows that progress is 114
knows that questions of 42
knows that salvation is 97
knows that security is 71
knows that socrates is 100
knows that somebody is 190
knows that tennyson is 64
knows that termites eat 59
knows that thousands of 268
knows that tomorrow he 98
knows that tomorrow is 54
knows that tomorrow the 40
knows that underneath the 76
knows that whatever he 630
knows that whatever is 605
knows that whatever it 149
knows that whatever the 283
knows that whenever he 202
knows that whenever the 124
knows that wherever he 177
knows that wherever the 108
knows two languages is 78
knows who composed the 43
knows who designed the 51
knows who everyone is 103
knows who invented it 119
knows who invented the 410
knows who received the 43
knows who receives the 44
knows with precision the 41
koans are designed to 55
