daddies read bedtime stories 95
decreasing for several decades 77
decreasing with increasing acidity 53
decreasing with increasing current 48
decreasing with increasing density 83
decreasing with increasing voltage 42
decreed that neutral vessels 88
decrees and decrees involving 88
decrees and despite decrees 47
deepest and boldest strokes 89
deepest and darkest corners 59
deepest and darkest secrets 293
deepest and highest emotions 176
deepest and warmest sympathy 66
default being entered against 44
default was entered against 309
default web browser program 115
defeated and carried captive 121
defeated and divided germany 62
defeated and fatally wounded 40
defeated one hundred thousand 44
defects and beauties according 44
defects and central nervous 42
defects and genetic diseases 170
defects and improve quality 113
defects are closely related 209
defects are usually located 48
defects are usually present 293
defects that require medical 50
defending her husband against 74
defending him against charges 144
defending him against himself 49
defending his capital against 61
defending his country against 937
defending his position against 379
defending his religion against 42
defending its borders against 118
defending its liberty against 52
defending its members against 117
defending its position against 114
defending our beloved country 68
defending our country against 262
defending our religion against 40
defending that country against 59
defending them against attacks 64
defending them against charges 48
defending them against enemies 45
defending them against foreign 68
defending this country against 113
defends him against charges 79
defends his country against 111
defends his position against 183
defends this position against 63
defense and civilian sectors 128
defense and defense against 54
defense and display stamina 49
defense and foreign affairs 5296
defense and general welfare 21329
defense and missile defense 143
defense and national defense 53
defense and offense against 179
defense and protest against 45
defense and related affairs 58
defense and related matters 75
defense for reserve affairs 85
defiance all foreign enemies 78
defiance and protest against 60
deficit and capital inflows 46
deficit and current account 329
deficit and foreign borrowing 99
deficit and foreign exchange 101
deficit and revenue deficit 63
deficit being largely covered 81
deficit was sharply reduced 191
defined and closely related 70
defined and limited judicial 54
defined and limited objects 100
defined and limited purpose 49
defined and limited subject 49
defined and measured according 111
defined and reliably measured 88
defined and rigidly adhered 113
defined and rigidly limited 101
defined and secured against 143
defined and sharply limited 94
defined and vaguely illegal 112
defined for complex numbers 90
defined for natural numbers 62
defined its position regarding 47
defined that concept broadly 83
defined with increasing clarity 90
defined with perfect clarity 49
degrading and insulting language 68
degrading and polluting worship 66
degrading and revolting violence 43
degrees and estates allowed 44
degrees and fifteen minutes 522
degrees and minutes between 106
degrees and sixteen minutes 82
degrees and thirteen minutes 1402
degrees for fifteen minutes 128
deities and guardian spirits 96
deities and mythical figures 60
delayed for fifteen minutes 122
delayed for several decades 237
delayed for several hundred 63
delayed for several minutes 394
delayed for several seconds 246
delayed for several thousand 44
delayed our present purpose 42
delight was cunningly devised 42
deliver and receive foreign 54
deliver and receive freight 55
deliver and receive payment 49
deliver one hundred thousand 49
deliver this diviner element 41
deliver this welcome message 58
deliver two hundred thousand 51
deluged with letters demanding 40
demanding and complex process 87
demanding and obtaining payment 81
demanding and receiving payment 65
demanding and receiving tribute 46
demanding for himself freedom 59
demanding one hundred thousand 68
demanding ten thousand dollars 97
demanding that germany disavow 46
demanding two hundred talents 80
demanding two hundred thousand 53
demands and counter demands 277
demands are closely related 85
demands are derived demands 51
demands are increasing rapidly 53
demands for agrarian reforms 99
demands for applied research 43
demands for drastic measures 41
demands for drastic reforms 53
demands for extreme measures 55
demands for foreign capital 69
demands for foreign exchange 1674
demands for justice against 50
demands for liberal reforms 270
demands for library service 168
demands for material support 43
demands for medical service 106
demands for national defense 61
demands for national freedom 72
demands for national revenue 49
demands for outward success 62
demands for popular control 79
demands for product quality 190
demands for quality control 95
demands for radical reforms 315
demands for similar reforms 42
demands for skilled workers 740
demands for tighter control 61
demands for tougher measures 41
demands for trained workers 50
demands for vengeance against 91
demands that existed against 48
demands that involve similar 61
dementia nos specify etiology 78
denoted with capital letters 153
density and applied voltage 102
density and current density 703
density and elastic modulus 499
density and entropy density 54
density and habitat quality 57
density and language function 49
density and mineral content 224
density and protein content 129
density and surface density 98
density and surface gravity 83
density are closely related 195
density are linearly related 48
density are plotted against 75
density are strongly favored 59
density was plotted against 74
denuded and brought together 41
depends for success chiefly 44
depends this nominal essence 139
depleting its foreign exchange 74
deplore and protest against 199
deposit and current account 389
deposit and federal reserve 256
deposit and foreign exchange 196
deposit one hundred dollars 150
deposit one hundred thousand 396
deposit one thousand dollars 116
deposit ten thousand dollars 203
deposit two hundred thousand 44
deposit with federal reserve 433
deprave and corrupt persons 932
deprave nor poverty degrade 100
depress all eminent persons 103
derived and present antigen 328
derived any material benefit 56
derived any private benefit 106
derived his greatest pleasure 166
derived its greatest support 51
derived its peculiar dignity 42
derives his greatest pleasure 81
descent and kinship systems 46
descent and opulent fortune 82
descent and similar manners 79
deserts and fertile valleys 75
deserve and achieve success 45
deserve and receive careful 63
deserve our deepest respect 84
deserve our deepest sympathy 59
deserve our fullest support 45
deserve our greatest respect 63
deserve our highest respect 84
deserve our respect because 58
deserve our warmest sympathy 43
deserving and gallant officer 42
designing and corrupt priests 70
designing and executing research 80
designing and executing studies 45
designing and operating systems 72
designs and outcome measures 119
designs and quality control 67
designs and repeated measures 63
designs are closely related 290
designs for complex diseases 147
designs for printed fabrics 72
designs for textile fabrics 149
designs who devises courses 91
designs with repeated measures 212
desired and adverse effects 166
desired and courted inquiry 50
desired his general license 115
desired his imperial majesty 574
desires and fervent prayers 80
desires and prefers machine 121
desires and selfish motives 47
desires and upstart passions 435
desires are closely related 51
desires are oftener blasted 142
desires are rightly ordered 81
desires for material objects 147
desires for material success 86
desires for worldly objects 47
desires her kindest regards 205
desires his ghostly counsel 61
desires his kindest regards 79
despair and commits suicide 54
despair and remorse pressed 147
despise all worldly blessings 56
despise and totally neglect 105
despite all medical efforts 70
despite all official efforts 45
despite all previous efforts 41
despite and perhaps because 247
despite being advised against 46
despite being closely related 47
despite being wounded himself 41
despite her frantic efforts 66
despite her repeated efforts 58
despite his exalted position 109
despite his extreme poverty 50
despite his frantic efforts 173
despite his general support 69
despite his genuine concern 50
despite his genuine sympathy 51
despite his greatest efforts 48
despite his intense dislike 81
despite his limited ability 64
despite his official position 168
despite his polemic against 60
despite his protest against 42
despite his repeated efforts 165
despite his sincere efforts 78
despite his superior numbers 68
despite his worldly success 48
despite its adverse effects 106
despite its ancient origins 75
despite its central location 195
despite its central position 109
despite its european origins 58
despite its exposed position 71
despite its general language 54
despite its general support 45
despite its harmful effects 51
despite its inferior quality 54
despite its limited success 87
despite its location outside 41
despite its northern location 56
despite its promising beginning 85
despite its superior numbers 54
despite our greatest efforts 43
despite our sincere efforts 55
despite this promising beginning 130
destiny has perhaps severed 61
destroy all analogy between 101
destroy all bacteria present 41
destroy all harmony between 122
destroy all inferior animals 246
destroy all rational liberty 64
destroy all sympathy between 88
destroy any bacteria present 99
destroy any harmful bacteria 104
destroy our beloved country 67
destroy that harmony between 44
details and contact numbers 41
details and finishing touches 132
details and graphic touches 50
details and routine matters 45
details and smaller matters 72
details and sources regarding 47
details are arranged according 86
details are brought forward 53
details are brought together 108
details are closely guarded 42
details are closely related 49
details are largely unknown 87
details are omitted because 149
details are usually omitted 48
details not arranged according 47
detecting and defending against 67
detects and rejects unhealthy 129
detects and removes viruses 61
deterring and defending against 370
develop air quality criteria 49
develop and approve official 104
develop and conduct research 160
develop and deliver courses 74
develop and deliver quality 121
develop and enforce uniform 62
develop and enforce written 43
develop and express himself 87
develop and fulfill himself 70
develop and improve himself 56
develop and operate systems 48
develop and perfect himself 157
develop and persist because 62
develop and produce quality 43
develop and promote national 111
develop and promote tourism 126
develop and publish criteria 98
develop and support research 61
develop and sustain meaningful 74
develop and utilize natural 42
develop for several decades 51
develop her musical talents 62
develop her national economy 73
develop her natural talents 46
develop his creative ability 80
develop his creative talents 60
develop his musical talents 157
develop his natural ability 47
develop his natural talents 184
develop its economy rapidly 55
develop its national culture 65
develop its national economy 329
develop new foreign markets 105
develop new markets overseas 49
develop new overseas markets 49
develop new product designs 42
develop new revenue sources 107
develop new support systems 62
develop our national culture 77
develop our national economy 235
develop our natural talents 59
develop this analogy between 48
deviation and average deviation 66
devices and control systems 194
devices and operating systems 269
devices and storage devices 106
devices are battery powered 111
devices are closely related 219
devices are grouped together 65
devices are popular because 61
devices are rapidly replacing 44
devices are usually applied 41
devices are usually limited 60
devices are usually located 90
devices are usually mounted 119
devices for combining pleasure 65
devices for popular control 71
devices for process control 89
devices for quality control 51
devices for quickly obtaining 42
devices that convert digital 63
devices that function together 46
devices that protect against 82
devices that receive signals 72
devices that totally relieve 52
devices with limited computing 132
devices with limited display 105
devoted and bounden servant 180
devoted and faithful friends 290
devoted and faithful husband 227
devoted and faithful members 134
devoted and faithful servant 987
devoted and faithful service 153
devoted and faithful subject 68
devoted and obliged servant 183
devoted and obliged subject 44
devoted and trusted friends 53
devoted his efforts chiefly 43
devoted his efforts towards 61
devoted his greatest efforts 164
devoted his leisure chiefly 53
devoted his leisure moments 510
devoted his private fortune 108
devoted his research efforts 44
devoted his talents chiefly 69
devoted its greatest efforts 48
devotion and faithful service 81
devotion and loyalty between 40
devotion and loyalty towards 78
devotion and respect towards 42
devotion that existed between 114
diabetes and certain cancers 79
diabetes and chronic disabling 54
diabetes are closely related 40
diabetes may require insulin 156
diabetes not requiring insulin 117
diabetes who require insulin 107
diabetic and control animals 65
diagrams and numbers printed 69
diagrams are closely related 143
diagrams are usually plotted 51
diagrams for ternary systems 84
dialects and foreign accents 56
dialects and regional accents 48
dialects are closely related 421
dialects are equally complex 43
dialogue and contact between 84
dialogue and exchange between 319
dialogue and musical numbers 54
dialogue and respect between 60
dialogue that follows between 153
dialogue with jacques derrida 88
dialogue with natural science 90
dialogue with popular culture 55
dialogue with western culture 48
dialysis and reverse osmosis 71
diameter and contain several 70
diameter and outside diameter 173
diameter and several hundred 194
diameter and several microns 97
diameter and several thousand 51
diameter and usually contain 41
diameter with strengths decreasing 57
diamonds are several thousand 58
dictate his decrees violates 81
dietary and genetic factors 122
dietary and insulin control 53
dietary and medical history 71
dietary and medical regimen 45
diffuse and nodular goiters 43
diffuse and uniform thickening 84
dignify and elevate science 65
dignity and command respect 62
dignity and decorum befitting 145
dignity and eternal destiny 50
dignity and evident command 110
dignity and exalted position 47
dignity and freedom against 53
dignity and freedom unknown 85
dignity and material welfare 68
dignity and respect because 120
dignity that demands respect 43
dignity that imposed silence 59
dignity was happily blended 116
dilated and availed himself 40
dilemma for beginning teachers 54
diluted with increasing amounts 80
diluted with mineral spirits 121
diluted with several volumes 227
dimness and vanishing shadows 71
dinners and birthday parties 51
dinners and luncheon parties 47
dinners and private parties 75
diocesan and regular priests 73
dioceses and appoint bishops 136
diploid and haploid numbers 52
dipoles and induced dipoles 170
directing air strikes against 119
directing his attacks against 111
directing his efforts against 114
directing his efforts towards 192
directing his remarks against 87
directing his thoughts towards 79
directing its attacks against 55
directing its efforts against 217
directing its efforts towards 421
directing its negation outward 90
directing our efforts towards 146
directing our thoughts towards 60
directing that persons charged 57
directs his attacks against 91
directs his efforts against 109
directs his efforts towards 201
directs his polemic against 98
directs his remarks against 45
directs its attacks against 71
directs its efforts towards 180
directs its marketing efforts 228
directs its primary efforts 45
directs our thoughts towards 53
directs them towards objects 127
discern and provide against 230
discern any general pattern 43
discern any meaningful content 65
discern any national records 49
discern any relation between 64
discern its essence pervading 55
discord and disunion between 84
discord and division between 111
discord and foreign invasion 89
discord and friction between 105
discord and jealousy between 76
discord and rivalry between 52
discord and variance betwixt 50
discord that existed between 159
discord was visible between 43
discuss all matters affecting 154
discuss all matters related 78
discuss and compare several 48
discuss and exchange opinions 59
discuss and express opinions 83
discuss and resolve matters 80
discuss any matters affecting 56
discuss any seasonal aspects 66
discuss her private affairs 166
discuss his official conduct 59
discuss his private affairs 261
discuss its salient features 49
discuss our current research 47
discuss our private affairs 97
discuss them together because 117
discuss this complex problem 60
discuss this general problem 66
discuss this general question 67
discuss this painful subject 84
discuss this problem because 52
discuss this problem briefly 213
discuss this question because 96
discuss this question briefly 80
discuss this subject because 71
discuss this subject briefly 144
discuss two closely related 140
discuss with perfect freedom 53
disdain for popular culture 156
diseased and exposed animals 126
diseased and injured animals 94
diseases and altered gastric 70
diseases and central nervous 46
diseases and certain cancers 101
diseases and chronic diseases 145
diseases and chronic illness 53
diseases and control measures 132
diseases and genetic defects 59
diseases and harmful insects 153
diseases and insects affecting 120
diseases and insects attacking 44
diseases and natural enemies 45
diseases and remedial measures 50
diseases and venereal diseases 97
diseases are arranged according 83
diseases are closely related 338
diseases are grouped according 145
diseases are grouped together 167
diseases are increasing rapidly 42
diseases are largely unknown 52
diseases are rapidly increasing 56
diseases are usually chronic 58
diseases are usually present 41
diseases can produce similar 55
diseases may produce similar 110
diseases that afflict animals 47
diseases that afflict mankind 481
diseases that afflict millions 51
diseases that medical science 68
diseases that plagued mankind 45
diseases that produce dementia 94
diseases that produce similar 84
diseases that require medical 53
disgust and sickening disdain 55
dislike and jealousy between 78
dislike and jealousy towards 58
dislike for certain aspects 48
dislike for certain persons 47
dislike for extreme measures 50
dislike that existed between 55
dislike was rapidly deepening 42
dislike who offends against 86
dismiss all charges against 428
dismiss that inquiry because 92
dismiss this painful subject 81
disowning all revealed religion 44
display and control console 132
display and control devices 142
display and control systems 282
display and printer adapter 246
display and recording devices 246
display and recording systems 228
display his peculiar talents 46
display his visible majesty 277
display was exactly according 59
dispose and prepare himself 57
dispute and variance between 84
dispute had erupted between 81
dispute had existed between 113
dispute had gathered together 47
dispute may initiate mediation 72
dispute that animals possess 310
dispute that erupted between 111
dispute that existed between 57
dispute was finally brought 67
dispute was finally decided 67
dispute was finally settled 4920
dispute was peaceably settled 46
dispute was quickly settled 114
dispute was settled between 138
dispute with british columbia 47
dissent and protest against 247
distant and familiar objects 62
distant and foreign country 131
distant and healthier stations 72
distant and hitherto unknown 105
distant and hostile country 68
distant and largely unknown 69
distant and mythical element 125
distant and obscure corners 49
distant and selfish foreign 59
distant and unhealthy climate 66
distant and unhealthy country 59
distant and unknown country 264
distant and unknown friends 41
distant and unknown persons 61
distant and unknown sources 50
distort and condemn everything 62
disturb that heavenly quality 45
disturb this general harmony 220
diurnal and seasonal effects 176
diurnal and seasonal pattern 54
diurnal and seasonal variation 1513
diverse and competing demands 48
diverse and complex aspects 57
diverse and complex country 55
diverse and complex culture 52
diverse and complex effects 41
diverse and complex factors 108
diverse and complex pattern 42
diverse and complex picture 69
diverse and complex process 58
diverse and complex society 367
diverse and complex subject 96
diverse and complex systems 85
diverse and divided society 82
diverse and dynamic society 56
diverse and rapidly expanding 121
diverse but closely related 64
divided and arranged according 57
divided and arrayed against 73
divided and suffering country 189
divided and unequal society 345
divided her fortune between 72
divided him against himself 130
divided his efforts between 217
divided his estates between 127
divided his fortune between 161
divided his fortune equally 44
divided his leisure between 136
divided his studies between 137
divided his summers between 47
divided his talents between 76
divided his thoughts between 68
divided its efforts between 71
divided its support between 74
divided man against himself 68
divided that unhappy country 62
divided them equally between 127
divides him against himself 48
divides his effects between 50
divides man against himself 69
diviner and lowlier destiny 141
divines who preached against 109
division and cavalry brigade 95
division and discord between 118
division and rivalry between 98
division and spousal support 140
division are brought together 76
division are closely related 100
division for overseas service 47
division had emerged between 59
division has emerged between 104
division has existed between 66
division that existed between 260
division was brought forward 53
division was hastily ordered 41
division was hurried forward 64
division was ordered forward 223
division with decimal numbers 50
divorce and alimony decrees 121
divorce and awarded custody 165
divorce and custody battles 427
divorce and custody dispute 83
divorce and custody matters 179
divorce and custody mediation 145
divorce and marital discord 110
divorce and related matters 163
divorce and remarry several 40
divorce for extreme cruelty 111
divorce for married couples 97
divorce her abusive husband 62
divorce her husband because 652
divorce her present husband 49
divorce was finally granted 188
divorce was granted because 241
divorce was invalid because 49
divorcing her husband because 189
dockers and factory workers 44
dockers and railway workers 93
doctors and fortune tellers 44
doctors and lawyers because 56
doctors and medical centers 86
doctors and medical clinics 68
doctors and medical experts 146
doctors and medical research 42
doctors and medical schools 114
doctors and medical science 98
doctors and medical workers 278
doctors and research workers 173
doctors and skilled workers 76
doctors and trained medical 43
doctors and welfare workers 73
doctors had advised against 138
doctors had strongly advised 51
doctors per hundred thousand 41
doctors who provide abortion 41
doctors who provide medical 59
doctors with medical degrees 57
dollars and canadian dollars 98
dollars and current dollars 53
dollars and fifteen dollars 139
dollars and fifteen thousand 45
dollars and foreign exchange 71
dollars and quarter dollars 66
dollars and several hundred 64
dollars and several thousand 61
dollars for canadian dollars 156
dollars for fifteen minutes 166
dollars for foreign exchange 186
dollars for foreign missions 130
dollars for married couples 46
dollars for medical research 118
dollars for national defense 225
dollars for private schools 80
dollars per hundred bushels 62
dollars per hundred dollars 226
dollars per thousand dollars 282
dollars per thousand gallons 115
dollars using current exchange 52
dollars using official exchange 115
domains are brought together 124
domains are closely related 73
dominion was divided between 109
donated for medical research 93
donated his private library 69
donated one hundred dollars 172
donated one hundred thousand 162
donated one thousand dollars 264
donated ten thousand dollars 287
donated two hundred dollars 94
donated two hundred thousand 68
donated two thousand dollars 83
doorway and stepped outside 108
doorway for several minutes 261
doorway for several moments 128
doorway for several seconds 134
dormant for several decades 311
dormant for several hundred 58
dosages and adverse effects 53
doubled and perhaps trebled 43
doubled and perhaps tripled 62
doubled and twisted together 75
doubled for married couples 48
doubles with private bathroom 1046
doublet and triplet spectra 114
doublet with slashed sleeves 495
doubted not existed between 82
doubted that foreign stranger 40
dowries and marriage portions 144
drafted and finally adopted 54
drafted and secured passage 48
drafted for national service 68
dragged and dropped between 74
dragged her roughly against 51
drained and chopped teaspoon 68
drained and roughly chopped 387
drapery and curtain fabrics 89
drastic and radical measures 59
dressed and adorned herself 102
dressed and carried herself 330
dressed and carried himself 384
dressed and closely jointed 43
dressed and groomed herself 66
dressed and groomed himself 65
dressed and painted himself 138
dressed and slipped quietly 44
dressed and stepped outside 235
dressed man stepped forward 112
dressed men hurried towards 265
dressed with extreme neatness 164
dressed with natural flowers 42
dressed with peculiar neatness 56
dressed with perfect neatness 196
dressed with similar neatness 55
dressed with sterile dressings 91
dresses and scenery capital 44
dressings are usually applied 90
dressings are usually removed 43
dribbling and pattering overhead 47
drilled with tungsten carbide 40
dripped and tinkled overhead 52
drivers and factory workers 152
drivers and operating systems 42
drivers and ostlers carousing 50
drivers and railway workers 66
drivers and stokers refused 86
drivers are usually helpful 58
drivers are usually written 52
dropped all charges against 1155
dropped her forehead against 252
dropped his charges against 65
dropped his forehead against 184
dropped his lawsuit against 51
dropped his medical studies 52
dropped its charges against 223
dropped its lawsuit against 75
dropped two hundred dollars 45
dropped two thousand dollars 49
drought and harvest failure 90
drought his priests carried 60
drunken and abusive husband 103
ductile and brittle behavior 157
ductile and brittle failure 116
ductile and perfect material 59
durable and stately edifice 57
durable and uniform quality 69
duration and benefit derived 111
dutiful and devoted servant 165
dutiful and devoted subject 391
dutiful and faithful servant 101
dutiful and faithful subject 111
dwarfed all previous efforts 53
dwarfed and utterly sterile 112
dwellings and ruinous castles 55
dwellings and service buildings 51
dwellings and similar buildings 102
dwellings are crowded together 47
dwellings are grouped together 64
dwellings are huddled together 44
dwellings had outside toilets 69
dynamic and complex picture 42
dynamic and complex process 538
dynamic and complex society 81
dynamic and complex systems 117
dynamic and creative aspects 91
dynamic and creative process 298
dynamic and creative society 56
dynamic and expanding economy 206
dynamic and expanding society 41
dynamic and genetic factors 80
dynamic and kinetic element 47
dynamic and lifelong process 41
dynamic and organic process 56
dynamic and rapidly expanding 192
dynamic that existed between 133
dynasty that claimed descent 59
dyslexia and surface dyslexia 106
