db will result in 89
do here before we 103
do here concur in 345
do here except to 159
do here instead is 56
do here recoil the 113
do here return my 151
do here should be 50
do here without the 72
do high credit to 51
do high levels of 265
do home visits to 90
do jobs around the 607
do just before he 138
do just before the 299
do just enough of 54
do just enough to 2319
do just happen to 110
do just homage to 40
do just listen to 43
do keep abreast of 79
do know christ as 46
do know enough of 391
do know enough to 3541
do know plenty of 129
do know points to 91
do know someone in 67
do know something in 40
do know something is 254
do know something of 6543
do know whence we 46
do know whether or 57
do know whether the 83
do know whether we 43
do laps around the 127
do learn something in 83
do learn something of 141
do least damage to 336
do least injury to 103
do leave something to 115
do lend weight to 65
do less around the 65
do less credit to 56
do less damage if 160
do less damage in 193
do less damage on 42
do less damage to 2028
do less injury to 267
do like plenty of 46
do like trusting to 41
do list should be 124
do live beyond the 89
do live through it 44
do live through the 67
do live without it 50
do look better in 135
do look beyond the 185
do look lovely in 111
do look pretty in 118
do look sorter so 40
do lose weight on 218
do love sticky we 86
do make changes in 166
do make changes to 91
do make choice of 129
do make claims to 42
do make errors in 296
do make errors of 53
do make mention of 934
do make passes at 53
do make return of 51
do make something of 168
do many readers of 52
do many wolves in 45
do mine errand to 111
do more admire the 57
do more around the 857
do more before he 51
do more before the 106
do more before we 42
do more credit to 1097
do more damage as 142
do more damage at 88
do more damage by 351
do more damage if 231
do more damage in 802
do more damage on 63
do more damage to 6166
do more esteem it 174
do more homage to 76
do more injury by 54
do more injury in 125
do more injury to 1140
do more poorly at 52
do more poorly in 631
do more poorly on 791
do more shopping in 41
do more suffer by 47
do more through the 115
do more toward the 439
do more training in 53
do more unless he 41
do more wisely if 44
do more wisely in 59
do more wisely to 338
do more without the 123
do most authors of 43
do most cities in 43
do most credit to 99
do most damage by 44
do most damage in 125
do most damage to 544
do most desire to 40
do most enrich the 41
do most esteem it 87
do most exceed in 50
do most injury to 126
do most offend in 46
do most poorly on 52
do most readers of 54
do most theories of 63
do most wisely to 74
do move across the 66
do move around the 75
do move beyond the 161
do move closer to 44
do move through the 156
do move toward the 146
do much admire the 58
do much around the 708
do much before he 139
do much before the 323
do much before we 167
do much better as 876
do much better at 1427
do much better by 1771
do much better if 7495
do much better in 13003
do much better is 47
do much better on 3899
do much better or 178
do much better the 207
do much better to 5900
do much beyond the 201
do much credit to 1320
do much damage as 154
do much damage at 168
do much damage by 544
do much damage if 266
do much damage in 1168
do much damage on 163
do much damage or 71
do much damage to 6309
do much desire the 85
do much desire to 70
do much esteem the 58
do much except eat 55
do much except go 48
do much except to 550
do much fighting in 47
do much fighting on 88
do much injury by 192
do much injury in 123
do much injury to 1631
do much prefer to 44
do much shopping in 48
do much swimming in 41
do much through the 154
do much toward it 103
do much toward the 2612
do much unless he 144
do much unless it 113
do much unless the 227
do much unless we 53
do much without an 160
do much without it 180
do much without the 1027
do must always be 281
do must depend on 295
do need access to 557
do need enough to 45
do need plenty of 340
do need someone to 855
do need something to 842
do need training in 69
do next before he 85
do next instead of 47
do nothing active in 75
do nothing active to 64
do nothing around the 104
do nothing before he 86
do nothing before the 392
do nothing before we 41
do nothing behind the 55
do nothing better at 55
do nothing better in 197
do nothing better on 72
do nothing better or 93
do nothing better to 359
do nothing beyond the 558
do nothing except as 529
do nothing except at 91
do nothing except be 386
do nothing except by 887
do nothing except eat 181
do nothing except go 343
do nothing except he 67
do nothing except in 1279
do nothing except it 50
do nothing except on 489
do nothing except the 102
do nothing except to 1805
do nothing farther in 79
do nothing further at 168
do nothing further in 1479
do nothing further on 119
do nothing further to 1136
do nothing instead of 62
do nothing likely to 346
do nothing openly to 72
do nothing rashly in 71
do nothing rashly or 150
do nothing relating to 119
do nothing should be 45
do nothing special in 47
do nothing special to 171
do nothing through the 107
do nothing touching the 51
do nothing toward it 45
do nothing toward the 316
do nothing unjust or 60
do nothing unkind or 62
do nothing unkind to 160
do nothing unless by 60
do nothing unless he 1164
do nothing unless it 529
do nothing unless the 1077
do nothing unless we 350
do nothing useful in 63
do nothing useful or 71
do nothing useful to 49
do nothing violent or 53
do nothing whilst the 57
do nothing without an 578
do nothing without it 2314
do nothing without me 1015
do nothing without my 1209
do nothing without the 28051
do nothing without thy 135
do nothing without us 260
do once inside the 61
do only differ in 63
do only enough to 232
do only pierce the 50
do only serves to 41
do only through the 322
do other authors in 59
do other chores as 42
do other chores in 78
do other damage to 89
do other fields of 68
do other groups in 198
do other groups of 347
do other levels of 47
do other methods of 281
do other phases of 83
do other pieces of 57
do other regions of 118
do other states in 54
do other theories of 61
do pass abroad in 50
do pass before us 68
do pass beyond the 55
do pass through an 62
do pass through it 85
do pass through the 2501
do pass through to 46
do plead guilty to 203
do rely heavily on 1102
do seem almost to 86
do seem always to 115
do seem clearly to 56
do seem closer to 41
do seem intent on 44
do seem likely to 416
do seem strange to 170
do show changes in 197
do show clearly the 173
do show something of 314
do show traces of 335
do slip through the 351
do some absurd thing 82
do some amount of 462
do some aspect of 71
do some browsing in 58
do some catching up 1222
do some changes in 41
do some checking in 197
do some checking of 173
do some checking on 2069
do some checking to 160
do some checking up 387
do some checks on 45
do some choose to 64
do some chores at 44
do some chores in 62
do some chores to 53
do some climbing in 76
do some credit to 313
do some damage as 42
do some damage at 61
do some damage by 155
do some damage if 313
do some damage in 299
do some damage on 65
do some damage or 52
do some damage to 3129
do some decent thing 41
do some degree of 250
do some drawings in 45
do some drawings of 179
do some effect in 60
do some fighting in 89
do some fighting on 70
do some fighting to 49
do some figuring on 239
do some figuring to 62
do some follow up 125
do some groups in 43
do some groups of 142
do some hustling to 45
do some idiotic thing 58
do some injury in 50
do some injury to 805
do some juggling to 57
do some lawful thing 52
do some little in 50
do some little thing 1124
do some little to 78
do some lobbying on 42
do some manner of 40
do some measure of 206
do some painting at 48
do some painting in 160
do some painting on 92
do some painting or 45
do some pieces of 84
do some planning in 99
do some planning of 119
do some planning on 93
do some planning to 175
do some portion of 192
do some preaching in 47
do some scouting in 40
do some scouting on 149
do some searching in 59
do some searching of 62
do some searching on 110
do some searching to 150
do some serious re 73
do some shifting of 41
do some shooting at 48
do some shooting in 261
do some shooting of 44
do some shooting on 116
do some shopping as 72
do some shopping at 853
do some shopping by 51
do some shopping if 62
do some shopping in 1636
do some shopping of 83
do some shopping on 463
do some shopping or 401
do some shopping so 136
do some shopping to 142
do some simple thing 202
do some sleuthing in 42
do some sleuthing of 42
do some sleuthing on 102
do some sleuthing to 94
do some slight thing 120
do some snooping in 42
do some snooping on 58
do some special thing 287
do some strange thing 51
do some studying at 98
do some studying in 228
do some studying of 61
do some studying on 244
do some studying to 47
do some stupid thing 115
do some touching up 110
do some training at 62
do some training in 130
do some training of 72
do some training on 87
do some tricks to 44
do some trifling thing 49
do some tutoring in 50
do some useful thing 136
do some version of 143
do some violent thing 60
do some visiting in 47
do some wicked thing 54
do speak english in 40
do speak kindly of 63
do spot checks of 113
do spot checks on 179
do such actions as 478
do such actions or 119
do such changes in 145
do such chores as 231
do such credit to 91
do such damage as 276
do such damage to 437
do such duties as 139
do such groups as 53
do such habits of 42
do such injury to 146
do such scenes as 84
do such tricks as 84
do suck through the 97
do take charge of 176
do take effect by 53
do take myself to 43
do take notice of 826
do take refuge in 93
do take refuge on 44
do take something of 41
do take stands on 55
do take thought of 40
do tend toward the 121
do test scores in 108
do their battle in 83
do their carols sing 48
do their chores as 43
do their chores at 55
do their chores in 109
do their chores on 45
do their chores or 109
do their courting in 209
do their courting on 43
do their damage as 111
do their damage at 58
do their damage by 328
do their damage in 174
do their damage to 115
do their drinking at 155
do their drinking in 233
do their duties as 690
do their duties by 59
do their duties in 594
do their duties the 45
do their duties to 470
do their fighting at 59
do their fighting in 174
do their fighting on 223
do their homage to 303
do their levels of 67
do their methods of 90
do their notions of 64
do their office as 43
do their office in 266
do their planning in 108
do their planning on 66
do their planting in 54
do their portion of 150
do their rounds in 42
do their shares of 43
do their shopping at 667
do their shopping by 127
do their shopping in 1803
do their shopping on 808
do their shopping or 299
do their sleeping at 74
do their sleeping in 42
do their spinning in 42
do their studying at 52
do their studying in 205
do their training in 144
do their training on 94
do their tricks in 44
do their utmost as 87
do their utmost at 61
do their utmost by 197
do their utmost in 2712
do their utmost on 124
do their utmost so 159
do their utmost to 44708
do their version of 157
do there except to 218
do there remain to 60
do there should be 110
do these actions in 55
do these affect the 723
do these amount to 195
do these bodies of 46
do these changes in 915
do these changes of 47
do these crowds of 68
do these depend on 63
do these differ in 195
do these feelings of 92
do these findings on 40
do these groups of 157
do these images of 180
do these impact on 74
do these issues of 51
do these layers of 43
do these levels of 120
do these methods of 109
do these models of 55
do these notions of 88
do these orders of 66
do these organs of 63
do these periods of 54
do these pieces of 141
do these points of 85
do these relate to 2013
do these resist the 53
do these result in 49
do these shifts in 79
do these swarms of 66
do these theories of 56
do these trends in 76
do these values of 85
do these visions of 42
do these weddings up 58
do thine errand to 122
do think better of 198
do think hardly of 72
do think highly of 327
do think proper to 341
do think something is 105
do think something of 52
do think twenty of 40
do those actions in 44
do those around the 43
do those around us 61
do those before the 94
do those belonging to 148
do those caused by 48
do those changes in 69
do those cliffs of 180
do those closer to 49
do those clowns do 54
do those engaged in 301
do those events in 46
do those groups of 265
do those relating to 128
do those residing in 58
do those tricks of 85
do those without the 73
do three fourths of 40
do three rounds of 52
do tiny dances on 49
do turn toward the 60
do unto another as 299
do upon arriving at 153
do upon arriving in 88
do upon entering the 153
do vary across the 219
do vary greatly in 729
do vary widely in 611
do vast damage to 86
do very little as 414
do very little at 350
do very little by 405
do very little if 352
do very little in 6274
do very little of 1215
do very little on 866
do very little or 374
do very little to 13093
do very nicely as 391
do very nicely at 50
do very nicely by 41
do very nicely if 111
do very nicely in 249
do very nicely on 137
do very nicely to 130
do very poorly at 160
do very poorly in 692
do very poorly on 513
do very wisely to 98
do walk through the 73
do want access to 65
do want readers to 41
do want someone to 178
do want something in 99
do want something of 41
do want something to 333
do well accept of 44
do well across the 67
do well always to 846
do well amazes me 42
do well around the 46
do well before the 146
do well enough as 1494
do well enough at 645
do well enough by 615
do well enough if 1516
do well enough in 6971
do well enough of 95
do well enough on 755
do well enough so 282
do well enough the 74
do well enough to 4105
do well except in 99
do well indeed if 84
do well indeed to 210
do well instead of 120
do well merely to 70
do well neither to 70
do well should be 226
do well simply by 82
do well simply to 285
do well through the 160
do well unless he 102
do well unless the 112
do well without it 554
do well without me 151
do well without the 668
do well without us 61
do were forced to 46
do were likely to 121
do were states on 51
do what actors do 56
do what adults do 378
do what almost no 66
do what appeals to 110
do what appears an 81
do what appears to 1083
do what around the 103
do what before he 76
do what belongs to 606
do what building we 56
do what damage he 319
do what damage it 102
do what damage we 96
do what humans do 186
do what little he 604
do what little is 287
do what little it 77
do what little we 761
do what lovers do 157
do what needed to 4810
do what neither he 44
do what neither of 154
do what neither the 176
do what normal is 112
do what occurs to 53
do what pleased me 58
do what pleased the 51
do what pleases me 649
do what pleases the 195
do what pleases us 208
do what seemed so 83
do what seemed the 106
do what seemed to 1384
do what serves the 47
do what should be 2879
do what someone in 51
do what struck me 44
do what without it 57
do when applying the 88
do when arriving at 82
do when bitten by 66
do when called on 176
do when called to 382
do when caught in 270
do when caught up 42
do when chased by 71
do when crossing the 73
do when deciding on 42
do when driven by 74
do when driven to 115
do when engaged in 389
do when entering the 97
do when farmed by 45
do when forced to 530
do when guided by 55
do when instead of 44
do when nobody is 84
do when placed in 462
do when placed on 41
do when planning to 53
do when pushed to 81
do when school is 181
do when someone in 89
do when someone is 885
do when something is 235
do when standing on 51
do when starting to 65
do when studying the 73
do when viewed by 46
do when visiting the 248
do will affect the 1079
do will always be 863
do will amount to 84
do will depend in 98
do will depend on 3470
do will depend to 66
do will likely be 42
do will result in 606
do will retard us 72
do will return to 113
do will surely be 95
do work around the 1371
do work better or 116
do work beyond the 134
do work enough to 235
do work except on 48
do work inside the 62
do work instead of 79
do work relating to 94
do work should be 85
do work suited to 79
do work through the 147
do work useful to 93
do work without the 103
do wrong before we 49
do wrong instead of 111
do wrong should be 113
do wrong unless he 148
do wrong without the 128
do young ladies in 44
do your chores at 63
do your chores in 44
do your chores or 43
do your drinking in 51
do your duties as 168
do your duties in 331
do your errand to 286
do your feelings of 56
do your figuring in 105
do your friend no 53
do your homage the 57
do your homage to 49
do your office of 117
do your planning on 50
do your report on 80
do your shopping at 254
do your shopping by 83
do your shopping in 445
do your shopping on 249
do your shopping or 43
do your sister to 44
do your sleeping in 89
do your studying in 85
do your training in 62
do your utmost in 330
do your utmost to 7465
do your version of 53
