day a balloon set 43
day i slipped and 57
day i slipped off 112
day i slipped out 71
day i spotted him 47
day i started and 49
day i started for 2431
day i started off 431
day i started out 1069
day i started this 175
day i started with 575
day i stepped off 319
day i stepped out 423
day i stopped and 185
day i stopped being 75
day i stopped for 130
day i stopped going 45
day i stopped him 121
day i stopped off 53
day i studied with 52
day i suggest that 48
day i suppose that 97
day i suppose they 85
day i suppose you 215
day i suspect that 117
day i venture all 115
day i visited all 104
day i visited and 104
day i visited her 1130
day i visited him 1723
day i visited his 214
day i visited one 222
day i visited our 91
day i visited that 57
day i visited them 183
day i visited this 267
day i visited two 111
day i visited was 69
day i visited with 345
day i visited you 69
day i watched and 239
day i watched for 333
day i watched her 348
day i watched him 1154
day i watched his 44
day i watched one 194
day i watched that 181
day i watched them 445
day i watched this 193
day i watched two 173
day i watched with 148
day i watched you 290
dead a century ago 102
dead a century and 136
dead a century was 47
dead a hundred and 613
dead a hundred year 82
dead i realized that 101
deal i offered you 41
dear a payment for 47
dear a sympathy and 61
death a century ago 110
death a citizen who 42
death a council was 50
death a hundred and 208
death a memorial was 45
death a petition was 41
death a pretext for 64
death a soldier who 56
death a subject for 81
death a suicide and 99
death a thousand and 45
death i believe that 96
death i blessed him 45
death i realized that 151
did a balancing act 384
did a benefit for 191
did a capable job 128
did a careful and 98
did a careful job 259
did a century ago 12268
did a century and 752
did a certain act 231
did a certain job 50
did a certain man 48
did a circuit and 59
did a concern for 91
did a concern with 60
did a concert for 76
did a concert with 109
did a country that 139
did a country with 60
did a foolish and 83
did a hatchet job 192
did a helluva job 669
did a helluva lot 248
did a hundred and 743
did a hundred sit 183
did a hundred things 220
did a madonna and 59
did a medical man 62
did a mediocre job 131
did a miracle but 107
did a miracle for 87
did a natural and 104
did a notable job 103
did a perfect job 851
did a picture for 160
did a picture with 207
did a pioneering job 71
did a popular act 57
did a program for 113
did a program with 46
did a project for 218
did a project that 102
did a project with 103
did a quality job 49
did a request for 60
did a routine with 69
did a seminar for 55
did a service for 293
did a service not 41
did a similar act 40
did a similar but 48
did a similar job 498
did a similar one 474
did a stellar job 190
did a superior job 431
did a thorough and 313
did a thorough job 4442
did a thousand and 142
did a thousand things 341
did a trapeze act 45
did a vanishing act 265
did a victory lap 167
did a wrongful act 86
did i abandon thee 56
did i account for 81
did i achieve this 74
did i acquire this 112
did i address him 43
did i attempt any 121
did i believe all 93
did i believe any 63
did i believe her 104
did i believe him 274
did i believe she 88
did i believe that 5475
did i believe them 97
did i believe they 125
did i believe this 130
did i believe you 237
did i command them 185
did i command this 91
did i concede that 42
did i confess that 84
did i connect him 48
did i connect this 60
did i connect with 100
did i cunningly lead 74
did i deceive you 147
did i declare that 87
did i deserve that 168
did i deserve this 364
did i develop this 54
did i discuss this 54
did i discuss with 51
did i dislike him 49
did i disturb you 108
did i examine this 52
did i exchange its 72
did i exclude them 57
did i explain that 347
did i exploit this 66
did i express any 101
did i finally get 176
did i finally see 54
did i foresee how 69
did i foresee that 946
did i forgive him 59
did i forsake you 56
did i imagine how 235
did i imagine she 53
did i imagine that 6950
did i imagine then 196
did i imagine they 43
did i imagine this 149
did i imagine you 307
did i moisten with 58
did i neglect you 97
did i noticed that 114
did i observe any 1081
did i observe her 84
did i observe him 51
did i observe one 85
did i observe that 658
did i observe them 62
did i observe this 64
did i overhear you 131
did i possess any 71
did i possess one 45
did i possess that 80
did i possess them 82
did i prepare for 83
did i pretend that 115
did i promise him 61
did i promise than 57
did i promise that 256
did i promise you 428
did i protest that 374
did i provide for 52
did i provoke him 83
did i quarrel with 97
did i question and 44
did i question her 47
did i question him 73
did i realized that 396
did i receive any 965
did i receive for 183
did i receive one 131
did i receive that 130
did i receive them 57
did i receive this 152
did i receive you 43
did i reflect that 204
did i rejoice that 349
did i respect him 46
did i solicit any 120
did i solicit thee 261
did i startle you 218
did i stretch out 85
did i suggest any 79
did i suggest that 635
did i suppose that 2336
did i suppose they 40
did i suppose you 113
did i surmise that 61
did i survive and 133
did i survive that 132
did i suspect any 53
did i suspect him 62
did i suspect how 142
did i suspect that 4630
did i suspect then 173
did i suspect you 100
did i sustain him 123
did i venture out 150
did i witness any 171
did i witness that 99
did i witness this 111
did i worship god 68
die a blessed death 88
die a certain death 65
die a certain way 113
die a defeated man 45
die a dreadful death 261
die a freeman than 69
die a ghastly death 44
die a glorious death 801
die a gradual death 102
die a happier and 95
die a happier man 99
die a meaningful death 51
die a natural and 238
die a natural death 38744
die a natural than 72
die a painful and 266
die a painful death 1400
die a peaceable death 66
die a peaceful and 99
die a peaceful death 1033
die a pitiful death 67
die a saintly death 59
die a similar death 126
die a useless death 109
dig a channel and 46
dig a channel for 218
dig a fortune out 99
dig a foxhole and 102
dig a foxhole for 48
dig a garbage pit 58
dig a pitfall for 48
dig a prairie dog 42
dig a shallow and 64
dig a shallow pit 295
does a balancing act 147
does a capable job 40
does a careful job 154
does a certain act 221
does a certain job 237
does a civilian mean 45
does a company get 150
does a company pay 47
does a company that 365
does a company use 290
does a company with 96
does a concern for 185
does a concern with 153
does a country get 75
does a country that 216
does a country with 118
does a creature that 90
does a culture that 40
does a decayed cit 245
does a drunken man 62
does a fireman wear 161
does a gateway that 55
does a general law 59
does a general real 127
does a hatchet job 44
does a hundred and 122
does a hundred things 75
does a laborer earn 43
does a lightning rod 92
does a manager use 54
does a married man 101
does a medical man 44
does a mediocre job 99
does a natural man 51
does a patient die 40
does a patient who 154
does a patient with 510
does a perfect job 423
does a program get 45
does a program that 111
does a project get 117
does a prophet dye 48
does a request for 142
does a respect for 43
does a routine job 49
does a service for 240
does a similar act 61
does a similar but 46
does a similar job 689
does a similar one 65
does a smaller one 353
does a society deal 57
does a society that 239
does a society with 56
does a stellar job 91
does a student get 104
does a student who 176
does a student with 53
does a subject and 49
does a subject who 41
does a superior job 445
does a thorough and 99
does a thorough job 1370
does a thousand and 102
does a thousand things 373
does a typical day 326
does a vanishing act 114
does a wrongful act 249
does b receive his 46
dog a reassuring pat 70
doing a balancing act 1431
doing a benefit for 145
doing a capable job 86
doing a capital bit 218
doing a careful and 57
doing a careful job 205
doing a certain act 1239
doing a certain job 679
doing a complex job 43
doing a concert and 42
doing a concert for 44
doing a concert with 54
doing a creative job 44
doing a demanding job 61
doing a foolish and 47
doing a gracious act 54
doing a halfway job 46
doing a hatchet job 214
doing a helluva job 271
doing a helluva lot 218
doing a history and 73
doing a hundred and 662
doing a hundred things 548
doing a judicial act 70
doing a meaningful job 43
doing a mediocre job 285
doing a musical with 62
doing a needful act 56
doing a notable job 40
doing a perfect job 532
doing a picture and 44
doing a picture for 169
doing a picture with 265
doing a program for 112
doing a program with 53
doing a project and 109
doing a project for 592
doing a project that 480
doing a project with 273
doing a quality job 393
doing a regular job 121
doing a research job 43
doing a routine job 366
doing a seminar for 65
doing a service and 69
doing a service both 43
doing a service for 863
doing a service not 117
doing a service that 187
doing a similar act 59
doing a similar job 1022
doing a skilled job 130
doing a stellar job 144
doing a stretch for 101
doing a superior job 582
doing a thorough and 211
doing a thorough job 2158
doing a thousand and 260
doing a thousand things 517
doing a trapeze act 171
doing a vacation job 51
doing a vanishing act 91
doing a wrongful act 480
doing i believe that 131
don a costume and 137
don a uniform and 577
don a uniform for 40
don t believe that 137
dry a subject for 77
dry a subject may 41
dug a channel for 145
dug a channel with 97
dug a foxhole and 75
dug a foxhole for 54
dug a pitfall for 96
dug a quarter out 88
dug a shallow pit 507
dug a shelter for 41
dying a dreadful death 44
dying a glorious death 122
dying a natural death 5882
dying a painful and 50
dying a painful death 522
dying a peaceful death 118
