daffodils that die with 80
defendant that they had 157
defendant that this was 167
defendant that was not 72
defendant was and now 139
defendant was let off 88
defendant was not and 119
defendant was not being 169
defendant was not doing 103
defendant was not for 44
defendant was not going 133
defendant was not his 47
defendant was not one 124
defendant was not put 217
defendant was not that 122
defendant was not then 173
defendant was not using 77
defendant was not yet 79
defendant was read his 52
defendant was that she 47
defendant was then and 172
defendant was using his 40
defendant who can not 1127
defendant who can pay 79
defendant who did not 1600
defendant who does not 2161
defendant who had not 543
defendant who has had 347
defendant who has not 1669
defendant who has set 82
defendant who may not 100
defendant who was being 88
defendant who was his 68
defendant who was not 1114
defendant who was then 65
defendant with his own 98
defenders and his foes 55
defenders and its foes 46
defenders had not had 44
defenders had not yet 40
defenders had run out 182
defenders say that they 75
defenders that they had 83
defenders who are not 80
defenders who did not 99
defenders who had not 176
defensive and are not 48
defensive and can not 119
defensive and did not 344
defensive and does not 163
defensive and that its 45
defensive and that they 112
defensive and was not 86
defensive end who had 81
defensive end who was 54
defensive for too long 116
defensive man can not 43
defensive man does not 66
defensive team does not 75
defensive than she had 45
defensive war and not 70
defensive war and that 169
defensive war can not 91
defensive war did not 43
defensive war does not 71
defensive war was not 88
deference and did not 97
deference and who was 59
deference are thus dying 52
deference does not mean 182
deference due his age 45
deference for age and 68
deference for any man 47
deference for her sex 48
deference for old age 77
deference than they did 76
deference than they had 76
deference than was due 47
deference that was due 212
deference that was his 66
deference that was new 53
deference that was not 63
deference they are due 47
deferrals for that year 69
deferrals that are not 81
deficient and can not 469
deficient and did not 109
deficient and does not 149
deficient and that they 66
deficient and that this 74
deficient and they are 43
deficient than his own 43
deficient that they are 93
deficient that they can 95
definition and are not 207
definition and are thus 46
definition and can not 494
definition and did not 118
definition and does not 550
definition and has not 61
definition and his own 62
definition and how they 64
definition and its own 59
definition and its use 152
definition and may not 61
definition and one that 333
definition and say that 1012
definition and see how 63
definition and that are 43
definition and that they 97
definition and that this 64
definition and then use 78
definition and they are 107
definition and use are 54
definition and was not 55
definition and who are 43
definition are not yet 44
definition are set out 53
definition but are not 134
definition but can not 56
definition but did not 55
definition but does not 193
definition but one that 134
definition but they are 54
definition but who are 44
definition can not but 77
definition can not get 42
definition did not fit 186
definition did not mean 58
definition does not add 77
definition does not aim 73
definition does not and 61
definition does not bring 69
definition does not deal 133
definition does not end 116
definition does not fit 1267
definition does not get 98
definition does not lead 173
definition does not lie 49
definition does not mean 880
definition does not say 801
definition does not set 83
definition does not use 170
definition does not yet 153
definition does two things 55
definition for each and 91
definition for each key 923
definition for each new 56
definition for each one 352
definition for his own 70
definition for its own 96
definition for low fat 100
definition for this new 93
definition for use with 44
definition god can not 63
definition goes too far 59
definition had not yet 50
definition has for its 54
definition has its own 274
definition has met with 71
definition has not yet 540
definition may mean that 44
definition one can not 666
definition one can see 77
definition one does not 60
definition one may not 40
definition one who has 64
definition than this can 47
definition that any two 41
definition that are not 139
definition that can not 276
definition that did not 289
definition that does not 1518
definition that for all 50
definition that for any 80
definition that goes with 121
definition that had any 44
definition that has any 81
definition that has not 102
definition that has yet 53
definition that may not 78
definition that one can 121
definition that they are 297
definition that they can 103
definition that was not 162
definition that you are 97
definition that you can 158
definition that you may 40
definition they are all 68
definition they are not 821
definition they are using 43
definition they can not 688
definition they did not 133
definition this can not 117
definition thus does not 70
definition was not yet 53
definition was one that 41
definition with all its 43
definition with his own 45
definition with one that 85
definition you are not 71
definition you are using 108
definition you can not 224
definition you can see 77
definition you can use 48
deflected this way and 99
deformity and does not 56
deformity and old age 137
deformity are met with 71
deformity that can not 166
deformity that does not 156
deformity that was not 42
delegates and did not 60
delegates and how they 54
delegates and that they 85
delegates and was not 48
delegates but did not 62
delegates did not all 41
delegates did not get 97
delegates did not see 122
delegates had met and 49
delegates had met for 44
delegates had met with 44
delegates had not had 54
delegates had not yet 359
delegates now with you 46
delegates set off for 61
delegates set out for 124
delegates that they are 77
delegates that they did 57
delegates that they had 557
delegates that this was 117
delegates was set for 71
delegates was that they 68
delegates who are not 348
delegates who are now 51
delegates who can not 74
delegates who did not 813
delegates who had had 42
delegates who had met 128
delegates who had not 425
delegates who met with 66
delegates with his own 42
delegation and did not 86
delegation and that they 50
delegation and was not 42
delegation but did not 54
delegation can not but 115
delegation did not ask 49
delegation did not get 74
delegation did not see 72
delegation does not mean 178
delegation had its own 86
delegation had met with 143
delegation had not yet 194
delegation had set out 48
delegation has its own 63
delegation has not yet 121
delegation set off for 89
delegation set out for 228
delegation that did not 121
delegation that does not 49
delegation that had met 71
delegation that met with 527
delegation that they had 171
delegation that this was 58
delegation that was being 46
delegation that was going 82
delegation that was not 50
delegation was met with 52
delegation was not going 60
delegation who did not 119
delegation who had not 45
delegation who met with 42
delighted all who had 108
delighted all who saw 109
delighted all with his 128
delighted and did not 244
delighted both him and 40
delighted both with her 89
delighted but did not 141
delighted for her and 115
delighted for him and 99
delighted for you and 195
delighted for you both 212
delighted her and she 215
delighted her that she 375
delighted her with his 163
delighted her with its 157
delighted him and his 146
delighted him and was 43
delighted him that she 102
delighted him that they 49
delighted him was that 50
delighted him with her 424
delighted him with his 219
delighted him with its 526
delighted his eye and 164
delighted one and all 104
delighted she was that 450
delighted she was with 753
delighted than she was 44
delighted than with all 105
delighted than you can 42
delighted that god had 267
delighted that god hath 233
delighted that her new 92
delighted that her son 312
delighted that his new 206
delighted that his old 170
delighted that his own 117
delighted that his son 549
delighted that she and 234
delighted that she can 155
delighted that she did 380
delighted that she had 3876
delighted that she has 696
delighted that she ran 261
delighted that she was 2406
delighted that they all 50
delighted that they are 582
delighted that they can 217
delighted that they did 408
delighted that they had 2380
delighted that they now 99
delighted that they put 42
delighted that things are 41
delighted that things had 186
delighted that this has 143
delighted that this was 159
delighted that you all 44
delighted that you and 678
delighted that you are 6930
delighted that you can 354
delighted that you did 426
delighted that you got 177
delighted that you had 369
delighted that you see 123
delighted that you two 94
delighted them all with 99
delighted them and they 103
delighted them that they 153
delighted them with her 227
delighted them with his 442
delighted them with its 81
delighted them with one 93
delighted they are with 102
delighted was she with 370
delighted with all her 58
delighted with all his 75
delighted with all our 58
delighted with all she 781
delighted with all that 1836
delighted with all they 437
delighted with all this 1107
delighted with all you 121
delighted with each new 156
delighted with for its 56
delighted with her and 446
delighted with her box 40
delighted with her boy 42
delighted with her dear 243
delighted with her for 57
delighted with her gay 95
delighted with her idea 54
delighted with her job 40
delighted with her new 3610
delighted with her own 1045
delighted with her singing 187
delighted with her son 504
delighted with her than 79
delighted with her that 356
delighted with her wit 230
delighted with him and 1810
delighted with him for 359
delighted with him than 261
delighted with him that 598
delighted with his day 363
delighted with his idea 286
delighted with his job 161
delighted with his new 7770
delighted with his old 48
delighted with his own 5110
delighted with his singing 47
delighted with his son 1008
delighted with his toy 50
delighted with his two 117
delighted with his wit 409
delighted with its new 321
delighted with its own 877
delighted with its wit 59
delighted with new and 47
delighted with our day 370
delighted with our new 433
delighted with our own 149
delighted with that idea 53
delighted with them all 212
delighted with them and 1561
delighted with them both 75
delighted with them but 48
delighted with them than 44
delighted with them that 1145
delighted with this act 129
delighted with this and 276
delighted with this bit 57
delighted with this easy 55
delighted with this feat 56
delighted with this idea 548
delighted with this man 62
delighted with this new 3581
delighted with this old 144
delighted with this one 222
delighted with this poem 50
delighted with this poet 110
delighted with this that 154
delighted with this way 51
delighted with you and 197
delighted with you for 61
delighted you are going 113
delighted you are with 72
delighted you did not 43
delimiter and see how 79
deliriums old and new 59
delivered all but one 65
delivered all that they 46
delivered all that was 72
delivered all this with 61
delivered and are being 48
delivered and are not 43
delivered and are now 42
delivered and can not 50
delivered and did not 135
delivered and does not 69
delivered and how they 97
delivered and she was 63
delivered and that its 40
delivered and that they 143
delivered and that this 47
delivered and they are 129
delivered and was not 129
delivered both him and 47
delivered but did not 98
delivered but does not 47
delivered but not yet 487
delivered can not but 70
delivered each day and 46
delivered each day for 44
delivered each year for 42
delivered for his own 57
delivered for his use 95
delivered her and her 279
delivered him and all 97
delivered him and his 520
delivered him for our 42
delivered him his own 54
delivered him who was 41
delivered him with his 57
delivered his new year 145
delivered his own son 113
delivered his son and 49
delivered lot and his 124
delivered not long ago 318
delivered now and then 47
delivered out for each 41
delivered that day and 82
delivered that day was 61
delivered that did not 49
delivered them one day 52
delivered them with all 53
delivered them with his 97
delivered this for you 59
delivered was one for 41
delivered with all due 74
delivered with all his 224
delivered with all its 81
delivered with all that 254
delivered with ease and 158
delivered with his own 563
delivered with its own 49
delivered with wit and 92
demagogue who did not 42
demagogue who was not 69
democracy all men are 97
democracy all things are 44
democracy and all its 435
democracy and all that 1255
democracy and are not 261
democracy and can not 590
democracy and did not 374
democracy and does not 232
democracy and for art 72
democracy and for his 48
democracy and for its 161
democracy and for that 142
democracy and for this 50
democracy and his own 155
democracy and how they 287
democracy and how this 60
democracy and its new 45
democracy and its own 106
democracy and law and 120
democracy and law are 41
democracy and not for 132
democracy and not its 116
democracy and not one 48
democracy and not with 59
democracy and one that 299
democracy and our own 110
democracy and our way 115
democracy and set out 47
democracy and that all 204
democracy and that are 42
democracy and that his 66
democracy and that its 127
democracy and that our 59
democracy and that they 417
democracy and that this 187
democracy and that too 44
democracy and that was 48
democracy and they are 382
democracy and they can 41
democracy and they did 48
democracy and this has 41
democracy and this was 66
democracy and was not 98
democracy and who are 116
democracy and who had 85
democracy and with its 48
democracy and you are 65
democracy and you can 45
democracy are not all 107
democracy are not being 42
democracy are not easy 40
democracy are not met 83
democracy are not new 49
democracy are not yet 119
democracy are one and 129
democracy but can not 48
democracy but did not 198
democracy but does not 127
democracy but not for 125
democracy but not its 66
democracy but one that 85
democracy but that they 41
democracy but they are 77
democracy can and does 76
democracy can not and 182
democracy can not but 165
democracy can not get 55
democracy can not long 904
democracy can not mean 67
democracy did not bring 96
democracy did not die 48
democracy did not end 83
democracy did not lead 91
democracy did not mean 413
democracy did not win 42
democracy did not yet 97
democracy does not aim 43
democracy does not and 101
democracy does not bring 54
democracy does not end 99
democracy does not fit 101
democracy does not lead 114
democracy does not lie 197
democracy does not mean 2055
democracy does not yet 156
democracy for all and 160
democracy for all its 125
democracy for all men 138
democracy for all that 40
democracy for him was 55
democracy for his own 88
democracy for its own 532
democracy for our own 70
democracy for that year 56
democracy had its own 92
democracy had not yet 669
democracy had run its 47
democracy had thus all 47
democracy had won its 61
democracy has for its 66
democracy has had its 228
democracy has her own 94
democracy has its own 377
democracy has not had 81
democracy has not led 49
democracy has not yet 1455
democracy has thus far 145
democracy may one day 41
democracy one can not 99
democracy say they are 53
democracy than has any 40
democracy than our own 40
democracy than they are 297
democracy than they did 47
democracy than they had 64
democracy that all men 101
democracy that are being 43
democracy that are not 147
democracy that are now 50
democracy that can not 287
democracy that did not 591
democracy that does not 1012
democracy that had long 90
democracy that had not 64
democracy that has long 43
democracy that has not 229
democracy that has yet 59
democracy that one can 65
democracy that one has 64
democracy that they are 199
democracy that they can 213
democracy that they did 49
democracy that they had 460
democracy that was being 161
democracy that was not 178
democracy that was now 41
democracy that you can 52
democracy they can not 120
democracy they did not 45
democracy was all but 58
democracy was dead and 40
democracy was for him 64
democracy was new and 55
democracy was not dead 55
democracy was not easy 57
democracy was not for 101
democracy was not going 80
democracy was not one 82
democracy was not that 109
democracy was not this 41
democracy was not yet 420
democracy was one that 206
democracy was that all 46
democracy was that its 51
democracy was too weak 46
democracy was weak and 58
democracy who are for 102
democracy who does not 50
democracy with all its 1430
democracy with all that 115
democracy with its own 362
democracy yet that did 273
democracy you can not 234
democrats and did not 44
democrats and does not 44
democrats that they had 43
democrats who are not 56
democrats who did not 152
demolition and his own 47
demolition had not yet 40
denatured dna and rna 86
dendrites and one long 94
dendrites are few and 48
dendrites are long and 84
denounced all that had 41
denounced all who did 92
denounced all who had 72
denounced any and all 66
denounced any one who 55
denounced both him and 115
denounced for being too 132
denounced for not being 89
denounced for not doing 44
denounced her and her 121
denounced her for her 130
denounced him and all 73
denounced him and had 49
denounced him and his 709
denounced him for being 218
denounced him for doing 44
denounced him for his 1423
denounced him for not 212
denounced him for this 144
denounced him for using 62
denounced him with all 42
denounced them for being 139
denounced them for not 106
denounced them with all 57
denounced with all his 95
denounced with his own 41
denounces all men that 111
denounces him and his 47
denounces him for his 164
densities and does not 41
densities and they are 48
densities are low and 567
densities are not too 188
densities are too low 376
densities that are low 40
densities that are not 211
densities that are too 175
densities that can not 110
densities too low for 131
denudation has not yet 79
departure and can not 42
departure and did not 203
departure and does not 60
departure and had not 58
departure and her own 73
departure and his death 51
departure and his own 263
departure and one that 41
departure and set out 66
departure and she had 50
departure and she was 70
departure and that his 41
departure and that she 75
departure and that they 91
departure and that this 48
departure and they had 65
departure and was not 55
departure and was now 44
departure but did not 85
departure did not bring 86
departure did not end 177
departure did not lead 44
departure did not mean 276
departure did not put 52
departure does not mean 119
departure for all his 153
departure for all our 296
departure for all that 159
departure for all who 63
departure for any new 45
departure for her new 102
departure for her own 174
departure for him and 98
departure for him out 46
departure for his art 76
departure for his long 44
departure for his new 413
departure for his own 1387
departure for its own 90
departure for new and 67
departure for one day 143
departure for one who 53
departure for our own 186
departure for that day 72
departure for this new 175
departure for war and 48
departure had not yet 195
departure has not yet 90
departure she did not 64
departure she had had 42
departure she had not 144
departure than she had 101
departure than they had 47
departure that can not 46
departure that does not 82
departure that she had 199
departure that she was 95
departure that they had 106
departure that was not 40
departure they did not 43
departure they had not 60
departure was all that 270
departure was his own 46
departure was met with 46
departure was not due 89
departure was not easy 66
departure was not far 185
departure was not for 66
departure was not going 50
departure was not long 138
departure was not that 49
departure was not yet 110
departure was put off 433
departure was set for 935
departure was that all 45
departure was that she 57
departure was that they 78
departure who did not 44
departure with all his 123
dependent and are not 361
dependent and are thus 43
dependent and can not 1170
dependent and can thus 41
dependent and did not 192
dependent and does not 854
dependent and has not 65
dependent and may not 304
dependent and one can 41
dependent and that they 165
dependent and that this 110
dependent and they are 137
dependent and they can 42
dependent and thus are 66
dependent and thus can 91
dependent and thus may 101
dependent and thus not 73
dependent and was not 134
dependent and who are 89
dependent and yet not 49
dependent being can not 112
dependent both for its 71
dependent but did not 52
dependent but does not 114
dependent dna and rna 191
dependent does not mean 107
dependent for all his 146
dependent for all its 552
dependent for all our 108
dependent for all that 177
dependent for all things 105
dependent for both its 55
dependent for her own 101
dependent for his being 55
dependent for his job 62
dependent for his own 211
dependent for its being 1272
dependent for its oil 60
dependent for its own 406
dependent for its raw 133
dependent for its use 44
dependent for that year 95
dependent for too long 155
dependent gay men and 107
dependent old age and 95
dependent than they are 155
dependent than they had 89
dependent that they are 263
dependent that they can 168
dependent they are for 58
dependent they can not 43
deponents say that they 52
deposited all that was 83
deposited and can not 41
deposited but not yet 153
deposited each year and 47
deposited each year for 86
deposited for him with 41
deposited for his use 79
deposited for one year 113
deposited her and her 89
deposited her with her 53
deposited him and his 163
deposited him with his 53
deposited his bag and 56
deposited his hat and 218
deposited that sum with 69
deposited them she did 71
deposited them with him 100
deposited them with his 85
deposited with all due 66
deposited with any one 140
deposited with him and 819
deposited with him are 85
deposited with him for 1965
deposited with him that 42
deposited with his own 60
deposited with them and 451
deposited with them are 68
deposited with them but 42
deposited with them for 758
deposited with them they 45
deposited with them was 72
deposited with you and 44
deposited with you for 76
deposition and are not 70
deposition and can not 44
deposition and did not 103
deposition and does not 106
deposition and his death 60
deposition and his own 76
deposition and that any 234
deposition and that they 48
deposition but did not 52
deposition but does not 43
deposition has not yet 123
deposition that are not 48
deposition that does not 62
deposition that she did 85
deposition that she had 284
deposition that she was 169
deposition that they can 50
deposition that they had 45
deposition that was not 97
deposition was then read 52
depositor but not yet 84
depositor who does not 51
depositor who has not 56
depravity does not mean 160
depravity had not yet 73
depravity has not yet 59
deprecating this war with 41
depreciate and cry you 81
depreciate and wear out 52
depressed all day and 50
depressed all day long 101
depressed and all that 46
depressed and are not 118
depressed and can not 952
depressed and did not 2108
depressed and dim with 42
depressed and does not 800
depressed and had not 248
depressed and has had 40
depressed and has not 118
depressed and ill and 91
depressed and may not 43
depressed and not eating 122
depressed and sad and 214
depressed and she had 48
depressed and she was 211
depressed and that her 147
depressed and that his 158
depressed and that she 338
depressed and that they 124
depressed and that this 218
depressed and that was 42
depressed and they are 115
depressed and this may 87
depressed and this was 48
depressed and was not 279
depressed and who are 95
depressed and who had 44
depressed and you can 42
depressed but can not 41
depressed but did not 486
depressed but does not 164
depressed but she was 45
depressed does not mean 282
depressed for too long 84
depressed her and she 182
depressed her that she 207
depressed her with its 47
depressed him and his 45
depressed him was that 62
depressed him with its 138
depressed man who had 94
depressed man who was 55
depressed now and then 351
depressed one day and 207
depressed she can not 51
depressed she did not 116
depressed she was and 66
depressed than are men 43
depressed than his own 52
depressed than she had 634
depressed than she was 140
depressed than they are 42
depressed than they had 195
depressed than you are 98
depressed that she can 118
depressed that she did 195
depressed that she had 650
depressed that she has 48
depressed that she was 656
depressed that they are 382
depressed that they can 478
depressed that they had 252
depressed that you are 56
depressed that you can 174
depressed they can not 52
depressed with his head 50
depressed you can not 87
depresses his key and 78
depression and all its 73
depression and all that 218
depression and are not 153
depression and binge eating 52
depression and can lead 65
depression and can not 169
depression and deal with 43
depression and did not 526
depression and does not 251
depression and fear and 91
depression and fear are 53
depression and fear that 208
depression and had had 63
depression and had not 109
depression and has not 84
depression and her own 115
depression and his own 82
depression and how they 109
depression and how this 44
depression and its own 43
depression and may lead 61
depression and may not 96
depression and new deal 412
depression and not with 47
depression and old age 51
depression and one that 43
depression and one with 42
depression and she had 80
depression and she was 96
depression and that her 53
depression and that his 98
depression and that she 144
depression and that they 165
depression and that this 216
depression and that was 56
depression and that you 43
depression and then war 285
depression and then with 42
depression and they are 82
depression and they had 54
depression and they may 47
depression and this has 43
depression and this may 58
depression and this was 77
depression and war and 329
depression and war are 52
depression and war had 386
depression and war that 228
depression and war was 103
depression and was not 211
depression and was now 74
depression and who are 82
depression and who had 118
depression and who was 43
depression and you can 43
depression are not yet 60
depression but are not 119
depression but did not 242
depression but does not 185
depression but not for 122
depression but not with 100
depression but that they 44
depression but was not 50
depression can and does 44
depression did not bring 71
depression did not cut 46
depression did not end 139
depression did not hit 162
depression did not lead 78
depression did not mean 63
depression does not lead 75
depression does not mean 213
depression for both men 112
depression for men and 90
depression had all but 59
depression had hit them 45
depression had not hit 56
depression had not yet 373
depression had run its 260
depression has had its 61
depression has its own 108
depression has not yet 256
depression has run its 121
depression near one end 69
depression now and then 153
depression than are men 149
depression than men and 50
depression than men are 48
depression than they are 94
depression than they had 100
depression that are not 201
depression that can lead 183
depression that can not 187
depression that did not 322
depression that does not 657
depression that goes with 103
depression that had hit 149
depression that had hung 118
depression that had its 51
depression that had led 87
depression that had not 108
depression that had set 182
depression that has not 271
depression that led her 45
depression that led him 54
depression that may lead 129
depression that may not 84
depression that she had 269
depression that she has 46
depression that she was 131
depression that they are 119
depression that they can 75
depression that they did 46
depression that they had 92
depression that was being 42
depression that was not 207
depression that you can 70
depression that you may 45
depression they can not 55
depression they did not 60
depression was long and 67
depression was not due 212
depression was not far 50
depression was not going 54
depression was not yet 133
depression was real and 41
depression was that she 65
depression who are not 109
depression who did not 73
depression who had not 76
depression with all its 162
depression you can not 65
deputation had not long 45
deputation set off for 104
deputation set out for 123
deputation that met him 40
deputation that they had 65
deputation was not long 42
deputized for him and 53
derivation and does not 62
derivation has not yet 83
derivation that does not 129
descended all who bear 47
descended and cut off 74
descended now and then 247
descended them all had 44
descended with all his 147
descended with all its 104
descended with his men 42
descended with his new 100
described all she had 60
described all that had 514
described all that she 51
described all that they 67
described all that was 105
described all this with 91
described and all are 45
described and are being 48
described and are not 180
described and are now 83
described and can not 185
described and did not 76
