daily cash allowance if 43
discs were incubated in 99
discs were subjected to 85
disks were subjected to 65
docks were completed in 58
docks were destroyed by 43
dolls were displayed in 45
dolls were presented to 51
domed roof supported by 153
domed roof supported on 77
domes were presented to 107
domes were supported by 52
donor site morbidity in 72
donor site morbidity is 422
donor site morbidity of 150
doors open throughout the 90
doors took possession of 48
doors were committed to 75
doors were installed at 83
doors were installed in 225
doors were installed on 61
doors were installed to 78
doors were protected by 76
doors were scheduled to 59
doors were separated by 46
doses were delivered to 40
doses were effective in 84
doses were estimated to 88
doses were expressed in 71
doses were necessary to 124
doubt also motivated by 46
doubt also reflected the 48
doubt been attracted by 106
doubt been committed by 41
doubt been developed by 144
doubt been implanted in 40
doubt been impressed by 66
doubt been occasioned by 72
doubt been subjected to 100
doubt been suggested by 104
doubt feel compelled to 58
doubt felt compelled to 87
doubt felt justified in 308
doubt find themselves in 54
doubt give stability to 54
doubt have attempted to 47
doubt have consented to 40
doubt have continued in 43
doubt have continued to 422
doubt have described as 69
doubt have described it 49
doubt have destroyed the 40
doubt have explained the 62
doubt have journeyed to 48
doubt have parallels in 45
doubt have preferred it 53
doubt have preferred the 116
doubt have preferred to 530
doubt have prevented the 112
doubt have proceeded to 44
doubt have responded to 41
doubt have satisfied the 44
doubt have succeeded in 306
doubt have succumbed to 45
doubt have surprised the 42
doubt lies somewhere in 139
doubt made desperate in 261
doubt made necessary by 50
doubt many instances in 42
doubt many instances of 111
doubt many instincts of 161
doubt more difficult to 299
doubt more effective in 47
doubt more favorable to 48
doubt more important in 46
doubt more important to 63
doubt more sensitive to 48
doubt must alternate in 48
doubt other exceptions no 91
doubt other instances of 47
doubt some influence in 81
doubt some knowledge of 48
doubt take advantage of 188
doubt taking advantage of 221
doubt their abilities to 398
doubt their existence as 135
doubt their existence in 448
doubt their existence or 166
doubt their influence in 45
doubt their knowledge of 232
doubt their possession of 247
doubt their relevance to 46
doubt their reputation is 68
doubt their sincerity in 330
doubt their sincerity or 91
doubt their willingness to 430
doubt took advantage of 267
doubt took possession of 133
doubt very dependent on 114
doubt very different in 57
doubt very difficult to 286
doubt very important in 84
doubt very important to 73
doubt very interesting to 97
doubt well qualified to 47
doubt what advantage he 53
doubt your abilities as 40
doubt your compliance in 42
doubt your knowledge of 606
doubt your sincerity in 215
doubt your sincerity or 65
doubt your willingness to 325
dozen good specimens of 112
dozen half sentences as 146
dozen leading statesmen of 111
dozen most important in 45
dozen other companies in 111
dozen other countries as 90
dozen other countries in 386
dozen other countries of 187
dozen other countries to 91
dozen other instances of 220
dozen other passengers in 145
dozen other varieties of 741
dozen seating themselves at 76
dozen such instances in 144
dozen years previously in 45
dozen years previously the 44
draft bill presented by 44
draft bill presented to 58
draft bill submitted by 140
draft bill submitted to 75
draft fifth directive on 81
draft laws submitted by 416
draft laws submitted to 85
draft plan submitted by 61
draft text submitted by 65
drain these countries of 97
drama from sophocles to 47
drama lies precisely in 57
drama took possession of 69
drama were published in 52
drama will certainly be 40
drank their afternoon tea 60
drawing also indicates the 43
drawing into themselves the 70
drawing room decorated in 175
drawing room dominated by 50
drawing room furnished in 228
drawing room overlooking the 592
drawing their knowledge of 58
drawing upon centuries of 53
drawing upon knowledge of 226
drawing upon ourselves the 110
drawing upon resources of 166
drawing upon themselves the 1417
drawing upon traditions of 117
drawn back repeatedly to 72
drawn from analogies of 103
drawn from centuries of 209
drawn from classical or 59
drawn from conditions in 59
drawn from considering the 310
drawn from countries as 41
drawn from countries in 87
drawn from discussion of 58
drawn from documents in 118
drawn from documents of 70
drawn from elsewhere in 344
drawn from elsewhere to 88
drawn from employees of 65
drawn from estimates of 76
drawn from expedient to 61
drawn from fieldwork in 70
drawn from fountains of 66
drawn from fragments of 91
drawn from garrisons in 43
drawn from graduates of 118
drawn from histories of 70
drawn from incidents in 83
drawn from incidents of 49
drawn from inspection of 263
drawn from instances of 190
drawn from invocation of 67
drawn from jerusalem to 52
drawn from knowledge of 561
drawn from liverpool to 58
drawn from newcastle to 63
drawn from obscurity by 131
drawn from obscurity in 61
drawn from originals in 49
drawn from perception of 40
drawn from portraits or 86
drawn from precisely the 150
drawn from premisses of 54
drawn from prisoners of 66
drawn from proceedings in 67
drawn from reflection on 157
drawn from residents of 122
drawn from responses of 43
drawn from responses to 313
drawn from sandstone is 46
drawn from scripture by 84
drawn from scripture in 81
drawn from scripture is 45
drawn from scripture or 384
drawn from scripture to 54
drawn from situations in 70
drawn from specimens in 495
drawn from specimens of 100
drawn from summaries of 49
drawn from throughout the 1169
drawn from traditions of 116
drawn into ambuscade at 47
drawn into arguments or 52
drawn into blasphemy or 98
drawn into conflicts by 361
drawn into conflicts in 91
drawn into conflicts of 42
drawn into considering the 45
drawn into criticism of 93
drawn into discussion of 452
drawn into discussion on 88
drawn into existence by 52
drawn into litigation in 86
drawn into opposition to 124
drawn into palestine by 55
drawn into precedent at 41
drawn into precedent by 86
drawn into precedent in 445
drawn into processes of 63
drawn into production in 43
drawn into situations in 53
drawn line indicates the 49
drawn more precisely so 49
drawn much criticism in 41
drawn prior restraint on 87
drawn their knowledge of 158
drawn upon liberally in 49
drawn upon ourselves the 88
drawn upon themselves by 133
drawn upon themselves the 989
drawn upon throughout the 233
drawn very carefully in 53
drawn very naturally in 47
drawn when considering the 73
drawn will represent the 72
drawn your character at 42
draws upon knowledge of 106
draws upon traditions of 52
dreading their intentions of 65
dreams took possession of 71
dreams very naturally of 41
dreams were connected to 47
dreams were destroyed by 67
dreams were dispelled by 100
dreams were disturbed by 270
dreams were dominated by 41
dreams were fulfilled in 51
dreams were important to 48
dreams were reflected in 45
dreams were shattered as 106
dreams were shattered by 423
dreams were shattered in 116
dreams were shattered on 49
dress their daughters in 235
dress very carefully in 118
dried beans overnight in 60
dried milk contained in 46
dried over anhydrous na 178
dried wood sharpened to 71
drift along fragments of 58
drink from henceforth of 768
drink nine spoonfuls of 47
drink their allowance of 54
drink three glassfuls of 72
drink upon agreement of 42
drive from amsterdam to 54
drive from anchorage to 50
drive from baltimore to 62
drive from california to 362
drive from cambridge to 125
drive from charlotte to 46
drive from cleveland to 76
drive from jerusalem to 263
drive from manhattan to 208
drive from nashville to 131
drive from vancouver to 67
drive gene expression in 178
drive great distances to 315
drive into manhattan to 87
drive more carefully in 128
drive size indicates the 246
drive their employees to 85
drive their livestock to 65
drive their opponents to 52
drive very carefully on 41
driving from california to 229
driving from cambridge to 41
driving great distances to 64
driving many companies to 64
driving many englishmen to 55
driving snow prevented it 49
driving their daughters to 69
driving their livestock to 51
drops were collected by 54
drops were collected in 50
drops were presented to 59
drove from baltimore to 54
drove from california to 170
drove from cleveland to 79
drove from jerusalem to 75
drove from nashville to 41
drove great distances to 42
drove into manhattan to 98
drove many americans to 68
drove many christians to 48
drove many companies to 46
drove many prisoners to 105
drove their ancestors to 41
drove their companions to 75
drove their livestock to 71
drove their occupants to 60
drove their opponents to 72
drugs also influence the 60
drugs also stimulate the 81
drugs during pregnancy in 84
drugs during pregnancy is 464
drugs during pregnancy on 96
drugs during pregnancy or 142
drugs during pregnancy to 44
drugs have continued to 59
drugs have virtually no 54
drugs lend themselves to 64
drugs like marijuana or 106
drugs made available to 75
drugs more difficult to 45
drugs most effective in 163
drugs must penetrate the 43
drugs take advantage of 62
drugs used primarily in 70
drugs used primarily to 131
drugs used throughout the 58
drugs were abandoned by 77
drugs were available at 143
drugs were available in 239
drugs were available on 50
drugs were available to 353
drugs were contained in 57
drugs were delivered to 54
drugs were described as 85
drugs were described in 45
drugs were developed as 123
drugs were developed by 93
drugs were developed in 518
drugs were developed to 267
drugs were difficult to 57
drugs were discussed in 128
drugs were dispensed by 46
drugs were dissolved in 517
drugs were effective in 335
drugs were evaluated in 42
drugs were necessary to 93
drugs were perceived as 45
drugs were subjected to 59
drugs will influence the 53
drugs work primarily by 82
ducal pair inhabited the 44
duchy were assembled at 46
ducks hiding themselves in 46
ducks were plentiful in 56
dukes were compelled to 59
dulls their perception of 40
duped into admiration by 110
durst have attempted the 85
durst have suggested an 58
dwarf wheat varieties in 90
dwell from generation to 53
dwell more especially on 86
dwell upon mountains in 51
dwelt from everlasting in 41
dwelt more especially on 134
dwelt upon throughout the 96
