dainty frills and shirrings 66
disease slowly but steadily 61
disease states may produce 42
disease states that increase 147
disease states that involve 65
disease states that produce 56
disease states that require 164
disease treated with radiation 218
disease treated with radical 47
disease treated with surgery 80
disease without any previous 41
dishes washed and stacked 53
dismal drifts and tunnels 92
dismal scheme was carried 46
dismal shores are studded 48
dismal sorrow and despair 40
dispel sorrow and vexation 97
distal pulses are present 127
distal tubule are similar 40
distal ureter and bladder 285
divers fruits and flowers 375
divers fruits with colored 42
divers papers and printed 42
divers places doth promise 50
divert myself with trifles 43
divide eastern and western 40
divide france and germany 48
divide hindus and muslims 344
divide public and private 80
dividing eastern and western 267
dividing france and germany 56
dividing hindus and muslims 136
dividing income tax expense 56
dividing public and private 261
divine agency not operating 53
divine agents and godlike 57
divine animal who carries 345
divine blessing was invoked 161
divine demand for justice 53
divine graces and virtues 49
divine honors and worship 46
divine honors for himself 170
divine intent and purpose 42
divine lesson that charity 70
divine matrix with objects 42
divine motive had brought 103
divine nature and conduct 69
divine nature and destiny 139
divine nature and dignity 108
divine nature and essence 395
divine nature and eternal 95
divine nature and majesty 74
divine nature and purpose 252
divine nature was revealed 45
divine origin and destiny 677
divine origin and essence 59
divine origin and eternal 62
divine origin and godlike 53
divine origin and heavenly 99
divine origin and purpose 480
divine origin and sanction 714
divine origin and supreme 60
divine origin was claimed 58
divine powers and virtues 52
divine purity and majesty 42
divine regard and heavenly 109
divine secret has existed 208
divine sought out captain 84
divine source and sanction 52
divine spirit and purpose 104
divine spirit had wrought 76
divine square and compass 68
divine status for himself 96
divine strength and courage 51
divine thought and purpose 149
divine virtue and becomes 81
divine wisdom and justice 410
divine wisdom and perfect 69
divine wisdom and purpose 68
divine wisdom has arranged 50
doctor famous for dulness 43
doctor gained his patient 56
doctor killed his patient 40
doctor pursuing his triumph 60
doctor should ask himself 73
doctor should not attempt 40
doctor toward his patient 48
doctor warned her against 58
doctor warned him against 86
dollar amount and percent 68
dollar amount for medical 60
dollar amount per patient 47
dollar amount per student 129
dollar limits are indexed 107
dollar reward was offered 370
domain methods for maxwell 71
domino covers two squares 49
donate organs and tissues 278
donkey carrying two bundles 75
doomed before they started 109
dorsal column and lateral 47
dorsal nerves and vessels 61
dorsal rectum and ventral 108
double aisles and chapels 57
double basses and timpani 112
double boiler and stirred 42
double cabins with private 923
double charge was carried 44
double counting with respect 59
double frames and outside 64
double images are crossed 83
double loaded his pistols 163
double market for millions 44
double motive for attacking 57
double murder and robbery 47
double murder and suicide 152
double prices for everything 68
double trench and rampart 135
doubting whether his thoughts 48
doubting whether this stranger 88
doubts touching his present 115
doubts whether they approve 40
dragging cannon and mortars 42
dragon guarding his treasure 45
draining swamps and marshes 193
dramas played out between 56
draped across her forehead 121
draped across her stomach 60
draped across his forehead 76
draped across his stomach 81
draped around her slender 55
draped casket was carried 40
draped coffin was carried 172
drawings washed with neutral 58
dreaded moment had arrived 528
dreaded moment has arrived 56
dredging rivers and harbors 217
dressing changes and catheter 50
dressing tables and mirrors 120
dressing tables with mirrors 155
drifting clouds and settled 47
drifting plants and animals 254
drifting slowly but steadily 52
drifting through his darkening 62
drinking brandy and seltzer 44
drinking coffee and alcohol 242
drinking coffee and exchanging 198
drinking coffee and gossiping 294
drinking coffee and listening 984
drinking coffee and sherbet 149
drinking coffee and shivering 43
drinking coffee and wondering 102
drinking coffee with friends 218
drinking habits and alcohol 336
drinking habits and customs 167
drinking heavily for several 188
drinking poison and expecting 70
drinking sherry and bitters 55
drinking training for problem 94
drinking trough for animals 257
drinking vessel and smacked 114
dripping foliage and network 43
dripping forest and flooded 43
driven across any country 46
driven ashore and damaged 61
driven ashore and totally 56
driven ashore and wrecked 1482
driven beyond her borders 45
driven through his stomach 79
driven through its streets 47
driven through our country 46
driven through our streets 64
driven vessel and exhibit 193
driver fought for control 63
driver slowed and stopped 45
driver tossed his gathered 89
driver training and licensing 224
driver turned and grinned 69
drooping graces and pensive 101
dropping funnel was charged 74
dropping slowly but steadily 49
drowsy forest was steeped 47
ducked bricks and bottles 41
ducked inside and slammed 45
duties except for revenue 81
duties inside and outside 184
duties levied for revenue 98
duties toward her husband 181
duties toward his fellows 75
duties toward his parents 41
duties toward our emperor 119
duties toward our fellows 40
duties without being subject 41
dwelling houses and buildings 201
dwelling houses and gardens 58
dwelling houses and offices 131
dwelling houses and several 43
dwelling houses and stables 40
dwelling houses for workmen 420
dwelling plants and animals 478
dwelling repair may require 60
