dad been 79 dad like
89 does good 149 does
like 402 does from 45
does felt 401 does heard
68 does turn 63 does
work 42 does when 204
does work 112 does upon
42 does upon 42 does
making 74 does work 86
does gazing 49 does make
98 does take 58 does
what 184 does making 44
does acting 80 does good
50 does having 71 does
some 148 does down 49
does upon 60 does like
40 does clear 444 does
from 52 does clear 115
does like 361 does when
49 does good 182 does
work 48 does work 53
does work 108 does have
111 does take 106 does
have 193 does seem 51
does much 46 does down
49 does from 121 does
from 56 does else 349
does good 2356 does harm
482 does more 217 does
other 59 does reading 85
does work 1112 does work
43 does tell 49 does
more 109 does when 133
does else 59 does here
107 does else 263 does
body 50 does upon 48
does upon 79 does from
133 does your 50 does
upon 124 does well 66
does well 69 does have
115 does have 348 does
make 63 does tell 268
does come 57 does feel
46 does have 163 does
know 103 does like 46
does live 406 does look
142 does think 124 does
want 143 does work 48
does have 60 does have
177 does need 44 does
take 41 does teach 65
does have 140 does plead
123 does think 55 does
want 387 does live 167
does card 54 does know
66 does think 53 does
come 71 does call 82
does come 146 does feel
1108 does have 1331 does
help 46 does keep 47
does know 169 does like
205 does live 830 does
make 97 does need 266
does play 150 does react
85 does take 55 does
think 1349 does want 62
does leave 488 does have
272 does know 128 does
like 58 does live 444
does look 148 does think
164 does want 319 does
hold 65 does look 89
does grow 2440 does girl
69 does give 53 does
live 159 does teach 47
does want 393 does have
51 does look 49 does
life 55 does have 913
does make 128 does need
43 does take 53 does
feel 43 does have 130
does know 82 does like
82 does live 515 does
look 104 does think 112
does want 87 does feel
168 does have 146 does
know 50 does make 49
does think 120 does want
709 does work 272 does
come 173 does have 137
does work 157 does have
45 does help 106 does
know 56 does think 75
does want 76 does make
58 dog into 95 dog
back 116 dog down 187
dog into 82 dog over
46 dog along 64 dog
down 62 dog your 41
dog else 51 dog into
42 dog their 111 dog
camp 87 dog more 98
dog from 45 doing mere
41 doing work 86 doing
harm 49 doing mine 75
doing their 117 doing work
40 doing work 46 doing
work 40 doing work 53
doing work 137 doing harm
57 doing among 59 doing
here 262 doing work 338
doing work 42 doing work
462 doing your 44 doing
work 302 doing work 46
doing gets 45 doing work
198 doing here 41 doing
there 212 doing work 50
doing work 205 doing work
174 doing here 48 doing
these 48 doing when 62
doing work 927 doing there
51 doing when 43 doing
work 280 doing making 66
doing reading 48 doing trying
44 doing what 144 doing
work 122 doing well 85
doing jobs 43 doing work
54 doing work 93 doing
work 169 doing work 143
doing work 66 doing work
58 doing among 45 doing
work 71 doing reading 44
doing work 144 doing good
655 doing work 77 doing
work 79 doing work 68
doing work 52 doing work
43 doing work 92 doing
good 164 doing hard 73
doing heavy 193 doing tall
46 doing wild 47 doing
work 55 doing work 51
doing work 907 doing work
63 doing reading 134 doing
soul 103 doing time 53
doing work 219 doing work
404 doing work 124 doing
work 763 doing good 62
doing work 78 doing work
53 doing work 44 doing
work 45 doing best 210
doing best 112 doing part
45 doing duty 48 doing
jobs 106 doing work 249
doing duty 52 doing duty
51 doing jobs 40 doing
work 410 doing duty 117
doing duty 43 doing work
312 doing work 49 doing
duty 116 doing work 81
doing best 40 doing jobs
71 doing bars 61 doing
work 42 doing else 480
doing good 582 doing harm
124 doing more 284 doing
other 66 doing reading 41
doing work 2011 doing thank
124 doing harm 62 doing
work 826 doing here 94
doing when 57 doing else
187 doing have 41 doing
good 211 doing like 215
doing else 327 doing their
50 doing best 262 doing
good 395 doing like 79
doing have 562 doing else
1146 doing evil 212 doing
work 116 don best 103
doth what 42 doth just
47 doth upon 260 doth
love 280 doth make 177
dry cook 42 dry salt
220 dry their 43 dry
such 50 dry mask 105
dry came 43 dry into
41 dry were 95 dry
over 43 dry from 51
dry thick 45 dry tears
61 dry eyes 53 dry
your 81 dry fire 56
dry upon 113 dry body
142 dry eyes 131 due
part 98 due have 242
due know 59 due been
199 due from 49 due
upon 121 due died 2351
due came 63 due away
97 due into 60 due
their 82 due come 72
due from 110 due part
76 dug into 332 dug
into 45 dug into 157
dug into 122 dug soil
93 dug into 512 dug
into 67 dug into 46
dug into 74 dying upon
46 dying rest 56 dying
want 47 dying have 43
dying other 216 dying else
43 dying come 48 dying
over 106 dying over 49
