dabbing a wet sponge 103
drove a man crazy 49
drove a new buick 93
drove a new wedge 73
drove a red cross 209
drove a tow truck 63
drugs a few times 102
drugs i had taken 144
drugs i was given 87
drunk a few beers 378
drunk a few drops 177
drunk a few hours 73
drunk a few times 752
dunes a few miles 60
duped a man whose 46
dwell a bit longer 204
dwelt a long while 234
dwelt a man named 246
