dangerous after heavy rains 53
decisive meeting took place 185
decisive period during which 66
decisive point from which 47
decisive shift took place 130
decisive steps were taken 1602
declared thirty years later 45
declared under their hands 116
declared until three months 44
declared within three months 128
declared would take place 153
declined opening their bales 62
declined sitting down again 126
declined still more after 53
declines passing four bills 45
declines which took place 99
decreased serum iron level 77
decreased total body water 320
decreased white cell count 107
decreases about three months 50
defection which took place 56
deferred until much later 152
deferred until next morning 80
deferred until some later 389
definite action took place 78
definite action were taken 54
definite basis from which 97
definite basis upon which 283
definite change took place 204
definite facts upon which 83
definite lines along which 87
definite lines upon which 41
definite period during which 278
definite pitch from reaching 42
definite plans were drawn 63
definite point from which 276
definite point upon which 64
definite price will equal 49
definite shape only after 73
definite shape when comic 87
definite steps were taken 2168
definite terms those cases 93
definite terms upon which 50
degraded state from which 43
degraded state into which 1167
deionized water three times 62
deionized water were added 358
delicate could move bones 68
delicate parts upon which 72
delicate point upon which 52
delicate slips keep coaxing 60
delicate study upon which 40
delicious viands when hungry 132
delirium would soon recur 62
delivering israel from egypt 198
delivers israel from egypt 51
delivery could take place 316
delivery might take place 130
delivery shall take place 120
delivery which took place 70
delivery within four weeks 50
delivery within three months 87
delivery within three weeks 44
delivery would have taken 47
delivery would take place 563
delusions which have taken 41
demanded falls when price 40
demanded still more money 124
demanded within three months 86
demented elder among black 145
democrat would have asked 52
deported until such facts 93
depositing layer upon layer 56
depositing within three months 65
deposits minus cash items 106
deposits which have ceased 53
deposits which have given 58
deposits which have never 52
deposits which have since 75
deposits which take place 124
deposits which took place 98
deposits which were found 79
deposits which were known 44
deposits which were later 50
deposits which were mined 43
deputies acted only under 71
deputies shall have power 106
deputies shall take place 117
descending aorta just above 121
descending aorta just below 227
descending chain from angels 47
descending scale from first 51
descents would have given 72
describe every single plant 51
deserted house from which 43
deserted james till james 101
deserted shell were tracing 48
deserter would make known 55
desertion which took place 48
desertion would leave alone 120
deserves either their blame 56
designed which will allow 68
desolate under gray skies 113
despised drops were grown 204
despotic power ever known 75
despotic power have known 44
despotic power over every 56
destined eight years later 48
destined thirty years later 52
destroying every bond which 81
detached notes grew faint 73
detached ships took place 66
detailed facts upon which 63
detailed notes were taken 239
detailed plans were drawn 307
detailed study will reveal 97
detailed within these pages 100
detained about four hours 41
detained nearly three months 77
detained nearly three weeks 54
detained pending trial could 60
detained under such order 259
detained until their cases 52
detected until much later 347
detected until well after 44
detected until years later 48
detention camps during world 286
detention order made under 158
detention pending trial shall 445
deterred others from abusing 44
deterred others from engaging 53
deterred others from joining 61
detritus falling from above 148
developing nursing care plans 467
developing plant cell walls 42
developing world have found 57
developing world have grown 57
developing world have often 147
developing world have shown 93
developing world have taken 44
develops money into world 115
develops within four months 65
deviations which take place 52
devotions which only women 51
diagnosed until much later 204
diagnosed until years later 40
diagnosis rests upon finding 61
dialogues could take place 89
dialogues which take place 81
dialogues which took place 93
differed might fall under 40
diffused alike upon every 81
diffused light from above 63
diffusion could take place 300
diffusion might take place 51
diffusion would take place 155
digestion breaks down large 58
digestion could take place 69
digestion would take place 42
diligent search made after 88
diligent search will reveal 71
dinosaur bones ever found 50
dinosaur bones were found 238
diphtheria toxin into cells 86
direction about five miles 67
direction about four miles 125
direction about three miles 79
direction comes from within 87
direction every half cycle 59
direction might take place 49
direction motion must ensue 58
direction where game might 45
direction which snow gives 62
direction which theory gives 43
direction which took place 92
direction which will allow 80
direction which will cause 163
direction would have ceased 101
direction would have given 88
direction would have taken 106
direction would take place 98
directly about their lives 54
directly about their needs 85
directly about their views 109
directly above your ankle 229
directly above your chest 151
directly above your hands 73
directly above your right 74
directly after their wedding 65
directly below your knees 63
directly given from above 81
directly touch their lives 62
directly under their names 161
directly under their noses 193
directly under your knees 101
directly under your right 53
director shall have power 100
director would have dared 52
director would have liked 43
director would have taken 44
disabled people have begun 80
disabled people have equal 86
disabled people have found 123
disabled people have often 123
disabled people living alone 107
disabled people were often 87
disagree about what kinds 69
disagree about what makes 111
disagree about what ought 147
disagree about what really 42
disagree about what would 82
disappear after having given 43
disappear after some hours 55
disappear after some months 80
disappear after some weeks 88
disappear after three months 78
disappear until much later 40
disappear which made women 62
disappear within three months 118
disappear within three weeks 76
disaster could take place 119
disaster which made haste 42
disaster which soon after 58
disaster which took place 241
disaster would take place 155
discerning reader will apply 92
discerning reader will easily 119
disciple which came first 279
disclaim within nine months 250
disclose facts well worthy 43
disclose where their money 42
discount below face value 64
discover anything else about 79
discover anything more about 231
discover black from white 58
discover until much later 252
discover until years later 198
discover where their money 46
discover where these people 46
discover which came first 53
discover which lurk beneath 88
discover within these pages 53
disgrace every good cause 40
disguise strong acts under 128
disguise within your posts 178
disgusting pinky skin beneath 45
disloyal plans into which 44
dismissing appeal from order 62
disorder arising from hasty 41
disorder found most often 40
disorder might have taken 107
disorder might well spread 470
disorder which took place 120
disorder would take place 71
dispensing again those salts 52
dispensing power nothing would 98
dispensing power some hints 196
displays which take place 51
disposal costs have risen 49
disputed facts upon which 158
disputes about those votes 41
disputes about what china 70
disputes arising from legal 48
disputes arising from trade 123
disputes often took place 43
disputes where most cases 76
disputes which come under 43
disputes which come within 65
disputes which fall under 53
disputes which fall within 90
disputes which have given 42
disputes which have raged 83
disputes which have since 58
disputes which have taken 224
disputes which have vexed 76
disputes which soon arose 55
disputes which take place 131
disputes which took place 999
disputes which will arise 62
disputes would take place 50
dissolve under your tongue 120
dissuade others from joining 279
dissuade people from engaging 52
dissuade people from joining 57
dissuade people from seeking 49
dissuade people from smoking 93
dissuade women from seeking 58
distance about five miles 104
distance about five times 44
distance about four miles 124
distance about four times 49
distance about nine miles 54
distance about three miles 125
distance about three times 90
distance above high water 351
distance above their bases 88
distance above their mouths 167
distance above their noses 124
distance below west point 65
distance keeps till night 155
distance ranges from about 59
distance scale over which 125
distance shall meet every 64
distance varying from about 95
distance varying from fifty 63
distance varying from thirty 131
distance which must exist 41
distance which other people 43
distance which will allow 138
distance would have given 94
distance would have sworn 41
distance would have taken 168
distinct change took place 140
distinct event from motion 353
distinct habit from others 59
distinct lines along which 79
distinct lines were drawn 42
distinct parts into which 153
distinct period during which 169
distinct place among indian 85
distinct races were found 43
distinct sense from cause 105
distinct though very small 44
distract people from thinking 43
distress about their souls 120
distress calls from ships 78
distress which must arise 54
distress which must ensue 64
distress which must occur 61
district about five miles 60
district about four miles 42
district about three miles 78
district clerk must serve 194
district court also based 52
district court also cited 77
district court also erred 401
district court also found 3268
district court also noted 383
district court also ruled 163
district court case files 44
district court case which 41
district court even though 212
district court from issuing 62
district court from which 528
district court here found 94
district court jury found 114
district court must apply 184
district court must either 125
district court must enter 56
district court must first 555
district court must grant 74
district court must order 49
district court must state 509
district court must still 133
district court must weigh 92
district court once again 81
district court only after 41
district court over which 48
district court plan shall 115
district court ruling which 58
district court trial judge 47
district court will enter 45
district every three months 59
district judge also found 72
district lines were drawn 848
district shall have power 678
district shall take place 49
district where such civil 189
district where such court 64
district where such goods 46
district where such lands 152
district where there would 47
district which came under 52
district which lies within 110
distrust would have given 73
disturbing event took place 124
disunity within their ranks 42
diversion could take place 70
diversion would take place 53
diverted about four miles 48
dividend every three months 43
dividend yield plus growth 82
divisions began their march 59
divisions where none exist 55
divisions which have grown 78
divisions which have never 182
divisions which have since 125
divisions which have taken 188
divisions which must arise 48
divisions which take place 322
divisions which took place 544
divisions which were growing 99
divisions which were holding 45
divisions which were known 42
divisions which were later 42
divisions which were still 144
divisions within their party 57
divisions within their ranks 589
divisions would take place 54
divorced after their first 52
divorced eight years later 71
divorced seven years later 225
divorced woman living alone 56
divorces which take place 53
doctoral thesis from which 139
doctoral thesis upon which 123
doctrine which lays claim 41
doctrine which these pages 103
doctrine which took place 94
doctrine would have found 40
doctrine would have given 43
doctrine would keep woman 43
doctrine would make every 60
document dates from about 59
document gives your agent 249
document throws much light 59
document throws some light 80
document which will serve 79
document which will shake 94
document within three months 58
dolphins bared their backs 177
domestic price fell below 72
domestic price ratio given 53
domestic price will equal 55
domestic price will yield 54
domestic savings fall short 54
domestic savings from about 65
domestic tasks like cooking 80
domestic toils were ended 40
domestic trials were borne 54
domestic water from wells 44
domestic world from which 42
dominant minor ninth chord 197
dominant party from abusing 71
dominant white male group 50
dominant white ruling class 50
dominating power over others 55
donations which were given 59
doubtful cases upon which 91
doubtful fifty years hence 93
doubtful which side would 244
downhill slide ever since 41
downward slide from which 56
downward steps have begun 41
downward trend ever since 87
downward trend from about 51
downwind under bare poles 69
drachmas could have taken 78
dragoons above four miles 79
drainage after heavy rains 52
drainage basin from which 120
drainage point fact which 45
drainage water from mines 65
drainage water from soils 54
dramatic action taking place 87
dramatic action took place 163
dramatic change came about 139
dramatic change take place 48
dramatic change taking place 184
dramatic change took place 1111
dramatic change will occur 74
dramatic event took place 361
dramatic growth took place 66
dramatic meeting took place 104
dramatic power lent every 132
dramatic power were easily 48
dramatic scene took place 289
dramatic shift took place 215
dramatic steps were taken 102
dreamless sleep from which 405
duodenal ulcer healing rates 62
duodenal ulcer were found 48
dwarfish forms into which 40
dwellers since have found 57
dynamics which take place 91
