dabbed perfume behind her 184
deeply notched dorsal fin 175
deeply stained nuclei and 72
deeply stained nuclei are 52
deeply stirred feelings may 42
deeply trapped before they 59
deeply written across his 119
defend against attack and 57
defend against claims that 59
defend against disease and 43
defend certain rights and 46
defend herself before her 46
defend himself before being 41
defend himself before god 56
defend himself before his 301
defend himself before them 83
defend himself better than 101
defend western europe and 246
defend western europe was 50
defend western europe with 100
define default values for 205
define herself through her 124
define himself through his 209
define service models for 48
defining himself through his 71
degree perhaps greater than 87
delaying gastric emptying and 190
delays between actions and 130
delays between arrest and 147
delays gastric emptying and 762
delays stomach emptying and 60
demand becomes greater and 42
demand becomes greater than 87
demand between butter and 44
demand careful planning and 216
demand careful thought and 112
demand certain rights and 44
demand exceeding supply and 94
demand exceeds supply and 1500
demand exceeds supply for 131
demand expands faster than 40
demand increasing faster than 114
demons appeared before him 83
denied certain rights and 133
denied refugee status and 66
dental amalgam fillings and 62
dental hygiene school and 91
dental workers should wear 49
deputy governing agents who 47
deputy sheriff stated that 212
derive reliable values for 48
desert between aleppo and 54
desert between mexico and 57
desert between tucson and 54
desert reappears behind him 106
desert towards england and 46
design concept called for 47
design criteria called for 89
design engineer should not 76
design problem begins with 195
design process allows for 117
design process before any 107
design process begins with 1539
design process itself and 249
design process itself can 63
design process itself was 47
design process should not 295
design process starts with 1109
design support system for 231
design support system that 53
design usually begins with 118
design usually starts with 50
desire between brother and 47
desire coursed through her 542
desire coursed through him 149
desire coursed through his 47
desire flooded through her 138
desire flooded through him 83
desire rippled through her 259
desire spiraling through her 135
detach colonel dayton with 75
detect foreign bodies and 58
detect material errors and 88
device context handle for 103
device drivers needed for 56
device receiving frames with 47
devote himself solely and 46
devote himself wholly and 181
devour everything before them 188
devour general taylor and 42
devout catholic family and 92
devout silence follow that 198
diamond pendant around her 71
differ between adults and 173
differ between blacks and 123
differ between canada and 60
differ between europe and 83
differ between female and 61
differ between groups and 125
differ between humans and 148
differ between nations and 45
differ between normal and 170
differ between plants and 55
differ between public and 115
differ between regions and 176
differ between states and 88
differ between summer and 48
differ between treated and 83
differ between whites and 75
differ between younger and 112
digest organic matter and 55
dilute caustic alkali and 48
dilute caustic potash and 87
dinner between twelve and 99
dinner together before going 48
dinner together before she 44
dioxide between plants and 62
dipole moments cancel each 111
direct affairs better than 51
direct between london and 128
direct caustic effect that 45
direct cohesion greater than 73
direct control through its 45
direct current carbon arc 148
direct current dynamo and 60
direct current motors and 380
direct current motors are 169
direct current motors for 54
direct current needed for 201
direct current should not 99
direct current source and 73
direct current supply and 82
direct current supply for 162
direct current system and 47
direct current system has 42
direct current system was 52
direct current through its 177
direct current through them 89
direct current through two 91
direct federal grants and 119
direct federal grants for 61
direct federal income tax 91
direct federal relief and 139
direct federal relief for 188
direct federal relief was 47
direct foreign policy and 322
direct frontal attack and 52
direct frontal attack was 93
direct frontal attack with 47
direct primary system and 117
direct primary system for 165
direct primary system has 113
direct primary system was 95
direct product groups can 60
direct question seemed not 50
direct question whether she 73
direct question whether they 48
direct solution methods for 42
direct surface runoff and 55
direct taxation should not 70
direct tensile strength and 167
direct tensile stress due 114
disease affecting cattle and 65
disease affecting horses and 84
disease affecting humans and 41
disease affects cattle and 57
disease becomes severe and 70
disease control methods are 54
disease extends slowly and 66
disease following therapy for 56
disease process begins with 113
disease process itself and 280
disease process itself but 42
disease process itself may 194
disease process should not 100
disease remains active for 50
disease remains latent for 44
disease shortly before death 46
disease usually begins with 1390
disease usually causes death 56
disease usually occurs with 56
disease usually reaches its 79
disease usually starts with 258
divers affairs touching his 98
divide between africa and 66
divide between animal and 52
divide between biology and 45
divide between blacks and 628
divide between church and 258
divide between clergy and 151
divide between common law 112
divide between eastern and 231
divide between elites and 50
divide between england and 89
divide between english and 218
divide between europe and 659
divide between fiction and 217
divide between formal and 88
divide between france and 218
divide between french and 169
divide between friend and 48
divide between hindus and 482
divide between humans and 641
divide between indians and 125
divide between inside and 161
divide between itself and 167
divide between leaders and 40
divide between manual and 229
divide between matter and 70
divide between mental and 157
divide between modern and 119
divide between muslim and 41
divide between myself and 59
divide between native and 42
divide between nature and 1095
divide between owners and 58
divide between policy and 50
divide between public and 2263
divide between realism and 88
divide between reality and 239
divide between rulers and 74
divide between sacred and 181
divide between school and 128
divide between speech and 51
divide between spirit and 91
divide between sunnis and 44
divide between teacher and 40
divide between thought and 155
divide between whites and 335
dividing between banker and 51
divine essence itself and 60
divine flirted openly with 56
divine justice failed not 64
divine purpose behind all 55
divine purpose behind this 49
divine service should not 74
divine service without any 43
divine worship should not 42
doctor finally called her 156
doctor himself thought his 41
doctor studies unruly and 70
dodged happily enough all 46
donned civilian clothes and 195
dormer windows looked out 334
dorsal cochlear nuclei and 53
dorsal digital nerves and 64
dorsal digital nerves are 55
dorsal digital nerves for 121
dorsal frontal cortex and 107
dorsal nervous system and 137
double fourier series and 66
double fourier series for 60
double fourier series with 57
double ignition system using 180
double jeopardy claims and 44
double jeopardy clause and 120
double jeopardy clause did 133
double jeopardy clause does 402
double jeopardy clause has 50
double jeopardy clause was 164
double jeopardy should not 47
double sterile plants with 97
double taxation relief and 227
double taxation relief for 429
double taxation through tax 42
doubly charged copper ions 75
doubly charged helium ions 310
doubly charged oxygen ions 121
doubly excited states and 58
doubly excited states are 89
dragging herself through this 67
dragging lowland duties all 59
draped herself across his 88
draped herself around him 74
draped loosely across her 45
draped loosely across his 48
draped loosely around her 289
draped loosely around his 191
dreamed between sleeping and 228
dressing becomes soaked with 76
dressing wrapped around his 52
drinking behavior before and 52
drinking glasses filled with 73
drinking instant coffee and 157
drinking mineral waters and 81
drinking turkish coffee and 136
driven everything before him 45
driven everything before them 40
driven tourism planning and 90
drives himself harder than 129
dropping mercury cathode and 104
drowsy hostler crawls out 42
duller brethren slowly and 114
duties between aliens and 41
duties between canada and 48
duties between england and 96
duties between france and 76
duties between master and 81
duties between parent and 49
duties between person and 163
duties brought before her 125
duties customs duties are 63
duties demands prompt and 49
duties include carrying out 99
duties include ensuring that 170
duties include planning and 42
