daemon process that runs 133
dress matched her eyes 114
dress material and other 88
dress printed with tiny 111
dress quickly and come 335
dress quickly and leave 118
dress trimmed with blue 329
dress trimmed with gold 351
dress trimmed with lace 1299
dress trimmed with pink 73
dress uniform and wearing 61
dress uniform and went 92
dress uniform had been 138
dress uniform with gold 187
dried berries and nuts 44
dried berries are used 42
dried berries with wild 63
dried buffalo and deer 275
dried buffalo meat from 108
dried carcase for good 158
dried carcass for good 40
dried coconut meat from 134
dried coconut meat used 112
dried flowers and other 218
dried flowers and seed 146
dried flowers are also 92
dried flowers are used 486
dried flowers hang from 47
dried flowers hung from 96
dried grasses and moss 48
dried grasses and other 102
dried herself and went 46
dried himself and went 67
dried legumes and nuts 45
dried locusts and wild 98
dried material has been 66
dried material was used 64
dried oregano and thyme 127
dried product has been 93
dried raisins and figs 42
dried rhizome and root 472
dried stigmas and tops 112
dried tomatoes and cook 131
dried tomatoes and goat 133
dried tomatoes and pine 52
dried venison and fish 117
dried viscera and skin 61
drier climate and less 44
drier climate and more 41
dries quickly and will 44
drift towards each other 209
drill presses and other 217
drill presses are used 71
drink against his will 484
drink alcohol and have 146
drink alcohol and take 354
drink alcohol are more 217
drink alcohol with their 84
drink because they feel 181
drink because they have 610
drink because they like 278
drink because they think 149
drink because they want 241
drink because they were 334
drink because you feel 45
drink because you have 171
drink because you make 108
drink because you were 52
drink bottles and cans 182
drink himself and also 95
drink liquids with meals 142
drink offered for sale 114
drink question has been 44
drink spilled all over 141
drink together and have 52
drink together and talk 189
drink traffic has been 53
drink vinegar and gall 176
drink whiskey and beer 88
drink whiskey and play 177
drink whiskey and soda 158
drink whiskey and talk 94
drink wouldst thou have 85
drive against each other 168
drive because they have 128
drive because they were 119
drive because you will 91
drive between two rows 40
drive forward its work 57
drive forward with your 48
drive himself too hard 146
drive husband and wife 41
drive letters and paths 143
drive peasants off their 82
drive steadily for four 48
drive systems are used 157
drive towards each other 155
drive towards this goal 154
drive vehicle with high 60
drive witches and evil 47
driving against each other 143
driving against his face 41
driving because they have 42
driving element was also 50
driving herself too hard 273
driving himself too hard 773
driving license had been 61
driving towards each other 40
droll stories are told 70
droop between his legs 188
drops between her lips 62
drops between his lips 68
drops everything and runs 158
drops rapidly with depth 415
drops rapidly with time 45
drops sparkle and fall 83
dross refined and clear 299
drove against each other 43
drove against his flying 84
drove forward and just 65
drove himself and those 63
drove himself out into 60
drove himself too hard 272
drove planted both feet 48
drove towards her home 68
drown himself for love 69
drugs account for more 115
drugs account for most 42
drugs account for only 72
drugs against his will 498
drugs because they feel 145
drugs because they find 66
drugs because they have 449
drugs because they know 47
drugs because they lack 45
drugs because they like 68
drugs because they made 50
drugs because they make 69
drugs because they think 84
drugs because they want 218
drugs because they were 335
drugs because they will 72
drugs depends not only 54
drugs include dry mouth 121
drugs include not only 119
drugs offered for sale 145
drugs preceding death from 111
drugs steadily for three 50
drugs together with other 42
drugs together with their 48
drums because they were 40
drums covered with cloth 48
drunk because they have 85
drunk because they were 59
drunk drivers and other 40
drunk drivers who kill 44
drunk oftener than once 46
ducal coronet had been 79
ducks because they were 40
dummy variable for having 197
dummy variable for high 204
dummy variable for race 426
dummy variable for self 51
dummy variable for these 154
dummy variable for those 549
dummy variable for time 220
dummy variable for type 139
dummy variable for union 116
dummy variable for years 193
dummy variable has been 481
dummy variable that took 80
dummy variable that will 47
dummy variable was also 278
dummy variable was used 912
dummy variable with zero 52
dumping grounds for many 58
dumping grounds for their 440
dumping grounds for those 246
dunes covered with beach 41
dusky figures that were 162
dusky figures who were 68
dusky monarch was seen 49
dusty streets and gaping 50
dusty streets did rule 67
dusty volumes that have 54
dwarf general tom thumb 66
dwarf willows and other 59
dwell forever and ever 388
dwell forever with those 43
dwell outside his tent 67
dwell together and make 68
dwell together and prop 43
dwell together for ever 284
dwell together with their 44
dwelt perhaps too much 41
dwelt together for some 78
