udders and teats of all 121
urgent and what is not 104
urgent had come up and 56
urgent has come up and 68
urgent than those he had 137
urgent that there is not 60
usages and arts of his 115
usages and laws of all 81
usages and laws of war 120
useful and fair is not 516
useful and good to her 140
useful and good to read 171
useful and many of them 42
useful and some of them 85
useful and what is not 1027
useful for coming up with 40
useful for some of our 66
useful for such as are 42
useful for those of you 184
useful for what it can 59
useful not only in its 55
useful not only in this 49
useful not only to his 40
useful not only to our 47
useful not only to them 42
useful not only to you 64
useful than most of her 41
useful than none at all 41
useful than those of any 42
useful than when it did 40
useful they will be for 76
utmost that lies in his 43
utmost thou hast in thee 905
uttering one breath of this 65
