dainty limbs did lay in 127
ducked under his arm to 78
duties under this act as 469
duties under this act in 158
duties under this act of 68
duties under this act or 673
duties under this act the 129
duties under this act to 147
duties until his death in 144
duties which are due to 113
duties which are not in 55
duties which are not of 83
duties which are not the 42
duties which are not to 54
duties which are now or 83
duties which are owing to 97
duties which can not be 983
duties which man has to 47
duties which may not be 185
duties which may now or 66
duties which men owe to 521
duties which they are to 414
duties which they had to 509
duties which they may be 202
duties which they owe to 1986
duties which you owe to 445
dwelling house and all the 119
dwelling house and lot of 344
dwelling place can not be 214
dwelling place for god in 488
dwelling units that can be 187
dwelling units that may be 46
dwells within each one of 258
