databases allow you to use 51
doctrines which they do not 456
doctrines which you do not 230
documents filed with the irs 63
documents filed with the sec 2363
documents prove that he was 77
documents prove that it was 46
documents proving that he had 126
documents proving that he was 168
documents reveal that he was 42
documents reveal that it was 48
documents showing that he had 130
documents showing that he was 99
documents which are in his 189
documents which can be read 65
documents which may or may 157
documents which they do not 59
dominance graph and the area 71
doubtless agree with me that 218
doubtless agree with us that 54
doubtless every one of them 70
doubtless feeling that he had 63
doubtless given them up for 76
dramatist knows that as long 42
duplicity which had so long 68
