dainty gold watch on her 58
differ from others in his 72
differ from others in its 65
differ from others in one 42
differ from others in that 1500
differ from others in this 211
differ from others in two 47
differ from others is that 116
differ from others of his 157
differ from others of its 56
differ from others of this 43
differ from rules in that 55
differ from seeds in that 87
differ from taxes in that 59
differ from verbs in that 63
differ from wages in that 56
differ from works of art 59
dinner even though it was 40
dinner there would be pot 47
dinner took place at six 47
dinner will spoil if you 47
diocese over which he had 49
diocese over which he was 99
dipped over again by long 68
dipped their hands in any 111
dipped their hands in his 93
direct from father to son 404
direct from heaven to earth 44
direct their hearts in that 47
direct their hearts in this 83
direct their hearts to god 70
direct their lives to god 109
direct their minds to god 116
direct their writs to all 72
disease from onset to death 61
disease from which he had 1696
disease from which he has 113
disease from which he may 74
disease from which he was 2381
disease from which it has 100
disease from which it was 60
disease from which no one 199
disease from which the man 59
disease from which we all 153
disease from which we are 124
disease over which he has 44
dishes from which he ate 96
dishes into which we put 43
distal bone takes in this 43
disuse into which it had 41
disuse into which it has 56
divers other parts of this 98
divert their funds to any 55
divest their minds of all 116
divest your minds of all 100
divide from eight to ten 59
divine good really in our 81
divine kiss which is both 95
divine life which he has 95
divine soul which in any 50
divine union until it has 55
divine what could be his 48
docile body which he had 52
doctor even though he had 70
doctor kept telling me that 112
doctor swung round on him 40
doctor will check to see 86
dogged your steps if you 55
dollar bill which he had 129
dollar gold piece he had 49
dollar gold piece in her 65
dollar gold piece in his 338
dollar gold piece on his 123
dollar gold piece on this 198
dollar help would be cut 40
domain from which it was 100
domain over which he had 61
domain upon which to bring 41
dotted line curve in fig 59
dotted line joining the two 52
dotted line shown in fig 604
dotted line shows the area 66
dotted line shows the mean 221
dotted line shows the new 121
dotted line shows the path 477
dotted pond where the air 55
double salt which is not 48
double their money in six 87
double turn round the end 54
double your money if you 169
double your money in one 42
double your money in six 202
draining huge horns of ale 55
drawer from which he had 238
drawer from which it had 45
drawer into which he had 50
drawer into which he was 42
drawings from which it was 55
dreamed last night of being 60
dreamed there could be any 72
dressing gown which he had 82
dressing room where he had 55
dressing room where he was 108
dressing room while he was 171
dripping mass sways to and 69
driven back until we can 41
driven from athens by his 58
driven from power by his 125
driven from thence by his 62
driven into exile by his 497
driver knew where he was 118
drooping young trees of ash 42
dropping more boats as she 42
droves were about to set 90
duties from which he can 68
duties from which he had 102
duties into which he was 84
duties upon which he was 72
duties were given up and 59
