dad and 113 dad and 66
did cut 66 die and 262
die for 70 die near 67
die out 63 die with 730
die off 59 die that 152
die weal 68 die and 153
die that 79 die you 49
die that 75 die with 64
die being 62 die his 40
die nor 55 die who 43
die that 293 dig and 41
dig and 138 dim them 41
dim has 83 dip and 109
does all 69 does things 63
does and 105 does for 54
does and 109 does how 42
does does 76 does his 47
does who 67 does his 70
does his 65 does thee 93
does not 52 does law 92
does add 61 does and 50
does bring 375 does lead 2057
does mean 2534 does put 99
does say 84 does any 970
does with 160 does than 237
does for 390 does with 58
does for 491 does that 470
does with 70 does you 46
does things 41 does and 53
does for 55 does for 58
does with 381 does and 40
does with 276 does and 62
does that 60 does any 62
does being 145 does her 152
does his 607 does its 760
does man 119 does one 359
does our 207 does that 3862
does them 440 does this 2145
does two 169 does than 506
does and 106 does than 710
does now 66 does than 117
does and 347 does than 2274
does with 55 does than 365
does for 61 does all 406
does and 146 does any 660
does for 130 does her 45
does his 143 does its 92
does one 40 does that 180
does them 95 does this 467
does with 710 does its 62
does his 72 does that 382
does you 72 does mean 52
does act 71 does add 236
does and 73 does bar 204
does bear 165 does bring 640
does deal 44 does end 47
does get 46 does lead 3251
does mean 6798 does put 81
does run 45 does say 324
does set 112 does bring 48
does mean 113 does that 2688
does that 120 does that 131
does you 198 does you 1493
does set 48 does aim 52
does bring 44 does deal 44
does end 140 does get 40
does lead 96 does lie 95
does mean 15888 does say 120
does use 131 does add 118
does and 159 does bar 184
does bring 714 does fix 48
does lead 1478 does mean 2598
does put 171 does say 51
does set 64 does win 40
does not 1292 does add 122
does them 96 does for 89
does who 78 does pay 54
does lie 97 does say 44
does than 80 does not 44
does end 54 does and 61
does not 97 does you 78
does that 334 does out 64
does that 276 does that 309
does out 228 does for 68
does with 77 does its 59
does that 236 does that 44
dog cat 715 dog and 58
doing and 70 doing that 59
doing that 76 doing they 231
doing and 124 doing for 47
doing things 130 doing they 97
doing things 352 doing things 92
doing and 79 doing things 53
doing and 102 doing for 56
doing things 53 doing for 136
doing why 47 doing and 47
doing that 42 doing than 54
doing not 70 doing not 86
doing and 40 doing not 295
doing than 104 doing not 93
doing way 40 doing way 95
doing not 161 doing that 59
doing not 60 doing than 93
doing that 99 doing not 46
doing does 55 doing that 137
doing you 69 doing that 209
doing not 191 doing that 44
don bath 83 doth lay 60
doth who 79 dot and 62
dry than 92 dry gas 100
dry them 46 dry was 71
dry wet 141 dry are 65
dry are 52 dry and 42
dry air 126 dry wet 56
dry and 240 due for 126
due can 50 due due 65
due due 2554 due and 92
due and 46 due year 59
due but 184 due but 121
dug for 76 dug and 66
