dame schools as late as 40
done perhaps as much as 112
done quickly to meet the 62
done quickly to save the 54
done quickly to stop the 47
done regarding the role of 50
done towards the making of 118
done towards the work of 53
done usually by means of 93
door against the bears he 40
door against the rest of 42
door against the side of 71
door against the wall as 40
door against the wall of 41
door brought me back to 148
door crowded at dawn by 48
door exposed to view the 103
door slammed so hard the 44
door testify the depth of 40
door towards the back of 41
dose reduces the risk of 50
dost advance as high as 351
dost deserve to have thy 107
dost embrace the faith of 62
dost forgive the sins of 1076
down according to type of 275
down according to what is 43
down against the army at 51
down against the back of 946
down against the base of 418
down against the body of 44
down against the camp of 132
down against the edge of 508
down against the face of 156
down against the feet of 110
down against the foot of 138
down against the hood of 101
down against the pull of 143
down against the side of 2147
down against the wall as 43
down against the wall in 201
down against the wall of 974
down against the wall on 112
down against the wall to 240
down against the will of 178
down against the wind by 77
down because he felt he 70
down because he knew he 56
down because he said he 121
down because of lack of 2375
down because of loss of 44
down because of what he 56
down because so many of 45
down because the cost of 186
down because we have no 59
down because we want to 98
down between my legs at 41
down between my legs to 179
down between the ages of 70
down between the arms of 52
down between the back of 107
down between the bars of 176
down between the edge of 118
down between the ends of 166
down between the feet of 48
down between the heads of 48
down between the legs in 89
down between the legs of 489
down between the legs to 104
down between the rows of 3439
down between the rows to 45
down between the seats to 94
down between the side of 161
down between the time of 133
down between the wall of 45
down everything he told me 50
down herself to hell to 44
down hitherto as from an 51
down markets as well as 82
down millions of tons of 324
down outside the city by 87
down outside the door of 410
down outside the door to 166
down outside the line of 234
down outside the realm of 49
down payment as part of 46
down payment as well as 281
down payment in cash at 97
down payment is made on 41
down payment of half the 44
down payment to hold the 86
down quickly as soon as 55
down quickly to pick it 48
down quickly to pick up 128
down quietly to work so 109
down resolving to take my 99
down tightly by means of 124
down together as used to 47
down together the best of 60
down together to look at 143
down together to plan the 58
down towards it from the 124
down towards it three or 40
down towards me from the 98
down towards the apex of 61
down towards the back of 406
down towards the bank of 72
down towards the base of 851
down towards the bend of 46
down towards the body of 61
down towards the edge of 674
down towards the foot of 764
down towards the gate of 147
down towards the gulf of 201
down towards the heart of 62
down towards the lake in 40
down towards the lake of 313
down towards the line of 63
down towards the mouth of 1012
down towards the open sea 76
down towards the root of 108
down towards the side of 58
down towards the site of 40
down towards the south of 50
down towards the tail of 46
down towards the town of 71
down towards us from the 148
down versions of some of 42
down versions of what the 154
drag himself up from the 61
draw between the acts of 50
draw diagrams to show the 99
draw forward the rest of 60
draw himself up from the 81
draw himself up into the 47
draw together an army of 47
draw together as many of 41
draw together the ends of 86
draw together the ideas of 50
draw together the work of 104
dream preceding the firing on 88
dream volumes of poesy of 40
drew herself up from the 92
drew herself up into an 83
drew herself up into the 48
drew herself up like an 48
drew himself up among the 44
drew himself up from the 165
drew himself up into an 63
drew himself up into the 205
drew himself up like an 64
drew himself up over the 48
drew himself up till he 80
drew himself up when he 51
drew together an army of 115
drew together at last to 67
drew together the wood in 85
drew together the work of 57
drew together to form the 66
drew towards the door of 124
drew towards the gate of 52
drop against the back of 86
drop against the side of 43
drop between the ages of 87
drop between the ends of 369
drop everything to come to 156
drop everything to talk to 41
drop forever the name of 64
drug abusers as well as 201
drug addicts as well as 301
drug against the rest of 146
drug because the same is 68
drug benefit as part of 65
drug control as seen in 63
drug depends in part on 50
drug effects as well as 96
drug problem as well as 46
drug reactions as well as 100
drug reduces the risk of 64
drug reduces the size of 40
drug screening as part of 77
drying chamber by means of 109
drying himself as well as 52
drying process as well as 46
dual function of acting as 182
dual purpose of acting as 253
dual purpose of bringing the 64
dual purpose of giving the 115
dual purpose of making the 109
dual society or from the 59
duct between the duct of 43
duel between the duke of 441
duel between the guns of 45
duke awaited the coming of 91
duke divided it into as 45
dull current in hers is 81
dull routine of life at 61
dull routine of life in 83
duly capable it will be 716
duly elected to fill the 1338
duly exposed the same on 40
dumb animals as well as 84
dumb animals to feel the 41
dump millions of tons of 206
during billions of years of 62
during daytime as well as 60
during diastole as well as 97
during infancy as well as 166
during marriage as well as 126
during marriage by gift or 198
during millions of years in 85
during millions of years of 611
during millions of years to 68
during mitosis as well as 61
during refusal to work or 56
during slavery as well as 45
during storage as well as 140
during surgery as well as 284
during surgery by means of 42
during surgery or during the 43
during systole as well as 73
during vacation as well as 63
during wartime as well as 71
dust billowing up from the 87
dust bunnies the size of 102
dust drifted up from the 50
dust stirred up from the 82
dust swirled up from the 114
dust swirled up into the 41
dust whirled up from the 80
duty because of lack of 563
duty between the ages of 114
duty extends as well to 61
duty outside the door of 50
duty towards the rest of 51
