damn that son of a 41
done was not of a 45
done was set up a 48
done with him as a 102
done with him by a 324
done with him in a 76
done with him is a 68
done with that of a 51
done with them in a 189
done with use of a 56
done with you in a 59
done you out of a 49
door and all of a 94
door and are in a 40
door and ask if i 172
door and hid in a 135
door and let in a 906
door and not to a 132
door and out of a 71
door and put in a 99
door and put on a 165
door and put up a 142
door and ran to a 55
door and sat in a 137
door and sat on a 411
door and say in a 64
door and see if i 104
door and set up a 252
door and sit in a 83
door and was in a 57
door but one to a 93
door led out to a 142
door that lead to a 50
door that led to a 2695
door that led up a 47
door was hung on a 53
door was set in a 100
door was that of a 96
dose can lead to a 60
dose may lead to a 71
down all day in a 113
down all day on a 116
down all things in a 43
down and act as a 151
down and all of a 295
down and bring me a 86
down and bring up a 348
down and buy me a 120
down and die if a 43
down and die in a 261
down and die of a 74
down and get in a 46
down and get me a 423
down and get us a 175
down and got in a 49
down and got me a 82
down and hid in a 118
down and lay in a 334
down and lead to a 132
down and led to a 118
down and let in a 74
down and lie in a 137
down and lit up a 224
down and out as a 207
down and out at a 43
down and out by a 107
down and out in a 427
down and out of a 106
down and out on a 130
down and out to a 105
down and pay me a 96
down and pay us a 117
down and put in a 788
down and put on a 1166
down and put up a 1169
down and sat in a 378
down and sat on a 536
down and say in a 46
down and see if a 100
down and see if i 1348
down and set up a 596
down and sit in a 154
down and sit on a 105
down and then in a 130
down and then up a 172
down and was in a 181
down any one of a 116
down each day in a 94
down for fear of a 107
down for her on a 163
down for him by a 150
down for him in a 264
down for him on a 484
down for them by a 171
down for them in a 177
down for use as a 364
down for use in a 136
down for you in a 201
down for you on a 55
down her arm in a 370
down her head in a 83
down her things on a 40
down his arm in a 220
down his hat in a 41
down his hat on a 68
down his head as a 1877
down his head in a 110
down his head on a 51
down his head to a 47
down his pen as a 68
down his pen in a 56
down near her on a 50
down near him on a 46
down one arm of a 44
down one day at a 40
down one day in a 216
down one day on a 66
down one day to a 111
down one end of a 520
down one leg at a 63
down one row at a 130
down that this is a 108
down that way in a 55
down them one at a 52
down them two at a 129
down this law as a 41
down this way in a 129
down two men at a 48
down was that of a 54
down with her at a 104
down with her in a 828
down with her on a 679
down with her to a 257
down with him as a 137
down with him at a 223
down with him in a 1196
down with him on a 875
down with him to a 788
down with that of a 209
down with them as a 197
down with them at a 152
down with them in a 814
down with them on a 246
down with them to a 496
down with you if i 254
down with you in a 281
down with you to a 57
drag her off to a 78
drag her out of a 59
drag him off as a 65
drag him off to a 232
drag him out of a 142
drag them all to a 41
drag them off to a 68
drag them one at a 51
drag them out of a 43
drag you off to a 91
drag you out of a 67
drag you out on a 45
draw air out of a 73
draw him out in a 51
draw him out of a 73
draw him out on a 77
draw him out to a 61
draw his bow at a 62
draw one end of a 45
draw one out of a 47
draw one ton on a 42
draw them one at a 64
draw them out in a 87
draw them out of a 129
draw them out to a 104
draw wit out of a 90
draw you out of a 48
dread and fear of a 47
dread one day at a 396
dream can not be a 42
dream she had as a 69
dream she was in a 312
dream she was on a 41
dream that death in a 55
dream that she is a 658
dream that this is a 52
dream was not of a 44
dream was one of a 55
dream was that of a 173
dream you are in a 293
drew for him in a 43
drew her eye to a 44
drew him out of a 49
drew his bow at a 303
drew his car to a 50
drew his gun on a 50
drew his team to a 83
drew out with it a 58
drew them off to a 125
drew them out of a 75
drop her off at a 254
drop her off in a 51
drop him off at a 328
drop him off in a 91
drop him off on a 42
drop our lead on a 48
drop out due to a 44
drop them off at a 307
drop them off in a 69
drop them off on a 42
drop them one at a 126
drop was due to a 391
drop you off at a 625
drop you off in a 85
drop you off on a 50
drug and not as a 109
drug are due to a 41
drug can act as a 84
drug can lead to a 108
drug for use as a 69
drug for use in a 79
drug may act as a 249
drug may lead to a 134
drug may not be a 53
drug use can be a 110
drug use led to a 43
drug use may be a 524
drug with that of a 44
duck and then as a 42
duct may lead to a 41
dull red heat in a 420
during each act of a 56
during each day of a 125
during each year of a 142
during her year as a 64
during his year as a 223
during its use as a 339
during one day in a 48
during one day to a 178
during one year by a 46
during one year in a 195
during one year of a 41
during one year on a 49
during that war as a 57
during that year as a 152
during that year in a 80
during that year to a 104
during this era as a 87
during this era is a 49
during this year as a 91
during this year by a 92
during this year in a 49
during this year of a 43
dust and din of a 48
dust and gas in a 58
dust and heat of a 205
dust can act as a 42
dust fog out of a 52
duty and not as a 597
duty and oath of a 46
duty but out of a 167
duty can not be a 126
duty for fear of a 56
duty than that of a 143
duty was not of a 61
duty was that of a 277
duty you owe to a 40
dyeing was with it a 55
