damn the nation because it 155
down the hilly streets of 290
down the inner surface of 1316
down the irish channel to 44
down the jewel exactly on 101
down the lanes between the 322
down the legal quibble of 56
down the lines between the 108
down the lingual surface of 50
down the meadow towards the 43
down the medial surface of 274
down the muddy streets of 124
down the offer because he 185
down the offer because it 65
down the offer because of 101
down the offer because the 58
down the opening between the 52
down the outer surface of 710
down the phone numbers of 368
down the quiet streets of 526
down the rapid current of 446
down the ridge between the 150
down the ridge towards the 262
down the river according to 43
down the river against the 390
down the river because of 117
down the river because the 53
down the river between the 514
down the river brought us 43
down the river columbia to 482
down the river towards the 3198
down the river towards us 106
down the river valleys of 226
down the river valleys to 214
down the rocks towards the 212
down the rocky incline to 53
down the roman prelate to 41
down the rough surface of 264
down the rules according to 377
down the rules governing the 916
down the rules regarding the 204
down the sands towards the 121
down the scale according to 178
down the scale depending on 40
down the serial numbers of 578
down the seven flights of 280
down the shady avenues of 89
down the shaft towards the 42
down the sharp incline of 48
down the short hallway to 1904
down the short incline to 137
down the short passage to 223
down the short stretch of 452
down the slope against the 117
down the slope between the 602
down the slope outside the 43
down the slope towards it 42
down the slope towards me 148
down the slope towards the 7676
down the slope towards us 428
down the sloping streets of 62
down the sloping streets to 57
down the sloping surface of 302
down the small hallway to 54
down the smooth current of 212
down the smooth descent of 138
down the smooth expanse of 49
down the smooth footpath by 41
down the smooth surface of 450
down the space between the 880
down the steep decline of 49
down the steep descent in 90
down the steep descent of 1038
down the steep descent on 52
down the steep descent to 760
down the steep flights of 132
down the steep incline at 189
down the steep incline in 150
down the steep incline of 1300
down the steep incline on 64
down the steep incline to 1202
down the steep streets of 630
down the steep streets to 218
down the steep towards the 46
down the steps between the 442
down the steps outside the 400
down the steps towards it 254
down the steps towards me 212
down the steps towards the 2400
down the steps towards us 79
down the stone passage to 45
down the stream towards the 864
down the stream towards us 117
down the strong barrier of 167
down the strong current of 41
down the swell towards the 40
down the swift current in 41
down the swift current of 438
down the swift current to 59
down the table between the 47
down the table towards the 119
down the thames towards the 102
down the track between the 288
down the track towards the 1510
down the track towards us 243
down the trail between the 113
down the trail towards the 670
down the tubes because of 388
down the tubes because the 47
down the under surface of 46
down the upper surface of 340
down the walls between the 1172
down the walls between us 205
down the walls erected by 49
down the weeds between the 49
down the white primary in 154
down the whole concept of 137
down the whole economy of 48
down the whole edifice of 1051
down the whole history of 290
down the whole process of 486
down the whole stretch of 47
down the whole surface of 245
down the winding streets of 169
down the winding streets to 41
down the words exactly as 103
down the words uttered by 41
down the working channel of 55
down to amuse himself at 210
down to build himself up 100
down to defeat because of 311
down to egypt because of 115
down to enjoy himself in 50
down to fight against the 203
down to getting schmidt to 140
down to santa barbara in 89
down to santa barbara to 51
down to showing himself in 88
down to sleep between the 52
down to sleep wrapped in 104
down to small details of 44
down to write letters of 131
down to write letters to 328
drag is still exerted in 128
drag the mouse pointer in 143
drag the mouse pointer on 80
drag the mouse pointer to 2995
drag the mouse pointer up 153
dram of fluid extract of 81
draw an exact picture of 182
draw in large amounts of 45
draw in large numbers of 312
draw my sword against my 129
draw my sword against the 176
draw on large numbers of 58
draw the basic outline of 55
draw the blood towards the 50
draw the enemy towards the 46
draw the final curtain on 45
draw the force polygon as 42
draw the given vectors in 55
draw the lines between the 382
draw the links between the 133
draw the moral lessons we 205
draw the people together in 43
draw the sword against me 81
draw the sword against the 945
draw the threads together by 43
draw the threads together in 57
draw the train herself the 72
draw the water upwards to 45
draw the whole revenue of 48
draw up rules governing the 79
dread the first effects of 81
dread to touch slavery in 57
dream he finds himself in 61
dream he found himself in 217
dream he found himself on 55
dream in which everything is 50
dream of putting himself in 142
dream of winning britain to 45
drew an amusing picture of 158
drew an awful picture of 66
drew in large numbers of 209
drew in nearer between the 57
drew my chair towards the 59
drew the final curtain on 69
drew the lines between the 72
drew the people together in 146
drew the sword against the 268
drop in blood glucose to 49
drop in speed between no 268
drop in voter turnout in 62
drop of blood against the 125
drop of blood allowed to 74
drop of blood appeared at 74
drop of blood appeared on 217
drop of blood remains in 274
drop of blood spilled in 206
drop of blood spilled on 182
drop of blood stained the 297
drop of iodine solution is 100
drop of iodine solution on 231
drop of iodine solution to 345
drop of strong solution of 240
drop of sugar solution on 44
drop of water adheres to 52
drop of water against the 82
drop of water allowed to 63
drop of water applied to 87
drop of water between the 245
drop of water excepting the 43
drop of water mirrors the 43
drop of water remaining in 41
drop of water remains in 74
drop of water returning to 105
drop of water returns to 57
drop of water sizzles in 77
drop of water sizzles on 154
drop of water stained the 94
drop the whole question of 57
drop the whole subject of 71
drug is still present in 86
dual av nodal pathways in 76
duel of words between the 61
dues or fines exacted by 93
duke of guise against the 126
duke of savoy against the 147
duke of savoy retired to 44
during an action against the 41
during an acute episode of 766
during an acute episode or 56
during an acute illness or 104
during an acute increase in 42
during an armed robbery at 73
during an armed robbery in 108
during an armed robbery of 129
during my brief sojourn at 121
during my brief sojourn in 312
during my field research in 408
during my field studies in 63
during my first attempt to 49
during my first journey in 44
during my first journey to 117
during my first sojourn in 173
during my short sojourn at 55
during my short sojourn in 157
during my whole sojourn in 126
during or after attacks of 44
during or after removal of 47
during or after surgery in 42
during or after surgery is 50
during or after surgery or 61
during the action against the 94
during the action between the 137
during the acute attacks of 70
during the acute episode is 43
during the acute episode of 243
during the acute episode or 60
during the acute illness in 43
during the acute illness is 72
during the acute illness or 109
during the awful moments of 42
during the birthing process or 44
during the blues revival of 77
during the booming economy of 65
during the boxer outbreak in 46
during the boxer trouble in 52
during the breaks between the 90
during the brief absence of 185
during the brief duration of 291
during the brief episode of 96
during the brief flowering of 66
during the brief history of 240
during the brief instant of 66
during the brief moments at 45
during the brief moments in 41
during the brief moments of 396
during the brief passage of 49
during the brief remnant of 195
during the brief respite of 55
during the brief revival of 103
during the brief sojourn of 140
during the brief triumph of 47
during the burial history of 51
during the burning process is 41
during the casting process is 65
during the change process is 50
during the change process to 80
during the chaos following the 135
during the clash between the 113
during the cleaning process is 44
during the close contact of 42
during the closing credits of 75
during the closing decades of 4741
during the closing minutes of 245
during the closing moments of 319
during the closing quarter of 245
during the closing seconds of 46
during the closing sessions of 41
during the coating process is 44
during the coating process to 42
during the cooking process is 80
during the cooking process or 51
during the cooking process so 46
during the cooking process to 156
during the cooling history of 61
during the cooling process by 45
during the cooling process in 68
during the cooling process is 121
during the cooling process of 163
during the cooling process the 89
during the cooling process to 85
during the cutting process is 52
during the daily routine of 187
during the daily sessions of 76
during the delay between the 165
during the drawing process by 45
during the drawing process is 45
during the drawing process to 46
during the drier portions of 49
during the easter holiday of 86
during the easter vacation in 73
during the easter vacation of 372
during the easter weekend of 76
during the editing process by 42
during the editing process in 41
during the editing process of 69
during the editing process to 149
during the eighth century ad 127
during the eighth century as 110
during the eighth century bc 460
during the eighth century by 112
during the eighth century in 203
during the eighth century is 77
during the eighth century it 40
during the eighth century of 114
during the eighth century the 205
during the eighth century to 59
during the eighth congress of 43
during the ensuing decades of 66
during the ensuing quarter of 111
during the epoch preceding the 102
during the evening between the 46
during the evening following the 77
during the evening preceding the 105
during the fatal illness of 255
during the field research in 74
during the fight against the 766
during the fight between the 225
during the filling process to 45
during the final advance to 44
during the final assault on 280
during the final battles of 73
during the final century of 215
during the final decades of 4221
during the final decline of 42
during the final episode of 93
during the final flowering of 57
during the final illness of 185
during the final minutes of 607
during the final moments of 1050
during the final portions of 48
during the final process of 159
during the final quarter of 2566
during the final revision of 234
during the final seconds of 242
during the final segment of 86
during the final sessions of 154
during the final stretch of 115
during the final weekend of 112
during the first absence of 108
during the first advance of 54
during the first assault of 59
during the first assault on 84
during the first attempt at 236
during the first attempt on 48
during the first attempt to 267
during the first battles of 72
during the first century ad 2967
during the first century as 130
during the first century at 53
during the first century bc 1566
during the first century by 117
during the first century ce 1039
during the first century in 221
during the first century is 136
during the first century it 47
during the first century of 14479
during the first century or 554
during the first century the 165
during the first century to 96
during the first chapter of 80
during the first cleavage of 88
during the first congress in 57
during the first congress of 419
during the first crusade in 243
during the first crusade of 51
during the first crusade to 40
during the first debates on 46
during the first decades in 62
during the first decades of 27552
during the first division of 483
during the first dynasty of 193
during the first efforts to 87
during the first election in 69
during the first election of 53
during the first episode of 442
during the first exchange of 63
during the first ferment of 56
during the first fifteen of 47
during the first fifteen or 430
during the first fifteen to 140
during the first flowering of 122
during the first fraction of 217
during the first hundred or 53
during the first instant of 207
during the first invasion of 332
during the first journey of 81
during the first minutes of 2083
during the first moments in 54
during the first moments of 2376
during the first outbreak of 184
during the first passage of 330
during the first perusal to 54
during the first portions of 50
during the first process of 133
during the first quarter as 51
during the first quarter at 71
during the first quarter he 57
during the first quarter in 150
during the first quarter is 91
during the first quarter of 54432
during the first quarter or 183
during the first quarter the 100
during the first quarter to 174
during the first rotation of 61
during the first seconds of 595
during the first segment of 244
during the first sessions of 235
during the first stirrings of 108
during the first transit of 45
during the first watches of 174
during the first weekend in 725
during the first weekend of 654
during the floor debates on 108
during the fourth century ad 600
during the fourth century as 258
during the fourth century at 61
during the fourth century bc 935
during the fourth century by 149
during the fourth century ce 118
during the fourth century in 283
during the fourth century is 106
during the fourth century it 107
during the fourth century of 306
during the fourth century the 347
during the fourth century to 125
during the fourth congress of 88
during the fourth crusade in 186
during the fourth quarter as 105
during the fourth quarter in 64
during the fourth quarter of 4646
during the fourth quarter to 55
during the grape harvest in 48
during the growth process by 51
during the growth process in 44
during the growth process is 103
during the growth process of 202
during the growth process or 50
during the growth process to 62
during the harsh winters of 69
during the heated debates in 46
during the heated debates of 53
during the heated debates on 81
during the hiatus between the 257
during the hours between the 187
during the hours devoted to 588
during the hours following the 200
during the hours preceding the 202
during the house debates on 72
during the hunger strikes of 73
during the indian eclipse of 77
during the indian outbreak of 53
during the indian uprisings of 43
during the iraqi invasion of 192
during the jihad against the 131
during the known history of 59
during the labor process to 75
during the later decades of 2436
during the later history of 295
during the later portions of 296
during the later process of 58
during the later returns of 101
during the later sessions of 52
during the learning process as 147
during the learning process by 68
during the learning process in 146
during the learning process is 172
during the learning process of 115
during the learning process or 50
during the learning process the 79
during the learning process to 157
during the lengthy process of 510
during the light reactions of 187
during the loading process is 63
during the lulls between the 64
during the lunar eclipse of 112
during the meeting between the 199
during the melting process in 42
during the melting process is 61
during the melting process of 66
during the melting process to 45
during the milling process to 56
during the molding process to 44
during the mongol invasion in 76
during the mongol invasion of 224
during the months between the 536
during the months covered by 118
during the months following my 46
during the months following the 2476
during the months january to 173
during the months october to 166
during the months preceding the 2435
during the months previous to 159
during the morning between the 49
during the morning service at 44
during the morning service in 83
during the morning service of 136
during the morning service on 148
during the morning service we 102
during the naval holiday of 40
during the night according to 75
during the night against the 162
during the night amounts to 111
during the night because he 169
during the night because it 104
during the night because of 863
during the night because the 297
during the night between the 1513
during the night covered the 41
during the night crossed the 70
during the night depends on 42
during the night following the 1009
during the night managed to 41
during the night outside the 46
during the night preceding the 1315
during the night previous to 409
during the night towards the 163
during the opening battles of 41
during the opening credits of 174
during the opening decades of 1752
during the opening minutes of 222
during the opening moments of 338
during the opening sessions of 64
during the opening weekend of 62
during the panic excited by 77
during the panic following the 56
during the paris commune in 121
during the paris commune of 479
during the pause between the 230
during the pause following the 46
during the period according to 95
during the period against the 40
during the period allowed by 148
during the period alluded to 543
during the period amounting to 83
during the period amounts to 61
during the period anterior to 116
during the period because of 334
during the period because the 89
during the period beginning at 184
during the period beginning in 846
during the period beginning on 3554
during the period beginning the 68
during the period between my 71
during the period between the 32774
during the period bounded by 56
during the period covered by 34034
during the period covered in 2368
during the period covered is 63
during the period covered the 61
during the period defined by 83
during the period defined in 84
during the period despite the 43
during the period devoted to 340
during the period divided by 199
during the period embracing the 52
during the period exceeds the 59
during the period focused on 46
during the period following an 46
during the period following it 44
during the period following my 42
during the period following the 7872
during the period include the 55
during the period including the 103
during the period january to 1363
during the period limited by 101
during the period october to 377
during the period preceding the 5327
during the period previous to 564
during the period related to 72
during the period spanned by 220
during the period studied by 262
during the period studied in 409
during the period studied is 88
during the period studied the 63
during the period subject to 134
during the period towards the 51
during the period wherein the 49
during the phase between the 63
during the phase preceding the 44
during the prime manhood of 88
during the quiet moments of 71
during the rains because of 56
during the rapid advance of 127
during the rapid decline of 75
during the rapid descent of 89
during the rapid increase in 95
during the rapid increase of 94
during the rapid passage of 84
during the rapid process of 66
during the roman dominion in 76
during the roman invasion of 118
during the scene between the 49
during the search process is 78
during the search process to 59
during the season according to 46
during the season because of 125
during the season because the 44
during the season between the 76
during the season following the 109
during the season preceding the 57
during the serial genesis of 60
during the seven decades of 179
during the sharp decline in 63
during the short absence of 193
during the short duration of 785
during the short history of 292
during the short journey to 127
during the short moments of 110
during the short passage of 57
during the short regency of 43
during the short remnant of 241
during the short residue of 88
during the short respite of 130
during the short sojourn of 50
during the short summers of 43
during the short triumph of 56
during the small fraction of 71
during the social ferment of 54
during the social turmoil of 88
during the social upheaval of 168
during the solar eclipse in 127
during the solar eclipse of 1389
during the solar eclipse on 204
during the space between the 73
during the spare moments of 71
during the still watches of 124
during the study because of 88
during the talks between the 262
during the tense moments of 105
during the thirty minutes of 76
during the thirty minutes or 41
during the times between the 43
during the total duration of 168
during the total eclipse of 1786
during the total eclipse on 54
during the train journey to 145
during the truce between the 69
during the usual process of 60
during the washing process is 58
during the washing process to 42
during the weeks between the 189
during the weeks following the 1476
during the weeks preceding the 1313
during the welding process is 60
during the welding process to 42
during the whole century of 63
during the whole duration of 2662
during the whole episode of 52
during the whole history of 2201
during the whole journey by 42
during the whole journey he 111
during the whole journey of 181
during the whole journey the 75
during the whole journey to 237
during the whole journey we 71
during the whole passage of 179
during the whole passage to 60
during the whole process in 59
during the whole process is 121
during the whole process of 3835
during the whole process the 118
during the whole process to 50
during the whole residue of 68
during the working sessions of 43
during the world congress of 117
during the worst drought in 77
during the worst horrors of 44
during the worst moments in 48
during the worst moments of 590
during the writing process as 63
during the writing process by 41
during the writing process is 72
during the writing process of 80
during the writing process to 107
dusk of evening upright on 58
duty as chief engineer of 120
duty as legal adviser to 42
duty as shall control the 40
duty by every subject in 42
duty in action against the 388
duty in every relation of 203
duty of black america to 59
duty of civil society to 96
duty of eight shillings in 77
duty of every brahman to 44
duty of every carrier by 140
duty of every carrier to 66
duty of every catholic is 48
duty of every catholic to 214
duty of every chinese to 52
duty of every citizen in 361
duty of every citizen is 466
duty of every citizen of 3287
duty of every citizen to 7560
duty of every country is 85
duty of every country to 142
duty of every dentist to 44
duty of every elector to 81
duty of every engineer to 52
duty of every freeman to 192
duty of every husband to 64
duty of every journal in 43
duty of every justice of 72
duty of every manager to 60
duty of every national of 42
duty of every officer in 110
duty of every officer of 245
duty of every officer or 63
duty of every officer to 423
duty of every official to 46
duty of every painter at 50
duty of every preacher of 73
duty of every scholar to 57
duty of every senator to 48
duty of every servant of 78
duty of every society to 93
duty of every soldier to 171
duty of every spaniard to 89
duty of every student of 129
duty of every student to 135
duty of every subject of 164
duty of every subject to 354
duty of every trustee to 50
duty of first relieving the 59
duty of forty shillings on 137
duty of keeping records of 55
duty of loyal vassals to 40
duty of party loyalty is 58
duty of party members to 126
duty of raising mildred in 44
duty of social workers to 67
duty of teaching religion to 49
duty on every article of 52
duty on every citizen of 47
duty on every citizen to 147
duty on goods brought in 71
duty on goods carried by 61
duty or power imposed or 51
duty to adopt measures of 68
duty to adopt measures to 66
duty to allow himself to 50
duty to apply himself to 50
duty to avail herself of 57
duty to avail himself of 325
duty to carry forward the 88
duty to exert himself to 127
duty to fight against it 113
duty to fight against the 345
duty to guard against it 128
duty to guard against the 537
duty to offer himself as 40
duty to place himself at 62
duty to place himself in 54
duty to rebel against the 76
duty to reveal perjury if 153
duty to stand between the 167
duty to state everything in 58
dyes the milky baldric of 484
