dactylic of 42 dampness to 40
dominant the 47 dominant of 54
dominant of 109 dominant of 413
dominant of 69 dominant of 58
dominant of 40 dominant of 96
dominant of 104 dominant of 64
dominant of 60 dominant of 53
dominant of 314 dominant of 128
dominate of 52 dominions of 44
dominions of 97 doubtful of 119
doubtful of 126 doubtful in 41
doubtful be 342 doubtful of 76
doubtful the 303 doubtful be 49
doubtful on 116 doubtful to 55
doubtful is 228 downward at 44
downward the 46 downward the 70
downward to 56 downward on 63
downward of 88 downward by 64
drainage of 56 drainage be 43
dramatic in 41 dramatic the 156
dramatic or 47 dramatic the 84
dramatic we 99 dramatic the 42
dramatic the 84 dramatic to 49
dramatic the 49 dramatic of 85
dramatic he 85 dramatic the 166
dramatic of 61 drawback the 79
drummers the 45 dullness in 55
duodenal to 57 dwindled of 53
