sacks brought 109 sadly mittens
scale applied 64 scams artists
63 scans studies 84 scans
helpful 84 scans usually 73
scans purpose 53 scarf birthday
45 scarf brought 123 scarf
knitted 113 scarf knotted 87
scarf wrapped 197 scarf belonged
54 scarf covered 53 scarf
slipped 44 scarf knotted 48
scarf wrapped 176 scars visible
120 scars visible 52 scene
familiar 92 scene ability 41
scene details 61 scene effects
65 scene figures 43 scene
function 42 scene general 86
scene history 86 scene relation
117 scene improve 46 scene
include 44 scene produce 50
scene require 42 scene advance
83 scene contain 108 scene
include 99 scene involve 61
scene present 153 scene produce
52 scene provide 81 scene
reflect 55 scene require 99
scene satisfy 52 scene suggest
88 scene ambition 52 scene
benefit 42 scene friends 53
scene subject 41 scene minutes
42 scene purpose 80 scene
chapter 125 scene purpose 46
scene decades 178 scene escaped
49 scene shifted 66 scene
country 89 scene enacted 98
scene forward 201 scene planned
40 scene watched 57 scene
written 57 scene visible 51
scene appeared 63 scene brought
51 scene greeted 157 scene
haunted 72 scene removed 51
scene history 63 scene enacted
430 scene equally 106 scene
familiar 79 scene happening 90
scene irksome 59 scene occurring
99 scene painted 76 scene
perhaps 41 scene repeated 217
scene revealed 46 scene strongly
54 scene typical 44 scene
unfolding 384 scene written 53
scene enacted 55 scene together
41 scene enacted 3058 scene
repeated 342 scene watched 43
scene because 102 scene forward
345 scene enacted 49 scene
exactly 200 scene limited 44
scene unusual 65 scene written
107 scene enacted 61 scene
rapidly 62 scene shifted 40
scene totally 50 scene against
45 scene enacted 57 scene
affecting 271 scene familiar 90
scene painful 148 scene husband
1195 scene parents 185 scene
brothers 56 scene friends 46
scene parents 172 scene servant
52 scene peculiar 60 scene
embracing 67 scene gorgeous 40
scene cameras 63 scene figures
127 scene imagine 179 scent
noticed 40 scent haunted 56
scold amazingly 168 scoop discard
1556 scoop reserve 161 scope
usually 59 scope effects 40
scope purpose 86 scope relation
52 scope results 41 scope
success 51 scope duration 61
scope include 94 scope limited
121 scope visible 48 scope
include 79 scope include 420
scope require 44 scope faculty
60 scope increase 52 scope
ambition 44 scope talents 334
scope ability 276 scope ambition
520 scope creative 150 scope
efforts 84 scope immense 47
scope ingenuity 190 scope natural
143 scope peculiar 371 scope
reforming 44 scope talents 2231
scope display 123 scope highest
40 scope members 43 scope
natural 91 scope peculiar 43
scope research 43 scope element
55 scope peculiar 83 scope
chapter 89 scope process 56
scope project 100 scope purpose
82 scope existed 43 scope
hitherto 107 scope previous 129
scope hitherto 108 scope hitherto
115 scope rational 44 scope
usually 41 scope origins 106
scope provide 48 scope invalid
51 scope limited 147 scope
limited 261 score talents 235
score persons 394 score thousand
683 score winters 106 score
wounded 91 score improve 89
score predict 70 score reflect
68 score contain 77 score
improve 91 score include 295
score increase 62 score predict
121 score provide 171 score
reflect 244 score specify 44
score members 65 score schools
52 score student 42 score
subject 127 score behavior 55
score cluster 208 score college
45 score company 185 score
concept 73 score correct 93
score country 694 score decision
186 score element 237 score
function 76 score location 120
score passage 68 score patient
770 score position 67 score
problem 163 score product 295
score program 141 score project
133 score quality 53 score
question 1286 score segment 169
score solution 69 score species
168 score student 3163 score
subject 5446 score symptom 51
score variable 966 score country
53 score question 114 score
student 250 score subject 80
score variable 192 score patient
114 score purpose 70 score
question 186 score student 197
score subject 122 score variable
618 score produce 64 score
reflect 87 score steward 102
score measures 102 score squared
48 score printed 44 score
related 119 score settled 46
score written 44 score hundred
90 score derived 73 score
divided 80 score receive 138
scorn classes 45 scorn husband
384 scorn enemies 86 scorn
weakness 101 scorn outbreak 78
scorn weakness 41 scorn deserve
43 scout friends 173 scout
deceive 125 scout uttered 132
scout brought 93 scream because
46 scream silence 145 scream
proceed 52 scream brought 66
scream repeated 92 screw fixation
126 screw require 48 screw
purpose 168 screw purpose 250
scrip journey 103 scrip hundred
122 scrub juniper 329 scrub
stunted 54 seabed mineral 72
seabed subsoil 2424 sealed purpose
68 sealed warrant 399 sealed
allowed 47 sealed guarded 129
sealed removed 45 sealed searched
41 sealed several 47 sealed
borders 56 sealed plastic 42
sealed herself 237 sealed official
164 sealed precious 63 sealed
private 246 sealed plaster 60
sealed imperial 46 seaman marines
131 seaman recover 88 seaman
exerted 59 seaman forward 128
seaman brought 52 seaman escaped
51 seaman injured 139 seamed
branching 60 seamen hundred 209
seamen marines 83 seamen hundred
113 seamen marines 286 seamen
together 79 seamen recover 222
seamen conduct 109 seamen majesty
149 seamen members 95 seamen
boarded 43 seamen brought 94
seamen entered 56 seamen escaped
101 seamen refused 47 seamen
settled 83 seamen shipped 149
seamen visited 95 search coffers
50 search results 144 search
relinking 312 search material 53
search include 131 search produce
199 search provide 48 search
uncover 115 search include 213
search involve 53 search produce
213 search provide 123 search
require 483 search statute 53
search entries 124 search objects
226 search persons 202 search
records 764 search achieve 96
search acquire 574 search adoption
129 search analyze 352 search
attempt 413 search capture 766
search collect 2464 search compare
358 search compile 99 search
connect 89 search consume 99
search contact 147 search control
219 search correct 422 search
deliver 178 search destroy 2280
search develop 1488 search discuss
91 search display 1080 search
embrace 133 search examine 1238
search exchange 120 search explain
50 search exploit 617 search
explore 381 search express 124
search extract 776 search include
81 search inspect 195 search
install 316 search isolate 140
search location 296 search observe
95 search optimum 167 search
prepare 93 search present 144
search process 277 search procure
226 search produce 879 search
promote 130 search provide 312
search publish 138 search pursuit
148 search receive 120 search
recover 647 search relieve 200
search removal 646 search replace
3030 search research 122 search
respond 129 search screening 47
search seizure 3174 search support
76 search uncover 153 search
utilize 208 search general 63
search material 44 search records
114 search remaining 232 search
remains 61 search solution 106
search surviving 57 search answers
205 search because 160 search
becomes 50 search outside 80
search because 42 search beloved
584 search brothers 59 search
friends 122 search glasses 46
search himself 67 search husband
3911 search natural 174 search
origins 124 search parents 484
search remains 59 search treasure
99 search because 128 search
outside 116 search african 252
search beloved 896 search brothers
324 search destiny 157 search
elusive 46 search essence 52
search fortune 56 search friends
276 search glasses 119 search
killers 42 search kinsman 136
search luggage 42 search material
50 search natural 52 search
origins 464 search parents 692
search partner 134 search remains
536 search runaway 100 search
sisters 138 search sources 110
search treasure 147 search unknown
113 search wayward 41 search
wounded 44 search channel 54
search essence 264 search etiology
91 search location 214 search
national 154 search natural 126
search origins 778 search remains
51 search solution 894 search
sources 207 search aesthetic 235
search answers 1482 search aspects
52 search avenues 1088 search
beliefs 107 search capital 264
search classes 203 search clients
464 search content 239 search
creative 212 search criteria 244
search designs 230 search devices
324 search effects 397 search
enemies 455 search enzymes 40
search factors 103 search faculty
174 search features 62 search
financing 92 search foreign 257
search formats 104 search friends
496 search general 44 search
genetic 97 search grounds 366
search insight 108 search islands
280 search language 180 search
markers 95 search marketing 110
search markets 12018 search material
1604 search measures 212 search
medical 131 search members 523
search mineral 761 search missions
185 search musical 324 search
national 213 search natural 349
search objects 760 search organic
146 search outlets 1140 search
overseas 96 search pasture 126
search pathways 145 search patrons
153 search physics 706 search
planets 297 search product 1126
search profits 93 search pulsars
42 search recipes 41 search
research 124 search results 96
search revenue 698 search sources
14454 search species 732 search
spheres 106 search stimuli 233
search stories 154 search strains
137 search subject 234 search
symbols 515 search systems 369
search tactics 171 search targets
366 search victims 216 search
wonders 44 search workers 196
search writers 221 search outside
43 search friends 43 search
records 104 search friends 51
search origins 287 search material
341 search answers 136 search
minutes 49 search balance 150
search elusive 1486 search formula
120 search general 181 search
imperial 86 search keyword 153
search magical 43 search pattern
54 search perfect 604 search
precious 97 search purpose 126
search quality 92 search solution
165 search success 53 search
treasure 208 search unknown 50
search because 264 search himself
130 search outside 60 search
remains 52 search article 53
search balance 427 search chapter
87 search concept 101 search
element 178 search elusive 802
search essence 42 search formula
93 search hitherto 51 search
isotope 40 search material 371
search mineral 133 search mythical
154 search optimal 46 search
optimum 48 search passage 360
search pattern 204 search precious
232 search problem 120 search
purpose 191 search quality 96
search radiation 47 search solution
168 search species 324 search
treasure 358 search unknown 296
search numbers 158 search content
57 search revealed 122 search
violated 44 search brought 77
search enabled 64 search revealed
276 search yielded 54 search
precede 112 search acquire 150
search analyze 177 search capture
247 search collect 429 search
compare 50 search condemn 53
search consume 174 search correct
445 search declare 47 search
deliver 115 search destroy 5100
search develop 621 search embrace
40 search examine 690 search
explain 136 search exploit 120
search explore 263 search inquire
139 search observe 66 search
present 201 search produce 50
search provide 274 search publish
91 search relieve 51 search
restore 54 search uncover 43
search utilize 182 search himself
724 search secrets 49 search
secrets 45 search avenues 60
search markets 395 search sources
341 search spirits 65 search
modules 41 search brought 62
search british 60 search foreign
60 search himself 43 search
carried 164 search carried 63
search limited 257 search resumed
80 search thorough 90 search
carried 49 season subject 49
season usually 112 season several
203 season invited 48 season
journey 40 season effects 71
season relation 41 season retired
58 season heavenly 46 season
elected 76 season revived 58
season prevent 78 season produce
40 season prevent 48 season
produce 55 season provide 40
season usually 65 season species
53 season species 48 season
species 103 season journey 44
season purpose 43 season perfect
73 season dullest 52 season
purpose 304 season species 45
season country 72 season purpose
216 season species 300 season
dollars 59 season arrived 126
season started 335 season arrived
223 season peculiar 284 season
started 248 season arrived 92
season dressings 111 season started
50 season covered 134 season
obliged 46 season planted 80
season usually 192 season advancing
67 season exactly 43 season
advancing 136 season arrived 91
season beginning 72 season rapidly
92 season husband 83 season
friends 60 seated ordered 597
seated minutes 45 seated purpose
46 seated purpose 49 seated
minutes 43 seated thousand 45
seated goddess 46 seated himself
170 seated himself 143 seated
husband 75 seated advance 48
seated husband 208 seated parents
53 seated consort 322 seated
doleful 55 seated friends 389
seated keepers 58 seated knights
47 seated parents 62 sects
beliefs 47 sects opinions 41
sects parties 221 sects believe
76 seeds letters 68 seeds
beginning 50 seeds planted 271
seeds allowed 85 seeds carried
68 seeds covered 170 seeds
damaged 46 seeds exposed 45
seeds injured 112 seeds planted
156 seeds present 48 seeds
released 41 seeds removed 71
seeds usually 82 seeds covered
81 seeds dropped 42 seeds
planted 157 seeds removed 155
seeds roasted 113 seeds flowers
47 seeds dormant 186 seeds
survive 45 seeds produce 46
seeds service 47 seeds purpose
65 seeds project 126 seeds
purpose 182 seeds dormant 212
seeds brought 100 seeds planted
127 seeds adapted 63 seeds
capable 130 seeds carried 212
seeds covered 102 seeds dormant
64 seeds exposed 40 seeds
planted 511 seeds present 79
seeds released 76 seeds usually
86 seeds produce 58 seeds
survive 105 seeds dormant 47
seeds dormant 133 seeds brought
354 seeds gathered 53 seeds
planted 166 seeking comfort 127
seeking sympathy 55 seeking granted
169 seeking emotions 45 seeking
comfort 46 seeking obtaining 62
seeking husband 52 seeking bedroom
84 seeking country 40 seeking
solution 45 seeking markets 67
seeking sources 41 seeking treasure
117 seeking hitherto 70 seeking
answers 62 seeking comfort 45
seeking pleasure 147 seeking against
66 seeking answers 101 seeking
benefit 96 seeking comfort 119
seeking company 44 seeking fortune
135 seeking freedom 51 seeking
greatest 101 seeking highest 44
seeking pleasure 525 seeking private
217 seeking selfish 165 seeking
several 70 seeking welfare 245
seeking benefit 42 seeking freedom
56 seeking national 42 seeking
pleasure 53 seeking rewards 52
seeking selfish 58 seeking forward
89 seeking onwards 53 seeking
liberty 41 seeking creative 85
seeking courage 116 seeking precious
319 seeking pleasure 186 seeking
accepting 70 seeking acquiring 96
seeking analyzing 74 seeking arresting
187 seeking assisting 54 seeking
attacking 371 seeking attending 62
seeking capturing 67 seeking embracing
45 seeking employing 79 seeking
examining 111 seeking exploring 96
seeking following 213 seeking fostering
55 seeking listening 95 seeking
nurturing 64 seeking obtaining 118
seeking preparing 55 seeking promoting
63 seeking providing 92 seeking
punishing 393 seeking receiving 66
seeking recording 311 seeking relieving
75 seeking rendering 43 seeking
reporting 85 seeking restoring 41
seeking rewarding 41 seeking selecting
74 seeking utilizing 150 seeking
company 135 seeking husband 68
seeking company 88 seeking avenues
46 seeking clients 63 seeking
friends 115 seeking markets 403
seeking members 42 seeking sources
306 seeking friends 85 seeks
general 42 seeks capital 84
seeks opinions 122 seeks members
45 seeks benefit 107 seeks
comfort 45 seeks greatest 42
seeks highest 41 seeks pleasure
373 seeks private 152 seeks
selfish 80 seeks welfare 177
seeks general 44 seeks pleasure
150 seeks welfare 62 seeks
attacks 46 seeks follows 49
seeks pursues 191 seeks selects
109 seeks himself 93 seeks
husband 55 seeks persons 82
seeks himself 68 seeming fifteen
79 seeming prosaic 94 seems
assured 97 seems certain 923
seems remains 53 seems evident
110 seems familiar 239 seems
natural 50 seems similar 41
seems adapted 73 seems certain
50 seems evident 160 seems
natural 83 seems against 67
seems natural 717 seems complex
73 seems limited 93 seems
sanguine 40 seems shelley 46
seems purpose 42 seems promise
148 seems unwilling 42 seems
distant 568 seems removed 233
seems although 61 seems holiday
210 seems animals 42 seems
members 48 seems parties 98
seems persons 45 seems account
54 seems attempt 370 seems
factors 67 seems parties 207
seems country 46 seems species
67 seems certain 93 seems
several 225 seems himself 186
seems husband 388 seems majesty
55 seems parents 91 seems
absence 45 seems account 47
seems decision 67 seems devotion
62 seems efforts 61 seems
enemies 48 seems friends 123
seems general 91 seems greatest
58 seems majesty 381 seems
parents 123 seems position 133
seems primary 51 seems purpose
51 seems members 47 seems
everything 89 seems ability 66
seems account 50 seems country
64 seems culture 110 seems
efforts 62 seems enemies 52
seems friends 82 seems prayers
42 seems present 362 seems
problem 53 seems results 84
seems science 69 seems society
226 seems herself 81 seems
francis 64 seems arrived 53
seems believe 96 seems belonged
48 seems brought 66 seems
contain 41 seems decided 77
seems provide 51 seems require
60 seems started 53 seems
usually 102 seems ability 76
seems account 92 seems ancient
56 seems applies 50 seems
article 70 seems attempt 72
seems behavior 65 seems chapter
46 seems company 84 seems
complex 53 seems concept 234
seems concern 52 seems country
150 seems culture 58 seems
decision 254 seems division 125
seems element 68 seems episode
52 seems example 59 seems
failure 47 seems fallacy 57
seems formula 49 seems function
81 seems general 287 seems
ghostly 59 seems happens 68
seems increase 121 seems language
153 seems marriage 47 seems
material 117 seems message 80
seems officer 51 seems passage
141 seems patient 140 seems
pattern 197 seems picture 96
seems position 134 seems precept
56 seems problem 1063 seems
process 630 seems project 93
seems question 572 seems relation
68 seems results 52 seems
solution 89 seems species 414
seems student 43 seems subject
166 seems unhappy 46 seems
variation 71 seems factors 112
seems general 40 seems hundred
42 seems persons 40 seems
because 777 seems increasing 106
seems respect 145 seems believe
52 seems although 112 seems
include 119 seems limited 55
seems entered 62 seems invited
40 seems started 82 seems
because 86 seems fetched 167
seems removed 247 seems general
95 seems distant 44 seems
obliged 45 seine exhibit 102
seize against 41 seize purpose
42 seize himself 67 seize
conduct 77 seize deliver 281
seize educate 64 seize prevent
43 seize capture 58 seize
deliver 49 seize himself 80
seize concern 46 seizing between
63 seizing brothers 55 selling
following 66 selling estates 46
selling require 113 selling hundred
494 selling dollars 120 selling
dollars 221 selling shillings 53
selling thousand 43 selling dollars
656 selling hundred 108 selling
shillings 58 selling thousand 42
selling country 40 selling offspring
66 selling powders 68 selling
produce 177 selling product 347
selling product 95 selling belongings
77 selling surplus 104 selling
natural 41 selling returning 69
selling country 376 selling friends
76 selling country 140 selling
firearms 45 selling investing 43
selling asunder 85 sells produce
47 sells hundred 213 sells
dollars 98 sells shillings 43
sells dollars 132 sells shillings
43 sells dollars 222 sells
hundred 119 sells country 45
sells produce 100 sells product
112 sells product 52 sells
country 66 semen relation 58
semen contain 93 sending receiving
66 sending receiving 65 sending
receiving 105 sending receiving 41
sending tribute 195 sending members
41 sending receiving 267 sending
examining 77 sending receiving 64
sending husband 194 sending perusal
54 sending commons 94 sending
friends 63 sending hunters 111
sending purpose 98 sending purpose
112 sending especial 45 sending
message 140 sending letters 40
sending balance 60 sending message
50 sending balance 235 sending
hundred 48 sending garland 72
sending message 78 sending hundred
51 sending friends 57 sending
carriage 44 sending message 55
sending message 54 sending material
99 sending present 146 sending
receiving 47 sending baggage 66
sending receiving 391 sending signals
45 sending chinese 162 sending
cavalry 78 sending letters 43
sending exports 43 sending message
67 sending peculiar 74 sending
sierras 68 sending signals 43
sending runners 52 sending hundred
64 sending signals 70 sending
thousand 44 sending message 72
sending hundred 82 sending parties
47 sending parties 188 sending
present 277 sending sprawling 219
sending religion 49 sending against
65 sending picture 41 sending
hundred 44 sending account 44
sending because 47 sending message
350 sending picture 46 sending
present 41 sending hundred 55
sending letters 89 sends husband
197 sends friends 107 sends
greetings 61 sends servant 47
sends balloon 44 sends message
163 sends signals 43 sends
cordelia 42 sends command 63
sends servant 87 sends flashes
40 sends message 58 sends
signals 58 sends runners 85
sends history 49 sends signals
66 sends fondest 91 sends
greetings 415 sends kindest 673
sends regards 936 sends warmest
445 sends dutiful 104 sends
greetings 1180 sends kindest 297
sends regards 1075 sends service
83 sends warmest 190 sends
message 410 sends present 222
senior graphic 52 senior student
44 senior devoted 56 senior
elected 121 sense capable 56
sense related 45 sense usually
53 sense together 61 sense
certain 127 sense science 67
sense ability 77 sense ability
204 sense courage 44 sense
genuine 47 sense natural 92
sense objects 381 sense relation
95 sense include 46 sense
according 153 sense because 57
sense bravado 262 sense limited
51 sense courage 63 sense
religion 77 sense respect 303
sense science 42 sense classes
46 sense eternal 99 sense
subject 65 sense correct 65
sense adapted 52 sense respect
122 sense question 40 sense
witness 66 sense deceive 56
sense develop 60 sense discern
140 sense explain 76 sense
furnish 66 sense perform 51
sense produce 100 sense provide
62 sense receive 61 sense
survive 43 sense picture 42
sense approve 83 sense believe
49 sense develop 191 sense
prevail 146 sense prevent 92
sense require 50 sense believe
73 sense capture 44 sense
concern 96 sense condemn 40
sense confirm 77 sense connote
43 sense consist 185 sense
contain 68 sense destroy 43
sense detract 45 sense develop
69 sense exclude 245 sense
exhaust 85 sense explain 101
sense function 41 sense include
350 sense involve 244 sense
operate 61 sense possess 48
sense prevail 144 sense prevent
127 sense produce 60 sense
provide 169 sense reflect 52
sense require 678 sense signify
193 sense suffice 78 sense
suggest 64 sense support 68
sense usually 62 sense problem
42 sense mankind 43 sense
natural 44 sense parties 98
sense company 47 sense country
51 sense parties 226 sense
country 46 sense subject 50
sense society 44 sense because
95 sense company 45 sense
purpose 66 sense depends 135
sense beginning 41 sense origins
42 sense existed 65 sense
peculiar 46 sense aspects 83
sense removed 102 sense perhaps
64 sense hitherto 496 sense
previous 78 sense hitherto 40
sense hitherto 220 sense usually
53 sense husband 186 sense
adopted 119 sense applied 52
sense defined 67 sense implied
460 sense usually 174 sense
wherein 47 sense animals 46
sense aspects 178 sense behavior
71 sense beliefs 41 sense
classes 98 sense factors 46
sense history 218 sense language
76 sense mankind 148 sense
material 47 sense members 1111
sense natural 141 sense objects
183 sense parties 159 sense
persons 421 sense possess 46
sense rational 44 sense secular
62 sense workers 72 sense
writers 57 sense attempt 582
sense country 64 sense decision
98 sense deviation 86 sense
element 179 sense function 81
sense increase 129 sense language
44 sense penalty 54 sense
rational 61 sense solution 88
sense involve 178 sense parents
173 sense parties 923 sense
provide 42 sense require 105
sense systems 44 sense quixote
81 sense citizen 44 sense
country 210 sense decision 86
sense depends 45 sense division
87 sense element 394 sense
partner 116 sense process 49
sense species 53 sense student
141 sense variable 84 sense
certain 59 sense example 71
sense himself 464 sense intends
43 sense hitherto 50 sense
enabled 41 sense behavior 41
sense friends 143 sense horizon
169 sense husband 776 sense
marriage 45 sense parents 308
sense position 124 sense silence
54 sense thoughts 42 sense
behavior 444 sense concern 97
sense conduct 324 sense country
42 sense critics 46 sense
decision 162 sense desires 131
sense destiny 228 sense efforts
358 sense freedom 126 sense
friends 191 sense illness 108
sense language 52 sense majesty
43 sense message 90 sense
parents 502 sense position 349
sense present 88 sense primary
137 sense purpose 93 sense
refusal 99 sense success 92
sense thoughts 190 sense absence
123 sense adoption 40 sense
average 99 sense behavior 80
sense capital 42 sense central
207 sense concern 68 sense
content 694 sense decision 41
sense demands 49 sense economy
50 sense effects 176 sense
essence 142 sense features 42
sense function 354 sense general
69 sense history 80 sense
language 70 sense logical 43
sense material 58 sense members
1513 sense message 103 sense
natural 43 sense objects 73
sense origins 66 sense outcome
113 sense position 61 sense
present 100 sense primary 315
sense product 78 sense purpose
276 sense removal 51 sense
results 217 sense solution 86
sense subject 378 sense success
93 sense utility 43 sense
variance 41 sense himself 133
sense everything 291 sense accepts
51 sense applies 45 sense
becomes 127 sense chooses 52
sense country 63 sense element
104 sense expects 61 sense
follows 46 sense partner 133
sense usually 79 sense variable
63 sense wonders 103 sense
ability 124 sense behavior 137
sense beliefs 97 sense country
164 sense culture 150 sense
current 109 sense efforts 84
sense language 130 sense national
153 sense opinions 132 sense
parents 94 sense present 226
sense society 225 sense thoughts
166 sense appeared 41 sense
becomes 55 sense belonged 361
sense carried 83 sense herself
607 sense remains 45 sense
account 251 sense achieve 266
sense acquire 102 sense address
184 sense adopted 50 sense
advance 50 sense allowed 144
sense appeared 101 sense applied
109 sense approve 88 sense
arrived 49 sense ascribe 100
sense assumed 97 sense attempt
687 sense attract 103 sense
avoided 144 sense believe 1939
sense belonged 1060 sense benefit
224 sense brought 488 sense
capture 130 sense carried 277
sense claimed 78 sense combine
311 sense command 137 sense
compare 50 sense compete 126
sense compose 46 sense concern
399 sense conduce 52 sense
conduct 47 sense confine 55
sense confirm 48 sense conform
251 sense connect 169 sense
consist 665 sense consume 75
sense contain 3994 sense control
684 sense covered 46 sense
decided 56 sense defined 52
sense deliver 62 sense derived
60 sense deserve 319 sense
desired 87 sense destroy 65
sense develop 647 sense dictate
46 sense discuss 131 sense
dislike 85 sense display 431
sense diverge 51 sense emanate
90 sense embrace 100 sense
emerged 58 sense enabled 55
sense engender 42 sense enhance
196 sense enjoyed 310 sense
evolved 54 sense examine 72
sense exchange 56 sense exclude
172 sense exhibit 331 sense
existed 400 sense explain 260
sense exploit 91 sense explore
100 sense express 1991 sense
favored 100 sense finally 100
sense focused 81 sense fulfill
69 sense function 319 sense
furnish 127 sense implied 145
sense imposed 48 sense improve
91 sense include 765 sense
increase 343 sense inhabit 94
sense inhibit 46 sense initiate
92 sense involve 5181 sense
isolate 59 sense jointly 42
sense justify 42 sense largely
58 sense managed 102 sense
neglect 56 sense observe 50
sense offered 137 sense operate
765 sense opposed 126 sense
partake 47 sense perform 756
sense persist 104 sense pertain
209 sense pointed 57 sense
portray 125 sense possess 1831
sense precede 81 sense predict
149 sense prepare 95 sense
present 1287 sense presume 44
sense prevent 240 sense proceed
146 sense process 59 sense
produce 1226 sense project 128
sense promise 53 sense promote
236 sense propose 101 sense
protect 251 sense provide 6679
sense provoke 43 sense purport
116 sense pursued 59 sense
realized 91 sense receive 912
sense reduced 57 sense reflect
3422 sense refrain 51 sense
refused 66 sense related 50
sense replace 45 sense require
1592 sense respect 94 sense
respond 753 sense revealed 85
sense satisfy 925 sense signify
104 sense somehow 248 sense
specify 307 sense started 71
sense strongly 48 sense succeed
