sable three escallops of 56
seems like everybody in 147
seems like everybody is 305
seems like sacrilege to 173
seems like yesterday to 196
seems like yesterday we 111
seems made expressly to 96
seems more adaptable to 46
seems more advisable to 575
seems more analogous to 249
seems more attentive to 180
seems more attracted to 92
seems more beneficial to 151
seems more certainly to 81
seems more committed to 164
seems more concerned in 68
seems more concerned to 575
seems more conducive to 356
seems more confident in 41
seems more confident of 57
seems more connected to 135
seems more consonant to 203
seems more dedicated to 70
seems more dependent on 406
seems more desirable in 66
seems more desirable to 742
seems more difficult in 119
seems more difficult of 93
seems more difficult to 3387
seems more effective at 63
seems more effective in 487
seems more effective to 314
seems more efficient in 72
seems more efficient to 318
seems more equitable to 91
seems more especially to 332
seems more evocative of 40
seems more expedient to 250
seems more favorable to 258
seems more generally to 174
seems more important as 115
seems more important at 170
seems more important in 726
seems more important is 473
seems more important or 48
seems more important to 4437
seems more impressed by 89
seems more interesting is 76
seems more interesting to 606
seems more intuitive to 88
seems more justified in 47
seems more justified to 121
seems more logically to 44
seems more motivated by 95
seems more naturally to 347
seems more necessary in 73
seems more necessary to 175
seems more opportune to 43
seems more palatable to 54
seems more passionate at 69
seems more peculiarly to 70
seems more pertinent to 442
seems more pervasive in 47
seems more plausible as 135
seems more plausible at 49
seems more plausible if 95
seems more plausible in 382
seems more plausible is 188
seems more plausible on 45
seems more plausible to 4354
seems more practical in 49
seems more practical to 663
seems more prevalent in 411
seems more prominent in 127
seems more propitious to 50
seems more reasonable as 158
seems more reasonable at 59
seems more reasonable if 63
seems more reasonable in 269
seems more reasonable is 61
seems more reasonable on 50
seems more reasonable to 15247
seems more receptive to 154
seems more reluctant to 84
seems more repugnant to 40
seems more requisite to 82
seems more resistant to 206
seems more sensitive to 593
seems more widespread in 55
seems more wonderful to 93
seems more worthwhile to 138
seems most advisable to 211
seems most analogous to 61
seems most attracted to 44
seems most beneficial in 46
seems most beneficial to 108
seems most certainly to 162
seems most concerned in 44
seems most concerned to 144
seems most conducive to 340
seems most consonant to 118
seems most dependent on 47
seems most desirable as 42
seems most desirable in 89
seems most desirable is 46
seems most desirable to 597
seems most difficult to 651
seems most effective at 63
seems most effective in 417
seems most effective is 40
seems most effective to 183
seems most efficient to 97
seems most equitable to 41
seems most especially to 41
seems most evidently to 56
seems most expedient to 221
seems most favorable to 134
seems most generally to 92
seems most important as 97
seems most important at 120
seems most important in 677
seems most important is 557
seems most important of 100
seems most important or 77
seems most important to 2345
seems most impressed by 57
seems most interesting in 79
seems most interesting is 55
seems most interesting or 42
seems most interesting to 372
seems most mysterious in 142
seems most naturally to 583
seems most necessary in 60
seems most necessary to 154
seems most pertinent to 220
seems most plausible in 238
seems most plausible is 281
seems most plausible to 994
seems most plausibly to 126
seems most practical to 201
seems most prevalent in 209
seems most prominent in 89
seems most reasonable at 69
seems most reasonable in 184
seems most reasonable is 109
seems most reasonable to 5037
seems most reasonably to 51
seems most reluctant to 78
seems most resistant to 78
seems most sensitive to 131
seems most thoroughly to 46
seems much impressed by 47
seems only gradually to 63
seems only necessary to 1929
seems only plausible to 49
seems only practical to 47
seems only reasonable to 3624
seems only yesterday he 81
seems only yesterday to 48
seems only yesterday we 99
seems some obscurity in 52
seems there certainly is 99
seems very advisable to 52
seems very analogous to 84
seems very arbitrary to 51
seems very artificial to 66
seems very attentive to 102
seems very barbarous to 99
seems very committed to 40
seems very confident of 78
seems very dependent on 76
seems very desirable in 82
seems very desirable to 539
seems very different in 158
seems very different to 223
seems very difficult at 62
seems very difficult if 52
seems very difficult in 100
seems very difficult of 44
seems very difficult to 6778
seems very effective in 104
seems very effective to 60
seems very energetic as 47
seems very evidently to 123
seems very excusable by 43
seems very favorable to 67
seems very generally to 291
seems very hazardous to 62
seems very important at 40
seems very important in 330
seems very important is 43
seems very important to 2362
seems very interesting to 291
seems very mysterious to 83
seems very naturally to 139
seems very necessary in 52
seems very necessary to 264
seems very pertinent to 112
seems very plausible at 42
seems very plausible in 133
seems very plausible to 630
seems very reasonable in 128
seems very reasonable to 1527
seems very reluctant to 263
seems very resistant to 70
seems very sensitive to 209
seems very suspicious to 100
seems very unnatural to 69
seems very wonderful to 150
seems very worthwhile to 49
seems well described by 69
seems well explained by 47
seems well expressed by 63
seems well expressed in 40
seems well justified by 111
seems well justified in 119
seems well justified to 59
seems well positioned to 172
seems well qualified to 155
seems well supported by 514
seems well supported in 67
seems well worthwhile to 72
seems worth considering in 60
seems worth considering the 166
seize more territory in 58
seize their favorites by 121
seizing single situations of 64
seizing upon happiness as 40
selling book published by 47
selling book published in 209
selling bread deficient in 61
selling farm equipment in 40
selling health insurance to 95
selling life insurance as 121
selling life insurance in 444
selling life insurance is 315
selling life insurance on 107
selling life insurance or 299
selling life insurance to 843
selling such commodity at 100
selling such equipment to 54
selling their birthright of 62
selling their birthright to 41
selling their companies to 43
selling their daughters as 115
selling their daughters in 67
selling their daughters to 376
selling their equipment to 60
selling their expertise in 44
selling their expertise to 124
selling their influence to 40
selling their interests in 108
selling their interests to 107
selling their knowledge of 83
selling their knowledge to 112
selling their livestock to 52
selling their practices to 66
selling their prisoners of 47
selling their production to 43
selling their protection to 42
selling their resources to 75
selling their surpluses in 56
selling their surpluses to 91
selling well throughout the 45
selling your profession in 104
sells life insurance to 73
sells many varieties of 44
sells term insurance at 60
sending forth abundance of 51
sending forth emanations of 101
sending four companies of 56
sending more americans to 55
sending more criminals to 40
sending more offenders to 65
sending over shiploads of 48
sending some fireworks to 44
sending such directions the 51
sending such ministers to 42
sending such telegrams as 69
sending their colleagues to 52
sending their contingents of 54
sending their criminals to 41
sending their daughters as 44
sending their daughters to 2429
sending their delegates to 173
sending their employees on 40
sending their employees to 191
sending their graduates to 110
sending their penitents to 41
sending their personnel to 47
sending their prisoners to 117
sending their proposals to 58
sending their relatives to 48
sending their youngsters to 157
sending these documents to 49
sending three delegates to 54
sending three regiments of 68
sending young americans to 107
sending young gentlemen to 51
sending young offenders to 75
sending your daughters to 43
sends back responses to 41
sends five delegates to 83
sends four delegates to 52
sends home specimens of 58
sends some filaments to 120
sends these documents to 52
sends three delegates to 51
senior army commander in 123
senior vice commander of 105
senior vice president as 110
senior vice president at 4637
senior vice president in 2687
senior vice president is 125
senior vice president of 25872
senior vice president on 183
senior vice president or 247
senior vice president to 295
sense among americans of 60
sense been benefited by 136
sense data presented to 50
sense free inventions of 82
sense have continued the 75
sense just described is 110
sense just discussed is 58
sense just explained is 53
sense just indicated is 48
sense least favorable to 49
sense more commodious to 69
sense more difficult to 112
sense more favorable to 47
sense more important in 54
sense more important to 47
sense most favorable to 214
sense must determine the 55
sense such knowledge is 43
sense their inability to 44
sense there certainly is 49
sense took possession of 50
sense used elsewhere in 46
sense very different to 46
sense very difficult to 60
sense when addressed to 83
sense when considering the 553
sense when presented to 46
sense will determine the 53
sense will generally be 42
sense will undertake to 69
sensing their inability to 41
serfs were compelled to 154
serfs were forbidden to 117
serfs were liberated in 113
serfs were mortgaged to 52
serfs were obligated to 69
serfs were permitted to 70
serfs were subjected to 67
serial port connected to 130
serial port connection to 102
serif text indicates an 123
serum were incubated at 61
serum were separated by 57
serum were subjected to 46
serve from midsummer to 79
serve male interests in 49
serve more faithfully the 58
serve more generally as 108
serve more perfectly the 74
serve some political or 46
serve such christians as 40
serve their community as 239
serve their community by 86
serve their community in 186
serve their countries in 75
serve their creditors as 46
serve their customers as 164
serve their customers at 59
serve their customers by 168
serve their customers in 255
serve their employers to 43
serve their generation by 98
serve their generation in 78
serve their interests as 1078
serve their interests at 169
serve their interests by 401
serve their interests if 80
serve their interests in 772
serve their interests or 194
serve their interests to 187
serve their neighbors in 78
serve their objective of 40
serve their sentences as 119
serve their sentences at 138
serve their sentences in 1684
serve their sentences of 51
serve their sentences on 89
serve their sovereign in 228
serve those interests by 49
serve very materially to 44
serve when necessary as 45
serve your community in 95
serve your customers in 42
serve your interests as 148
serve your interests by 61
serve your interests in 92
serve your interests to 69
serve your responses on 59
serving life sentences at 151
serving life sentences in 1207
serving life sentences of 47
serving life sentences on 64
serving life sentences or 153
serving life sentences to 40
serving their community in 51
serving their countries in 41
serving their customers in 74
serving their generation by 44
serving their interests as 62
serving their interests in 105
serving their interests or 96
serving their sentences as 42
serving their sentences at 127
serving their sentences in 743
serving their sentences of 42
serving their sentences on 70
serving their sentences or 63
setting body described in 105
setting clear standards of 53
setting down passengers at 90
setting down passengers in 58
setting down passengers or 98
setting fire themselves to 43
setting forth arguments in 41
setting forth concisely the 661
setting forth conditions of 463
setting forth generally the 166
setting forth objections to 130
setting forth precisely the 88
setting forth standards of 304
setting high standards as 42
setting high standards in 214
setting high standards is 46
setting high standards of 807
setting lend themselves to 44
setting more conducive to 642
setting most conducive to 328
setting poor prisoners on 51
setting their affections on 202
setting their shoulders to 91
setting these standards is 45
setting time standards on 68
setting will determine the 411
setting will influence the 258
setting your affections on 126
seven bits represent the 70
seven case histories of 133
seven days previously to 272
seven days throughout the 109
seven great archangels of 46
seven great armaments or 63
seven heads represent the 158
seven more gentlemen of 195
seven most important of 62
seven other companies in 97
seven other companies to 41
seven other countries in 362
seven other countries of 67
seven other countries to 111
seven other gentlemen of 49
seven other instances of 136
seven other varieties of 276
seven poems published in 149
seven were appointed by 112
seven were appointed to 181
seven were committed to 40
seven were condemned to 250
seven were convicted of 165
seven were described as 178
seven were destroyed by 51
seven were graduates of 94
seven were incapable of 52
seven were nominated by 58
seven were permitted to 54
seven were presented to 60
seven were published in 195
seven were sentenced in 47
seven were sentenced to 818
seven years afterward he 77
seven years conducted the 55
seven years continued to 92
seven years president of 335
seven years previously as 92
seven years previously at 78
seven years previously by 140
seven years previously he 179
seven years previously in 217
seven years previously the 128
seven years previously to 192
seven years professor of 112
seven years represent the 48
seven years residence in 172
seven years secretary of 95
seven years separated the 106
seven years succeeded in 46
seven years succeeded of 40
seven years throughout the 66
sever their allegiance to 302
sever their connection to 239
sexes cast themselves on 77
sexes from childhood to 44
sexes gave themselves up 100
sexes made invisible as 41
sexes were assembled in 45
sexes were attracted to 42
sexes were compelled to 48
sexes were forbidden to 45
sexes were permitted to 83
sexes were separated at 89
sexes were separated by 152
sexes were separated in 172
sexes were subjected to 96
shade have revisited the 81
shade more difficult in 50
shade tree throughout the 47
shade were witnessed so 58
shake their allegiance to 163
shake their conviction of 56
shale were deposited in 104
shall also accompany the 87
shall also advertise in 46
shall also ascertain the 311
shall also calculate the 122
shall also cooperate in 578
shall also designate as 231
shall also designate the 355
shall also determine in 117
shall also determine the 1496
shall also discharge the 313
shall also disregard the 109
shall also distinguish it 56
shall also distinguish the 108
shall also eliminate the 49
shall also emphasize the 99
shall also encounter in 65
shall also encounter the 76
shall also encourage the 140
shall also establish an 71
shall also establish the 304
shall also guarantee to 49
shall also highlight the 79
shall also implement the 81
shall also indemnify the 145
shall also introduce the 389
shall also prescribe the 564
shall also publicize the 41
shall also recognize as 91
shall also recognize the 141
shall also recommend the 84
shall also recommend to 252
shall also reimburse the 150
shall also represent the 277
shall also safeguard the 61
shall also subscribe the 99
shall also summarize the 84
shall also supervise the 203
shall also terminate if 54
shall also undertake the 147
shall also undertake to 162
shall base ourselves on 106
shall bathe themselves in 58
shall best appreciate the 240
shall best discharge my 186
shall best discharge the 49
shall best represent the 285
shall bind ourselves to 59
shall bind themselves by 192
shall bind themselves in 105
shall bind themselves to 521
shall blow ourselves up 43
shall call jerusalem the 1031
shall call witnesses to 67
shall cease altogether to 49
shall cease collection of 84
shall cease throughout the 316
shall come presently to 429
shall dare henceforth to 163
shall deem advisable in 170
shall deem advisable to 171
shall deem conducive to 151
shall deem expedient in 455
shall deem expedient or 98
shall deem expedient to 268
shall deem necessary in 345
shall deem necessary or 2040
shall deem necessary to 2603
shall deem requisite to 142
shall deem warranted by 42
shall deny permission to 137
shall draw primarily on 76
shall duly appreciate the 58
shall duly prosecute the 55
shall ever afterward be 42
shall ever celebrate the 42
shall ever entertain of 102
shall ever entertain the 233
shall ever henceforth be 52
shall ever influence me 42
shall ever interfere in 66
shall ever interfere to 44
shall ever reassemble in 117
shall ever recollect the 71
shall fail faithfully to 99
shall feel aggrieved by 359
shall feel authorized to 120
shall feel compelled to 617
shall feel confident of 40
shall feel gratified by 42
shall feel gratified if 93
shall feel justified in 762
shall feel obligated to 51
shall feel ourselves as 118
shall feel ourselves at 59
shall feel ourselves in 92
shall feel ourselves to 84
shall feel perfectly at 69
shall feel satisfied if 123
shall feel warranted in 70
shall file schedules of 57
shall fill vacancies in 222
shall find abundance of 180
shall find ammunition on 40
shall find confirmed by 102
shall find confirmed on 51
shall find consigned the 53
shall find described in 65
shall find difficult to 87
shall find elsewhere in 46
shall find evidences of 116
shall find explained in 53
shall find expressed in 61
shall find expression in 293
shall find happiness in 201
shall find instances in 66
shall find instances of 256
shall find irregular or 91
shall find lodgement in 72
shall find necessary in 171
shall find necessary or 109
shall find necessary to 612
shall find ourselves as 392
shall find ourselves at 1009
shall find ourselves in 9648
shall find ourselves no 59
shall find ourselves on 571
shall find ourselves so 55
shall find ourselves the 290
shall find ourselves to 182
shall find ourselves up 51
shall find precisely the 134
shall find presently in 62
shall find presently the 62
shall find prisoners in 52
shall find reflected in 74
shall find requisite to 43
shall find resources of 425
shall find somewhere to 75
shall find specimens of 77
shall find themselves at 55
shall find themselves in 890
shall find themselves on 60
shall find throughout the 193
shall flow fountains of 88
shall from henceforth be 3159
shall from henceforth by 45
shall from henceforth do 46
shall from thenceforth be 1040
shall gain possession of 265
shall give allowance to 47
shall give assurance of 296
shall give assurance to 77
shall give directions as 289
shall give directions in 84
shall give directions of 50
shall give directions to 339
shall give expression to 306
shall give happiness to 116
shall give instances in 47
shall give instances of 156
shall give intimation of 75
shall give intimation to 86
shall give knowledge of 49
shall give obedience to 44
shall give ourselves no 153
shall give ourselves the 59
shall give ourselves to 102
shall give ourselves up 104
shall give permission by 48
shall give permission to 144
shall give possession of 75
shall give protection to 136
shall give publicity to 86
shall give stability to 62
shall give testimony of 258
shall give testimony to 57
shall give themselves the 44
shall give themselves to 111
shall give themselves up 148
shall give utterance to 186
shall grow splenetic in 95
shall have abandoned the 219
shall have abolished the 76
shall have abundance of 571
shall have adjourned at 65
shall have adjourned on 89
shall have advantage of 131
shall have alexandria as 68
shall have allocated to 74
shall have allowance of 113
shall have announced the 113
shall have announced to 99
shall have appointed an 234
shall have appointed by 277
shall have appointed the 99
shall have appointed to 189
shall have assembled at 40
shall have attempted or 74
shall have attempted to 357
shall have attracted the 47
shall have augmented the 46
shall have authorized the 409
shall have available at 91
shall have available the 90
shall have available to 242
shall have carefully to 105
shall have certified at 50
shall have certified in 398
shall have certified on 41
shall have certified the 146
shall have certified to 690
shall have chastised to 54
shall have collected as 68
shall have collected in 40
shall have collected my 44
shall have collected the 345
shall have commenced the 167
shall have commenced to 376
shall have commission to 42
shall have committed an 235
shall have committed in 53
shall have committed it 157
shall have committed on 60
shall have committed or 103
shall have committed the 398
shall have committed to 47
shall have compassed the 45
shall have compassion on 115
shall have completed an 196
shall have completed at 331
shall have completed in 84
shall have completed it 147
shall have completed my 750
shall have completed the 3325
shall have concluded the 141
shall have concurred as 125
shall have concurred in 141
shall have conducted the 87
shall have conferred the 454
shall have confirmed or 74
shall have confirmed the 314
shall have conformed to 102
shall have conquered it 55
shall have conquered the 317
shall have consented in 142
shall have consented to 776
shall have consulted the 97
shall have continued in 490
shall have continued to 376
shall have converted the 81
shall have convinced the 93
shall have copyright in 60
shall have corrected the 84
shall have delivered in 80
shall have delivered it 118
shall have delivered or 54
shall have delivered the 461
shall have delivered to 2057
shall have delivered up 4658
shall have denounced it 526
shall have deposited an 119
shall have deposited in 58
shall have deposited the 147
shall have descended to 142
shall have described the 180
shall have destroyed my 41
shall have destroyed the 674
shall have developed in 43
shall have developed the 252
shall have developed to 51
shall have directions to 46
shall have disclosed the 128
shall have discretion as 76
shall have discretion in 96
shall have discretion to 1749
shall have discussed the 130
shall have dispelled the 94
shall have dispersed the 138
shall have dissolved the 73
shall have disturbed the 51
shall have endeavored to 106
shall have engendered so 53
shall have especially to 84
shall have estimated the 54
shall have evacuated it 47
shall have evacuated the 105
shall have exercised at 53
shall have exercised the 228
shall have exhausted my 102
shall have exhausted the 599
shall have exhibited at 64
shall have exhibited the 101
shall have exhibited to 73
shall have expertise in 135
shall have explained the 240
shall have explained to 283
shall have expressed in 46
shall have expressed the 97
shall have forfeited the 101
shall have forgotten by 43
shall have forgotten it 180
shall have forgotten the 445
shall have forgotten to 148
shall have forwarded to 56
shall have fulfilled my 413
shall have fulfilled the 840
shall have furnished the 579
shall have furnished to 601
shall have furnished us 61
shall have graduated at 56
shall have handrails on 86
shall have henceforth to 44
shall have indicated the 102
shall have influence in 48
shall have inherited the 43
shall have inscribed on 74
shall have inspected the 77
shall have justified my 47
shall have justified the 71
shall have knowledge of 1180
shall have knowledge or 128
shall have knowledge to 420
shall have mouldered in 81
shall have mouldered to 45
shall have naturally in 261
shall have neglected or 393
shall have neglected the 51
shall have neglected to 755
shall have nominated by 335
shall have nullified the 57
shall have ourselves to 100
shall have oversight of 85
shall have overtaken the 49
shall have overthrown the 60
shall have ownership of 72
shall have patterson on 91
shall have perceived the 60
shall have perfected the 64
shall have performed an 205
shall have performed in 130
shall have performed my 141
shall have performed or 58
shall have performed the 669
shall have permission so 53
shall have permission to 1292
shall have permitted the 50
shall have persuaded the 93
shall have possessed the 65
shall have possession of 1352
shall have possession or 57
shall have precisely the 307
shall have presented the 173
shall have presented to 467
shall have presently to 1827
shall have preserved the 94
shall have prevented the 61
shall have primarily in 41
shall have privilege of 101
shall have privilege to 64
shall have proceeded in 73
shall have proceeded to 514
shall have propriety to 73
shall have protested in 55
shall have provisions in 43
shall have provisions to 78
shall have published in 111
shall have published it 84
shall have published the 83
shall have purchased or 619
shall have purchased the 166
shall have qualified as 278
shall have qualified by 62
shall have qualified in 84
shall have qualified or 94
shall have qualified to 106
shall have reasonable or 152
shall have recovered it 44
shall have recovered my 79
shall have recovered the 216
shall have reference to 818
shall have regulated the 60
shall have renounced the 54
shall have repeatedly to 104
shall have requested the 115
shall have resolution to 43
shall have sanctioned it 63
shall have sanctioned the 136
shall have satisfied my 86
shall have satisfied the 1159
shall have scattered the 52
shall have separated the 106
shall have signified in 248
shall have signified to 104
shall have specified in 173
shall have specified or 345
shall have specified the 73
shall have subjected the 41
shall have submitted an 82
shall have submitted the 126
shall have submitted to 1275
shall have succeeded he 43
shall have succeeded if 50
shall have succeeded in 6754
shall have succeeded to 342
shall have succession by 77
shall have succession in 47
shall have suggested to 58
shall have surpassed the 132
shall have suspended the 60
shall have sustained by 351
shall have sustained in 345
shall have sustained or 49
shall have sustained the 78
shall have swallowed up 103
shall have throughout the 53
shall have traversed the 172
shall have unanimity at 42
shall have uncovered the 49
shall have undergone an 72
shall have undergone the 325
shall have whatsoever he 2332
shall have witnessed the 158
shall help ourselves to 49
shall here designate as 169
shall here designate by 95
shall here disregard the 50
shall here enumerate the 106
shall here interrupt the 46
shall here introduce an 170
shall here introduce it 144
shall here introduce my 40
shall here introduce the 331
shall here introduce to 59
shall here reproduce the 69
shall here summarize the 122
shall here terminate the 121
shall here translate it 128
shall here undertake to 60
shall hide themselves in 294
shall hold ourselves at 59
shall hold ourselves in 87
shall hold ourselves to 53
shall hold paramount the 585
shall hold possession of 166
shall hold themselves in 393
shall hold themselves to 53
shall hurt themselves or 86
shall join themselves to 614
shall keep knowledge in 65
shall keep ourselves in 47
shall keep possession of 306
shall keep privately to 42
shall keep registers in 47
shall keep registers of 157
shall keep themselves in 49
shall know ourselves as 111
shall know ourselves to 106
shall land ourselves in 91
shall last throughout the 58
