sabbath day according to 630
safety and privacy of 611
safety and profits of 47
safety and promise of 49
safety and promote the 289
safety and promoting the 60
safety and protect the 274
safety and provide the 62
safety and quality as 171
safety and quality at 42
safety and quality by 44
safety and quality in 465
safety and quality is 119
safety and quality of 6558
safety and quality to 101
safety and reduced the 43
safety and reduces the 92
safety and refused to 105
safety and respect in 73
safety and respect of 40
safety and respect to 91
safety and results in 41
safety and secrecy of 177
safety and service in 42
safety and service of 116
safety and service to 55
safety and shelter at 45
safety and shelter in 193
safety and shelter of 363
safety and shelter to 67
safety and silence of 44
safety and storage of 48
safety and success as 101
safety and success by 103
safety and success in 1349
safety and success is 64
safety and success of 2921
safety and success on 143
safety and success to 188
safety and support in 148
safety and support of 488
safety and support to 126
safety and triumph of 80
safety and triumph to 51
safety and utility in 104
safety and utility of 768
safety and victory in 73
safety and victory of 194
safety and victory to 61
safety and violence in 62
safety and welfare as 209
safety and welfare at 1095
safety and welfare by 195
safety and welfare in 616
safety and welfare is 384
safety and welfare it 58
safety and welfare of 28072
safety and welfare on 44
safety and welfare or 97
safety and welfare the 104
safety and welfare to 180
safety any attempt on 69
safety are applied to 67
safety are covered by 43
safety are covered in 74
safety are matters of 51
safety are related to 74
safety are similar to 69
safety are subject to 54
safety but because of 46
safety can usually be 43
safety does require in 205
safety does require it 339
safety does require the 451
safety for anybody or 68
safety for himself by 160
safety for himself in 98
safety for himself or 79
safety for members of 55
safety for payment of 50
safety for persons in 76
safety for slavery in 40
safety for victims of 71
safety for workers in 83
safety has emerged as 149
safety may require it 11003
safety may require the 177
safety net against the 229
safety net because of 47
safety net function of 47
safety net measures to 101
safety net offered by 68
safety net program in 53
safety net program to 53
safety was assured by 242
safety was assured to 85
safety was beginning to 44
safety was brought to 49
safety was defined as 41
safety was ensured by 112
safety was guarded by 42
safety was menaced by 61
safety was reduced to 43
safety was secured at 41
safety was secured by 246
safety with respect to 4103
sagged and dropped to 48
sagged and started to 40
sailed and arrived at 82
sailed and arrived in 72
sailed for algiers in 78
sailed for america as 247
sailed for america at 187
sailed for america by 61
sailed for america he 82
sailed for america in 3227
sailed for america on 1614
sailed for america the 261
sailed for america to 873
sailed for bermuda in 56
sailed for bermuda on 43
sailed for britain in 162
sailed for britain on 128
sailed for britain to 78
sailed for denmark to 44
sailed for florida in 104
sailed for germany in 162
sailed for germany on 128
sailed for germany to 122
sailed for halifax in 101
sailed for halifax on 135
sailed for halifax to 98
sailed for hamburg in 60
sailed for hamburg on 92
sailed for holland in 215
sailed for holland on 119
sailed for holland to 129
sailed for ireland at 70
sailed for ireland in 273
sailed for ireland on 135
sailed for ireland to 138
sailed for islands in 81
sailed for jamaica in 290
sailed for jamaica on 91
sailed for jamaica to 102
sailed for leghorn in 40
sailed for leghorn to 99
sailed for malacca in 57
sailed for plymouth in 48
sailed for plymouth on 48
sailed for shanghai on 79
sailed for singapore in 48
sailed for singapore on 94
sailed for tripoli in 50
sailed for virginia in 428
sailed for virginia on 148
sailed for virginia to 56
sailed off towards the 143
sailed out against the 173
sailed out between the 71
sailed out towards the 98
sailed two cruises in 42
sailed was obliged to 40
sailed was wrecked on 126
sailed with hawkins on 40
sailed with letters of 92
sailor and soldier in 76
sailor and soldier of 52
sailor and soldier on 40
sailor had managed to 68
sailor hat perched on 103
sailor was allowed to 123
sailor was brought to 44
sailor was obliged to 113
sailor was ordered to 109
sailor was visited in 60
sailor was wounded in 84
sailor who appeared to 48
sailor who arrived in 82
sailor who belonged to 68
sailor who boarded the 172
sailor who brought me 58
sailor who brought the 77
sailor who carried my 52
sailor who carried the 50
sailor who claimed to 93
sailor who entered the 45
sailor who managed to 52
sailor who refused to 60
sailor who settled in 76
saints and admired in 203
saints and against the 42
saints and because of 40
saints and bishops of 99
saints and blessed of 62
saints and deities in 90
saints and deities of 48
saints and deities to 42
saints and divines of 40
saints and doctors of 737
saints and faithful in 270
saints and figures of 68
saints and friends of 178
saints and hermits in 48
saints and hermits of 189
saints and knights the 50
saints and legends of 66
saints and martyrs as 698
saints and martyrs at 65
saints and martyrs by 192
saints and martyrs he 50
saints and martyrs in 2769
saints and martyrs is 184
saints and martyrs of 3926
saints and martyrs on 359
saints and martyrs or 99
saints and martyrs the 85
saints and martyrs to 409
saints and masters of 210
saints and members of 1684
saints and mystics as 120
saints and mystics in 161
saints and mystics is 84
saints and mystics of 764
saints and mystics to 77
saints and patrons of 90
saints and priests of 45
saints and savants of 71
saints and shrines in 50
saints and sinners as 191
saints and sinners at 73
saints and sinners in 500
saints and sinners is 134
saints and sinners of 364
saints and sinners on 48
saints and sinners to 172
saints and spirits of 67
saints and stories of 114
saints and symbols of 50
saints and teachers in 42
saints and teachers of 225
saints and thinkers of 61
saints and virgins in 193
saints and virgins of 112
saints and virgins to 60
saints and warriors of 49
saints and workers of 64
saints and worship of 47
saints and worthies of 96
saints and writers of 52
saints are allowed to 72
saints are appealed to 42
saints are arranged in 100
saints are brought to 92
saints are capable of 136
saints are carried in 78
saints are dressed in 115
saints are enabled to 58
saints are exposed to 76
saints are gathered in 59
saints are honored on 44
saints are invoked in 61
saints are invoked to 50
saints are members of 104
saints are painted in 52
saints are painted on 66
saints are patrons of 60
saints are precious to 44
saints are related to 75
saints are reputed to 45
saints are similar to 66
saints are subject to 90
saints are written in 53
saints bear witness to 70
saints for advancing the 105
saints had appeared to 49
saints that adorned the 62
saints that appeared in 42
saints that preached the 56
saints who adorned the 45
saints who appeared in 87
saints who appeared to 96
saints who believe in 70
saints who belonged to 126
saints who founded the 63
saints who gathered the 41
saints who inhabit the 40
saints who preached the 86
saints who protect the 59
saints who survive the 46
saints who worship the 186
saints with respect to 47
salads and bottles of 40
salary and allowed to 43
salary and bonuses as 107
salary and bonuses in 190
salary and bonuses of 154
salary and bonuses to 111
salary and endeavor to 42
salary and expense of 154
salary and pensions of 49
salary and position as 124
salary and position in 96
salary and position of 84
salary and position to 49
salary and profits of 55
salary and promise of 43
salary and refused to 92
salary and subject to 113
salary and support of 41
salary are subject to 68
salary being annexed to 42
salary being offered is 54
salary being offered to 43
salary for attending the 75
salary for attending to 65
salary for himself as 117
salary for himself of 66
salary for members of 293
salary for service in 58
salary for teachers at 53
salary for teachers in 545
salary for teachers is 136
salary for teachers of 150
salary for workers in 65
salary gap between the 276
salary had climbed to 62
salary had dropped to 46
salary not exceeding rs 179
salary not exceeding the 168
salary not subject to 50
salary that exceeds the 55
salary they receive is 92
salary was allowed to 99
salary was annexed to 153
salary was assured to 51
salary was boosted to 67
salary was charged to 71
salary was doubled in 52
salary was doubled to 100
salary was granted to 122
salary was limited to 56
salary was offered to 86
salary was ordered to 45
salary was pledged to 43
salary was reduced by 332
salary was reduced in 59
salary was reduced to 1031
salary was related to 55
salary was settled on 56
salary was subject to 122
salary with respect to 401
saline and allowed to 392
saline and applied to 167
saline and diluted to 94
saline and exposed to 117
saline and infused at 60
saline was applied to 133
saline was infused at 247
saline was infused in 46
saline was started at 41
saliva had gathered in 61
saliva may contain the 45
saliva was allowed to 98
saliva with respect to 165
sallow and swollen in 63
sallying out against the 56
salmon and halibut in 88
salmon and sturgeon in 68
salmon are allowed to 52
salmon are capable of 71
salmon are hatched in 59
salmon are present in 49
salmon are returning to 68
salmon going upstream to 50
salmon that spawned in 131
salmon was brought in 111
salmon was brought to 50
salons and gardens of 62
saloon and entered the 68
saloon and watched the 53
saloon that catered to 50
saloon was crowded as 113
saloon was lighted by 149
saloon was located on 47
salted and allowed to 352
salted and carried to 42
salted and pickled in 152
salted and shipped in 44
salted and shipped to 292
salute and hoisted the 44
salute and marched to 115
salute and ripples to 62
salute and started to 128
salute and uncover the 47
salute and watched the 42
salute and welcome me 60
salute and welcome the 126
salute her husband as 58
salute him because he 43
salute them according to 45
salute was ordered to 47
salute was repeated at 67
salute was repeated by 47
salute with respect the 60
sample all aspects of 93
sample all members of 68
sample and according to 76
sample and allowed to 328
sample and analyze it 100
sample and analyze the 341
sample and analyzing it 59
sample and analyzing the 116
sample and applied to 71
sample and attempt to 68
sample and average the 82
sample and because it 82
sample and because of 136
sample and because the 116
sample and between the 162
sample and collect the 140
sample and compare it 290
sample and compare the 305
sample and comparing it 135
sample and comparing the 212
sample and compute the 361
sample and computing the 102
sample and convert the 49
sample and depends on 60
sample and detecting the 59
sample and discuss the 59
sample and divided by 58
sample and examine it 75
sample and examine the 127
sample and examining the 62
sample and extract the 43
sample and following the 41
sample and furnish the 138
sample and increase the 104
sample and increasing the 61
sample and measured the 54
sample and measures the 147
sample and monitor the 50
sample and observe the 148
sample and observing the 243
sample and obtaining the 62
sample and perform the 84
sample and proceed as 239
sample and proceed to 41
sample and reagents in 56
sample and reagents is 46
sample and reagents to 66
sample and recording the 194
sample and reduces the 82
sample and removal of 56
sample and results in 101
sample and results of 46
sample and samples of 47
sample and subject to 155
sample are allowed to 119
sample are applied to 164
sample are arranged in 109
sample are assumed to 275
sample are brought to 49
sample are covered by 48
sample are defined as 64
sample are denoted by 108
sample are diluted to 70
sample are excited by 52
sample are exposed to 99
sample are limited to 61
sample are located in 230
sample are measured by 136
sample are measured in 63
sample are members of 183
sample are plotted as 77
sample are plotted in 167
sample are plotted on 121
sample are present in 75
sample are reduced to 52
sample are related to 164
sample are removed by 63
sample are similar in 107
sample are similar to 629
sample are subject to 221
sample are typical of 96
sample are weighed in 84
sample being measured is 80
sample being organic or 133
sample being studied is 125
sample bias voltage of 117
sample can consist of 69
sample can increase the 84
sample can provide an 43
sample can provide the 50
sample can usually be 295
sample for assessing the 59
sample for culture is 47
sample for himself the 43
sample for research on 43
sample for samples of 41
sample had entered the 99
sample had incomes of 58
sample had visited the 46
sample has entered the 259
sample has exactly the 60
sample may consist of 514
sample may contain an 53
sample may explain the 51
sample may increase the 51
sample may provide an 48
sample may reflect the 152
sample may suffice to 53
sample mean depends on 88
sample mean divided by 172
sample mean exceeds the 120
sample mean happens to 56
sample not exposed to 60
sample that follows is 49
sample that follows the 52
sample that happens to 126
sample that matched the 42
sample that matches the 107
sample that possess the 66
sample that results in 94
sample was allowed to 1875
sample was annealed at 838
sample was annealed in 563
sample was annealed to 95
sample was applied as 47
sample was applied at 88
sample was applied in 401
sample was applied on 230
sample was applied to 1406
sample was arranged in 43
sample was arrived at 61
sample was assayed by 54
sample was assayed in 441
sample was assumed to 387
sample was between the 84
sample was brought to 431
sample was brought up 76
sample was capable of 46
sample was checked by 176
sample was counted by 41
sample was counted in 278
sample was covered by 111
sample was crushed in 74
sample was crushed to 293
sample was defined as 501
sample was defined by 85
sample was defined in 93
sample was derived by 66
sample was diluted by 102
sample was diluted in 192
sample was diluted to 645
sample was diverse in 75
sample was divided as 121
sample was divided at 120
sample was divided by 375
sample was divided in 326
sample was divided on 99
sample was excited at 179
sample was excited by 210
sample was exposed in 54
sample was exposed to 1798
sample was gathered by 63
sample was gathered in 75
sample was layered on 132
sample was limited by 128
sample was limited in 244
sample was limited to 2677
sample was located in 165
sample was located on 40
sample was matched to 90
sample was measured as 444
sample was measured at 601
sample was measured by 960
sample was measured in 1044
sample was measured on 220
sample was measured to 221
sample was mounted at 48
sample was mounted in 647
sample was mounted on 1806
sample was opposed to 58
sample was planned to 53
sample was present in 67
sample was reduced at 50
sample was reduced by 230
sample was reduced in 334
sample was reduced to 957
sample was reheated to 48
sample was related to 148
sample was removed at 73
sample was removed by 184
sample was removed to 97
sample was rotated at 131
sample was rotated by 110
sample was rotated in 144
sample was scanned at 67
sample was scanned in 163
sample was similar in 82
sample was similar to 802
sample was spotted on 240
sample was studied at 55
sample was studied by 157
sample was studied in 253
sample was subject to 184
sample was superior to 59
sample was typical of 119
sample was unusual in 45
sample was weighed in 135
sample was weighed on 93
sample was weighed to 97
sample was wrapped in 87
sample was written by 77
sample who claimed to 62
sample who entered the 66
sample who refused to 61
sample with respect to 5172
sampling and analyzing of 130
sampling and analyzing the 751
sampling and averaging of 44
sampling and because of 46
sampling and control of 120
sampling and filtering of 54
sampling and recording of 202
sampling and recording the 102
sampling and removal of 58
sampling and reporting of 41
sampling and storage of 540
sampling and studies of 118
sampling are assumed to 49
sampling are related to 123
sampling are similar to 198
sampling are subject to 50
sampling can usually be 48
sampling may increase the 96
sampling was adopted in 43
sampling was applied to 118
sampling was carried on 44
sampling was limited to 539
sampling was reduced to 45
sampling with respect to 850
sandal and flowers to 46
sanded and painted in 52
sanded and painted it 53
sanded and painted the 171
sanded and painted to 106
sanded and stained the 103
sanded and stained to 41
sanity and ability to 104
sanity and balance in 126
sanity and balance of 299
sanity and balance to 62
sanity and clarity in 46
sanity and clarity of 93
sanity and decency in 66
sanity and dignity of 58
sanity and justice in 68
sanity and justice of 56
sanity and justice to 69
sanity and madness as 56
sanity and madness in 151
sanity and madness is 143
sanity and majesty of 134
sanity was beginning to 55
saplings and seedlings in 45
saplings and seedlings of 95
saplings are planted in 68
sapped and weakened by 110
sapped his ability to 72
sapped its ability to 61
sashes and drawers of 42
sashes she reposed at 73
satiate his vengeance on 113
satins and velvets in 66
satins and velvets of 164
satire and mockery in 66
satire and mockery of 60
satire and omitted the 69
satire and romance in 56
satire and sarcasm in 79
satire and sarcasm of 42
satire and sympathy in 40
satire and variety of 64
satire are deserving of 86
satire that appeared in 66
satire that exposes the 40
satire was applied to 141
satire was brought to 53
satire was written by 109
satire was written in 168
satyrs and spirits of 55
satyrs oft provoke the 42
saucer and carried it 50
saucer that belonged to 62
sauces and dressings on 69
sauces and dressings to 49
sauces and gravies in 45
sauces and gravies to 120
sauces and seasonings to 55
savage and brutish as 50
savage and hostile to 74
savage and inhuman as 40
savage and lawless of 57
savage and ruthless as 59
savage and scarlet as 110
savage and warlike in 121
savage and warlike of 79
savage are brought in 58
savage dog fastens on 64
savage far inferior to 59
savage hath pressed the 51
savage than between the 76
savage that appeared to 94
savage that wanders in 94
savage war against the 278
savage war against us 193
savage war between the 100
savage war carried on 51
savage was brought to 40
savage was obliged to 45
savage was touched by 89
savage was unmoved as 56
savage who appeared to 48
savage who retains in 121
savoring too strongly of 147
savors too strongly of 283
sawyer had slammed the 43
scalar dot product of 66
scalar with respect to 1028
scaled and rotated to 132
scaled and shifted to 124
scaled new heights in 349
scaled new heights of 518
scaled with ladders by 87
scaled with ladders of 46
scaled with respect to 2691
scales and according to 65
scales and because of 58
scales and between the 142
scales and compare the 52
scales and degrees of 213
scales and indexes to 96
scales and measures in 75
scales and measures of 412
scales and measures to 95
scales and quality of 42
scales and splints of 63
scales and subject to 79
scales and systems of 58
scales and weighed in 43
scales and weighed it 108
scales and weighed the 111
scales and weights as 51
scales and weights at 58
scales and weights in 212
scales and weights is 51
scales and weights of 268
scales and weights to 160
scales are allowed to 68
scales are applied to 427
scales are arranged in 2232
scales are arranged on 47
scales are arranged so 240
scales are arranged to 52
scales are assumed to 224
scales are beginning to 135
scales are brought to 53
scales are capable of 162
scales are covered by 103
scales are defined as 384
scales are defined by 221
scales are defined in 176
scales are derived by 71
scales are divided in 46
scales are engraved on 56
scales are exactly the 44
scales are exposed to 42
scales are helpful in 110
scales are limited by 47
scales are limited in 46
scales are limited to 127
scales are located in 60
scales are located on 102
scales are measured in 111
scales are measures of 160
scales are mounted on 59
scales are perhaps the 113
scales are plotted in 53
scales are plotted on 60
scales are present in 418
scales are present on 343
scales are printed on 85
scales are reduced in 67
scales are reduced to 206
scales are related as 83
scales are related by 425
scales are related in 64
scales are related to 750
scales are removed by 183
scales are removed the 89
scales are similar in 229
scales are similar to 790
scales are steeped in 46
scales are subject to 411
scales are superior to 81
scales are typical of 96
scales are usually in 74
scales are usually of 46
scales are usually the 49
scales are visible in 47
scales are weighed in 50
scales are written in 47
scales being reduced to 115
scales can usually be 75
scales for assessing the 1682
scales for members of 45
scales for quality of 115
scales for recording the 49
scales for research in 106
scales for teachers in 195
scales for workers in 42
scales that attempt to 355
scales that consist of 80
scales that covered the 129
scales that include the 70
scales that measured the 84
scales that protect the 117
scales that provide the 50
scales that purport to 355
scales that reflect the 305
scales that require the 58
scales that weighed the 40
scales was related to 62
scales with measures of 501
scales with respect to 1457
scalping and pillaging the 123
scalping and stripping the 113
scalps they brought in 46
scanning and analyzing the 135
scanning and recording of 152
scanning and recording the 45
scanning and storage of 110
scanning are helpful in 86
scanning beam returns to 132
scanning beam strikes the 48
scanning can confirm the 123
scanning has emerged as 65
scanning may confirm the 41
scanning with respect to 154
scanty and consist of 44
scanty and limited in 45
scanty and limited to 145
scanty and subject to 83
scanty with respect to 63
scarce and because it 42
scarce and because of 51
scarce and because the 102
scarce and capable of 51
scarce and capital is 73
scarce and consist of 83
scarce and limited in 150
scarce and limited to 336
scarce and precious in 104
scarce and precious to 76
scarce and subject to 222
scarce and unusual in 41
scarce any account of 61
scarce any division of 219
scarce any expense at 60
scarce any leisure to 68
scarce any natures so 71
scarce any pleasure to 58
scarce any religion to 65
scarce any remains of 139
scarce any species of 54
scarce any variety in 46
scarce any vestige of 70
scarce any virtues to 59
scarce bring himself to 275
scarce bring oneself to 54
scarce one quarter of 90
scarce raw material or 54
scarce six thousand in 58
scarce tax dollars to 56
scarce with respect to 153
scarce yet arrived at 136
scarce yet believing it 78
scarce yet touched by 51
scared and ashamed of 131
scared and ashamed to 121
scared and decided to 386
scared and dropped the 189
scared and excited as 53
scared and excited at 608
scared and excited by 69
scared and excited me 75
scared and excited to 98
scared and nervous as 62
scared and nervous to 93
scared and refused to 218
scared and scarred by 121
scared and shocked by 40
scared and started to 1146
scared her because he 49
scared her because it 45
scared him because he 257
scared him because it 98
scared off because of 40
scares and rivalry in 49
scares him because he 44
scarring and adhesion of 50
scarring and atrophy of 358
scarring and closure of 148
scarring and fixation of 110
scarring and hardening of 114
scarring and narrowing of 563
scarring and puckering of 50
scarring and shrinking of 117
scarring and thickening of 562
scarring may prevent the 87
scarring that results in 110
scarring was present in 91
scathed and blasted by 122
scathed and gnarled in 123
scenes and aspects of 137
scenes and between the 78
scenes and buildings in 91
scenes and buildings of 48
scenes and circles in 168
scenes and customs of 249
scenes and details of 143
scenes and dialogue by 112
scenes and dialogue in 115
scenes and dialogue of 58
scenes and dialogue to 78
scenes and discuss the 101
scenes and effects of 115
scenes and emotions of 153
scenes and features of 40
scenes and figures in 484
scenes and figures of 702
scenes and figures on 137
scenes and figures to 52
scenes and friends of 544
scenes and friends so 97
scenes and language of 80
scenes and legends of 84
scenes and manners at 42
scenes and manners of 421
scenes and moments in 68
scenes and moments of 192
scenes and objects as 187
scenes and objects by 44
scenes and objects he 74
scenes and objects in 278
scenes and objects of 957
scenes and objects on 56
scenes and objects the 48
scenes and objects to 202
scenes and objects we 109
scenes and observe the 42
scenes and outside the 42
scenes and pageants of 63
scenes and paintings of 66
scenes and passions of 51
scenes and persons as 386
scenes and persons he 79
scenes and persons in 268
scenes and persons of 498
scenes and persons to 71
scenes and portions of 60
scenes and scenery of 107
scenes and sections of 43
scenes and society in 93
scenes and society of 67
scenes and sources of 81
scenes and stories in 54
scenes and stories of 280
scenes and studies of 73
scenes and symbols of 135
scenes and thoughts of 172
scenes and touches of 57
scenes and wonders in 163
scenes are allowed to 60
scenes are arranged in 417
scenes are arranged on 54
scenes are arranged so 96
scenes are arranged to 63
scenes are brought to 158
scenes are covered in 54
scenes are defined by 42
scenes are devoted to 524
scenes are divided by 159
scenes are enacted at 61
scenes are enacted by 65
scenes are enacted in 307
scenes are enacted on 69
scenes are familiar or 81
scenes are familiar to 193
scenes are grouped in 42
scenes are handled in 72
scenes are limited to 74
scenes are located in 165
scenes are painted by 71
scenes are painted in 251
scenes are painted on 483
scenes are perhaps the 62
scenes are present in 56
scenes are reduced to 93
scenes are related in 45
scenes are related to 236
scenes are repeated in 134
scenes are shifted in 45
scenes are similar in 76
scenes are similar to 176
scenes are typical of 225
scenes are written in 235
scenes are wrought up 45
scenes bear witness to 44
scenes being enacted in 163
scenes being enacted on 72
scenes for freedom of 54
scenes had appeared in 60
scenes his subject is 90
scenes may perhaps be 52
scenes not unworthy of 82
scenes set against the 49
scenes that adorned the 53
scenes that advance the 50
scenes that appealed to 115
scenes that appeared in 211
scenes that appeared to 69
scenes that attempt to 41
scenes that awaited me 49
scenes that belonged to 49
scenes that capture the 79
scenes that compose the 66
scenes that contain the 84
scenes that develop the 56
scenes that display the 41
scenes that express the 48
scenes that greeted the 68
scenes that include the 124
scenes that inspire the 65
scenes that involve the 111
scenes that portray the 135
scenes that precede it 105
scenes that precede the 100
scenes that present the 57
scenes that provide the 59
scenes that reflect the 110
scenes that require the 50
scenes that rivaled the 40
scenes that suggest the 86
scenes they figured in 151
scenes they profess to 58
scenes with concern to 236
scenes with figures in 109
scenes with figures of 96
scenes with figures on 42
scenes with members of 54
scenes with respect to 74
scents and flavors of 188
scents and silence of 97
scents that carried me 43
schema for analyzing the 109
schema for assessing the 54
schema for examining the 45
schema put forward by 58
schema that applies to 105
schema that defines the 503
schema that enables the 57
schema that enables us 54
schema that matches the 55
schema was applied to 47
schema with respect to 243
scheme and according to 59
scheme and against the 47
scheme and allowed the 57
scheme and appealed to 53
scheme and applied it 84
scheme and applied to 43
scheme and attempt to 88
scheme and because it 54
scheme and because of 78
scheme and because the 40
scheme and brought it 70
scheme and carried it 105
scheme and compare it 85
scheme and compare the 63
scheme and compass of 52
scheme and conduct of 91
scheme and connive to 53
scheme and content is 72
scheme and content of 50
scheme and decided to 229
scheme and details of 92
scheme and discuss the 57
scheme and economy of 150
scheme and history of 102
scheme and language of 60
scheme and location of 50
scheme and objects of 58
scheme and offered to 52
scheme and ordered the 50
scheme and pattern of 177
scheme and process of 87
scheme and project of 174
scheme and purport of 132
scheme and purpose of 821
scheme and refused to 224
scheme and replace it 56
scheme and results in 46
scheme and subject to 66
scheme are allowed to 48
scheme are applied to 47
scheme are assumed to 41
scheme are capable of 42
scheme are defined as 93
scheme are enjoyed by 50
scheme are limited to 51
scheme are present in 40
scheme are related to 67
scheme are similar to 167
scheme are subject to 170
scheme being adopted by 42
scheme being carried on 112
scheme can achieve the 93
scheme can explain the 74
scheme can improve the 159
scheme can increase the 67
scheme can provide an 63
scheme can provide the 123
scheme can usually be 89
scheme for achieving the 112
scheme for acquiring the 85
scheme for adjusting the 197
scheme for adoption of 42
scheme for advancing the 162
scheme for analyzing the 559
scheme for assessing the 353
scheme for assisting the 220
scheme for attacking the 292
scheme for attaining the 69
scheme for balancing the 51
scheme for beginning the 116
scheme for bettering the 145
scheme for capturing the 196
scheme for combating the 49
scheme for combining the 227
scheme for comparing the 120
scheme for composing the 168
scheme for computing the 487
scheme for control of 536
scheme for deceiving the 62
scheme for decreasing the 46
scheme for deepening the 44
scheme for defending the 102
scheme for depicting the 41
scheme for depriving the 103
scheme for detaching it 71
scheme for detecting the 122
scheme for directing the 65
scheme for disposing of 461
scheme for diverting the 189
scheme for division of 214
scheme for educating the 280
scheme for effecting it 52
scheme for effecting the 172
scheme for elevating the 48
scheme for employing the 204
scheme for enforcing the 79
scheme for enhancing the 72
scheme for enlarging the 380
scheme for enlisting the 43
scheme for enriching the 86
scheme for enslaving the 62
scheme for examining the 95
