sacrificial or sacramental acts 88
sufficient to accommodate four 111
sufficient to accommodate from 57
sufficient to accommodate more 108
sufficient to accommodate most 156
sufficient to accommodate only 163
sufficient to accommodate some 76
sufficient to accommodate such 131
sufficient to accommodate their 121
sufficient to accommodate these 84
sufficient to accommodate those 92
sufficient to accommodate three 336
sufficient to acknowledge their 42
sufficient to communicate their 51
sufficient to concentrate only 41
sufficient to concentrate upon 68
sufficient to demonstrate clear 57
sufficient to demonstrate some 106
sufficient to demonstrate such 70
sufficient to demonstrate their 330
sufficient to demonstrate these 43
sufficient to demonstrate what 177
sufficient to investigate only 241
sufficient to overbalance their 40
sufficient to practically stop 48
sufficient to substantiate such 80
sufficient to substantiate their 164
suffixation is constrained only 74
suggestions he exasperated their 70
suggestions of alternative ways 78
suggestions of montesquieu from 161
summarized in diagrammatic form 248
summarized in mathematical form 43
summarized in statistical form 90
summarized the controversy over 51
summarizes in diagrammatic form 139
summarizes the controversy over 53
summarizes the demographic data 64
summarizes the differences among 362
summarizes the distinctions among 60
summarizes the measurements made 42
summarizes the observations made 157
summarizes the performance data 48
summarizes the relationship among 167
summarizes the terminology used 40
superiority in conventional arms 492
superiority in dreadnoughts over 42
superiority in performance over 52
superiority of agriculture over 211
superiority of christendom over 42
superiority of christianity over 4281
superiority of civilization over 123
superiority of cooperative over 48
superiority of distributed over 132
superiority of electricity over 61
superiority of genuineness over 164
superiority of monarchical over 42
superiority of performance over 48
superiority of statistical over 69
superiority of understanding over 232
superiority or jurisdiction over 132
superseded the corpuscular theory 48
supervised the construction from 48
supervised the construction work 240
supervision as distinguished from 53
supervision of construction were 45
supervision of construction work 433
supervision of maintenance work 53
supervision or consultation from 94
supervision or jurisdiction over 71
supplement the observations made 175
supplement the statistical data 87
supporters of evolutionary theory 49
suppressed or transformed into 50
suppression of menstruation from 64
suppression of prescription drug 196
suppression of unfavorable news 40
surrounded by continental land 43
surrounded by controversy from 90
surrounded by controversy over 66
surrounded by electrified wire 40
surrounded by innumerable other 69
surrounded by magnificent peaks 44
surrounded by undeveloped land 66
surrounded the construction site 60
suspensions of antagonisms came 49
suspensions of hostilities over 40
suzerainty or sovereignty over 107
symbolical or allegorical meaning 42
symphonies of innumerable gods 44
