saddest memory kept alive 116
similar methods were tried 44
similar nature also occur 45
similar nature have since 60
similar nature have taken 68
similar nature take place 59
similar nature took place 358
similar nature were found 153
similar nature were given 70
similar nature were taken 44
similar nature will occur 68
similar orders were given 156
similar pieces were found 89
similar powers were given 143
similar reaction took place 173
similar reaction will occur 41
similar reasoning will apply 147
similar reasons were given 86
similar reasons were urged 40
similar reform took place 42
similar remark will apply 419
similar result also holds 98
similar result must ensue 43
similar result took place 182
similar result will ensue 65
similar result will occur 207
similar return from others 78
similar revolt took place 76
similar scenes many times 50
similar scenes took place 383
similar sherds were found 54
similar stones were found 62
similar strike took place 53
similar trends were found 177
similar trends were noted 69
similar uprising took place 55
similar values were found 216
similar warnings were given 48
sinners should have borne 43
sisters already flying about 124
sisters doffed their green 45
sisters fallen from heaven 116
sisters helped their mother 95
sixteen bodies were found 55
sixteen pounds were taxed 42
sixteen troops swung round 61
skewers through their flesh 89
skipped dinner last night 73
slander itself must allow 445
slavery lasted much longer 51
slavery passed into freed 64
slavery should have taken 42
sleeves across their beards 70
sleeves reached just below 66
sleeves rolled back above 45
sleeves rolled high above 170
sleeves slipping back bared 41
slender figure into sharp 44
slender ground upon which 54
slender little girl found 99
slender towers from which 52
slipped around their necks 50
slipped seaward from above 47
slipped through their fingers 2883
slipped through their grasp 125
slipped through their hands 710
slipped through their lines 115
slipped through their ranks 52
slipped through your fingers 747
slipped through your hands 119
slotted trailing edge flaps 143
slurred through their fagging 50
smaller colony also budding 43
smaller groups into which 106
smaller houses were built 132
smaller kingdoms into which 78
smaller pieces when sending 43
smaller places were taken 46
smaller portion into which 57
smaller sample size would 100
smaller standing army would 182
smaller states into which 44
smaller streams into which 40
smaller values were found 40
smelled something good cooking 41
smelled something like burning 42
smokers adjust their smoking 70
sneakers always have brown 96
snicker behind their hands 182
snigger behind their hands 123
snipped through their juicy 43
sobered winter dust where 47
soberer couple were below 40
socially agreed upon rules 50
socially shared ideas about 101
socially useful work which 129
society became less strong 70
society became more acute 59
society became more aware 98
society became more fluid 75
society became more rigid 87
society became more urban 181
society became very strong 54
society called young italy 98
society escape from legal 59
society exists only where 43
society forbid your speaking 127
society forced into pushing 47
society forces upon sunny 40
society formed from nearly 57
society itself must change 51
society offers even fewer 41
society placed upon women 53
society places great value 247
society places high value 156
society places more value 76
society places upon women 40
society should care about 46
society should ever tempt 51
society should have equal 131
society should have taken 65
society should know about 42
society should look after 52
society should take action 55
society should take place 127
society should take steps 94
society through their labor 50
society without giving anything 42
society without losing sight 76
softening boiler feed water 60
softest minuet over yours 50
soldier should have known 48
soldier should have minds 78
soldier traced these lines 50
solidly behind their leader 66
soluble silica from fresh 87
solution became dark brown 45
solution changes from green 75
solution changes from orange 53
solution poured into water 91
solution should take place 137
solution through their roots 44
solution turned dark brown 61
somatic hybrid cell lines 294
someday someone will write 98
somehow fallen from grace 74
somehow gotten their hands 47
somehow lengthen when begun 75
somehow looked upon betsy 43
someway always felt alike 50
sounded almost like music 61
sounded almost like words 48
sounded pretty good right 58
sounded pretty much alike 162
sounder ground upon which 41
sounder reasoning have given 148
sources before taking action 834
southern africa from about 46
southern africa from angola 51
southern africa from which 57
southern africa from white 46
southern africa took place 56
southern africa were still 44
southern blacks were still 73
southern europe from spain 94
southern europe from which 47
southern france from spain 45
southern france from which 42
southern france into italy 40
southern france into spain 40
southern france took place 60
southern france were still 43
southern ramble will prove 62
southern regions fell under 71
southern regions have still 58
southern states from georgia 52
southern states from texas 95
southern states from which 125
southern states like georgia 58
southern states like texas 66
southern states were given 40
southern states were still 447
southern states were under 195
southern whites were willing 69
southern yellow pine poles 99
spacious houses were built 43
sparkling melody three times 56
sparkling rivers from which 191
sparrow brains think right 42
speakers occurs four times 79
species already well known 54
species differ from others 59
species extend their ranges 55
species retain their leaves 54
species tested were found 48
species varies from about 45
species varies from place 62
spindle whorls were found 633
spirits should hunt after 194
spoiled little rich girls 60
squalling little brat about 56
squatting around their tents 97
squatting behind home plate 41
squeeze through very small 127
stabbed across from every 65
started arriving soon after 54
started becoming more aware 55
started building their homes 46
started chopping down trees 45
started clapping their hands 308
started clicking into place 63
started dropping like flies 183
started dropping their bombs 52
started fairly soon after 50
started hourly from dreams 122
started laughing like crazy 148
started pounding like crazy 59
started spending more money 80
started toward their table 72
started twenty years later 119
started without much delay 85
started worrying more about 62
startling changes have taken 78
startling changes took place 65
startling events taking place 45
startling events took place 49
starved horses were laden 92
starved troops were relying 48
stately figure moving nobly 80
stately fleets from every 72
stately houses were built 85
stately vessel when about 62
stations accept used motor 79
statues placed thick about 43
statute struck down today 148
steadily become more acute 50
steadily becoming more acute 62
steadily becoming more aware 41
steadily before their minds 88
steadily pushed back until 106
steadily shines their light 49
steadily without their usual 51
stemmed points were found 45
stepped ashore very tired 99
sterile cotton wool swabs 49
steward seemed more worthy 47
stifled giggling from within 42
stirred itself into action 54
stirred someone from apathy 43
stirred something deep within 335
stockings rolled down below 83
stomach across your knees 88
stomach growling from hunger 129
stomach turned over again 80
stomach twisting into knots 155
stopped anyone from talking 44
stopped behind some rocks 74
stopped beside their table 108
stopped clapping their hands 94
stopped further free indian 113
stopped myself from telling 71
stopped myself from thinking 91
stopped twenty feet short 46
storage depots from which 47
storage device from which 276
storage device into which 63
storage medium from which 100
storage system from which 119
storage vessel from which 53
storied houses were built 40
stories except those which 61
stories handed down about 114
stories higher upon worse 46
stories lights were shining 46
stories passed down about 60
stoutly denied having taken 99
stoutly denied saying anything 54
strains tested were found 149
stranger around these parts 44
stranger whether their roads 61
stranger without having first 45
stratus clouds from which 41
streets around their homes 43
streets before their doors 117
streets changed their names 48
streets extend their hoary 47
streets filled from morning 67
stretch across your chest 457
stretch across your upper 57
stretch another such spire 71
strikes another blow makes 61
strikes should take place 125
strikes terror into every 69
strikes through their liver 59
stringent orders were given 249
striped canvas deck chair 54
strolling around from place 312
strongly affect their lives 45
strongly called into action 41
strongly driven from within 43
strongly engages their hopes 242
student become more aware 118
student groups were asked 53
student nurses were asked 62
student nurses were given 48
student should also refer 101
student should also study 100
student should have ample 54
student should have known 61
student should have taken 63
student should have tried 222
student should know about 427
student should know where 63
student should learn about 149
student should make every 153
student should take every 138
student should take notes 77
student should take pains 59
student should think about 146
student spends many hours 49
student strike took place 60
student taught what would 44
studied painting there under 54
studied without their force 73
studies except those which 46
studies nature from below 83
studies reached their zenith 49
studies report high rates 83
studies should also focus 106
studies should come first 77
studies should have shown 42
studies should shed light 172
studies should take place 122
studies suffer from small 106
stumbling blocks over which 124
subdued without losing either 42
subject better left alone 53
subject except those which 43
subject exists only after 46
subject matter areas where 123
subject matter areas which 173
subject matter areas within 190
subject matter areas would 54
subject matter come alive 113
subject matter even though 497
subject matter fell within 95
subject matter from which 653
subject matter into parts 63
subject matter into small 145
subject matter into units 149
subject matter into which 112
subject matter lies within 62
subject matter more easily 61
subject matter more fully 100
subject matter most often 76
subject matter over which 737
subject matter took place 52
subject matter upon which 1458
subject matter were often 51
subject matter will allow 159
subject matter will appeal 41
subject matter will appear 57
subject matter will often 65
subject nearest their hearts 166
subject seemed well worthy 41
subject should have power 60
subject should have taken 60
subject should know under 87
subject should take place 199
subject thereto upon trust 169
subject treated more fully 105
subject twenty years later 149
subject without great thinking 77
subject without having first 146
subject without losing sight 41
sublime emotion into which 127
subsist without hard labor 190
subsist without some change 54
succeed without having first 297
success beyond their dreams 56
success beyond their hopes 117
success seemed very small 114
success should soar above 41
suffering became more acute 104
suffering greatly from fever 55
suffering greatly from hunger 347
suffering greatly from thirst 694
suffering masses must carry 50
suffering neither from hunger 122
suffering severe pain which 68
suffering through hard times 107
suffering virtue ever finds 108
suffering without just cause 101
suffers always some change 75
suffers beyond most others 75
suffice without other labor 59
suggest something else about 146
suicide attack took place 58
suicide before leaving russia 53
suicide bombings took place 55
suicide occurs more often 49
suicide occurs when people 53
summary relief upon motion 90
summits darted their white 51
summons called from every 86
superior courts have power 49
superior courts into which 51
superior courts were given 52
superior curved line gives 60
superior forces from every 64
superior french army under 49
superior genius draw every 46
superior number laying under 61
superior status over others 43
superior wisdom these facts 228
supplying entity only under 72
support groups have grown 81
support groups have sprung 285
support groups help people 110
support groups live longer 44
support higher data rates 874
support higher life forms 42
support person during labor 187
support prices were fixed 49
support should take place 47
support system from which 65
support system upon which 153
support through good times 69
support through many trials 72
support through their taxes 95
suppose anyone else wants 65
suppose anyone else would 119
suppose nobody else would 56
suppose nobody will doubt 118
supreme courts have found 67
supreme courts have ruled 162
supreme courts have taken 63
supreme praise upon poetry 105
supreme source from which 60
surface became more level 45
surface became very rough 47
surface layers from which 69
surface runoff from small 85
surface runoff from urban 165
surface runoff into lakes 96
surface runoff will occur 106
surface should take place 45
surface tension acting round 40
surface tension will cause 369
surface tension will spread 67
surface twenty years later 41
surface varies from about 138
surface varies from place 251
surface varies from point 105
surface varies from smooth 50
surface varies from white 42
surface viewed from above 47
surface waters from point 44
surface waters from which 51
surface waters into which 139
surface waters were found 78
surgeons washed their hands 59
surgery should take place 275
survive become very strong 41
survive beyond their first 142
survive beyond their names 52
survive through hard times 62
survive treason from within 84
survive without free water 45
survive without much change 43
survive without much water 50
survive without other people 40
survive without their mother 93
surviving entity into which 235
surviving spouse dies after 189
surviving spouse dies within 135
surviving spouse even though 93
surviving spouse must elect 73
surviving spouse taking under 57
surviving spouse will cause 52
suspect something wrong about 72
suspend itself from trees 65
sustain itself much longer 68
sutures remain open until 57
sweetly chants such maids 58
swerved across three lanes 50
swiftly fleets back again 127
swiftly strode from ridge 238
swiftly through their veins 55
swiftly through your amber 66
swirled around their knees 42
swollen beyond their banks 51
swollen beyond their usual 66
swollen clouds from raining 47
symbols around their necks 55
sympathy endure those evils 59
sympathy mainly from thence 126
sympathy rushed into either 47
systems around other stars 310
systems become very large 42
systems derive their power 65
systems differ from others 40
systems differ from state 58
systems except those which 45
systems radiate from paris 43
systems should also allow 55
systems should take place 95
systems varies from state 40
