gain air superiority and 337
giving them confidence that 393
giving them employment and 151
giving them experience and 60
giving them experience with 92
giving them facilities for 232
giving them guidelines for 51
giving them incentives for 51
giving them information and 567
giving them information for 60
giving them information that 686
giving them information they 202
giving them inspiration and 43
giving them instruction and 160
giving them privileges and 58
giving them recognition and 117
giving them recognition for 86
giving them suggestions for 61
giving this explanation for 42
giving this information and 121
giving this information are 76
giving this information for 77
giving this information was 82
giving you confidence that 98
giving you information and 143
giving you information that 480
giving you information you 94
giving you suggestions for 42
glad and encouraged them 98
glad and voluptuous air 54
glad that providence had 54
glad that providence has 59
glad you remembered her 44
glad you remembered that 338
glad you understand how 83
glad you understand that 990
glean any information that 105
glow that surrounded her 83
glow that surrounded him 73
glow with excitement and 66
goal and objectives and 57
goal and objectives are 96
goal and objectives for 128
goal was compatible with 54
goal was consistent with 135
goal was unrealistic and 54
goat was sacrificed and 140
gods and sacrifices and 48
gods are approached with 63
gods are benevolent and 45
gods are identified with 301
gods are originally not 125
gods are propitiated and 46
gods was mechanical and 40
gods with sacrifices and 157
gold and emblazoned with 136
gold and embroidery can 45
gold and greenbacks that 90
gold and ornamented with 2013
gold and securities and 69
gold and silversmith and 98
gold and silverware and 215
gold and surmounted with 68
gold and surrounded with 72
gold for exportation and 48
gold head ornamented with 56
gold was constantly being 54
gold was discovered and 706
gold was discovered near 876
gold was discovered that 40
gold was discovered was 51
gold was overvalued and 50
gold was prohibited and 49
gone out strengthened for 40
gone that maintained that 222
gone with conscience and 117
good air circulation and 1274
good air circulation are 110
good air circulation but 58
good air circulation can 45
good air circulation for 120
good air connections with 46
good and absolutely bad 82
good and acceptable and 7411
good and acceptable for 47
good and acceptable that 131
good and appropriate for 216
good and appropriate one 43
good and appropriate that 40
good and beneficent being 131
good and beneficent god 138
good and beneficent one 83
good and benevolent and 113
good and benevolent god 173
good and benevolent man 383
good and benevolent men 169
good and benevolent that 106
good and charitable and 60
good and charitable man 341
good and charitable men 50
good and comparable with 46
good and compatible with 66
good and consistent with 121
good and convenient for 328
good and convenient one 143
good and creditable one 48
good and cultivated men 78
good and dependable and 44
good and economical way 43
good and entertaining art 47
good and hospitable man 94
good and illustrious man 58
good and industrious and 115
good and industrious man 67
good and industrious men 170
good and influential men 81
good and marketable and 196
good and marketable fee 175
good and meritorious act 57
good and omnipotent being 77
good and omnipotent god 608
good and pleasurable and 49
good and pleasurable things 55
good and potentially bad 47
good and productive and 42
good and productive use 52
good and profitable and 74
good and profitable for 1273
good and profitable that 157
good and profitable things 181
good and profitable use 185
good and prosperous and 43
good and prosperous man 46
good and prosperous year 56
good and punishment for 433
good and relatively bad 89
good and relatively easy 64
good and remarkable man 55
good and serviceable and 42
good and serviceable for 50
good and serviceable men 59
good and substantial and 85
good and substantial hut 44
good and substantial meal 164
good and substantial one 241
good and successful and 41
good and successful man 113
good and successful one 312
good and sufficient and 229
good and sufficient bar 84
good and sufficient for 1023
good and sufficient meal 71
good and sufficient meat 292
good and sufficient men 231
good and sufficient new 68
good and sufficient one 208
good and sufficient way 100
good and trustworthy and 60
good and trustworthy man 199
good and trustworthy men 138
good any deficiency that 393
good arc resistance and 63
good both physically and 136
good bus connections with 96
good can compensate for 127
good deal acquainted with 317
good deal compressed and 43
good deal diminished her 46
good deal disconcert her 70
good deal distraught and 41
good deal encumbered with 133
good deal frightened and 234
good deal incommoded with 41
good deal indisposed with 60
good deal interested and 116
good deal interfered with 128
good deal preoccupied with 117
good for circulation and 135
good for consumption and 43
good for cultivation and 99
good for discipline and 76
good for efficiency and 54
good for employment and 62
good for indigestion and 95
good for information and 48
good for rheumatism and 392
good for sandwiches and 46
good for vegetables and 53
good heat conductors and 98
good heat dissipation and 72
good heat insulators and 45
good heat resistance and 487
good heat resistance with 52
good his engagements with 281
good job description for 49
good man dissembles his 87
good man restrained his 40
good man surrenders but 97
good men everywhere and 44
good men everywhere are 42
good nor absolutely bad 128
good nor completely bad 126
good nor inherently bad 202
good nor profitable for 53
good nor profitable use 115
good nor scrupulous men 41
good oil resistance and 81
good old grandmother and 145
good old grandmother earth 97
good old grandmother had 86
good old grandmother was 64
good old principles and 48
good old traditional way 50
good tear resistance and 52
good that determines its 59
good that government can 50
good that providence has 40
good that shakespeare did 41
good that transcends all 135
good they comprehend not 641
good things accompanying that 91
good things providence has 61
good this deficiency and 79
good this deficiency with 45
good this observation with 43
good was identified with 338
good wear resistance and 761
good wear resistance are 46
good wear resistance for 46
good wear resistance with 47
good with mechanical things 203
gout and rheumatism all 46
gout and rheumatism and 488
gout and rheumatism are 783
gout and rheumatism may 161
gout and rheumatism that 51
gown and petticoats and 79
gown that emphasized her 100
gown was reproached for 46
gram one centimeter per 51
great air superiority and 51
great and abominable that 141
great and beneficent and 139
great and beneficent being 179
great and beneficent end 162
great and beneficent god 52
great and beneficent law 40
great and benevolent being 78
great and benevolent end 77
great and benevolent god 96
great and benevolent man 87
great and celebrated man 162
great and celebrated men 144
great and continuous heat 60
great and continuous that 267
great and disastrous war 184
great and illustrious day 55
great and illustrious man 447
great and illustrious men 610
great and illustrious that 72
great and individual men 103
great and influential man 137
great and influential men 198
great and inveterate fear 68
great and meritorious act 63
great and miraculous things 49
great and omnipotent being 67
great and omnipotent god 265
great and overwhelming joy 52
great and overwhelming that 378
great and particular use 75
great and persistent that 78
great and portentous man 50
great and productive tax 112
great and prosperous and 421
great and prosperous leap 42
great and prosperous man 56
great and prosperous was 100
great and protracted war 55
great and remarkable man 284
great and remarkable men 120
great and remarkable things 108
great and successful and 53
great and successful man 148
great and successful men 389
great and successful one 60
great and successful war 257
great and suggestive idea 40
great and tremendous being 121
great and tremendous day 93
great and tremendous oath 42
great and unexpected and 42
great and unexpected joy 245
great and unexpected that 79
great and unexpected things 79
great and unexpected was 49
great and unspeakable joy 41
great art collections and 64
great art dissembled her 46
great deal emotionally and 52
great deal reconciles them 95
great earth wheresoever you 81
great joy discovered that 54
great man attributes this 46
great man confronted with 43
great man discovered that 40
great man influences his 90
great man unattended with 60
great men recognized but 41
great new industries and 76
great new instrument for 58
great our detachment may 54
great poem apparently has 40
great sum immediately than 67
great that relatively few 61
great use relatively and 48
great was apparently his 85
grew and brightened and 45
grew and competition for 41
grew and flourished and 646
grew and flourished for 288
grew and flourished was 49
grew and flourished with 203
grew and multiplied and 231
grew and multiplied with 100
grew and strengthened and 94
grew and strengthened with 345
grew both absolutely and 141
grew his vegetables and 56
grew old gracefully and 46
grew with experience and 55
grid with horizontal and 79
grim and determined and 70
grim and determined men 92
grim and purposeful was 92
grim old highlander with 68
grim old inquisitor who 44
grow and eventually die 99
grow and experience new 69
grow and experiment with 75
grow both absolutely and 215
grow both aerobically and 143
grow both personally and 392
grow both physically and 158
grow both vertically and 76
grow old gracefully and 494
grow old gracefully with 48
grow too vigorously and 83
grow with experience and 145
guns and cartridges and 93
guns and cartridges for 56
guns and explosives and 241
guns and explosives are 41
guns and explosives for 75
guns and explosives that 50
guns and garrisoned with 55
guns are dismounted and 42
guns being dismounted and 40
guns had overturned all 40
guns was dismounted and 51
guys had discovered this 48
