gainsay such belief by 97
gathered there through the 44
gathered thick around the 52
gathered unto itself the 268
gathered vast stores of 70
gathered very little of 45
gathered what forces he 249
gathered what seemed to 73
gathered what strength he 54
gathered what troops he 100
gathered wild plants in 43
gathered wild plants to 59
gathered will depend on 75
gatherings were already in 47
gatherings were broken up 83
gatherings were likely to 42
gatherings were marked by 87
gelatin when boiled in 146
general acts passed by 76
general acts relating to 280
general aims should be 70
general also backed the 47
general also depend on 51
general areas relating to 48
general areas should be 120
general been forced to 60
general been marked by 82
general been unable to 57
general best served by 53
general best suited to 43
general body cavity by 65
general body cavity in 55
general body cavity is 56
general body cavity of 123
general body cavity or 67
general body elects the 60
general body meetings of 147
general body should be 83
general came before the 141
general came through the 45
general care should be 118
general case appears to 48
general case indeed in 64
general case occurs in 40
general case should be 113
general case training on 94
general case treated in 51
general coal strike in 72
general coal strike of 50
general data relating to 209
general data should be 62
general diet should be 175
general during periods of 41
general duty clause in 87
general duty clause is 176
general duty clause of 440
general duty clause or 48
general duty clause to 215
general duty nurses in 119
general duty should be 61
general even amongst the 62
general even before the 93
general even thought it 47
general ever gained so 42
general evil habits of 71
general fact appears to 133
general fact common to 73
general fact itself is 89
general fact should be 80
general fast through the 86
general flow charts as 76
general flow diagram of 222
general flow through the 51
general flow toward the 40
general fond regard to 44
general food habits of 66
general food supply of 84
general form appears in 64
general form appears to 81
general form before the 44
general form common to 99
general form should be 170
general form through the 47
general from arriving in 49
general from drinking at 48
general from mexico to 44
general from twelve to 49
general from twenty to 56
general full powers to 44
general fund budget in 52
general fund budget of 211
general fund instead of 66
general fund raised by 82
general fund should be 272
general gave orders to 820
general giving orders to 120
general goal should be 146
general good effect of 246
general good feelings of 40
general good instead of 90
general good nature of 69
general good opinion of 489
general good should be 208
general good through the 90
general good wishes of 200
general great credit as 124
general have access to 139
general have agreed to 121
general have become so 141
general have become the 98
general have chosen to 83
general have failed to 420
general have learned to 49
general have little or 147
general have little to 136
general have neither the 86
general have placed the 525
general have plenty of 49
general have proved to 72
general have proven to 55
general have sought to 79
general have tended to 622
general have treated the 92
general heading should be 51
general heads relating to 67
general health appears to 237
general health became so 48
general health before the 108
general health begins to 235
general health seemed to 220
general health should be 3163
general health status as 268
general health status at 40
general health status in 357
general health status is 268
general health status of 2202
general health status or 89
general health survey of 78
general health through the 72
general heating system of 41
general help around the 53
general high degree of 135
general high levels of 102
general high opinion of 85
general high regard in 43
general high school as 61
general high school in 81
general high school is 97
general high school or 70
general high standing of 40
general ideas behind the 317
general ideas belonging to 43
general ideas common to 64
general ideas formed by 60
general ideas relating to 120
general ideas seemed to 73
general ideas should be 137
general ideas through the 48
general ideas without the 43
general just before he 42
general just before the 209
general knew little of 120
general know little of 112
general laid before the 109
general land office as 133
general land office at 450
general land office by 92
general land office in 305
general land office is 96
general land office of 194
general land office the 42
general land office to 280
general land policy of 67
general land system of 62
general laws applying to 449
general laws common to 106
general laws confer on 44
general laws covering the 191
general laws except by 124
general laws govern the 95
general laws instead of 72
general laws limiting the 78
general laws passed by 316
general laws passed in 53
general laws relating to 2016
general laws should be 243
general laws through the 74
general leaning toward the 41
general less likely to 454
general life styles of 58
general like better to 94
general line should be 118
general look around on 75
general look around the 43
general loss caused by 50
general meaning refers to 74
general meaning should be 59
general milk supply is 51
general milk supply of 103
general mood seemed to 48
general more active in 55
general more common in 88
general more likely to 761
general more severe in 50
general more suited to 128
general most likely to 207
general move should be 44
general move toward the 191
general much closer to 72
general much higher in 76
general much larger in 47
general must always be 292
general must follow the 40
general must secure the 55
general name already in 178
general name serves to 62
general news editor of 61
general news section of 75
general note should be 65
general ones applying to 57
general ones relating to 42
general only through the 41
general part played by 54
general part touching the 123
general pass through the 192
general peace reached the 44
general peace should be 641
general peace signed at 43
general plan appears to 96
general plan common to 67
general plan covering the 92
general plan formed in 42
general plan seemed to 47
general plan should be 866
general post office at 140
general post office in 454
general post office is 111
general post office of 87
general post office on 76
general post office to 86
general prior policy as 110
general rate levied by 61
general rate levied in 72
general reading habits of 54
general reading matter of 43
general reading public as 768
general reading public at 54
general reading public by 233
general reading public in 525
general reading public is 286
general reading public of 422
general reading public on 46
general reading public or 72
general reading public the 102
general reading public to 184
general reading should be 80
general rely heavily on 48
general rising amongst the 48
general rode through the 280
general role played by 337
general ruin caused by 59
general rule admits of 231
general rule allowing the 97
general rule always to 108
general rule amongst the 158
general rule appears in 86
general rule appears to 1587
general rule applying to 672
general rule arises in 77
general rule before the 199
general rule beyond the 61
general rule clearly is 85
general rule common to 81
general rule covering the 179
general rule defining the 117
general rule except in 89
general rule exists in 113
general rule exists to 42
general rule favoring the 51
general rule follow the 44
general rule instead of 130
general rule limiting the 155
general rule occurs in 258
general rule relating the 61
general rule relating to 1157
general rule seemed to 188
general rule should be 3931
general rule stated at 80
general rule stated by 141
general rule stated in 2909
general rule stated is 57
general rule through the 89
general rule unless the 82
general rule without an 289
general rule without the 49
general rush toward the 161
general saving clause in 47
general saving clause of 55
general seem fonder of 43
general sent orders to 152
general sigh seemed to 50
general sigh through the 212
general soil survey of 48
general some degree of 98
general stir amongst the 149
general take notice of 44
general taxing powers of 108
general taxing powers to 62
general term applying to 689
general term covering the 622
general term denoting an 74
general term denoting the 479
general term instead of 86
general term refers to 323
general term relating to 202
general term should be 400
general test should be 56
general text covering the 54
general their effect is 68
general theme should be 54
general theory appears to 85
general theory applying to 49
general theory behind it 46
general theory behind the 212
general theory covering the 44
general theory exists to 43
general theory relating to 214
general theory seemed to 51
general theory should be 328
general there appears to 935
general there exists no 100
general there seemed to 185
general there should be 717
general these follow the 46
general these should be 95
general those common to 64
general three methods of 92
general time course of 90
general tone should be 115
general took charge of 328
general took refuge in 167
general tour through the 53
general trial courts in 113
general trial courts of 143
general truth allied to 51
general truth should be 43
general truth stated in 48
general turn toward the 46
general type common to 46
general type should be 120
general very little is 110
general view across the 61
general view appears to 344
general view seemed to 295
general view shared by 47
general view should be 73
general view toward the 54
general wage changes in 68
general wage levels in 145
general wage levels of 56
general wage policy of 40
general well enough to 62
general well suited to 69
general went through the 205
general were afraid of 50
general were always to 96
general were anxious to 96
general were averse to 80
general were called by 54
general were engaged in 53
general were forced to 296
general were formed in 43
general were guilty of 70
general were higher in 42
general were likely to 424
general were marked by 104
general were passed by 40
general were placed in 151
general were thought to 171
general were treated as 153
general were unable to 401
general were united in 56
general were viewed as 188
general what ariosto is 48
general what belongs to 64
general what should be 61
general will accept the 93
general will affect the 153
general will always be 438
general will depend on 610
general will follow an 48
general will follow the 123
general will forget my 208
general will induce the 71
general will itself is 54
general will result in 266
general will should be 502
general will through the 99
general wind system of 105
general wish seemed to 54
general word refers to 54
general word should be 114
general work around the 162
general work covering the 73
general work should be 90
generic name common to 90
generic name instead of 85
generic name refers to 420
generic name should be 363
generic term applying to 311
generic term coined by 58
generic term covering the 311
generic term denoting the 172
generic term instead of 40
generic term refers to 164
generic term relating to 101
generic term should be 73
generic type object is 53
genetic code appears to 150
genetic code itself is 92
genetic code refers to 99
genetic code shared by 45
genetic code should be 97
genetic code stored in 49
genetic code through the 50
genetic data relating to 46
genetic data should be 81
genetic loci linked to 46
genetic risk factor in 162
genetic risk factor is 86
genetic test should be 71
genital areas should be 50
gentler arts failed of 95
genuine erik closer to 41
genuine free market in 45
genuine land reform in 72
genuine land reform is 44
genuine meaning appears to 41
genuine single market in 94
genuine vast palace of 75
geologic time before the 97
geometry were taught in 83
geometry will affect the 61
geometry will always be 83
geometry will depend on 40
geometry will result in 91
gesture back toward the 96
gesture made famous by 51
gesture made toward the 82
gesture only served to 73
gesture will always be 43
gesturing back toward the 192
ghastly face behind the 51
ghastly trip through the 56
ghettos from harlem to 47
ghettos were created in 58
ghostly past seemed to 53
giggles from around the 43
giggles from behind the 127
gipsies were termed in 78
girders were placed in 40
girders were placed on 46
glacier once filled the 40
glacier will sooner or 54
glanced away across the 82
glanced away toward the 166
glanced back across the 602
glanced back around the 65
glanced back before he 49
glanced back inside the 131
glanced back through the 1532
glanced back toward the 5003
glanced down across the 50
glanced down before the 74
glanced down through the 337
glanced down toward the 586
glanced from behind the 121
glanced from michael to 46
glanced from person to 63
glanced from window to 73
glanced idly around the 202
glanced idly through the 214
glanced once around the 142
glanced once toward the 156
glanced over across the 60
glanced over toward me 45
glanced over toward the 1173
glanced upon hamlet or 82
glances back across the 44
glances back through the 118
glances back toward the 478
glances down toward the 46
glances from across the 211
glances from around the 45
glances from behind the 193
glances from branch to 46
glances only roused the 64
glances over toward the 48
glances shot across the 42
glances went through the 52
glances were darted at 45
glances were enough to 52
glances were turned in 58
glances were turned on 178
glasses flew across the 66
glasses flying across the 68
glasses from across the 45
glasses from around the 48
glasses from behind the 123
glasses left behind by 47
glasses more firmly on 306
glasses must always be 73
glasses thick enough to 59
glasses were already on 95
glasses were broken by 60
glasses were broken in 146
glasses were filled by 43
glasses were filled he 40
glasses were filled the 60
glasses were filled to 142
glasses were filled up 41
glasses were fogged up 73
glasses were handed to 53
glasses were lifted in 44
glasses were melted at 55
glasses were melted in 109
glasses were needed to 55
glasses were placed in 244
glasses were placed on 289
glasses were pushed up 136
glasses were raised in 294
glasses were raised to 444
glasses were standing on 46
glasses were steamed up 104
glasses were topped up 46
glasses were turned in 99
glasses were turned on 256
glasses were turned to 97
glasses when played on 51
glimmer came through the 107
glimmer from symbol to 237
glimpse down through the 41
glimpse from behind the 43
glimpse more clearly the 54
glimpse sara caught of 47
glimpse when dwelling in 47
glinted down through the 43
glinted like silver in 73
glisten like jewels in 47
glisten like silver in 102
glitter like jewels in 124
glitter like sheets of 43
glitter like silver in 53
glorious days before the 85
glorious gaze roused me 92
glorious land beyond the 50
glorious life beyond the 82
glorious moving object in 133
glorious part played by 157
glorious past before the 42
glorious rest before my 41
glorious ride through the 68
glorious role played by 99
glorious view across the 278
glorious view through the 64
glorious walk through the 47
glorious work should be 53
glossed over through the 55
glottal stop before the 143
glottal stop instead of 207
glottal stop occurs in 106
glottal stop should be 49
glucose during periods of 303
glucose fast enough to 98
glucose flux across the 45
glucose flux through the 245
glucose from entering the 122
glucose from plasma to 63
glucose from starch by 52
glucose load should be 155
glucose must always be 117
glucose pass through the 95
glucose test should be 193
glucose when energy is 102
glucose when needed by 136
glucose when oxygen is 45
glucose will reduce the 40
glucose will result in 220
glutted their revenge by 42
gnarled finger toward the 61
gnarled hand across the 40
gnarled hand toward the 49
goddamn well better be 114
goddess diana appears to 47
goddess diana should be 532
goddess fled amongst us 41
goggles were pushed up 69
golfers from around the 157
gonadal axis appears to 46
gonadal vein enters the 63
gondola ride through the 127
gossiping from window to 40
gouache over pencil on 58
gourmet food stores in 54
governing body agreed to 42
governing body agrees to 50
governing body before the 183
governing body called the 976
governing body created by 133
governing body except the 44
governing body formed in 83
governing body instead of 135
governing body should be 2278
governing body through the 197
governing body wishes to 104
governing india should be 63
governing land tenure in 79
governing role played by 40
governing rule should be 58
governing some aspect of 89
governing such issues as 191
governing their access to 79
governing their actions in 61
governing their choice of 81
governing trial juries in 77
governing what counts as 229
governing what should be 62
governing your choice of 43
governs their choice of 46
governs your choice of 58
grabbed from behind by 830
grabbed from behind in 136
grabbed from behind the 41
gracious hand appears to 203
gracious help supply my 85
gracious reading graced my 47
gracious will acceding to 65
gradate your scales so 54
graders have learned to 44
graders were placed in 45
graders were studying the 47
graders were taught to 93
graders were tested in 70
graders were unable to 130
gradual edging toward the 314
gradual move toward the 173
gradual rise through the 167
gradual rise toward the 164
gradual turn toward the 77
grafted into christ by 463
grafted into christ the 64
grafted upon stocks of 66
grained rock formed by 78
grained wood should be 110
grammar left something to 50
grammar must always be 54
grammar must assign to 61
grammar well enough to 132
grammar were taught in 127
grammar will always be 47
grandly along through the 58
granite also occurs in 42
granite base through the 65
granite cuts across the 71
granite rock beyond the 151
granite wall behind the 40
granite were formed by 42
granted city status in 125
granted during periods of 72
granted early release to 72
granted even before it 51
granted even before the 180
granted free access to 1016
granted free choice of 50
granted free pardon to 70
granted free warren in 64
granted full access to 667
granted full pardon to 180
granted full powers by 107
granted full powers in 47
granted full powers of 106
granted full powers to 1313
granted full rights as 274
granted full rights in 58
granted full rights of 592
granted full rights to 336
granted full status as 140
granted great powers to 42
granted great tracts of 119
granted having regard to 90
granted high levels of 78
granted huge tracts of 297
granted just before the 112
granted land rights in 46
granted land rights to 218
granted land titles to 83
granted many favors to 62
granted mining rights to 46
granted more access to 52
granted more leeway in 68
granted more powers to 88
granted more readily to 103
granted more rights to 138
granted only through the 183
granted open access to 57
granted ready access to 75
granted sole rights to 118
granted some degree of 732
granted some leeway in 50
granted some measure of 563
granted some powers to 52
granted some relief to 110
granted some rights of 40
granted some rights to 105
granted such powers as 57
granted such powers to 114
granted such relief as 44
granted such rights as 67
granted such rights in 61
granted such rights to 132
granted such status to 50
granted their assent to 47
granted their desire to 43
granted their rights as 113
granted their rights to 79
granted there should be 74
granted these duties to 82
granted these motions in 88
granted these powers to 80
granted these rights by 44
granted these rights in 49
granted these rights to 163
granted those rights to 78
granted three wishes by 228
granted time enough to 114
granted vast tracts of 214
granted voting rights in 195
granted voting rights to 541
granted what should be 119
granted wide powers in 56
granted wide powers of 147
granted wide powers to 330
granted will depend on 103
grantee from removing or 102
grantee must accept the 45
grantor died before the 138
grantor dies before the 666
grantor will defend the 84
granule cell layers of 312
granule cell number in 51
graphic aids should be 50
graphic arts section of 45
graphic arts should be 71
graphic file format is 49
graphic form should be 48
graphic rating scales in 84
graphic rating scales is 129
graphic rating scales to 48
grasped from behind by 168
grasped more clearly by 64
grasped more clearly if 49
grasped more clearly in 44
grasped more clearly the 99
grasped more firmly the 124
grasped more readily by 101
grasped more readily if 82
grasped more readily to 50
grasped most clearly the 47
grasped most readily by 70
grasped only through an 157
grasped only through the 559
grasped their swords in 41
grasped their weapons in 166
grasped very clearly the 83
grasped very little of 147
grasped what needed to 56
grasses among stalks of 47
grasses best suited to 83
grasses tall enough to 95
gratify their desire by 43
gratify their desire of 267
gratify their desire to 326
gratify their feelings of 99
gratify their hatred of 209
gratify their malice by 216
gratify their revenge by 266
gratify their revenge in 73
gratify their revenge or 49
gratify their senses by 59
gratify their spirit of 54
gratify their tastes by 147
gratify their tastes in 62
gratify their vanity at 88
gratify their vanity by 226
gratify their vanity in 72
gratify their vanity or 112
gratify their vanity to 63
gratify their wishes by 53
gratify their wishes in 104
gratify their wishes to 42
gratify your desire to 84
gratify your vanity by 49
gratify your wishes as 93
gratify your wishes in 85
gratify your wishes or 58
gratify your wishes to 108
gravely went through the 59
gravest sage shares the 67
gravity acting through the 198
gravity acts through the 96
gravity acts toward the 43
gravity back toward the 75
gravity down through the 114
gravity feed system is 54
gravity flow system is 44
gravity flow through the 549
gravity from europe to 79
gravity must always be 241
gravity runs through the 42
gravity will affect the 73
gravity will always be 138
gravity will assist in 128
gravity will assist the 80
gravity will depend on 54
gravity will remain at 95
gravity will remain in 55
gravity will result in 67
grayish band across the 43
greatest areal extent in 51
greatest areal extent of 76
greatest ball player in 58
greatest ball player of 65
greatest bass player in 61
greatest bull market in 563
greatest bull market of 134
greatest care always to 54
greatest care appears to 57
greatest care should be 14129
greatest care through the 52
greatest coal fields in 40
greatest corn market in 59
greatest depth reached by 223
greatest depth reached in 77
greatest depth reached is 46
greatest during periods of 716
greatest ever fought by 76
greatest ever fought in 75
greatest ever fought on 48
greatest fall occurs in 46
greatest fame through the 42
greatest fire hazard in 49
greatest fish market in 44
greatest goal before us 56
greatest gold rushes in 61
greatest good should be 111
greatest harm caused by 88
greatest healing therapy is 42
greatest health hazard in 41
greatest health hazard of 43
greatest health hazard to 50
greatest heating effect is 59
greatest hymn writer of 50
greatest ideas should be 60
greatest just before the 286
greatest just behind the 48
greatest lady macbeth of 71
greatest land battle in 62
greatest land battle of 120
greatest land empire in 61
greatest length across the 72
greatest living artist in 187
greatest living artist of 71
greatest living creator of 134
greatest living critic of 44
greatest living expert in 131
greatest living expert on 652
greatest living figure in 51
greatest living master in 79
greatest living master of 2267
greatest living orator of 44
greatest living symbol of 68
greatest living teacher of 86
greatest living writer in 277
greatest living writer of 753
greatest living writer on 80
greatest loss appears to 58
greatest loss caused by 46
greatest loss occurs in 119
greatest lost battle on 62
greatest love affair of 138
greatest love scenes in 43
greatest male athlete of 76
greatest male dancer in 60
greatest male dancer of 174
greatest mass killer of 50
greatest mass murder in 124
greatest must become the 40
greatest need appears to 92
greatest need seemed to 57
greatest need should be 64
greatest part belongs to 45
greatest part seemed to 67
greatest part through the 60
greatest part whereof he 216
greatest part whereof is 140
greatest part whereof we 86
greatest piano player in 71
greatest pork market in 51
greatest rank amongst us 70
greatest risk appears to 140
greatest risk factor in 119
greatest risk factor is 166
greatest risk factor of 58
greatest risk occurs in 87
greatest risk should be 55
greatest shear stress in 66
greatest shear stress is 83
greatest single agency in 72
greatest single agency of 66
greatest single amount of 43
greatest single battle of 73
greatest single causes of 126
greatest single center of 96
greatest single creation of 114
greatest single effect of 94
greatest single effect on 100
greatest single effort of 296
greatest single effort to 64
greatest single events in 63
greatest single factor in 5440
greatest single factor is 141
greatest single factor of 184
greatest single factor to 88
greatest single feature of 85
greatest single figure in 294
greatest single forces in 58
greatest single hazard in 48
greatest single hazard to 100
greatest single impact of 62
greatest single impact on 270
greatest single killer of 49
greatest single measure of 67
greatest single menace to 228
greatest single moment in 89
greatest single moment of 40
greatest single number of 91
greatest single portion of 65
greatest single result of 72
greatest single sermon of 47
greatest single source of 5120
greatest single strength of 64
greatest single stroke of 71
greatest single symbol of 60
greatest single virtue of 61
greatest single volume of 57
greatest step toward the 178
greatest tank battle in 409
greatest tank battle of 276
greatest task before the 162
greatest task before us 67
greatest threat seemed to 50
greatest trial lawyer in 60
greatest trial lawyer of 83
greatest unit stress in 42
greatest wheat market in 66
greatest when nearest the 48
greatest width across the 417
greatest width behind the 121
greatest wool market in 94
greatest work belongs to 43
greeted from behind the 40
greeted most warmly by 105
greeted their guests at 55
greeted their guests in 62
greeted their return to 85
greeted upon entering the 45
greeted very warmly by 156
greetings from across the 54
greetings from around the 69
grieves will excite no 349
grinned from across the 47
grinned from behind the 88
grinned wide enough to 65
gripped from behind by 103
gripped toad firmly by 68
gristly skin covering the 43
groaned loud enough to 44
grocery cart around the 50
grocery cart through the 103
grooves deep enough to 233
grooves were formed by 58
grooves were formed in 70
grounding their opinion on 71
grounding wire should be 57
grounds even before the 65
grounds from canada to 48
grounds from whence the 50
grounds have become the 44
grounds having little to 41
grounds just across the 48
grounds just before the 78
grounds just beyond the 71
grounds more likely to 62
grounds most likely to 136
grounds must always be 55
grounds there appears to 81
grounds there broken up 51
grounds there should be 171
grounds were anxious to 45
grounds were bought by 96
grounds were cleared of 80
grounds were closed to 128
grounds were fenced in 65
grounds were likely to 44
grounds were marked by 47
grounds were needed to 43
grounds were opened at 52
grounds were opened in 79
grounds were opened to 153
grounds were opened up 83
grounds were relied on 44
grounds were shaded by 71
grounds were valued at 110
grounds will afford us 53
grounds will result in 70
grouped into blocks of 540
grouped into blocks to 41
grouped into castes of 166
grouped into groups of 239
grouped into larger or 46
grouped into levels of 62
grouped into periods of 90
grouped into series of 76
groupings have tended to 68
groupings were formed in 69
groupings were formed to 44
groupings were unlike the 40
growers from around the 51
growers have access to 89
growers have agreed to 56
growers have failed to 52
growers have learned the 49
growers have learned to 161
growers have tended to 61
growers have turned to 95
growers rely heavily on 53
growers were anxious to 49
growers were forced to 502
growers were likely to 42
growers were unable to 367
growled from behind the 65
growled loud enough to 44
grunted from behind the 56
guarded from attack by 73
guarded from injury by 154
guarded lane rolled the 87
guarded their flocks by 73
guarded their rights in 41
guarded their rights of 65
guarded their rights to 115
guarded their secret of 52
guarded their status as 94
guarded were closed by 124
guardian angel appears to 59
guardian angel seemed to 142
guardian angel should be 40
guardian angel through the 61
guardian angel watching the 78
guardian here before us 59
guardian must always be 54
guardian must manage the 92
guardian must obtain the 48
guessed from dialect or 56
guessed from something in 98
guessed from whence it 40
guessed must depend on 57
guessed their number at 49
guessed their number to 45
guessed what manner of 46
guesses wrong unless he 53
gunfire came through the 45
gunfire from across the 329
gunfire from behind the 69
gunfire from inside the 178
gunfire tore through the 56
gunners were forced to 235
gunners were killed at 73
gunners were killed by 79
gunners were killed in 69
gunners were killed or 219
gunners were shooting at 96
gunners were standing by 56
gunners were unable to 366
gunshot from inside the 69
