gain among husbands caring 66
gets some attention from 52
gets these breeches made 59
gets very emotional when 41
gets your attention gets 75
gets your property when 51
giant step backward from 98
giant step backward into 88
gift ever bestowed upon 88
girl aged fourteen years 132
girl aged nineteen years 81
girl just blossoming into 58
girl just returned from 111
girl like yourself will 40
girl only eighteen years 41
girl only fourteen years 113
girl very properly says 69
girl went stealthily over 61
girl will probably have 49
give away property during 140
give away somebody else 97
give back carbonic acid 137
give clear insights into 52
give deep insights into 66
give full extracts from 41
give good insights into 172
give good nourishing food 48
give great insights into 50
give here extracts from 183
give lord brougham some 42
give many examples from 160
give many extracts from 127
give many insights into 351
give more accurate data 148
give more attention here 49
give more complete data 47
give more concrete form 97
give more concrete meaning 98
give more definite form 95
give more definite meaning 80
give more detailed data 106
give more examples from 64
give more extracts from 53
give more financial help 48
give more insights into 114
give more specific data 49
give more specific meaning 189
give most valuable help 52
give much valuable data 48
give only extracts from 89
give other examples from 108
give over correcting till 58
give rich insights into 49
give some attention also 57
give some attention here 101
give some concrete form 83
give some concrete meaning 56
give some decisive blow 45
give some definite bearing 110
give some definite meaning 41
give some evidence from 107
give some examples from 1285
give some examples here 199
give some examples only 48
give some excerpts from 107
give some extracts from 2748
give some financial help 112
give some glimpses into 89
give some insights into 1550
give some lectures there 171
give some passages from 142
give some physical meaning 53
give some straight back 124
give some students more 100
give such extracts from 194
give such services during 44
give their approval only 46
give their attention more 300
give their attention only 125
give their children away 297
give their children bread 57
give their children clear 47
give their children even 124
give their children food 243
give their children free 41
give their children full 59
give their children good 377
give their children into 58
give their children less 163
give their children life 129
give their children lots 44
give their children love 138
give their children many 87
give their children milk 209
give their children more 2328
give their children much 466
give their children only 320
give their children over 452
give their children room 48
give their children some 586
give their children such 580
give their children suck 91
give their children their 289
give their children these 84
give their children those 57
give their children time 199
give their children toys 113
give their children very 77
give their children what 1273
give their children when 103
give their children will 45
give their daughter away 95
give their evidence from 58
give their evidence upon 150
give their evidence viva 90
give their families more 42
give their families some 57
give their husbands what 54
give their judgment upon 318
give their judgment what 42
give their patients more 42
give their personal time 47
give their positions away 131
give their presence away 234
give their products away 86
give their property away 250
give their separate acts 43
give their services away 60
give their services during 59
give their services free 2599
give their services when 51
give their students more 239
give their students some 144
give their students what 42
give their subjects their 48
give their subjects three 41
give their summation prior 41
give their valuable time 118
give these children more 118
give these children some 111
give these children their 55
give these children what 53
give these extracts from 125
give these questions some 60
give these students more 46
give three examples from 153
give three examples here 64
give three examples only 40
give very valuable help 42
give your audience more 105
give your audience some 76
give your audience time 183
give your business card 83
give your children away 46
give your children good 219
give your children lots 42
give your children love 43
give your children more 254
give your children some 195
give your children their 104
give your children time 61
give your children what 1103
give your children when 46
give your children will 83
give your children your 127
give your conscious mind 45
give your daughter away 103
give your daughter some 59
give your daughter your 66
give your identity away 42
give your judgment upon 75
give your lordship clear 81
give your lordship good 87
give your lordship many 124
give your lordship pain 133
give your lordship some 600
give your lordship such 99
give your lordship those 56
give your opponent less 64
give your opponent more 98
give your opponent time 48
give your property away 87
give your services away 43
give your students four 88
give your students more 199
give your students some 195
give your students time 74
giving away somebody else 42
giving away valuable copy 68
giving many examples from 44
giving many insights into 44
giving some examples from 131
giving some extracts from 424
giving some insights into 76
giving some unwonted meaning 58
giving their children away 64
giving their children good 57
giving their children more 338
giving their children over 83
giving their children some 153
giving their children such 101
giving their children their 72
giving their children what 125
giving their comrades over 168
giving their daughter away 47
giving their governor such 300
giving their positions away 64
giving their presence away 54
giving their property away 49
giving their services free 812
giving their students some 45
giving their valuable time 132
giving your officers good 122
giving your valuable time 41
glad deep sparkled wide 113
glad when daylight came 195
glad when somebody told 62
gleam from shivered helm 65
glean some insights from 52
glean some insights into 122
glow more beautiful from 49
glue their pictures onto 44
goal post vanishes from 88
gods have bestowed upon 122
gods have departed from 56
gods have vanished from 81
gods have withdrawn from 56
gods must likewise keep 47
gods were absorbed into 63
gods were admitted into 55
gods were borrowed from 138
gods were cannibal gods 54
gods were combined into 43
gods were expelled from 53
gods were imported from 56
gold coin received from 118
gold dust received from 40
gold have recently been 70
gold mining industry during 41
gold mining industry from 49
gold mining industry were 92
gold mining industry will 53
gold must therefore have 55
gold were exported from 74
gold were imported from 145
gold were imported into 53
gold were obtained from 359
gold were produced from 91
gold were withdrawn from 74
gone from american life 57
gone home somewhat early 79
gone into barracks some 46
gone into business there 140
gone into business when 41
gone into developing these 79
gone into operation among 89
gone into operation only 54
gone into operation when 127
gone into raptures over 733
gone into survival mode 41
gone most suddenly into 46
gone some distance ahead 42
gone some distance along 305
gone some distance away 233
gone some distance down 691
gone some distance from 1050
gone some distance into 278
gone some distance past 191
gone some distance upon 64
gone some distance when 613
gone such tiresome land 127
gone their separate ways 9121
gone there directly from 160
gone there straight from 138
gone these eighteen years 739
gone three quarters more 274
gone very minutely into 52
gone very seriously wrong 83
gone your separate ways 111
good angel whispering peace 40
good book contains such 190
good diet normally will 71
good ever resulted from 100
good faith bargaining over 55
good faith declared their 92
good faith exception will 160
good faith immunity from 97
good faith required such 49
good faith variations from 128
good hard american cash 92
good have acquired some 43
good have resulted from 81
good health depended upon 62
good health resulted from 54
good heed therefore unto 333
good lady promptly took 63
good luck followed fast 48
good luck yourself soon 125
good many american boys 159
good many attempts have 146
good many bouquets were 47
good many children have 62
good many children were 81
good many examples from 48
good many examples have 82
good many extracts from 83
good many families have 80
good many families were 86
good many insights into 52
good many occasions when 85
good many officers were 66
good many passages from 82
good many patients have 41
good many questions have 47
good many questions were 87
good many questions young 60
good many refugees from 47
good many scholars have 90
good many singularly ugly 57
good many soldiers were 136
good many students from 61
good many students have 76
good many students were 71
good many talented young 77
good many tourists were 65
good many visitors came 40
good many visitors from 88
good mowing requires some 40
good news concerning your 56
good news received from 95
good news traveled fast 43
good part deferred till 41
good race relations were 55
good safe distance away 55
good safe distance from 146
good ship adelaide coming 51
good size speedily gets 40
good their entrance into 346
good their vigorous view 84
good tree produces good 325
good when properly used 113
good will consists just 129
good will overcome evil 522
good wood underneath will 65
good work proceeds from 43
grab your attention when 48
gray beach glimmering runs 120
gray eyes fastened upon 53
gray eyes narrowed into 62
gray eyes sparkled like 62
gray film drowsily over 46
gray hair protruding from 81
gray hair sprouted from 42
gray hair straggling over 60
gray hair straight back 56
gray wool business suit 47
great boar trampled down 64
great care bestowed upon 827
great city contains many 46
great coal deposits were 90
great cost bestowed upon 47
great duke humphrey knit 63
great early painters draw 51
great epic paradise lost 214
great evil resulted from 47
great fact insisted upon 93
great fair annually held 107
great free benefits like 114
great gift bestowed upon 78
great goethe infected part 45
great good resulted from 173
great harm resulted from 50
great have frequent need 94
great help received from 139
great john sebastian bach 126
great lady detained only 150
great land uplifted high 51
great love triumphs over 42
great many additions made 45
great many american boys 49
great many american jews 85
great many articles from 61
great many articles have 308
great many articles were 128
great many attempts have 539
great many attempts were 105
great many benefits from 67
great many catholics there 43
great many catholics were 47
great many children born 40
great many children died 60
great many children from 86
great many children have 272
great many children learn 43
great many children must 40
great many children were 334
great many children will 81
great many churches have 43
great many churches were 103
great many citations from 46
great many citizens were 85
great many comments have 40
great many decisions have 83
great many decisions must 46
great many decisions were 40
great many deviations from 42
great many elements have 41
great many europeans have 56
great many examples from 114
great many examples have 91
great many extracts from 61
great many families from 70
great many families have 157
great many families there 106
great many families were 153
great many innocent ones 49
great many insights into 146
great many languages have 46
great many managers will 45
great many materials have 54
great many miracles were 45
great many mistakes have 115
great many mistakes were 91
great many occasions when 139
great many officers into 44
great many officers were 117
great many passages from 250
great many patients have 108
great many personal good 55
great many petitions were 52
great many possible ones 52
great many possible paths 82
great many possible ways 113
great many preachers were 91
great many presents from 51
great many problems have 127
great many problems were 64
great many problems will 47
great many programs have 50
great many projects were 57
great many questions during 50
great many questions from 81
great many questions have 151
great many questions must 50
great many questions very 115
great many questions were 350
great many questions will 84
great many recruits from 61
great many refugees from 61
great many remedies have 84
great many remedies were 50
great many requests from 55
great many respects from 91
great many respects like 114
great many scholars have 196
great many scholars were 41
great many settlers were 42
great many soldiers from 53
great many soldiers here 41
great many soldiers were 192
great many speeches made 68
great many speeches were 161
great many strangers were 54
great many students from 141
great many students have 169
great many students were 123
great many students will 46
great many subjects were 46
great many variations from 77
great many villages were 63
great many visitors came 93
great many visitors from 108
great many visitors just 40
great many visitors were 61
great mass movement among 56
great mind awakened into 72
great north american union 83
great ocean conveyor belt 99
great open questions just 223
great part borrowed from 240
great part imported from 47
great part resulted from 60
great part supplied from 44
great past stretching back 104
great peace descends upon 52
great tears trickled down 198
great wealth diffused among 84
great whig families were 104
great work devolved upon 41
great work requires many 46
grew from babyhood into 51
grew from children into 56
grew from slightly less 58
grew from slightly more 118
grew from slightly over 139
grew into adulthood during 40
grew into conscious life 42
grew more detached from 41
grew more estranged from 97
grew more frequent during 70
grew more frequent over 57
grew more isolated from 62
grew more powerful during 62
grew only modestly during 51
grew only slightly during 99
grew only slightly from 123
grew only slightly less 68
grew only slightly more 248
grew some distance from 44
grew very insolent upon 45
grew very sensibly less 122
grim mouth loosened into 69
grip have suffered from 166
grow from axillary buds 59
grow from children into 66
grow more loathsome when 160
grow more numerous from 55
grow only slightly more 55
grow single crystals from 65
grow some distance from 46
grow their customer base 151
grow upon ordinary media 82
grow your customer base 177
guns have recently been 49
guns were actually used 59
guns were borrowed from 60
guns were captured during 59
guns were captured from 151
guns were captured here 54
guns were directed upon 78
guns were imported from 62
guns were imported into 59
guns were obtained from 104
guns were received from 42
guns were smuggled into 57
guns were withdrawn from 338
guys have probably been 41
