mad dog always snaps at 120
men wear english leather or 59
men who became known as 318
men who called cards the 117
men who chafed under the 50
men who expect women to 48
men who fought beneath the 42
men who fought under the 293
men who helped build the 179
men who helped create the 58
men who helped found the 62
men who helped shape the 86
men who looked after the 440
men who lounged about the 95
men who measure others by 82
men who merely spoke the 154
men who played parts in 47
men who regard beauty in 63
men who regard women as 142
men who sailed under the 46
men who seemed never to 46
men who seemed willing to 114
men who seized power in 98
men who served under me 118
men who served under my 94
men who served under the 147
men who should never be 85
men who showed signs of 185
men who talked about the 93
men who thought about the 56
men who thought after the 58
men who thronged about us 68
men who walked brave in 60
men who wander about the 77
men who wanted others to 90
men who worked about the 62
men who worked under me 54
men who worked under the 127
men who worked within the 69
men with another class of 42
men with bullet holes in 53
men with enough money to 101
men with little money of 50
men with little sense of 41
men with sundry kinds of 80
men with various kinds of 52
men with various types of 56
men you should incur the 45
met and became close to 80
met and fallen madly in 44
met and talked about it 63
met and talked about the 208
met his future bride at 75
met his future bride in 58
met its burden under the 64
met sir walter scott in 49
met with another class of 40
met with another group of 95
met with another party of 54
met with another piece of 76
met with another round of 42
met with another tribe of 50
met with crushing defeat at 54
met with fairly often in 42
met with honest views to 46
met with little favor at 70
met with little favor in 424
met with little mercy at 59
met with martin luther king 154
met with something which is 208
met with various forms of 155
met with various kinds of 91
mid and distal thirds of 60
min and washed twice in 61
min with gentle shaking at 48
mix with enough water to 214
mix with hollow masks of 116
mob had already begun to 48
mob was formed round the 49
mud and stones ended at 63
