lad a bondman to 288
led a retinue of 70
led a revival at 46
led a revival in 224
led a revival of 490
led a scholar to 50
led a segment of 97
led a seminar at 61
led a seminar in 96
led a seminar on 259
led a service in 44
led a service of 61
led a stranger to 437
led a student to 111
led a takeover of 82
led a thousand as 49
led a thousand of 65
led a vanguard of 70
led a variety of 487
led a visitor to 40
led a walkout at 42
led a walkout by 50
led a walkout in 48
led a walkout of 332
let a battery of 56
let a beginning be 51
let a blister be 40
let a carriage to 49
let a cluster of 49
let a company of 195
let a consist of 54
let a cottage to 49
let a council of 44
let a country go 188
let a current be 355
let a current of 729
let a curtain be 58
let a curtain of 49
let a decision be 48
let a decision go 134
let a flicker of 84
let a fortune go 54
let a fraction of 66
let a furnace be 68
let a gesture of 57
let a glimmer of 84
let a glimpse be 50
let a glimpse of 119
let a handful of 846
let a hundred of 51
let a husband be 82
let a kinsman of 159
let a machine do 142
let a memorial to 42
let a message be 52
let a minimum of 43
let a mistake go 48
let a mixture be 113
let a mixture of 88
let a mouthful of 68
let a musician be 45
let a mystery of 54
let a patient be 48
let a patient go 350
let a picture be 54
let a picture go 72
let a picture of 117
let a problem go 71
let a produce it 59
let a quarter of 92
let a question go 52
let a question of 136
let a segment of 50
let a servant go 40
let a soldier be 46
let a solution be 63
let a solution of 131
let a stranger be 65
let a stranger do 105
let a stranger go 97
let a stranger in 301
let a student go 63
let a student of 51
let a subject be 84
let a subject go 54
let a subject of 52
let a torrent of 59
let a tribune do 58
let a tribute of 42
let a trickle of 204
let a variety of 128
let a whisper of 142
let m consist of 61
let s consist of 48
let x increase by 44
lie a cluster of 247
lie a handful of 57
lie a plethora of 49
lie a quarter of 212
lie a variety of 1209
lit a bonfire at 51
lit a bonfire in 481
lit a bonfire of 126
lit a bonfire on 204
lit a bonfire to 129
lit a handful of 279
lit a lantern he 42
lit a lantern in 507
lit a lantern on 76
lit a lantern to 102
lob a grenade at 109
lob a grenade in 44
lob a grenade or 95
log a function of 146
log a message to 90
log k against the 80
long a barrier to 348
long a bulwark of 308
long a captain in 41
long a captive in 240
long a captive of 53
long a champion of 1492
long a chapter of 65
long a citadel of 109
long a citizen of 796
long a classic in 105
long a concern of 310
long a country of 50
long a creature of 111
long a denizen of 56
long a devotee of 136
long a duration as 1029
long a duration of 606
long a duration or 42
long a duration to 71
long a dweller in 184
long a fixture at 53
long a fixture in 430
long a fixture of 195
long a fixture on 156
long a function of 45
long a handful of 52
long a history as 2582
long a history in 262
long a history of 1696
long a history to 273
long a holiday as 90
long a husband of 85
long a journey as 1903
long a journey at 735
long a journey by 317
long a journey he 284
long a journey in 1484
long a journey is 426
long a journey it 257
long a journey on 331
long a journey or 64
long a journey the 56
long a journey to 2837
long a journey we 45
long a justice of 280
long a message as 49
long a monarch of 81
long a mystery to 1012
long a neglect of 116
long a partner in 45
long a passage as 53
long a passage of 240
long a patient is 150
long a pattern of 51
long a position of 41
long a preface to 64
long a problem in 308
long a problem to 287
long a process as 178
long a process is 47
long a process of 276
long a process to 282
long a protege of 41
long a quarter of 47
long a question of 343
long a question to 108
long a refugee in 120
long a respite as 58
long a scandal to 43
long a scourge of 107
long a segment of 358
long a servant in 207
long a servant of 302
long a servant to 100
long a service in 74
long a silence as 77
long a silence in 99
long a silence it 83
long a silence on 166
long a silence to 61
long a sojourn at 44
long a sojourn in 1246
long a sojourn on 115
long a soldier in 92
long a soldier to 232
long a stranger in 74
long a stranger to 3842
long a stretch as 225
long a stretch at 47
long a stretch in 92
long a stretch of 2381
long a stretch to 95
long a student in 144
long a student of 1614
long a subject of 7194
long a subject to 590
long a traitor to 57
long a trustee of 436
long a vacation as 208
long a witness of 165
long a witness to 52
long i carried it 121
long i decided to 169
long i managed to 81
long i planned to 271
long i realized the 45
long i started to 329
long i watched by 58
long i watched it 126
long i watched the 214
long i wrought to 45
lot a quarter of 111
low a content as 57
low a content of 196
low a creature as 198
low a current as 150
low a density as 279
low a density of 74
low a density to 135
low a fraction of 44
low a minimum as 85
low a position as 699
low a position in 177
low a position to 93
low a premium as 68
low a priority as 63
low a priority in 90
low a priority on 73
low a priority to 155
low a profile as 3189
low a profile in 60
low a quality as 53
low a quality to 130
low a voltage as 421
low a voltage to 55
low a whisper as 357
low n content of 55
low p content of 65
lying a quarter of 315
