lad antonio withheld him 62
long narrow channel with 46
long narrow fissure that 41
long narrow hallway and 44
long narrow hallway with 83
long narrow islands and 43
long narrow passage and 75
long narrow passage with 69
long narrow sleeves and 113
long narrow valleys and 109
long narrow valleys that 142
long narrow windows and 260
long narrow windows that 132
long narrow windows with 115
long parted company with 155
long pauses between each 572
long pauses between her 111
long pauses between his 286
long pauses between one 80
long pauses between them 400
long periods because they 335
long periods between each 44
long periods between them 56
long planning horizon and 149
long public service and 173
long public service for 44
long public service had 52
long reaction against this 44
long remain content with 550
long remain unaware that 51
long ridges covered with 235
long series beginning with 94
long severe winters and 278
long shared history and 205
long silent strides and 109
long simply because they 103
long slopes covered with 91
long spaces between them 47
long speech against him 118
long speech against its 62
long speech defending his 60
long sprays covered with 50
long standing alliance with 45
long standing between him 90
long standing between them 187
long standing between two 45
long standing concern with 56
long standing customs and 105
long standing dispute with 294
long standing position that 107
long standing problem for 46
long standing problem that 40
long standing problem with 62
long standing quarrel with 106
long standing support for 53
long staple cottons are 45
long strand together let 52
long strange shadows that 43
long stride brought him 70
long stride carried him 91
long stride forward and 111
long stride forward with 64
long stride towards that 44
long summer drought and 89
long summer drought that 40
long summer holiday and 76
long summer holiday was 49
long summer holiday with 57
long summer vacation and 226
long summer vacation for 93
long summer vacation had 55
long summer vacation that 44
long summer vacation was 164
long summer vacation with 108
long sweeping strokes with 47
long tables covered with 1350
long tables crowded with 48
long tables stacked with 50
long tirade against his 59
long training courses for 40
long training program for 121
long training program that 47
long training sessions and 46
long training sessions for 56
long vainly searched for 60
long valley between two 92
long viewed treaties with 82
long vistas crammed with 52
long voyage whereto she 83
long wavering billows that 94
long without advancing and 52
long without contact with 99
long without producing any 140
long without receiving any 108
long wooden benches and 252
long wooden benches for 70
long wooden benches that 231
long wooden benches with 70
long wooden counter and 60
long wooden counter with 73
long wooden handles and 75
long woolen stockings and 74
long worked closely with 452
long worked together and 43
lot better because you 53
lot better company than 111
lot better position than 91
lot bigger problem than 96
lot closer together than 64
lot crawls between dry 208
lot further forward than 48
low alkali content and 84
low atomic numbers and 136
low atomic numbers are 61
low atomic weights and 111
low breeding success and 48
low budget deficit and 61
low carbon content and 688
low carbon content are 188
low carbon content can 68
low carbon content for 52
low carbon content may 57
low carbon content that 65
low cardiac outputs and 63
low cement content and 96
low charge density and 92
low copper content and 76
low croaking dialogue was 68
low defect density and 187
low divans covered with 87
low energy barrier for 76
low energy content and 153
low energy content per 161
low energy density and 317
low energy intakes and 47
low energy photons and 181
low energy photons are 223
low energy photons can 46
low energy photons that 46
low energy photons with 45
low energy protons and 157
low energy protons are 63
low energy radiation and 47
low enough density that 43
low esteem because they 81
low family cohesion and 57
low family incomes and 159
low family incomes are 64
low genius attempt this 68
low gluten content and 54
low grades because they 98
low ground between that 75
low ground between them 131
low ground between two 140
low ground covered with 364
low houses covered with 48
low import content and 100
low import tariffs and 41
low income because they 54
low income bracket and 72
low income classes and 79
low income country with 121
low income elderly and 81
low income farmers and 144
low income farmers are 69
low income farmers who 62
low income parents and 82
low income parents who 50
low income persons and 270
low income persons are 110
low income persons who 180
low income persons with 60
low income tenants and 77
low income tenants who 45
low income workers and 151
low income workers are 109
low income workers who 122
low income workers with 63
low island covered with 159
low islets covered with 44
low leakage current and 271
low levels because they 46
low marble parapet and 64
low mental ability and 149
low morale because they 41
low mounds covered with 107
low murmur escaped her 41
low nickel content and 67
low offset voltage and 239
low output failure and 48
low output voltage and 81
low oxygen content and 603
low oxygen content are 93
low oxygen content but 44
low oxygen content may 59
low oxygen content was 64
low oxygen tensions and 351
low oxygen tensions are 94
low oxygen tensions for 58
low oxygen tensions may 42
low oxygen tensions than 43
low plains covered with 117
low plasma albumin and 103
low plasma calcium and 107
low plasma density and 65
low plasma glucose and 52
low plasma protein and 50
low points covered with 61
low prices because they 421
low prices charged for 222
low prices coupled with 56
low prices offered for 239
low profit margins and 946
low profit margins are 78
low profit margins but 83
low profit margins for 154
low profit margins may 60
low profit margins that 137
low proton density and 81
low public profile and 266
low public profile for 65
low public support for 164
low quartz content and 49
low receding forehead and 91
low regard because they 43
low ridges covered with 122
low saddle between two 74
low scores because they 93
low scores suggest that 52
low silica content and 213
low silica content are 45
low silver content and 65
low simply because they 106
low sodium content and 152
low sodium content are 58
low sodium content for 45
low solids content and 137
low starch content and 66
low starting current and 178
low status because they 202
low status members are 44
low status position and 49
low stocking density and 48
low sulfur content and 394
low supply voltage and 121
low tables covered with 154
low tension magneto and 56
low thyroid function and 145
low thyroid function are 50
low thyroid function can 82
low values suggest that 208
low verbal ability and 74
low volume fraction and 66
low wooden benches and 48
low wooden buildings and 59
low wooden buildings that 135
low wooden buildings with 150
lung cancer account for 56
lung cancer because they 174
lung cancer patient who 95
lung cancer patient with 63
lung cancer present with 115
lung cancer screening and 78
lung cancer screening using 51
lung cancer screening with 139
lung cancer victims and 47
lung cancer victims are 71
lung cancer victims who 41
lung disease because they 47
lying always between two 45
lying closer together than 78
lying evenly between its 73
lying midway between them 204
lying midway between two 122
lying partly outside its 77
lying through forests and 86
