lab coat pocket and 239
law will demand that 93
law will enable him 61
law will enable them 84
law will enable you 114
law will ensure that 300
law will excuse him 378
law will extend its 48
law will follow his 48
law will govern all 69
law will govern any 85
law will intend that 129
law will oblige him 68
law will permit and 49
law will permit him 145
law will permit them 90
law will punish him 259
law will punish them 77
law will punish you 206
law will render that 44
law will uphold him 139
lay ahead before they 111
lay ahead before this 59
lay among yellow and 102
lay back across his 49
lay back beside her 191
lay back beside him 141
lay bare before her 144
lay bare before him 657
lay bare before his 87
lay bare before our 59
lay bare before them 96
lay bare before you 165
lay clear before her 160
lay clear before him 778
lay clear before his 75
lay clear before them 255
lay cool across our 68
lay dark around them 63
lay deep buried with 45
lay deep inside her 132
lay down across her 332
lay down across his 92
lay down amongst them 44
lay down around him 61
lay down before her 122
lay down before him 213
lay down before his 54
lay down before our 81
lay down before them 113
lay down before you 234
lay down behind her 169
lay down behind him 88
lay down behind his 69
lay down behind them 133
lay down beside each 176
lay down beside her 25209
lay down beside him 15140
lay down beside his 1076
lay down beside one 73
lay down beside them 864
lay down beside you 160
lay down calmly and 40
lay down canons for 91
lay down clearly and 99
lay down clearly that 209
lay down gently and 144
lay down inside and 45
lay down limits for 130
lay down methods for 59
lay down office and 61
lay down policy and 219
lay down policy for 143
lay down rights and 91
lay down simple and 49
lay down slowly and 51
lay down tracks and 84
lay down tracks for 124
lay down without any 221
lay down without eating 64
lay down without fear 219
lay eggs before they 64
lay even deeper than 250
lay ever before him 40
lay ever coiled and 70
lay fair before him 126
lay fast asleep and 95
lay fast asleep with 139
lay flat across his 45
lay flat before him 49
lay great stress and 40
lay half across her 85
lay half across him 64
lay half across his 73
lay half asleep and 140
lay half asleep for 44
lay here before him 53
lay just before her 95
lay just before him 360
lay just before them 124
lay just behind her 95
lay just behind him 114
lay just behind his 41
lay just behind them 78
lay just beyond and 41
lay just beyond her 411
lay just beyond him 64
lay just beyond his 808
lay just beyond its 49
lay just beyond our 159
lay just beyond that 107
lay just beyond them 86
lay just beyond this 184
lay less stress than 155
lay like molten lead 93
lay more bricks than 42
lay more stress than 1014
lay more weight than 44
lay most stress are 49
lay much deeper and 124
lay much deeper than 1471
lay much higher out 49
lay much higher than 56
lay open across her 80
lay open across his 67
lay open always his 40
lay open before all 43
lay open before her 1430
lay open before him 5334
lay open before his 208
lay open before men 87
lay open before our 99
lay open before thee 92
lay open before them 1814
lay open before you 169
lay open beside her 167
lay open beside him 371
lay open beside his 59
lay open beside them 42
lay open fields and 48
lay over another day 64
lay ready before him 55
lay ready before them 121
lay some ground for 50
lay their claims for 40
lay their course for 91
lay their crowns and 54
lay their snares for 78
lay their strength and 87
lay there almost dead 53
lay there asleep and 42
lay there awaiting his 54
lay there awaiting its 61
lay there awhile and 100
lay there before her 222
lay there before him 1023
lay there before his 81
lay there before our 61
lay there before them 199
lay there behind her 95
lay there beside her 387
lay there beside him 683
lay there beside his 64
lay there beside them 49
lay there bleeding and 138
lay there coughing and 50
lay there fighting for 54
lay there filled with 52
lay there groaning and 191
lay there hidden all 64
lay there hidden for 49
lay there laughing and 86
lay there praising god 51
lay there silent and 166
lay there silent for 66
lay there watching and 66
lay there watching her 389
lay there watching him 266
lay there watching his 54
lay there watching them 134
lay there without any 158
lay these before you 91
lay these duties and 76
lay thick around him 82
lay thick around them 89
lay well behind him 53
lay well behind them 45
lay what duties they 100
lay your clothes out 56
lay your course for 135
lay your little head 42
lay your pretty head 48
lay your sleeping bag 49
lay your stones with 58
lead bank scheme and 57
lead bank scheme has 55
lead bank scheme was 57
lead ever onward and 166
lead from strength and 177
lead into another and 40
lead into silver and 178
lead more active and 85
lead more normal and 41
lead more readily than 270
lead more useful and 121
lead much further than 233
lead over europe and 44
lead over france and 42
lead pipe filled with 103
lead rope around her 46
lead rope around his 130
lead south africa out 125
lead their armies and 108
lead their common sex 42
lead their fellow men 120
lead their flocks and 76
lead their horses and 141
lead their horses out 128
lead their troops and 87
lead their troops out 41
lead those around him 104
lead those around you 42
lead time before they 74
lead time demand and 103
lead time demand for 139
lead time greater than 60
lead time needed for 380
lead tube filled with 147
leaf came floating and 55
leaf into rubies and 161
leaf much larger than 57
leaf spot disease and 215
lean arms around his 160
lean body tissue and 335
lean body weight and 597
lean body weight are 56
lean body weight for 91
lean down toward her 41
lean more heavily than 412
lean more toward being 51
lean more toward one 482
lean over toward her 44
lean over toward him 45
lean upon another than 91
lean upon unseen and 116
leap into another car 42
leap into something new 48
leap over fences and 86
leap over hedges and 114
leap years unless they 351
led away without any 55
led down through two 41
led half pushed him 85
led into almost any 52
led into ambush and 70
led into another and 166
led into assuming that 134
led into battle and 55
led into deeper and 51
led into drinking too 71
led into errors and 81
led into errors far 135
led into strange and 44
led many astray and 75
led many readers and 57
led many states and 73
led much farther than 107
led much further than 98
led some courts and 63
led some states and 51
led south africa out 46
led their armies and 68
led their armies out 101
led their fathers out 64
led their fellow men 47
led their flocks and 56
led their forces out 122
led their horses and 102
led their horses off 132
led their horses out 323
led their troops out 95
led their troops with 461
led those around him 85
led three cheers for 89
led your fathers out 52
lee main braces are 77
lee side another man 42
leg back behind you 132
leg from behind and 73
leg over another and 98
leg upon another one 42
leg very slowly and 68
leg were broken and 65
let boil gently for 159
let boil slowly for 125
let break across his 44
let cook gently for 66
let cook slowly for 130
let cool before using 83
let down around her 45
let down before him 97
let down before them 47
let down slowly and 51
let down someone who 119
let down through this 46
let drop without them 62
let envy prompt you 79
let fall before all 95
let fall before him 117
let fall behind him 52
let fall something that 170
let fall through his 121
let fate decide who 41
let life happen and 43
let none escape that 189
let none expect any 59
let none forget that 119
let north dormer see 40
let nothing detain you 59
let nothing divert her 64
let nothing divert him 81
let nothing divert you 127
let nothing divide you 42
let nothing escape her 155
let nothing escape him 675
let nothing escape his 196
let nothing escape its 79
let nothing escape that 53
let nothing escape them 252
let nothing escape you 161
let nothing hinder him 50
let nothing hinder them 57
let nothing hinder you 303
let nothing induce you 323
let other tongues than 58
let pain harass him 92
let pass before him 41
let pass through his 108
let pass without being 161
let pious frauds and 100
let rome reward with 93
let slip something that 441
let slip through her 192
let slip through his 611
let slip through its 98
let slip through our 214
let slip without being 97
let some graver eye 65
let steam escape and 54
let such bethink them 48
let such feelings get 42
let such little things 95
let their actions and 46
let their apples rot 77
let their arrows fly 290
let their babies cry 273
let their bodies get 55
let their cattle and 93
let their cattle out 99
let their cattle run 138
let their clothes dry 61
let their desire for 139
let their fathers and 109
let their fathers lie 253
let their feelings and 106
let their feelings for 49
let their feelings get 114
let their feelings out 500
let their feelings run 137
let their fields lie 315
let their flocks and 45
let their horses and 92
let their horses get 62
let their horses out 190
let their horses run 381
let their houses and 95
let their houses for 83
let their losses run 126
let their mothers lean 55
let their passion for 64
let their powers lie 136
let their readers see 44
let their secret out 86
let their sports and 46
let their stocks run 70
let their tongues hang 54
let their tongues run 442
let their tongues wag 564
let their voices out 51
let these feelings get 46
let these feelings out 151
let these little things 83
let these nations see 48
let these whites and 59
let those accuse him 57
let those answer for 220
let those answer who 111
let those around her 48
let those around him 154
let those around them 55
let those around you 195
let those behind you 42
let those beware who 118
let those cities that 48
let those decide who 69
let those devils get 40
let those feelings get 41
let those feelings out 218
let those follow who 53
let those perish who 114
let those quails fly 123
let those repair that 213
let those suffer who 42
let your actions and 104
let your agents see 61
let your battle cry 51
let your brother and 86
let your brother die 61
let your brother get 109
let your clothes dry 42
let your coffee get 139
let your desire and 41
let your desire for 232
let your dinner get 79
let your doctor and 71
let your family and 261
let your family get 40
let your family see 42
let your feelings and 132
let your feelings for 119
let your feelings get 412
let your feelings out 864
let your feelings run 235
let your flocks and 350
let your friend and 60
let your friend get 42
let your friend see 62
let your infant son 53
let your little boy 124
let your little head 42
let your little one 126
let your maiden bring 71
let your master and 61
let your matter run 84
let your nerves get 212
let your nerves run 89
let your passion for 119
let your passion get 49
let your readers see 66
let your regard for 56
let your secret out 123
let your severe and 98
let your sister get 51
let your smiles but 46
let your system run 43
let your teacher say 64
let your temper get 336
let your temper run 54
let your verses run 67
let your virtue and 41
let your wisdom and 213
lid duly planed and 62
lid over medium heat 145
lie also stated that 113
lie also states that 156
lie clear before him 47
lie cold before that 227
lie deep enough for 53
lie down amongst them 40
lie down around him 42
lie down awhile and 146
lie down before god 47
lie down before her 68
lie down before him 255
lie down before she 132
lie down before them 61
lie down before they 170
lie down before this 91
lie down before you 595
lie down behind them 271
lie down beside each 258
lie down beside her 4573
lie down beside him 4203
lie down beside his 175
lie down beside one 93
lie down beside thee 42
lie down beside them 922
lie down beside you 1248
lie down secure that 60
lie down therein and 55
lie down unless they 116
lie down without any 239
lie down without being 364
lie down without fear 584
lie down yonder with 42
lie even deeper than 229
lie fast asleep for 60
lie flat without any 60
lie here awhile and 55
lie here before our 153
lie here before you 40
lie here beside you 213
lie john hughes and 77
lie just before you 239
lie just beyond his 163
lie just beyond its 117
lie just beyond our 310
lie left behind him 225
lie many fighting men 55
lie more deeply and 40
lie more deeply than 106
lie more heavily than 85
lie more readily than 54
lie more remote with 40
lie much closer than 129
lie much deeper and 256
lie much deeper than 1728
lie much farther out 52
lie much higher and 85
lie much higher than 342
lie open before god 45
lie open before her 590
lie open before him 1609
lie open before his 80
lie open before our 114
lie open before thee 48
lie open before them 636
lie open before you 698
lie ready before him 56
lie some little way 97
lie some remedy for 62
lie there beside her 158
lie there beside him 234
lie there enduring that 188
lie there without any 149
lie there without being 127
lie till called for 295
lie till famine and 205
lie upon sunday now 88
lie well beyond our 60
lion among ladies was 42
lion best before his 69
lion tears enough for 40
lip just curled with 66
lit from behind and 496
lit from behind with 422
lit from inside and 98
lit from inside with 195
lit room behind him 49
lit room filled with 817
lit their cigars and 805
lit their cigars with 143
lit their houses with 62
lit void showed that 41
log book showed that 145
log file before you 50
log file format and 117
log file groups that 141
log file reaches its 105
log fire blazed and 43
log fort whence they 42
log four cubits long 46
log unit higher than 59
long ages before any 58
long ages before its 44
long ages before man 182
long ages before that 66
long ages before they 142
long ages before this 43
long arms across his 94
long arms around her 721
long arms around him 143
long arms around his 304
long arms around them 68
long arms behind his 83
long arms reached out 355
long arms sticking out 43
long been abroad and 49
long been absent and 119
long been abused and 49
long been active and 275
long been active with 67
long been afraid that 287
long been agreed that 2418
long been allied with 435
long been almost dead 41
long been anxious for 742
long been anxious that 398
long been argued and 74
long been argued for 46
long been argued that 7212
long been asleep and 81
long been awaiting her 46
long been awaiting him 69
long been awaiting his 113
long been awaiting its 118
long been awaiting this 108
long been battling with 47
long been before him 66
long been blamed for 493
long been bought and 94
long been broken and 150
long been broken off 129
long been buried and 180
long been buried with 64
long been called for 499
long been carrying out 131
long been choked with 53
long been chosen for 40
long been claiming that 119
long been cleared and 174
long been cleared for 104
long been closed and 355
long been closed for 143
long been closed off 45
long been coated with 55
long been common and 131
long been common for 486
long been created and 85
long been cursed with 80
long been denied all 81
long been denied and 86
long been denied any 63
long been denied her 160
long been denied him 353
long been denied its 65
long been denied that 46
long been denied them 765
long been driven out 242
long been drooping with 57
long been engaged and 53
long been engaged with 240
long been erased all 57
long been famous all 48
long been famous and 269
long been famous for 10444
long been famous not 51
long been fearful that 117
long been fighting for 400
long been fighting with 54
long been filled with 729
long been fitted for 44
long been fodder for 66
long been formed and 71
long been fought for 60
long been fought out 51
long been gathering and 109
long been greater than 119
long been haunting his 46
long been hidden and 61
long been higher than 147
long been hunted and 46
long been hunted for 243
long been imbued with 318
long been joined with 82
long been laboring for 77
long been lauded for 72
long been linked with 1224
long been loaded with 52
long been lobbying for 97
long been looked for 538
long been marked for 102
long been marked out 253
long been matter for 64
long been maturing and 44
long been maturing for 47
long been merged with 45
long been minded not 40
long been needed and 316
long been needed for 144
long been normal for 50
long been obvious and 83
long been obvious that 4136
long been parted and 76
long been passed and 58
long been planning and 93
long been planning for 103
long been played out 112
long been plotting and 90
long been plotting one 195
long been pointing out 255
long been preaching that 48
long been pressing for 630
long been pressing her 51
long been pressing him 95
long been prized for 383
long been proved that 481
long been proven that 159
long been pushed out 43
long been ranked with 41
long been reached and 60
long been ripening for 73
long been rivals and 199
long been rivals for 196
long been rumors that 246
long been rusted and 52
long been scarce and 52
long been scheming for 53
long been searching for 1364
long been sensed and 40
long been shared with 58
long been silent and 122
long been slowly dying 52
long been sought and 163
long been sought but 69
long been sought for 666
long been sought out 51
long been spoiling for 56
long been stated that 346
long been striving for 425
long been struck with 140
long been taught and 124
long been taught that 2274
long been thirsting for 92
long been thought dead 119
long been thought that 12701
long been touted for 80
long been treated for 43
long been treated with 683
long been turned off 65
long been turned out 123
long been united with 171
long been urgent with 47
long been useful for 68
long been vacant and 54
long been valued and 64
long been valued for 705
long been vested with 67
long been viewed with 797
long been waited for 140
long been wanted and 43
long been wanted for 57
long been warned that 147
long been watching and 41
long been watching for 293
long been watching him 56
long been watching his 62
long been watching with 55
long been widely and 44
long been wished for 202
long been without any 220
long been without one 44
long been without pay 159
long been worked for 129
long been worked out 570
long been worked with 47
long blue cloaks and 40
long blue shirts and 40
long bone cortex with 108
long bone shafts and 91
long bone shafts are 44
long breath before she 185
long breath through her 183
long breath through his 687
long bull market and 49
long bull market has 52
long bull market that 116
long case filled with 45
long cell filled with 50
long chin proved his 80
long cold nights and 71
long cold shower and 45
long cold winter and 742
long cold winter for 50
long cold winter that 91
long cold winter was 96
long cold winter with 76
long cool drinks and 40
long cord around his 65
long dark braids and 128
long dark lashes and 799
long dark lashes lay 171
long dark lashes lying 166
long dark lashes that 443
long dark nights and 351
long dark skirts and 178
long dark tunnel and 137
long dark tunnel that 199
long dark tunnel with 171
long dark winter and 100
long data series are 48
long days before she 43
long days before they 59
long days filled with 241
long days passed and 59
long days without any 55
long diary filled with 46
long done battle with 42
long done before his 46
long even before her 58
long fast should not 52
long felt desire for 84
long finger across her 42
long finger across his 48
long finger inside her 67
long from pressing you 65
long full skirts and 453
long full skirts with 40
long gash across his 177
long gold handle and 55
long gone astray out 45
long gone before any 162
long gone before her 77
long gone before his 63
long gone before our 40
long gone before she 172
long gone before that 194
long gone before then 86
long gone before they 459
long gone before you 197
long gone except for 47
long great scroll how 106
long hair across her 149
long hair across his 68
long hair around her 292
long hair around his 222
long hair behind her 492
long hair behind his 138
long hair behind one 44
long hair brushing his 56
long hair combed and 91
long hair combed out 131
long hair covering her 208
long hair covering his 110
long hair curled and 54
long hair fanned out 94
long hair floating all 44
long hair floating out 87
long hair flowed out 40
long hair framed her 44
long hair gently and 70
long hair matted and 134
long hair matted with 212
long hair should not 62
long hair should wear 58
long hair standing out 49
long hair sticking out 178
long hair streaming and 53
long hair streaming out 568
long hair styles for 43
long hair tangled and 57
long hair tickling his 45
long hair wreathed with 42
long hall filled with 184
long hall toward her 45
long hard battle for 64
long hard battle with 47
long hard winter and 123
long hard winter had 51
long hard winter was 48
long hard winter with 97
long have argued that 413
long have called you 358
long have eluded him 177
long have looked for 116
long have marked you 54
long have thought that 56
long have waited for 236
long held belief that 1519
long held opinion that 157
long held values and 46
long high street that 100
long hill street and 70
long home solemn and 79
long hour mowgli lay 51
long iron swords and 62
long jail record for 139
long jaws filled with 45
long jump record with 52
long kept before they 51
long kept secret and 57
long kind letter has 84
long lain before him 50
long lain bright and 50
long lain curled and 48
long lain hidden and 45
long land border with 241
long last reached its 45
long last realize that 103
long last something was 42
long leaps lovely and 44
long leave without pay 83
long left behind him 117
long left behind them 113
long left school and 40
long legs around and 52
long legs around her 61
long legs around him 261
long legs around his 489
long legs before her 48
long legs before him 431
long legs carrying her 140
long legs carrying him 346
long legs enable him 53
long legs enable them 120
long legs fitted for 50
long legs sticking out 640
long legs striding out 43
long legs tangled with 62
long legs trailing out 70
long length beside her 62
long life amongst this 52
long life before her 214
long life before him 717
long life before them 377
long life before they 52
long life before you 476
long life behind him 112
long life better than 199
long life cycles and 170
long life filled with 508
long life should not 70
long life without any 148
long life without being 71
long line before them 45
long line behind her 64
long line behind him 247
long line behind them 100
long line behind you 56
long look around and 139
long look around her 56
long look around him 150
long look around his 42
long look before she 207
long look before you 44
long look behind him 44
long look filled with 50
long look through her 43
long look through his 195
long losing battle with 204
long lost brother and 366
long lost brother who 130
long lost friend and 496
long lost friend who 153
long lost rights and 102
long love affair and 62
long love affair that 57
long love affair with 3410
long main building with 40
long main street and 250
long main street has 52
long main street that 161
long main street was 112
long main street with 174
long mile before you 41
long neck around and 42
long neck sticking out 40
long note values and 137
long ocean voyage and 259
long ocean voyage had 46
long ocean voyage was 82
long ocean voyage with 62
long open border with 159
long over coffee and 58
long past behind them 179
long past events and 109
long past events with 40
long past midday and 70
long past middle age 1081
long past retiring age 89
long past scenes for 115
long past school age 41
long pine trunks with 42
long pink frames with 49
long pipe filled with 141
long pole across his 61
long pole fitted with 40
long pole harder and 60
long pole sticking out 216
long pole tipped with 129
long pull before them 46
long range before they 42
long range forces and 115
long range forces are 177
long range planning and 1449
long range planning are 65
long range planning can 61
long range planning for 1627
long range planning has 55
long range planning may 49
long range planning that 131
long range planning was 189
long range planning with 78
long range policy and 62
long range policy for 75
long range rifles and 60
long range weapons and 49
long rest periods and 44
long rest periods are 40
long ride before him 201
long ride before them 126
long ride before you 82
long road before her 64
long road before him 155
long road before them 152
long road before you 103
long road behind him 47
long road filled with 52
long road strewn with 46
long room filled with 606
long room glowed red 63
long rope around her 42
long rope around his 137
long scar across her 51
long scar across his 439
long seen clearly that 123
long side chains are 66
long side nearest you 50
long side toward you 70
long sigh before she 49
long spear served all 58
long stay abroad and 214
long stay abroad had 41
long step beyond this 43
long step further and 86
long step further than 67
long step toward her 95
long step toward him 42
long step toward his 68
long step toward its 104
long step toward our 43
long step toward that 201
long step toward this 64
long step toward war 76
long stings through them 45
long swinging stride that 100
long tail behind him 68
long tail feathers and 231
long tail feathers are 274
long tail feathers that 230
long tail sticking out 159
long tail streaming out 42
long tail tipped with 61
long tank filled with 63
long tape measure and 80
long term assets and 125
long term assets are 45
long term changes and 92
long term changes are 85
long term changes that 206
long term credit and 218
long term credit for 470
long term credit was 131
long term damage and 45
long term demand and 40
long term demand for 272
long term effect and 91
long term effect may 69
long term effect that 51
long term effect was 150
long term friend and 49
long term future and 86
long term future for 218
long term impact and 67
long term impact was 43
long term issues and 69
long term market for 69
long term measure for 47
long term memory and 660
long term memory are 117
long term memory can 71
long term memory for 311
long term memory has 58
long term memory may 52
long term memory that 190
long term memory was 63
long term memory with 56
long term nature and 153
long term planning and 1281
long term planning are 60
long term planning can 47
long term planning for 584
long term planning has 61
long term planning that 108
long term planning was 90
long term planning with 82
long term policy and 213
long term policy for 420
long term policy that 93
long term policy was 53
long term public and 57
long term result was 85
long term safety and 125
long term should not 81
long term strength and 84
long term supply and 87
long term therapy and 56
long term therapy for 85
long term therapy with 545
long term training and 67
long term trends and 448
long term trends are 220
long term trends can 41
long term trends for 41
long term trends that 177
long term unless they 98
long term without any 52
long their temple had 44
long there before his 135
long there before she 227
long there before they 208
long there before you 90
long these forces are 166
long thick lashes and 99
long thick lashes that 105
long thick winter fur 44
long time abroad and 71
long time almost all 152
long time already and 286
long time already had 50
long time already has 72
long time already that 160
long time amongst them 110
long time anyway and 40
long time archer sat 81
long time argued that 239
long time avails him 216
long time before all 3487
long time before and 1536
long time before any 6275
long time before being 2324
long time before ben 48
long time before both 58
long time before but 115
long time before day 95
long time before death 424
long time before doing 213
long time before don 44
long time before dying 117
long time before each 138
long time before eating 60
long time before for 47
long time before god 289
long time before going 892
long time before had 433
long time before her 1931
long time before him 467
long time before his 4486
long time before its 1274
long time before jim 149
long time before man 414
long time before men 562
long time before new 315
long time before now 297
long time before old 59
long time before one 2452
long time before our 1331
long time before real 40
long time before she 22708
long time before sir 41
long time before that 12940
long time before them 266
long time before then 661
long time before they 29787
long time before things 346
long time before this 6132
long time before tom 123
long time before two 103
long time before use 158
long time before using 156
long time before war 102
long time before was 60
long time before with 74
long time before you 10163
long time behind his 40
long time beside her 87
long time beside him 52
long time beside his 52
long time brushing her 49
long time called for 58
long time chatting with 81
long time cubism has 45
long time deciding who 41
long time defied all 42
long time delays and 104
long time delays are 96
long time denied him 42
long time denied that 44
long time depend for 111
long time dressing and 50
long time dressing for 49
long time dwelling with 42
long time england and 41
long time england had 120
long time england has 42
long time england was 43
long time europe has 49
long time europe was 46
long time except for 190
long time except that 44
long time famous for 90
long time fiddling with 52
long time figuring out 113
long time filled with 176
long time fought for 43
long time fought with 53
long time frames and 136
long time frames are 66
long time frames for 64
long time france had 81
long time france has 40
long time france was 62
long time friend and 1809
long time friend was 53
long time friend who 125
long time indeed and 105
long time indeed for 277
long time kindling wet 44
long time little but 84
long time little was 257
long time looked for 81
long time looked out 130
long time looked with 101
long time louise did 46
long time member and 114
long time needed for 629
long time neither had 71
long time neither man 75
long time neither one 122
long time neither was 58
long time nikita lay 41
long time nobody had 91
long time nobody has 67
long time nobody saw 53
long time nobody was 51
long time obtain any 42
long time oliver lay 54
long time passed and 757
long time passed but 54
long time passed ere 54
long time passed for 67
long time passed that 109
long time passed thus 42
long time passed with 67
long time passes and 95
long time peopled with 52
long time periods and 1275
long time periods are 499
long time periods can 165
long time periods for 311
long time periods has 55
long time periods may 137
long time periods that 360
long time periods was 41
long time periods with 183
long time planning and 56
long time planning for 44
long time pointing out 67
long time realizing that 105
long time scales and 336
long time scales are 143
long time scales can 53
long time scales for 107
long time scales that 69
long time searching for 668
long time series and 237
long time series are 311
long time series for 333
long time series may 40
long time series that 119
long time series with 85
long time settling her 124
long time should not 217
long time silent and 433
long time sought for 96
long time studying and 44
long time studying her 43
long time studying his 41
long time suffer them 46
long time taught that 94
long time thought that 1774
long time through fear 47
long time through his 177
long time through its 48
long time through this 83
long time treated with 125
long time united with 259
long time unless they 173
long time unless you 130
long time viewed with 47
long time waited for 115
long time wanted this 40
long time watching and 53
long time watching for 79
long time watching her 205
long time watching him 156
long time watching his 64
long time watching its 40
long time watching them 256
long time watching this 65
long time whether she 71
long time whether they 127
long time whether this 56
long time whether you 103
long time wished for 114
long time without air 128
long time without any 5935
long time without being 3297
long time without doing 344
long time without dying 66
long time without eating 1311
long time without fear 50
long time without going 284
long time without her 119
long time without him 64
long time without his 258
long time without its 230
long time without meat 67
long time without one 303
long time without our 105
long time without pay 499
long time without sex 113
long time without that 91
long time without them 119
long time without this 68
long time without using 94
long time without you 80
long time worked with 75
long tree branch and 41
long trip abroad and 65
long trip abroad with 43
long tube filled with 825
long tube fitted with 43
long tube packed with 92
long veil covering her 42
long wait before any 175
long wait before being 91
long wait before her 43
long wait before his 67
long wait before she 272
long wait before they 682
long wait before this 44
long wait before you 287
long walk before going 94
long walk before him 144
long walk before them 102
long walk before they 63
long walk before you 274
long walk without any 54
long ways before they 40
long ways better than 58
long when closed and 130
long when mature and 153
long wild shriek that 107
long will meetings run 42
long will strike and 75
long years abroad had 50
long years before and 215
long years before any 120
long years before being 57
long years before had 642
long years before her 151
long years before him 146
long years before his 281
long years before its 67
long years before one 42
long years before our 55
long years before she 357
long years before that 632
long years before them 136
long years before they 639
long years before this 246
long years before you 286
long years behind him 73
long years filled with 88
long years french and 45
long years passed and 82
long years without any 103
long years without being 53
long years without her 48
long years without him 51
long your debtor for 50
long your family has 52
long your system has 60
lot from someone who 62
lot from watching her 58
lot from watching him 76
lot less appealing than 41
lot less common than 136
lot less costly than 146
lot less damage than 125
lot less daunting than 48
lot less effort and 119
lot less effort than 444
lot less energy and 48
lot less energy than 144
lot less exciting than 140
lot less formal than 185
lot less hassle than 159
lot less likely than 219
lot less likely that 92
lot less obvious than 45
lot less secure than 87
lot less serious than 211
lot less severe than 61
lot less simple than 48
lot less stable than 86
lot less stress and 47
lot less stress than 86
lot less useful than 61
lot less violent than 46
lot like hatred and 41
lot like shopping for 59
lot like someone who 43
lot like something that 95
lot more active and 43
lot more active than 331
lot more appealing than 900
lot more before she 63
lot more before they 236
lot more before this 96
lot more before you 243
lot more behind this 54
lot more bitter than 97
lot more brains than 144
lot more calmly than 117
lot more casual than 101
lot more charming than 46
lot more cheaply than 171
lot more choice and 76
lot more clearly now 45
lot more clearly than 525
lot more clever than 355
lot more clothes than 58
lot more common than 1445
lot more costly and 44
lot more costly than 102
lot more credit for 175
lot more credit than 633
lot more damage than 996
lot more damage with 93
lot more decent than 99
lot more deeply than 81
lot more demand for 68
lot more detail and 103
lot more detail than 342
lot more devious than 95
lot more direct than 63
lot more easygoing than 43
lot more effort and 511
lot more effort for 41
lot more effort than 439
lot more empathy for 45
lot more energy and 699
lot more energy for 87
lot more energy than 1342
lot more english than 248
lot more enticing than 40
lot more exciting and 321
lot more exciting for 54
lot more exciting than 2857
lot more exotic than 47
lot more famous than 261
lot more fighting than 91
lot more flavor than 50
lot more formal than 74
lot more freely than 55
lot more ground than 352
lot more honest and 69
lot more honest than 373
lot more honest with 52
lot more humane than 71
lot more impact than 111
lot more inviting than 106
lot more leeway than 84
lot more likely than 477
lot more likely that 647
lot more lively than 67
lot more makeup than 41
lot more mature and 63
lot more mature than 708
lot more memory than 123
lot more mileage out 453
lot more mileage than 43
lot more mobile than 43
lot more modern than 164
lot more modest than 65
lot more muscle than 135
lot more normal than 115
lot more obvious than 69
lot more options for 178
lot more options than 286
lot more outgoing than 43
lot more pissed off 86
lot more places than 208
lot more planning and 201
lot more planning than 44
lot more points than 46
lot more polite than 207
lot more potent than 210
lot more profit than 41
lot more readily than 210
lot more reasons than 141
lot more recent than 83
lot more relaxing than 63
lot more remote than 51
lot more revealing than 52
lot more rights than 40
lot more robust than 74
lot more rugged than 44
lot more scared than 117
