lab coat and stethoscope 249
low cost and convenient 130
low cost and durability 143
low cost and efficiency 157
low cost and potentially 40
low cost and relatively 382
low cost and reliability 253
low cost and resistance 48
low cost and simplicity 1165
low cost per individual 53
low cost per respondent 43
low cost per transaction 88
low cost was advertised 45
low hill that overlooked 55
low mass and luminosity 53
low mirth and buffoonery 45
low over her embroidery 149
low over his handlebars 62
low paid and unemployed 97
low rate was maintained 55
low risk and relatively 53
low risk for alcoholism 117
low risk for malignancy 89
low risk for progression 43
low risk for recurrence 304
low risk for subsequent 139
low risk for transmitting 47
low saving and investment 493
low tide they overhauled 50
low wall that surrounded 322
lung also are classified 44
lying cold and insensible 40
lying down and apparently 40
lying down and completely 43
lying down was impossible 43
lying idle and accumulating 93
lying idle and unemployed 170
lying lips are abomination 45
lying ready for exportation 98
lying upon his conscience 46
lying upon its hospitable 45
