lacked their usual luster 49
loomed very large indeed 238
looped three times around 146
loosed their sweating horses 56
losses also occur through 53
losses from flood damage 60
losses from gross income 61
losses from holding assets 52
losses from price changes 198
losses from water erosion 54
losses here total rental 158
losses many times greater 66
losses over short periods 59
losses were about twenty 76
losses were eight killed 67
losses were fifty killed 44
losses were large enough 56
losses were nearly double 44
losses were quite severe 92
losses were seven killed 111
losses were still greater 75
loudly into place seemed 65
lovely lord jesus christ 55
lovely young woman before 53
lovely young woman standing 90
lovers were driving onward 141
lovers were really common 42
lowering their social status 67
luxury very often become 56
