eagerly recommended himself in 62
exciting disaffection against the 134
exciting disaffection towards the 47
exciting relationship between the 41
exempt organization founded in 57
exempt organization intends to 43
exempt organization subject to 541
exerting significant effects on 54
exerts differential effects on 98
exerts significant effects on 411
existing antagonisms between the 40
existing applications written in 42
existing arrangements between the 1214
existing arrangements regarding the 61
existing arrangements whereby the 101
existing comparative studies of 45
existing controversy between the 247
existing correlations between the 117
existing differences between the 6076
existing differential between the 111
existing discrepancy between the 329
existing disparities between the 480
existing distinctions between the 155
existing equilibrium between the 311
existing geographical pattern of 89
existing hostilities between the 179
existing interactions between the 56
existing legislative council of 104
existing partnership between the 128
existing partnership consent to 649
existing relationship between an 52
existing relationship between the 6522
existing restrictions imposed by 66
existing restrictions imposed on 43
existing sociological studies of 45
existing transactions between the 105
existing uncertainty regarding the 48
existing understanding between the 170
exists principally because of 53
exists significant variation in 58
expect correlations between the 49
expect differences between the 368
expect significant amounts of 55
expect significant numbers of 62
expect significant variation in 63
expect spectacular results in 47
expend significant amounts of 135
export commodities according to 125
export commodities subject to 208
export performance between the 61
export performance depends on 91
export restrictions imposed by 572
export restrictions imposed on 132
export significant amounts of 475
expose differences between the 47
extend unqualified support to 40
extend wholehearted support to 69
extent differences between the 84
extent intermediate between the 213
