earmarked funds for a 62
eighteen months was a 273
eighteen months with a 526
eighteen pence for a 106
eighteen rooms and a 59
eighteen ships and a 49
eighteen times and i 49
eighteen times with a 47
elections ended with a 45
elections fixed for a 69
elections rather than a 129
elections would bring a 108
elections would mean a 49
elective rather than a 277
electors voted for a 98
electric bells and a 67
electric bulbs and a 61
electric cable and a 54
electric cable with a 73
electric chair and a 98
electric chair and i 46
electric chair for a 232
electric chair was a 96
electric chair with a 111
electric clock and a 90
electric clock with a 190
electric drill and a 505
electric drill has a 54
electric drill with a 944
electric drive and a 59
electric drive for a 44
electric drive with a 64
electric fence and a 48
electric field and a 3413
electric field and b 156
electric field and d 99
electric field and e 210
electric field and h 69
electric field and m 55
electric field and n 143
electric field and p 256
electric field and q 40
electric field and r 43
electric field and v 48
electric field and x 49
electric field for a 1484
electric field for r 140
electric field had a 78
electric field has a 1763
electric field near a 519
electric field than a 48
electric field that a 72
electric field using a 97
electric field was a 50
electric field with a 1704
electric fluid has a 62
electric fluid than a 51
electric fluid with a 88
electric force and a 146
electric force has a 66
electric force that a 40
electric force with a 46
electric heater and a 290
electric heater for a 48
electric heater has a 139
electric heater with a 266
electric lamps and a 83
electric light and a 1221
electric light and i 99
electric light for a 316
electric light has a 94
electric light that i 53
electric light was a 256
electric light with a 417
electric mixer and a 104
electric mixer for a 60
electric mixer with a 581
electric motor and a 1436
electric motor for a 284
electric motor has a 394
electric motor using a 41
electric motor was a 75
electric motor with a 1343
electric organ and a 83
electric organ with a 54
electric plant and a 125
electric plant with a 166
electric plate and a 47
electric power and a 641
electric power for a 751
electric power has a 68
electric power than a 44
electric power that a 48
electric power using a 63
electric power was a 268
electric power with a 207
electric rather than a 162
electric razor and a 283
electric razor with a 65
electric shock and a 208
electric shock and i 58
electric shock for a 109
electric shock was a 72
electric shock with a 183
electric spark with a 54
electric stove and a 341
electric stove with a 162
electric torch and a 307
electric torch with a 73
electric train and a 100
electric train with a 62
electric wires and a 61
electron cloud has a 197
electron cloud with a 151
electron donor and a 319
electron donor for a 128
electron donor with a 126
electron laser with a 86
electron model for a 65
electron model with a 56
electron moves with a 860
electron orbit has a 83
electron pairs and a 62
electron pairs with a 54
electron passing near a 106
electron probe with a 198
electron pulse with a 115
electron rather than a 302
electron shell has a 98
electron stream and a 107
electron stream with a 93
electron volts and a 176
electron volts for a 112
electron which has a 314
elegance rather than a 62
elements allow for a 70
elements calls for a 79
elements exist for a 43
elements makes for a 85
elements merging with a 57
elements rather than a 839
elements unite with a 76
elements which are a 1246
elements which bear a 71
elements which for a 126
elements which had a 264
elements which has a 74
elephant grass and a 50
elephant rather than a 104
elephant tusks and a 101
elephant which was a 46
elevated edges and a 99
elevated lesion with a 66
elevated level for a 95
elevated point near a 46
elevated region with a 52
elevated ridge with a 44
elevation model with a 52
elevation rather than a 244
elevator alone with a 81
elevator doors with a 43
elevator rather than a 53
elevator shaft and a 91
elevator shaft with a 51
elevator stops with a 45
elevator which has a 63
eligible child with a 85
eligible match for a 66
eligible place for a 452
eligible point for a 58
eligible route for a 140
eligible sites for a 58
eligible voter has a 50
elliptic orbit with a 208
elongated cells and a 157
elongated cells with a 586
elongated rather than a 83
elongated shape and a 204
elongated shape with a 260
elongated skull with a 44
elongated snout and a 50
elongated snout with a 41
elongated tumor with a 41
elongation curve for a 334
eloquent appeal for a 322
eloquent tongue and a 254
emaciated frame and a 47
emaciated woman with a 116
emanation rather than a 58
embedded chart and a 65
embedded within them a 97
embodied rather than a 44
embraced rather than a 94
emergent light with a 43
emergent rather than a 297
emotional appeal and a 169
emotional appeal for a 215
emotional appeal than i 48
emotional appeal with a 69
emotional basis for a 248
emotional bonding with a 53
emotional bonds and a 47
emotional bonds with a 62
emotional craving for a 43
emotional feeling and a 77
emotional force and a 92
emotional growth and a 81
emotional issue for a 44
emotional issue with a 47
emotional level that i 47
emotional level with a 48
emotional needs and a 137
emotional needs are a 53
emotional needs for a 123
emotional needs with a 44
emotional numbing and a 40
emotional power and a 82
emotional power that i 40
emotional rather than a 2168
emotional scene with a 66
emotional search for a 44
emotional shock and a 42
emotional state and a 262
emotional state for a 108
emotional state has a 223
emotional state that a 52
emotional state that i 134
emotional state was a 134
emotional state with a 161
emotional upset and a 41
emotional warmth and a 61
emotional yearning for a 49
emphasis calls for a 72
emphasis rather than a 1370
emphatic terms that i 42
emphatic words with a 77
employed again for a 70
employed daily for a 89
employed either for a 99
employed either with a 179
employed father and a 145
employed fewer than a 144
employed people pay a 118
employed people with a 116
employed rather than a 852
employed which has a 285
employed women and a 49
employed women had a 180
employed women with a 292
employee asked for a 109
employee badge with a 40
employee could bring a 93
employee faced with a 70
employee feels that a 59
employee fills out a 228
employee gives you a 84
employee hired for a 126
employee knows that a 65
employee looking for a 68
employee makes out a 62
employee often has a 46
employee rather than a 890
employee stays with a 60
employee still has a 75
employee table has a 48
employee working for a 602
employee working with a 54
employee works for a 1166
employee works with a 61
employee would get a 90
employer acted for a 56
employer asked for a 105
employer calls for a 48
employer could pay a 42
employer could use a 84
employer faced with a 377
employer finds that a 46
employer gives him a 85
employer gives you a 293
employer knows that a 188
employer learns that a 47
employer liable for a 194
employer looking for a 142
employer looks for a 45
employer makes not a 48
employer might use a 62
employer often has a 48
employer rather than a 236
employer sends you a 47
employer shall pay a 188
employer shall use a 79
employer shows that a 78
employer stating that a 43
employer still has a 84
employer takes out a 63
employer which has a 68
employer would pay a 149
empowering rather than a 58
emulation rather than a 42
enchanting place for a 66
enchanting smile and a 66
encircling woods lay a 43
enclosed basin with a 47
enclosed court with a 137
enclosed field near a 54
enclosed place with a 132
enclosed porch with a 200
enclosed space and a 130
enclosed space for a 263
enclosed space was a 199
enclosed space with a 1028
endorsed calls for a 51
endorsed plans for a 124
endpoint rather than a 61
energies lower than a 110
energies rather than a 167
energies which are a 53
engineering calls for a 56
engineering costs for a 40
engineering drawing for a 55
engineering drawing with a 70
engineering firms and a 48
engineering firms with a 83
engineering group and a 70
engineering group for a 43
engineering major with a 45
engineering plans for a 233
engineering rather than a 748
engineering skill and a 142
engineering staff and a 71
engineering study for a 88
engineering works and a 419
engineering works for a 45
engineering works with a 97
engineers agree that a 45
engineers asked for a 50
engineers claim that a 77
engineers found that a 96
engineers looking for a 75
engineers often use a 74
engineers rather than a 54
engineers working for a 127
engineers working with a 57
enhanced rather than a 45
enlarged cells with a 47
enlarged gland with a 118
enlarged liver and a 396
enlarged liver with a 360
enlarged rather than a 47
enlarged views and a 203
enormous appeal for a 63
enormous belly and a 126
enormous hands and a 119
enormous house with a 115
enormous power and a 91
enormous power for a 44
enormous power that a 71
enormous price for a 257
enormous pride and a 68
enormous raven with a 63
enormous scope for a 71
enormous snake with a 49
enormous tails and a 71
enormous trees and a 43
enormous value for a 56
enormous woman with a 132
enriched poetry with a 162
ensemble rather than a 374
enslaved people are a 44
entangled again with a 356
enthusiasm about being a 55
enthusiasm rather than a 149
enthusiasm which for a 66
enthusiasm which was a 168
enthusiast fancy was a 59
enthusiast rather than a 307
entirely agree and i 63
entirely agree that a 105
entirely agree with a 99
entirely alone for a 198
entirely alone with a 78
entirely black with a 154
entirely ceased for a 81
entirely empty for a 47
entirely fitting for a 133
entirely fitting that a 170
entirely happy that i 42
entirely happy with a 131
entirely legal for a 54
entirely lined with a 79
entirely plain that a 91
entirely right for a 46
entirely unfit for a 319
entirely wanting for a 42
entirely white with a 90
entirely willing that i 215
entirely wiped out a 40
entirety rather than a 145
entities rather than a 323
entities waiting for a 79
entities which are a 70
entities which had a 47
entrance closing with a 60
entrance court and a 53
entrance court with a 54
entrance doors and a 113
entrance doors was a 68
entrance doors with a 47
entrance exams and a 40
entrance exams for a 71
entrance foyer and a 58
entrance foyer was a 49
entrance foyer with a 70
entrance front and a 63
entrance front has a 120
entrance front with a 54
entrance gates and a 84
entrance gates was a 41
entrance lobby and a 63
entrance lobby has a 42
entrance lobby was a 55
entrance lobby with a 72
entrance porch and a 127
entrance porch has a 71
entrance porch was a 41
entrance porch with a 145
entrance rather than a 70
entrance sealed with a 41
entrance waiting for a 54
entrance which had a 73
entrance which has a 77
entrance which was a 47
entrance wound and a 65
envelope rather than a 158
envelope sealed with a 237
envelope which has a 130
enveloping cloud with a 54
epidemic began with a 49
epidemic rather than a 120
epidural block with a 51
epidural space and a 141
epidural space has a 52
epidural space using a 89
epidural space with a 194
epilogue rather than a 130
episodes begin with a 116
episodes rather than a 546
episodes which are a 55
episodes which had a 48
episodic rather than a 342
epitaxial films with a 53
epitaxial layer and a 103
epitaxial layer has a 60
epitaxial layer with a 226
epithelial cells and a 2977
epithelial cells and b 123
epithelial cells and t 248
epithelial cells are a 567
epithelial cells for a 50
epithelial cells had a 67
epithelial cells has a 119
epithelial cells using a 83
epithelial cells was a 44
epithelial cells with a 2647
epithelial layer and a 224
epithelial layer with a 65
epithelial tumor with a 61
equality calls for a 52
equality holds for a 197
equality rather than a 263
equality would mean a 64
equality would tear a 52
equations allow for a 67
equations apply for a 72
equations imply that a 94
equations rather than a 436
equations shows that a 145
equations state that a 45
equations valid for a 130
equations which are a 132
equations which has a 118
equipped either with a 359
equipped rooms and a 59
equipped stage and a 51
erroneous notion that a 386
erroneous notion that i 55
erroneous rather than a 40
erudition rather than a 49
eruptions which for a 141
escalating costs and a 171
escapism rather than a 51
essayist rather than a 267
essential asset for a 60
essential bases for a 46
essential basis for a 1093
essential books for a 189
essential change was a 50
essential facts and a 93
essential facts for a 101
essential goods and a 60
essential input for a 47
essential items are a 80
essential items for a 145
essential lesion was a 52
essential needs for a 99
essential parts are a 479
essential parts for a 55
essential peter was a 70
essential point for a 123
essential point that a 142
essential point that i 103
essential point was a 44
essential rather than a 272
essential reason for a 131
essential reason why a 242
essential reason why i 60
essential rules for a 46
essential skill for a 352
essential steps for a 80
essential tools are a 49
essential tools for a 214
essential trait for a 59
essential unity and a 99
estimate calls for a 59
estimate costs for a 197
estimate rather than a 1510
estimate sales for a 94
estimate shows that a 193
estimate which has a 159
estimating costs for a 315
estrogen action with a 52
estrogen alone had a 47
estrogen level and a 53
estrogen users had a 213
eternity finding out a 115
eternity longer than a 48
eternity rather than a 113
ethically right for a 44
ethnicity rather than a 105
etiologic agent for a 72
etiologic agent was a 86
eutectic alloy has a 131
eutectic alloy with a 78
eventful night was a 51
everyday dress was a 48
everyday lives and a 77
everyday lives are a 41
everyday lives with a 99
everyday people with a 43
everyday rather than a 41
everyday world and a 170
everyday world for a 61
everyday world that i 44
everyday world was a 41
everyday world with a 116
everyone about how i 58
everyone agree that a 40
everyone calls him a 53
everyone calls you a 47
everyone comes out a 168
everyone comes with a 60
everyone could buy a 45
everyone could get a 723
everyone could lead a 41
everyone could own a 87
everyone could see a 165
everyone could see i 80
everyone could use a 205
everyone either has a 63
everyone feels that a 67
everyone found out i 60
everyone gives him a 76
everyone gives you a 44
everyone hoped for a 139
everyone hopes for a 81
everyone knowing that i 49
everyone knows how a 98
everyone knows how i 99
everyone knows that a 2789
everyone knows that i 1079
everyone knows was a 65
everyone knows who i 245
everyone leaves with a 75
everyone lives near a 59
everyone lives with a 46
everyone looking for a 194
everyone looks for a 104
everyone rather than a 122
everyone spoke with a 53
everyone still had a 49
everyone still has a 88
everyone stood for a 45
everyone thinks that a 127
everyone thinks that i 202
everyone today has a 69
everyone waiting for a 104
everyone waits for a 58
everyone working for a 112
everyone working with a 96
everyone works for a 67
everyone works with a 53
everyone would bring a 63
everyone would get a 626
everyone would own a 62
everyone would pay a 52
everyone would say i 130
evidence about how a 136
evidence argue for a 46
evidence arguing for a 107
evidence calling for a 186
evidence calls for a 237
evidence cited for a 54
evidence either for a 150
evidence either that a 63
evidence exist for a 42
evidence found for a 79
evidence found was a 44
evidence given for a 47
evidence makes out a 228
evidence makes this a 97
evidence proving that a 405
evidence rather than a 705
evidence rules out a 63
evidence showing how a 87
evidence showing that a 4122
evidence showing that i 104
evidence showing why a 63
evidence shows that a 4500
evidence shows that i 81
evidence speaks for a 73
evidence speaks with a 128
evidence today that a 52
evidence which had a 64
evidence which has a 425
evidence which was a 60
evidence would lead a 67
evocation rather than a 167
evolution began with a 80
evolution calls for a 65
evolution rather than a 1549
evolution which has a 54
exactest order that i 47
examined again with a 43
examined daily for a 222
examined either with a 117
examined first with a 126
examined rather than a 85
examiner finds that a 89
examiner looks for a 66
examiner rather than a 57
examples above are a 42
examples above that a 45
examples begin with a 121
examples given are a 62
examples given for a 57
examples point out a 62
examples prove that a 112
examples rather than a 354
examples showing how a 173
examples showing that a 240
examples shows that a 57
examples which are a 80
examples which had a 49
exceeded anything that i 300
exceeded seven and a 55
exception lends him a 61
exception rather than a 2821
exchanged blows with a 62
exchanged gifts with a 46
exchanged later for a 207
exchanged names with a 94
exchanged shots with a 450
exchanged views with a 111
exchanged wives for a 51
exchanged words with a 217
exchanges money for a 87
exchanges rather than a 68
exchanges words with a 50
exclusion rather than a 190
excursion ended with a 53
excursion rather than a 105
excursion train for a 41
executed either with a 107
executed rather than a 41
execution model for a 69
execution order for a 67
execution plans for a 102
execution rather than a 282
execution times for a 291
executor rather than a 54
exegesis rather than a 101
exemplar rather than a 146
exemption limit and a 48
exemption limit for a 68
exemption rather than a 127
exercise again with a 54
exercise anything but a 133
exercise began with a 142
exercise books and a 323
exercise books with a 114
exercise calls for a 445
exercise class and a 117
exercise class with a 76
exercise daily for a 167
exercise ended with a 56
exercise gives them a 77
exercise gives you a 655
exercise group and a 76
exercise group had a 181
exercise period with a 51
exercise power for a 141
exercise power with a 117
exercise price and a 153
exercise price for a 268
exercise price has a 44
exercise price with a 63
exercise rather than a 3672
exercise rooms and a 40
exercise shows how a 46
exercise shows that a 144
exercise shows you a 48
exercise testing using a 197
exercise testing with a 99
exercise which has a 159
exercise which was a 114
exhausting search for a 84
exorcist rather than a 41
expanded metal with a 117
expanded rather than a 81
expansion began with a 73
expansion calls for a 67
expansion curve for a 155
expansion engine and a 42
expansion engine with a 188
expansion joint and a 41
expansion joint for a 48
expansion phase and a 50
expansion plans for a 93
expansion rather than a 1025
expansion shows that a 40
expansion slots and a 88
expansion valve and a 113
expansion valve has a 54
expansion valve with a 89
expansion which was a 74
expansion would mean a 57
expected anything but a 251
expected child was a 120
expected costs for a 414
expected count for a 110
expected curve for a 49
expected daily for a 52
expected delay for a 202
expected earnings for a 121
expected error for a 91
expected given that a 58
expected growth for a 45
expected level for a 211
expected price for a 232
expected rather than a 188
expected sales for a 294
expected score for a 233
expected since for a 52
expected value and a 1082
expected value and x 87
expected value but a 108
expected value for a 3046
expected value for r 85
expected value for y 55
expected value has a 101
expected value than a 45
expected value with a 212
expected yield for a 213
expelled thence for a 195
expenses began eating a 49
expenses rather than a 109
expenses which are a 160
explicit about how a 74
explicit about how i 45
explicit appeal for a 56
explicit basis for a 61
explicit calls for a 86
explicit claim that a 48
explicit finding that a 60
explicit method with a 50
explicit model for a 56
explicit rather than a 52
explicit reason for a 44
explicit rules and a 51
explicit search for a 94
explicit terms that a 53
explicit terms that i 113
exploded nearby and a 85
exploded nearby with a 41
exploded notion that a 43
exploiting class and a 191
exploits earned him a 59
explored rather than a 71
explorer looking for a 47
explorer rather than a 448
explorer rises with a 43
explosion rather than a 222
exponent rather than a 44
exported shall pay a 46
exporter rather than a 99
exposure draft for a 47
exposure group had a 65
exposure level for a 153
exposure limit for a 180
exposure meter and a 95
exposure meter has a 53
exposure meter with a 90
exposure rather than a 224
exposure taken with a 80
exposure times and a 74
exposure times for a 161
exposure times with a 67
exposure value for a 48
expressing doubt that a 79
expressing hopes for a 114
expressing thanks for a 171
extended hands and a 183
extended model with a 59
extended period and a 85
extended period for a 94
extended period was a 92
extended period with a 225
extended rather than a 179
extended search for a 173
extended twice for a 47
extension agent and a 103
extension agent for a 76
extension cords and a 62
extension curve for a 214
extension force for a 67
extension rather than a 1129
extension tubes and a 74
extension which has a 42
external canal with a 95
external cause for a 65
external costs for a 53
external event and a 65
external field and a 186
external field for a 100
external field has a 100
external field with a 174
external force and a 112
external force has a 133
external force with a 101
external funding and a 40
external funding for a 111
external funds for a 53
external gills and a 201
external layer and a 50
external modem with a 47
external opening and a 43
external opening with a 66
external parts with a 64
external power and a 40
external rather than a 88
external search for a 41
external shell and a 46
external threats and a 76
external trade and a 140
external trade for a 43
external trade was a 83
external trade with a 49
external walls and a 75
external walls with a 226
external world and a 923
external world and i 59
external world are a 42
external world but a 139
external world for a 167
external world had a 105
external world has a 345
external world than a 59
external world that a 55
external world that i 107
external world was a 380
external world with a 335
external wound with a 53
extremer cases that i 50
extremes rather than a 113
exultingly stood with a 136
