earnestly a deep pit 43
evidence i will read 70
examined a data set 42
examined a good deal 166
examined a great deal 314
examined a young man 161
examined i have not 63
examiner a great deal 49
examiner a young man 49
examples a great way 98
examples i cite are 73
examples i ever saw 172
examples i gave are 43
examples i gave you 112
examples i give are 141
examples i have are 53
examples i have had 92
examples i have met 214
examples i have not 105
examples i have read 56
examples i have set 62
examples i have yet 54
examples i know are 90
examples i meet with 43
examples i show you 50
examples i will not 46
examples i will now 43
examples i will use 165
excavate a hole and 66
excavate a hole for 120
excavate a nest for 60
excavate a site and 69
excavating a hole and 40
excavating a hole for 80
excavating a site for 59
excavating a site near 44
excavating a site that 85
exceeded a foot and 48
exceeded a mile and 87
exception i have had 43
exception i have met 90
exception i have not 131
exception i made was 107
exchanged a cold and 184
exchanged a gaze that 95
exchanged a good deal 184
exchanged a good long 48
exchanged a great deal 181
exchanged a grin with 233
exchanged a joke with 71
exchanged a kiss and 53
exchanged a kiss with 64
exchanged a look and 982
exchanged a look but 53
exchanged a look that 2360
exchanged a look with 4932
exchanged a shot with 161
exchanged a very few 101
exchanged a warm hug 46
exchanged a wink and 48
exchanged a wink with 171
exchanged a word all 128
exchanged a word and 97
exchanged a word for 331
exchanged a word now 71
exchanged a word that 347
exchanged a word with 7805
exchanges a look with 301
exchanges a wink with 42
exchanges a word with 175
exchanges i have had 106
excluded a great deal 175
excluded a role for 90
excluded a view too 69
excludes a good deal 94
excludes a great deal 299
excludes a role for 113
excursion i made was 49
excursion i made with 138
executed a bold and 101
executed a bond and 224
executed a bond for 541
executed a bond with 157
executed a coup that 40
executed a daring and 51
executed a deed and 138
executed a deed for 475
executed a deed with 107
executed a deep bow 106
executed a foul and 136
executed a good deal 125
executed a great deal 129
executed a lease and 51
executed a lease for 241
executed a lease with 122
executed a mock bow 44
executed a note and 457
executed a note for 459
executed a note with 55
executed a plan for 226
executed a plan that 215
executed a turn and 45
executed a wild war 134
executed a will and 243
executed a will that 541
executed a work for 46
executed a work that 94
executes a bond for 65
executes a bond with 134
executes a deed and 88
executes a deed for 78
executes a lease for 55
executes a lease with 49
executes a loop that 221
executes a note and 117
executes a note for 89
executes a plan for 50
executes a will and 75
executes a will that 325
execution a plan for 350
execution a plan that 238
execution i know not 84
exercise a calm and 121
exercise a clear and 83
exercise a cool and 53
exercise a deep and 656
exercise a fair and 225
exercise a faith that 87
exercise a firm and 156
exercise a free and 362
exercise a full and 228
exercise a good and 64
exercise a good deal 6608
exercise a great and 1204
exercise a great deal 17540
exercise a just and 89
exercise a lien for 88
exercise a meek and 87
exercise a mild and 52
exercise a more and 243
exercise a more real 55
exercise a more than 379
exercise a most far 107
exercise a raving and 378
exercise a true and 87
exercise a vain and 56
exercise a vast and 162
exercise a very real 865
exercise a veto and 57
exercise a week and 47
exercise a week for 45
exercise a wide and 546
exercise a wise and 586
exercise i gave you 46
exercise i have had 258
exercise i once met 266
exercise i want you 303
exercising a fair and 50
exercising a free and 117
exercising a good deal 442
exercising a great and 131
exercising a great deal 840
exercising a just and 51
exercising a more than 40
exercising a very real 72
exercising a wide and 145
exercising a wise and 177
exhibiting a calm and 41
exhibiting a clear and 74
exhibiting a deep seam 107
exhibiting a fine and 46
exhibiting a full and 66
exhibiting a good deal 294
exhibiting a great deal 524
exhibiting a more than 74
exhibiting a need for 63
exhibiting a true and 103
exhibiting a very low 166
exhibits a bold and 48
exhibits a clear and 250
exhibits a deep and 60
exhibits a fine and 53
exhibits a full and 87
exhibits a good deal 947
exhibits a great and 54
exhibits a great deal 1615
exhibits a high and 56
exhibits a love for 41
exhibits a more than 130
exhibits a need for 69
exhibits a rare and 84
exhibits a rich and 134
exhibits a single and 49
exhibits a single peak 397
exhibits a slow and 53
exhibits a slow but 40
exhibits a time lag 58
exhibits a true and 236
exhibits a very few 94
exhibits a very long 70
exhibits a very low 903
exhibits a very weak 161
exhibits a wide and 48
expanded a good deal 183
expanded a great deal 848
expected a busy day 45
expected a call for 42
expected a clear and 65
expected a fair deal 40
expected a full and 65
expected a full day 81
expected a girl and 42
expected a good deal 1483
expected a great and 94
expected a great deal 9250
expected a great joy 48
expected a month ago 149
expected a quid pro 240
expected a warm and 42
expected a week ago 41
expected a young man 533
expected i know not 105
expelled a breath and 207
expelled a breath she 41
expelled a breath that 98
expelled a sigh and 55
expended a good deal 1791
expended a great deal 7148
expended a great sum 91
expended a vast deal 135
expended a vast sum 153
expenses i have had 97
expenses i have not 103
explaining a good deal 163
explaining a great deal 430
explaining a plan for 63
explains a fact that 202
explains a good bit 47
explains a good deal 3450
explains a great deal 6605
explicit a great deal 49
explicit a theme that 114
exploded a bomb and 47
exploded a bomb that 119
exploded a mine and 57
explored a dark and 80
explored a good deal 202
explored a great deal 243
explored a vast area 61
explored a wide area 48
explores a theme that 139
exported a good deal 133
exported a great deal 440
exposure i have had 59
expounding a great poem 53
expounding a theory that 128
expounds a theory that 42
expressing a clear and 79
expressing a deep and 172
expressing a fact that 48
expressing a faith that 113
expressing a free and 91
expressing a good deal 223
expressing a great and 57
expressing a great deal 1268
expressing a great law 50
expressing a hope and 71
expressing a hope for 503
expressing a hope that 24168
expressing a liking for 191
expressing a longing for 563
expressing a love for 104
expressing a love that 59
expressing a meaning that 83
expressing a need and 48
expressing a need for 1263
expressing a need that 43
expressing a single and 143
expressing a single idea 491
expressing a true and 51
expressing a truth that 224
expressing a very real 59
expressing a view that 1318
expressing a view with 60
expressing a wish and 117
expressing a wish for 2014
expressing a wish not 68
expressing a wish that 13806
expressing a wish you 172
extended a call for 57
extended a claw and 58
extended a finger and 212
extended a firm and 67
extended a foot and 121
extended a good deal 415
extended a good way 302
extended a great deal 533
extended a great way 341
extended a hand and 2206
extended a hand but 52
extended a hand for 498
extended a hand out 51
extended a hand that 439
extended a hand with 214
extended a huge paw 48
extended a loan for 61
extended a mile and 394
extended a very long 114
extended a warm and 107
extended a wide and 79
extinguish a debt due 54
extinguish a fire and 133
extinguish a fire that 735
extinguish a fire with 169
extorted a great deal 79
extorted a rash but 121
extracting a good deal 63
extracting a great deal 135
extracting a tooth and 66
extracting a tooth with 77
extracts a good deal 200
extracts a great deal 99
extracts i have read 357
extracts i must add 57
extracts i sent you 76
