cab to the hospital and 73
can do is indicate that 49
can do is remember that 171
can do it anywhere and 155
can do it whenever they 44
can do it whenever you 214
can do it wherever you 78
can do it yourself and 166
can do it yourself for 124
can do it yourself using 85
can do it yourself with 338
can do me mischief but 75
can do no business with 96
can do no criminal act 48
can do no otherwise than 1005
can do so honestly and 87
can do so provided that 147
can do so provided they 55
can do so whenever they 66
can do the complete job 47
can do the exercise with 71
can do the miracles that 167
can do the opposite and 154
can do the ordinary things 42
can do the required job 59
can do the simplest sum 41
can do to alleviate them 83
can do to alleviate this 203
can do to convince her 68
can do to convince him 158
can do to convince them 103
can do to convince you 330
can do to dissuade you 45
can do to identify and 72
can do to maintain and 119
can do to maintain his 92
can do to maintain our 78
can do to minimize its 78
can do to minimize them 91
can do to minimize this 147
can do to mitigate this 58
can do to overcome them 159
can do to overcome this 306
can do to persuade her 65
can do to persuade him 82
can do to persuade them 87
can do to persuade you 163
can do to preserve and 82
can do to preserve our 96
can do to preserve them 64
can do to restrain him 47
can do to strengthen and 71
can do to strengthen our 133
can eat no victuals that 53
can eat the passover meal 99
can eat the passover with 76
can go by yourself and 55
can go do whatever you 44
can go in accounting for 47
can go on pretending that 164
can go the distance and 54
can go the distance with 69
can go the opposite way 45
can go to extremes and 70
can go to lawrence and 58
can go to washington and 186
can he be compared with 147
can he be credited with 89
can he be ignorant that 68
can he be otherwise than 263
can he be prepared for 54
can he be punished for 104
can he be rewarded but 59
can he do otherwise than 213
can in no possible way 630
can in the ordinary way 117
can it be accepted that 482
can it be achieved and 40
can it be achieved that 88
can it be achieved with 59
can it be admitted for 51
can it be admitted that 2624
can it be affirmed that 2316
can it be affirmed with 585
can it be asserted that 4729
can it be asserted with 244
can it be believed that 5712
can it be combined with 178
can it be compared with 660
can it be concealed that 358
can it be conceded that 434
can it be confused with 113
can it be credible that 140
can it be credited that 255
can it be credited with 67
can it be decisive that 140
can it be declared that 107
can it be disputed that 2106
can it be doubtful that 276
can it be employed for 50
can it be exchanged for 134
can it be excluded that 443
can it be expected but 102
can it be expected that 16544
can it be expected then 44
can it be expected they 204
can it be gainsaid that 1213
can it be imagined but 45
can it be imagined for 96
can it be imagined how 50
can it be imagined that 7231
can it be improper for 63
can it be inferred that 1680
can it be inferred with 73
can it be insisted that 85
can it be intended for 62
can it be intended that 61
can it be mistaken for 76
can it be objected that 1980
can it be observed that 85
can it be otherwise but 140
can it be otherwise for 74
can it be otherwise than 2102
can it be otherwise with 636
can it be perilous for 108
can it be possible for 1891
can it be possible that 12720
can it be possible they 50
can it be possible you 100
can it be presumed that 1635
can it be required that 125
can it be suffered that 40
can it be supposed both 130
can it be supposed for 213
can it be supposed god 120
can it be supposed that 22247
can it be supposed they 99
can it be surprising that 614
can it be utilized for 43
can it be verified that 143
can it be wondered that 1882
can it do otherwise than 110
can we be cheerful with 59
can we be grateful for 45
can we be otherwise than 224
can we be positive that 141
can we be prepared for 118
can we do business with 54
can we do otherwise than 776
can ye be baptized with 41
cap to the connecting rod 69
car at my disposal and 102
car at my disposal for 96
car at the entrance and 68
car at the hospital and 63
car at the opposite end 74
car at the roadside and 71
car by the roadside and 247
car in the darkness and 43
car in the distance and 139
car in the driveway and 2049
car in the driveway for 110
car in the driveway she 48
car in the driveway that 220
car in the driveway was 153
car in the driveway with 136
car in the hospital car 53
car in the hospital lot 75
car on the condition that 107
car on the driveway and 58
car on the mainland and 74
car on the railroad and 42
car on the roadside and 64
car on the shoulder and 88
car on the sidewalk and 57
car to be equipped with 136
car to be repaired and 56
car to be serviced and 47
car to the hospital and 88
car to the mechanic and 68
car to the platform and 67
car to the shoulder and 75
car up the driveway and 114
cling to the branches all 51
cling to the branches and 54
cling to the doctrine that 248
cling to the mistaken idea 56
cling to the tradition that 159
con in the questions they 84
cop in the passenger seat 200
cry in the struggle for 67
cry of the archangel and 45
cry of the captains and 45
cry of the children and 44
cry of the children for 56
cry of the children had 138
cry of the children was 95
cry of the children who 54
cry of the helpless and 48
cry of the homeless was 52
cry of the mountain lion 81
cry of the murdered man 46
cry of the populace was 141
cry of the soldiers was 54
cry of the universe was 51
cry on my shoulder and 161
cry on the corporal and 116
cup of tea untasted and 43
cup of the marinade and 55
cup of the parmesan and 52
cup to be competed for 220
cut at the opposite end 69
cut at the proximal end 51
cut by the roadside for 53
cut in the hillside and 133
cut in the marginal tax 132
cut in the negative eye 40
cut in the ordinary way 612
cut in the shortening and 319
cut in the shortening with 80
cut it in quarters and 122
cut of the garments and 91
cut of the garments was 53
cut of the trousers and 40
cut on the circular saw 177
cut on the mountain peak 157
cut on the shoulder and 63
cut up by trenches and 128
cut up the american war 48
