calf belongs to the cow 52
cast anchor at the head 46
cast anchor in the bay 4349
cast anchor on the lee 673
cast doubts on the idea 151
cast doubts on the real 76
cast doubts on the use 42
cast thyself on the earth 107
cease except in so far 172
cell bodies in the area 104
cell bodies in the bed 45
cell bodies in the cat 128
cell bodies in the cns 630
cell bodies in the rat 854
cell bodies of the rat 246
cell bodies of the two 98
cell cancer of the head 1999
cell cancer of the lip 86
cell cancer of the lung 2910
cell column in the rat 88
cell column of the rat 51
cell damage in the rat 207
cell groups in the cat 278
cell groups in the rat 386
cell layers of the leaf 134
cell lesions of the head 71
cell lesions of the jaw 117
cell number at the end 60
cell reaction in the rat 145
cell reaction is the sum 479
cell tumors of the cns 168
cell tumors of the head 502
cell tumors of the jaw 118
cell tumors of the long 56
cell tumors of the lung 530
cent chance of it being 70
cent greater at the end 45
cent higher at the end 257
cent higher by the end 49
cent oxygen in the air 135
cent profit on the deal 105
cheap edition of the new 59
cheap hotels in the area 60
cheap places to eat and 58
cheap supply of the raw 40
chin rested on the top 359
chop standing on the log 48
city before it is too 40
city earlier in the day 133
city earlier in the year 101
city edition of the new 117
city editor of the new 3278
city editor of the old 219
city editor of the san 466
city editor of the sun 293
city gleamed in the sun 79
city itself is as big 56
city itself or in its 63
city limits on the east 406
city limits to the east 57
city looked up to him 43
city planning as an art 52
city rabble on the one 41
city ruined by the war 49
city rushed on in its 53
city seemed to be going 51
city seemed to be one 53
city seemed to be out 150
city served as the seat 80
city stands at the head 102
clay engines in the bog 49
clean clothes on the bed 201
clean enough to eat off 1212
clean linens on the bed 209
clean sheets as if they 51
clean sheets on my bed 192
clean sheets on the bed 2754
clear answer as to how 222
clear answer as to why 254
clear before we go any 105
clear covering of the eye 50
clear digest of the law 74
clear earlier in the year 44
clear enough at the end 50
clear enough by the end 46
clear enough in my own 108
clear enough in the head 71
clear enough on the map 43
clear enough to be put 43
clear enough to be read 309
clear enough to me now 144
clear enough to me that 1029
clear enough to the eye 88
clear enough to us now 77
clear enough to us that 197
clear further on in this 69
clear height of the web 70
clear impact on the way 60
clear intent of the act 111
clear intent of the law 659
clear intent of the new 49
clear letter of the law 188
clear limits as to how 90
clear limits on the use 41
clear liquid at the top 285
clear memory of my own 47
clear memory of the day 60
clear misuse of my own 147
clear places on the map 47
clear policy as to how 58
clear policy on the use 60
clear portion of the air 242
clear portion of the eye 72
clear portion of the sky 48
clear reasons as to why 79
clear signal to me that 45
clear signal to us that 54
clear spaces in the sky 45
clear spaces of the sky 45
clear survey of the way 87
clear thought in my head 113
clear through to the end 607
clear through to the top 40
clear traces of it are 71
clear traces of the old 77
clear traces of the use 50
clear waters of the bay 347
clear waters of the ohio 58
clear waters of the red 106
clear whether he is being 56
clear whether he is going 41
clear whether he is using 49
clear whether he or she 115
clear whether in the end 45
clear whether it is being 63
clear whether it is due 123
clear whether it is god 45
clear whether it is not 44
clear whether it is this 40
clear window of the eye 45
clog instead of an aid 179
cloth rolled up at all 40
clung firmly to the idea 76
clung firmly to the old 75
clung fondly to the old 53
coal fields of the east 217
coal miners in the area 96
coal miners in the east 40
coal output of the area 57
coat collar up to his 52
coat gleamed in the sun 57
coat likely to be old 79
coat pulled by the two 142
coat turned up to his 53
cock clucks to the hen 44
code appears at the end 55
code needed to do this 74
code number at the top 135
coding regions of the dna 234
coding regions of the two 186
coding strand of the dna 316
coin lesions of the lung 42
coin spinning in the air 64
coin tossed in the air 142
cold barrel of the gun 157
cold before it be long 50
cold before it is put 43
cold corpse on the earth 62
cold douche to the head 290
cold figure of the old 50
cold glance of an eye 86
cold inside as it was 165
cold letter of the law 285
cold lotions to the head 221
cold medium of the law 63
cold mutton in the ice 40
cold muzzle of the gun 91
cold periods of the year 432
cold portion of the year 86
cold regions of the air 160
cold regions of the earth 959
cold regions of the far 108
cold seasons of the year 1382
cold shiver in the air 63
cold waters of the bay 311
cold waters of the east 50
cold waters of the far 44
come abreast of the car 85
come abreast of the new 85
come abroad to be rid 45
come across an ad for 75
come across as if they 103
come across as if you 99
come across in an old 54
come across in my long 43
come across in my own 209
come across in so doing 55
come across in the old 52
come across in the way 148
come across is the one 127
come across it at all 42
come across it in any 175
come across it in his 187
come across it in its 49
come across it in one 73
come across it in our 90
come across it in real 40
come across it in this 46
come across on the way 124
come across on the web 80
come across the sea and 172
come across the sea with 106
come across up to now 42
come almost at the end 65
come almost to an end 193
come almost to the end 729
come almost to the top 375
come around at the end 179
come around in the end 657
come around to me and 188
come around to my way 1516
come around to the east 107
come around to the idea 2040
come around to the new 148
come around to the rear 64
come before it by way 92
come before it in one 61
come before it in this 48
come before it is too 333
come before me in this 76
come before the king and 577
come before the king for 60
come before the king with 40
come before us as one 111
come before us at this 51
come before us in all 85
come before us in due 117
come before us in its 125
come before us in our 212
come before us in this 247
come better at the end 40
come bursting in at any 42
come bursting on my bed 46
come changes in the way 91
come cheaper in the end 71
come closer to it and 125
come closer to it than 970
come closer to me and 198
come closer to me than 125
come closer to my own 139
come closer to the bed 163
come closer to the earth 860
come closer to the end 328
come closer to the idea 260
come closer to the man 123
come closer to the new 62
come closer to the old 105
come closer to the real 1076
come closer to the sun 475
come closer to the top 46
come closer to the way 70
come closer to us and 232
come closer to us than 174
come crashing in on her 72
come crashing in on him 75
come crashing in on them 59
come crashing to an end 128
come crashing to the earth 80
come crawling to me for 63
come crowding in to say 69
come earlier in the day 360
come earlier in the war 55
come earlier in the year 330
come engaged by my oath 93
come fairly in my way 48
come fairly to an end 99
come floating in the air 93
come floating on the air 54
come floating to the top 137
come freely to the bar 69
come hobbling in at this 66
come inside so we can 174
come instead of the two 53
come listen to my song 123
come nearest to it are 58
come nearest to the idea 43
come nearest to the old 48
come openly to the aid 57
come safely to the end 68
come slowly if at all 96
come sooner if he had 46
come square up to him 258
come through at the end 264
come through by the end 72
come through in the end 1099
come through in the way 344
come through it at all 73
come through it to get 42
come through me to get 81
come through on the way 202
come through to the end 124
come tumbling to the earth 61
come wearily up the long 77
come wholly to an end 165
coming almost at the end 55
coming around to my way 154
coming around to the idea 711
coming around up the path 47
coming before us in her 46
coming closer to me and 78
coming closer to the bed 115
coming closer to the earth 146
coming closer to the end 74
coming closer to the real 171
coming events of the day 186
coming events of the war 40
coming nearest to the idea 51
coming slowly on the path 40
coming slowly to an end 76
coming slowly up the path 166
coming winter in the air 261
cone tangent to the earth 61
cook looked as if she 73
cool before it is put 44
cool breeze in the air 133
cool breeze of the day 45
cool enough to go out 385
cool freely in the air 218
cool gurgling by the ears 85
cool periods of the day 45
cool periods of the year 157
cool retreat in the heat 63
cool seasons of the year 183
cool sheets of the bed 109
cool slowly in the air 526
cool streaks in the air 56
cool waters of the bay 99
coop myself up in this 56
cops picked me up and 41
copy number of the dna 45
cord injury in the cat 172
cord injury in the rat 937
core member of the team 74
core values of the new 219
cork floating on the top 53
corn handed on to her 84
cost curves in the long 157
cost curves of the two 275
cost little in the way 54
cost proved to be too 67
cost refers to the sum 48
cost report at the end 48
cost should be as low 245
cost something to do that 41
cost stands in the way 51
cost system is in use 606
cream floating on the top 171
cream floats to the top 139
crew looked as if they 53
crew member of the uss 83
crop before it is cut 47
crop yields in the area 145
crying eagerly to me with 41
cuff placed on the arm 53
cult center of the god 64
cult statue of the god 342
cups almost to the top 102
