calico pockets hanging on the 741
choice depends also on the 78
choice depends only on the 166
choice finally fell on the 140
choice legible able to be 44
choice narrows down to the 41
choice usually fell on the 68
choose between giving in to 45
choose between giving up the 202
choose between life in the 87
choose between living in the 156
choose between some of the 53
chosen because many of the 128
chosen because most of the 245
chosen because much of the 60
chosen because some of the 79
chosen because there is an 56
chosen because there is no 317
church because there is no 102
church buildings were to be 139
church history down to the 81
church members came to the 83
church members living in the 41
church members need to be 109
church members tend to be 51
church members were in the 80
church members were to be 129
church schools were to be 61
church service held at the 76
church service held in the 107
church wardens were to be 44
cipher machine used by the 124
cities because there is no 51
cities contain most of the 47
cities contain some of the 56
cities located next to the 50
claims accrued prior to the 198
claims against some of the 149
claims against those of the 237
claims because there is no 118
claims located prior to the 560
clause applied only to the 148
clause applies only if the 53
clause applies only to the 316
clause because there is no 86
clause becomes part of the 44
clause brought home to the 56
clause relates only to the 59
clearer general view of the 42
clearly applies also to the 43
clearly applies only to the 105
clearly because there is no 42
clearly brought home by the 77
clearly brought home to me 270
clearly brought home to the 541
clearly brought home to us 166
clearly defined areas of the 191
clearly defined early in the 68
clearly defined edge of the 43
clearly defined even in the 88
clearly defined form in the 48
clearly defined ideas as to 69
clearly defined ideas of the 48
clearly defined ideas on the 72
clearly defined meaning in the 97
clearly defined only in the 119
clearly defined part of the 276
clearly defined prior to the 103
clearly defined role in the 462
clearly defined role of the 113
clearly defined theory of the 46
clearly defined there is no 43
clearly defined view of the 136
clearly depends only on the 153
clearly evident also in the 57
clearly evident even in the 92
clearly evident only in the 73
clearly evident when it is 86
clearly exactly what it is 59
clearly explain what it is 45
clearly express what he so 94
clearly frowned upon by the 43
clearly imposed upon me by 49
clearly present even in the 79
clearly realized when it is 45
clearly referring back to the 52
clearly referring here to the 85
clearly reflect some of the 57
clearly relates back to the 71
clearly revealed only in the 62
clearly revealed some of the 46
clearly revealed when it is 46
clearly visible also in the 64
clearly visible even in the 318
clearly visible even to the 80
clearly visible from the sea 313
clearly visible only in the 163
clearly visible only on the 49
clearly visible part of the 56
clearly visible when it is 53
clearly written down in the 50
closed because there is no 286
closed circuit made up of 111
closed economy such as the 107
closed society such as the 211
closed systems such as the 138
closer together tend to be 50
closer together will be the 99
clothes usually worn by the 78
clouds brought down to the 126
clouds carried along by the 76
clouds covered most of the 101
clouds floated high in the 69
clouds pressed down on the 77
clouds skimmed away in the 86
cloudy summits seem to be 49
coarse fabrics worn by the 64
coarse language used by the 60
coffee producing areas of the 48
cohort studies such as the 186
collar workers living in the 120
collar workers make up the 50
collar workers seem to be 133
collar workers tend to be 536
collar workers were in the 120
collar workers were to be 41
column because there is no 50
column depends only on the 59
column marched down to the 47
commit himself only to the 57
commit illegal acts in the 62
commit suicide only if he 106
commit suicide tend to be 62
commit suicide when he is 61
common because most of the 44
common because there is no 103
common between many of the 42
common carrier such as the 45
common concern such as the 101
common concern were to be 61
common consent come to be 57
common consent held to be 45
common council held on the 59
common devices used by the 46
common devices used in the 42
common element here is the 101
common element lies in the 103
common element will be the 50
common enemies such as the 43
common factors seem to be 57
common factors such as the 89
common features seem to be 43
common features such as the 306
common femoral vein at the 118
common femoral vein in the 114
common femoral vein to the 47
common foreign body in the 49
common hepatic duct at an 43
common hepatic duct at the 90
common hepatic duct in the 99
common hepatic duct or the 148
common hepatic duct to the 120
common language used by the 69
common language used in the 128
common markets such as the 69
common material used in the 187
common measures used in the 50
common mistake here is to 174
common mistake made by the 278
common mistake made in the 200
common mistake made is to 98
common objects such as the 45
common pattern seen in the 45
common primary site is the 74
common problem seen in the 103
common quality lies in the 89
common schools were to be 157
common species such as the 173
common subject grow to be 342
common symbols such as the 70
common symbols used in the 42
common systems used in the 50
comply therewith only if it 64
convey certain ideas to the 92
convey certain land to the 91
convey correct ideas of the 48
coolly inquire what is the 75
copies everything down to the 50
copper vessels used in the 140
cordial welcome from the king 51
cosmic results will be the 72
costly because there is no 77
cotton exports went to the 55
cotton producing areas in the 65
cotton producing areas of the 152
cotton textile mill in the 87
county offices were to be 61
county regarding some of the 71
couple hundred feet in the 44
couple hundred feet of the 82
couple hundred feet or so 49
couple hundred feet to the 68
couple hundred years or so 83
couple settled down in the 86
coupling between some of the 57
course appeared only in the 57
course applied only to the 62
course applies also to the 78
course applies only to the 383
course because most of the 49
course because there is no 82
course closely tied to the 62
course decided upon by the 81
course entered upon by the 50
course equally true of the 82
course obliges some of us 68
course referring here to the 84
course relates only to the 115
course remains open to us 44
courts because there is no 70
courts usually look to the 45
covering aspects such as the 47
covering certain areas of the 56
covering matters such as the 114
covering roughly half of the 48
covering several years in the 40
covering several years of the 46
covers aspects such as the 124
covers matters such as the 221
covers roughly half of the 111
created because some of the 51
created because there is no 82
created relates back to the 44
creation because there is no 55
creation becomes part of the 54
credit applies only if the 40
credit applies only to the 243
credit because there is no 92
credit default swap is the 67
credit deposit ratio in the 54
credit deposit ratio of the 94
crimes against life in the 46
crimes against peace in the 66
crimes against such of the 76
crisis because there is no 71
crisis brought home to the 44
crisis brought upon us by 45
crowning victory over the king 85
crucial aspects such as the 52
crucial because many of the 53
crucial because most of the 52
crucial because there is no 93
crucial decision made by the 45
crucial details such as the 42
crucial element here is the 210
crucial factors leading to the 70
crucial factors seem to be 55
crucial factors such as the 71
crucial incision down to the 51
crucial matters such as the 127
crucial moments such as the 41
crucial problem here is the 82
crucial problem here is to 72
crucial problem lies in the 83
crucial question here is the 190
crucial question here is to 40
crucial question will be the 64
crucial variable here is the 61
curious because there is no 51
curious fossils sent to me 67
curious reports made to the 83
cursor control keys on the 216
curved surface such as the 76
curves depends only on the 59
