cal of heat are added 132
cup of her two hands 52
cup of his own urine 46
cup of his two hands 108
cup of hot tap water 158
cup of joy goes gaily 43
cup of joy was running 46
cup so that she could 52
cup to all who enter 47
cut as that with which 99
cut as they may appear 122
cut by his own hands 85
cut by them any longer 68
cut in two and thrown 129
cut it off and start 60
cut it out and mount 131
cut it out and paste 672
cut it out and place 186
cut it out and saved 71
cut it out and sewed 61
cut it out and start 48
cut it out and stick 89
cut it out and stuck 67
cut it out with tools 200
cut it with his knife 391
cut it with his sword 1345
cut it with this knife 72
cut me off and asked 90
cut me with his knife 41
cut me with that knife 47
cut my head off every 45
cut of his head stood 59
cut on his head which 113
cut on its own block 65
cut so low you could 42
cut so that each piece 90
cut so that its faces 152
cut so that its optic 50
cut so that one piece 267
cut so that she could 145
cut so that they could 308
cut so that they might 47
cut so that they would 202
cut the thong that bound 72
cut the tie that binds 46
cut the tie that bound 79
cut up than she about 47
cut up that she could 62
cut up that they could 43
